"id","fiscal_year.meta.partial.fields","timestamp_iso8601.meta.partial.fields","timestamp.meta.partial.fields","source.meta.partial.fields","data_type.meta.partial.fields","catalog.meta.partial.fields","classification.meta.partial.fields","source_filename.meta.partial.fields","resource.meta.partial.fields","type.meta.partial.fields","value.BudgetYear.record.partial.fields","value.LineItemTitle.record.partial.fields","value.LineItemNumber.record.partial.fields","@quantityUnitName.record.partial.fields","@quantityUnits.record.partial.fields","value.BudgetSubActivityTitle.record.partial.fields","value.SubmissionDate.record.partial.fields","value.BudgetActivityTitle.record.partial.fields","value.BudgetCycle.record.partial.fields","value.Description.record.partial.fields","value.ServiceAgencyName.record.partial.fields","value.TotalCost.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearFour.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearThree.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneBase.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.PriorYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.CurrentYear.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearTwo.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOne.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Name.Component.ComponentList.ComponentSplit.record.partial.fields","value.P1LineNumber.record.partial.fields","@totalCostUnits.record.partial.fields","@unitCostUnits.record.partial.fields","value.Justification.record.partial.fields","value.ProgramElementNumber.OtherRelatedProgramElementList.record.partial.fields","value.AppropriationTitle.record.partial.fields","value.CostType.record.partial.fields","value.AppropriationNumber.record.partial.fields","value.BudgetActivityNumber.record.partial.fields","value.BudgetSubActivityNumber.record.partial.fields","value.TotalCost.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Quantity.BudgetYearOneOCO.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.Code.record.partial.fields","@manufacturerRateUnits.record.partial.fields","value.MDAPCode.record.partial.fields","value.Quantity.BudgetYearFive.Cost.Component.ComponentList.ComponentSplit.record.partial.fields","value.TotalCost.AllPriorYears.Cost.Component.ComponentList.ComponentSplit.record.partial.fields",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0207224F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0401897F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","","0504343F","","","","","","21.758","0.36","","A","","257298","","147.722",
"863e1570b2ff9af0469cac228a04637d","2014","2014-12-15T20:56:58+00:00","1418677018","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","C-130","C13000","Each","Each","Other Aircraft","2013-05","Modification of Inservice Aircraft","PBAmended","FY12 funding totals include $175.521M appropriated for Overseas Contingency Operations. This line item funds modifications to the C-130 and Special Mission C-130 aircraft.  The four engine C-130 provides theater airlift and carries either 92 troops 64 paratroopers 74 litter patients or 6 standard 463-L pallets.  The primary modifications budgeted in FY14 are the Systems/Structure mod (Center Wing Replacement) the Identify Friend or Foe/Selective Identification Feature (IFF/SIF) Mode 5 upgrade and the Minimize C-130 Communication Navigation Surveillance/Air Traffic Management (CNS/ATM) program. Beginning in FY12 procurement funding for C-130 Avionics Modernization Program (AMP) was moved to a separate budget line (P-1 line #46).  Prior year funds are shown here. The specific modifications budgeted and programmed are listed below.FY14 OCO Funds:  This NEW START effort funds the modification of 21 HC-130s with the AAR-47(V)2. This upgrade provides improved sensors that eliminate sensor blackening (a known failure mode) increases temperature tolerance and sensitivity and includes a laser detector and a hostile fire indicator to alert crews of small arms RPG and laser threats.  The upgraded sensors and processors are "plug and play" with the existing AAR-47 system and will only require a unit-level field installation.  Small arms RPGs and laser threats are the most common threats HC-130s are exposed to; HC-130 employs no warning system to alert crews of these threats.  Unacceptable IR missile false alarm rate of current system has desensitized aircrews.Funding for this exhibit contained in PEs 0401115F 0504343F.","Air Force","15.557","","7.278","","18.934","","13.492","","10.85","","3.821","","19.294","","Air Force Reserve","59","Millions","Millions","Where applicable justification for individual modifications is provided in the P-3A exhibits.","0503115F","Aircraft Procurement Air Force","AB","3010F","5","5","21.758","0.36","","A","","257298","","147.722",
"7b1b8e80a85a98c80c7d70b4d8787044","2014","2014-12-15T20:56:48+00:00","1418677008","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_United_States_Special_Operations_Command_PBAmended_2014.xml","procurement-amended","2014","2014","INTELLIGENCE SYSTEMS","020400INTL","Each","Each","Other Procurement Programs","2013-05","Special Operations Command","PBAmended","The Intelligence Systems line item provides for the identification development and testing of Special Operations Forces (SOF) intelligence equipment to identify and eliminate deficiencies in providing timely intelligence to deployed forces. Sub-projects address the primary areas of intelligence dissemination sensor systems integrated threat warning to SOF mission platforms and tactical exploitation of national system capabilities. The systems procured in this line item are Joint Threat Warning System (JTWS); Special Operations Tactical Video System (SOTVS); Tactical Local Area Network (TACLAN); Special Operations Command Research Analysis and Threat Evaluation System (SOCRATES); Hostile Forces-Tagging Tracking and Locating (HF-TTL); Sensitive Site Exploitation (SSE) and the Integrated Survey Program. U.S. Special Operations Command (USSOCOM) has developed an overall strategy to ensure that Command Control Communications Computers and Intelligence (C4I) systems continue to provide SOF with the required capabilities into the 21st century. USSOCOM's C4I programs are comprised of an integrated network of systems providing positive command and control and the timely exchange of intelligence and threat warning to all organizational echelons. The C4I systems that support this architecture employ the latest standards and technology by transitioning from separate systems to full integration with the SOF Information Environment (SIE). The SIE allows SOF elements to operate with any force combination in multiple environments. The intelligence programs funded in this line item will meet annual emergent requirements and are grouped by the level of organizational element they support: Operational Element (Team) and Above Operational Element (Garrison).","United States Special Operations Command","","","","","","","","","","","","","","","","64","Millions","Millions","OPERATIONAL ELEMENT (TEAM)    1.  JTWS.  This program is an evolutionary acquisition program that provides threat warning force protection enhanced situational awareness and target identification/acquisition information to SOF via signal intercept direction finding (DF) and signals intelligence (SIGINT).  This system will employ continuing technology updates to address the changing threat environment.  SOF SIGINT operators are globally deployed and fully embedded within Special Operations teams and aircrews in every operational environment.  The JTWS state-of-the-art technology enables SOF operators to provide critical time- sensitive targeting and actionable intelligence to the operational commander during mission execution.  Intelligence derived from operations supports campaign objectives and the National Military Strategy.  The system provides different variants utilizing common core software that allows operators to task organize and scale equipment based on anticipated signal environments and areas of operation.  Variants will be modular lightweight with minimal power requirements and configurable to support body worn/mobile or static air maritime and precision geo-location operations in support of all SOF missions.  Each variant except static will be capable of operation by a single trained operator.  The four variants are Ground SIGINT Kit (GSK) body worn/mobile and Team Transportable GSK static Air Maritime and Precision Geo-Location (PGL) (ground and air).  Program increased by FY 2012 Overseas Contingency Operations funds.  FY 2014 PROGRAM JUSTIFICATION:  Procures 4 PGL Ground systems 9 PGL Air variants and the capital equipment replacement (CERP) of 19 GSK kits 6 Air variants 8 PGL ground systems Unmanned Aerial Collection System and initial training. 2.  SOTVS.  This program employs an evolutionary acquisition strategy to meet SOF reconnaissance and surveillance mission requirements.  The program consists of a family of interoperable digital commercial-off-the-shelf systems to capture and transfer near-real time day/night tactical ground imagery utilizing SOF organic radios and global C4I infrastructure.  The program provides the capability to forward imagery in near-real-time via current or future communication systems (i.e. land-line High Frequency Very High Frequency and Satellite Communications radios) in support of surveillance and reconnaissance missions.  This man-packable tactical system consists of digital still cameras camcorders and ruggedized laptop computers with image manipulation software and data controller.  Program increased by FY 2012 Overseas Contingency Operations funds.FY 2014 PROGRAM JUSTIFICATION:  Procures 3 Reconnaissance Surveillance and Targeting Acquisition (RSTA) Reconnaissance Kits and 68 SOTVS Digital Camera Surveillance kits.3.  TACLAN.  This program provides a tactical Command Control Communications Computers and Intelligence Surveillance and Reconnaissance (C4ISR) architecture directly supporting SOF operational commanders and forward deployed forces global mission.  It provides a standard interoperable automated network-centric infrastructure that interconnects deployed SOF elements from smallest team to a Joint Special Operations Task Force (JSOTF) headquarters.  The program consists of Full Suites Command and Control (C2) suites Mission Planning Kits (MPKs) and Field Computing Devices (FCDs).  Each suite consists of modular integrated network components consisting of: 60 general use laptops 10 intelligence laptops commercial servers routers and hubs that can operate at user selectable classification levels (unclassified collateral coalition or sensitive compartmented information networks).  An MPK consists of laptop computers and ancillary equipment used by SOF teams for detailed mission planning.  FCDs are small hand-held computing devices used by the most forward deployed SOF to automatically interface with the suite via tactical communications.  Program increased by FY 2012 Overseas Contingency Operations funds.    FY 2014 PROGRAM JUSTIFICATION:    Procure CERP of 17 TACLAN Suites. ABOVE OPERATIONAL ELEMENT (GARRISON) 4.  SOCRATES.  This program is the SOF extension of the Joint Worldwide Intelligence Communications System network and is used to develop acquire and support garrison automated intelligence system requirements for SOF organizations worldwide.  It provides the capabilities to exercise command and control planning collection collaboration data processing video mapping a wide-range of automated intelligence analysis direction intelligence dissemination imagery tools and applications to include secondary imagery dissemination as well as news and message traffic.  The system ensures intelligence support to mission planning and the intelligence preparation of the battle space by connecting numerous data repositories while maintaining information assurance. The system supports Headquarters USSOCOM its component commands Theater Special Operations Commands (TSOC) and forward based SOF units.  SOCRATES is composed of state-of-the-art networking devices (firewalls routers switches hubs and modems) servers storage devices workstations associated peripherals and government-off-the-shelf /commercial-off-the-shelf software.    FY 2014 PROGRAM JUSTIFICATION:   Procures evolutionary technology insertions three storage infrastructures and the capital equipment replacement of four storage infrastructures. 5.  HF-TTL.  This program provides SOF with critical tools to enhance situational awareness for the planning and execution of SOF missions.  This capability allows the SOF warfighter to find fix and finish terrorist networks through the emplacement of sophisticated tags and devices that feed into an integrated architecture.  HF-TTL provides Regional Combatant Commanders and SOF operators with an immediate capability to tag track and locate people things and activities.  The HF-TTL program provides actionable intelligence for SOF planners.  The Mission Sets are comprised of a mix of different classes of tags and their associated detection interrogation viewing tracking and communications systems that are fielded annually to each SOF Component and TSOC based upon dynamic and emergent SOF operational requirements.  Active Sentinel initiatives focus on equipping and/or modifying existing sensor technology in response to requests from forward based SOF TSOCs and JSOTFs engaged in current combat operations.  Program increased by FY 2012 Overseas Contingency Operations funds and FY 2006 congressional add.  FY 2014 PROGRAM JUSTIFICATION:  Procures 23 mission sets.FY 2014 OVERSEAS CONTINGENCY OPERATIONS JUSTIFICATION: Procures various sensors in support of Active Sentinel.6.  SSE.  This program provides the capability to exploit personnel documents electronic data material and forensic evidence on sensitive sites/objectives.  It allows collection and transmission of unique measurable biometric signatures including live/latent fingerprints iris patterns and facial features.  It also provides a means to verify against and enroll subjects into the DoD authoritative database and to query that database to support hold or release decisions.FY 2014 PROGRAM JUSTIFICATION:  Procures 170 forensic exploitation kits. 7.  Integrated Survey Program (ISP).  This program supports Joint Chiefs of Staff contingency planning by conducting surveys and producing highly detailed target analysis packages on critical U.S. facilities.  ISP is a DOD migration system merging four existing programs standardizing methodology and equipment.","1160405BB","Procurement Defense-Wide","AB","0300D","2","4","","","","","","","","",
"c58dd954e6b31810be0f17011e5d5be2","2014","2014-12-15T20:56:49+00:00","1418677009","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Army_PBAmended_2014.xml","procurement-amended","2014","2014","Hellfire Sys Summary","C70000","Each","Each","Air-To-Surface Missile System","2013-05","Other Missiles","PBAmended","The Laser HELLFIRE II system family of air-to-ground missiles (all variants) provides attack helicopters and unmanned aircraft systems (UAS) with point-target precision strike capability to defeat heavy advanced armor individual hard point and non-traditional targets. HELLFIRE II missiles use a semi-active laser terminal guidance and are the primary armament of the AH-64 Apache OH-58 Kiowa Warrior Army UAS and Special Operations aircraft.  The HELLFIRE II includes Electro-Optical Countermeasure capability warhead improvements and an updated electronic fuze. The AGM-114R (Romeo) HELLFIRE II missile will be the single variant that replaces all other HELLFIRE II missile configurations (K/N/M/P).  HELLFIRE II Romeo procurement funding supports the entire HELLFIRE II system to include resolution of obsolescence safety reliability weapon integration activities test sets engineering changes and production issues.  This missile will be compatible on all current force UAS and rotary wing platforms.","Army","14.998","","19.237","","4.464","","108.966","907","30.501","161","21.445","","58.464","430","Army Active","3","Millions","Thousands","The HELLFIRE Product Office is the procurement agent for all services for all variants of the HELLFIRE missile.  FY 14 Base procurement dollars in the amount of $4.464 million provides government program management and production engineering support.FY 14 OCO procurement dollars in the amount of $54.000 million procures 430 Hellfire II AGM-114 Romeo missiles.  Procured missiles will replace missiles expended in combat operations.The Army intends to convert any price advantage created through contract negotiations other service procurement and/or foreign military sales to increase the Army procurement of Hellfire missiles.  "In accordance with Section 1815 of the FY 2008 National Defense Authorization Act (P.L. 110-181) this item is necessary for use by the active and reserve components of the Armed Forces for homeland defense missions domestic emergency responses and providing military support to civil authorities."","0203802A","","","","","","15.045","54","430","","","","","",
"c58dd954e6b31810be0f17011e5d5be2","2014","2014-12-15T20:56:49+00:00","1418677009","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Army_PBAmended_2014.xml","procurement-amended","2014","2014","Hellfire Sys Summary","C70000","Each","Each","Air-To-Surface Missile System","2013-05","Other Missiles","PBAmended","The Laser HELLFIRE II system family of air-to-ground missiles (all variants) provides attack helicopters and unmanned aircraft systems (UAS) with point-target precision strike capability to defeat heavy advanced armor individual hard point and non-traditional targets. HELLFIRE II missiles use a semi-active laser terminal guidance and are the primary armament of the AH-64 Apache OH-58 Kiowa Warrior Army UAS and Special Operations aircraft.  The HELLFIRE II includes Electro-Optical Countermeasure capability warhead improvements and an updated electronic fuze. The AGM-114R (Romeo) HELLFIRE II missile will be the single variant that replaces all other HELLFIRE II missile configurations (K/N/M/P).  HELLFIRE II Romeo procurement funding supports the entire HELLFIRE II system to include resolution of obsolescence safety reliability weapon integration activities test sets engineering changes and production issues.  This missile will be compatible on all current force UAS and rotary wing platforms.","Army","14.998","","19.237","","4.464","","108.966","907","30.501","161","21.445","","58.464","430","Army Active","3","Millions","Thousands","The HELLFIRE Product Office is the procurement agent for all services for all variants of the HELLFIRE missile.  FY 14 Base procurement dollars in the amount of $4.464 million provides government program management and production engineering support.FY 14 OCO procurement dollars in the amount of $54.000 million procures 430 Hellfire II AGM-114 Romeo missiles.  Procured missiles will replace missiles expended in combat operations.The Army intends to convert any price advantage created through contract negotiations other service procurement and/or foreign military sales to increase the Army procurement of Hellfire missiles.  "In accordance with Section 1815 of the FY 2008 National Defense Authorization Act (P.L. 110-181) this item is necessary for use by the active and reserve components of the Armed Forces for homeland defense missions domestic emergency responses and providing military support to civil authorities."","0210109A","Missile Procurement Army","AB","2032A","2","20","15.045","54","430","","","","","",
"010bbe484ca3d2da2e57bae8de8dbe74","2014","2014-12-15T20:57:01+00:00","1418677021","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","PROCUREMENT_JustificationBook_Air_Force_PBAmended_2014.xml","procurement-amended","2014","2014","Predator Hellfire Missile","PRDTA2","Each","Each","Tactical","2013-05","Other Missiles","PBAmended","FY2012 funding totals include $28.920M appropriated for Overseas Contingency Operations.FY2013 funding totals include $34.350M appropriated for Overseas Contingency Operations.Hellfire is an air-to-ground missile system that provides precision-kill capability and has become a key weapon in Overseas Contingency Operations.  Laser Hellfire uses semi-active laser terminal guidance.  The latest variant provides for point target precision strike and is effective against countermeasures.  The Hellfire missiles are used by the MQ-1 Predator and MQ-9 Reaper aircraft.  The Army is the lead service for the Hellfire Missile program with Air Force missiles being procured through the Army's Redstone Arsenal.  Unit cost may vary depending on lead Service other Services and/or FMS procurement quantities. Prior to FY2008 Hellfire missiles were procured under the Predator PE 0305219F.Funding for this exhibit contained in PE 0201109F.","Air Force","","","","","","","","","","","","","","","","5","Millions","Millions","Missile procurement funding for 413 AGM-114 Hellfire missiles flight training missiles Telemetry Measurement (TM) kits load training missiles existing warhead improvements and production implementation for the Height of Burst capability for R-model variants which incorporates a multi-purpose warhead variable delay fuze and increased lethality.  Multiple variants (K M N P R R9B etc.) of the Hellfire missile may be procured based upon operational requirements for various warheads and the enhanced weapon engagement zone.  Quantities are based on current estimated price for purchase through the Army.  The Hellfire missiles are used for test training and operations. In 2014 Overseas Contingency Operations funds (OCO) will procure an additional 211 Hellfire missiles flight training missiles Telemetry Measurement (TM) kits load training missiles and production implementation for the Height of Burst capability for the new R-model variant.  Overseas Contingency Operations funding is required to replenish missiles expended in current operations as well as to support increased MQ-1 Predator and MQ-9 Reaper Combat Air Patrols.  The Hellfire weapon has been used extensively to provide close air support and engage time-sensitive targets such as improvised explosive device implacers vehicles and personnel both in the open and in structures.  The OCO funding alleviates the greater demand for Hellfire weapons for increased MQ-1 Predator and MQ-9 Reaper patrol missions against defined and targets of opportunity.  Continued procurement of Hellfire weapons will enable the U.S. Air Force to meet their contingency requirements and ensure that Warfighter requirements are met.","0305219F","Missile Procurement Air Force","AB","3020F","2","2","","","","A","","","","",
"6a0461a50cf5cd0cb9d452e0f08edf47","2014","2014-12-15T20:57:02+00:00","1418677022","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-amended","2014","2014","UH-1Y/AH-1Z","0178","Each","Each","Combat Aircraft","2013-05","Combat Aircraft","PBAmended","Description:  The mission of the AH-1Z attack helicopter is to provide rotary wing close air support anti-armor armed escort armed/visual reconnaissance anti-helicopter and point air defense and fire support coordination during day/night conditions.  The mission of the UH-1Y utility helicopter is to provide command and control and combat assault support during day/night and reduced weather conditions.  The UH-1Y/AH-1Z procurement strategy is to convert 37 AH-1W helicopters into AH-1Zs build 152 new AH-1Zs remanufacture ten (10) H-1N helicopters into UH-1Ys and build 150 new UH-1Y models.  The UH-1Y and AH-1Z share an 85 percent common footprint which include portions of maintenance planning technical data supply support support equipment facilities and resources required at the intermediate and depot level maintenance activities for both structural and avionics items of repair.Major modifications include a new 4-bladed rotor system with semiautomatic blade fold of the new composite rotor blades  performance-matched transmissions a new 4-bladed tail rotor and drive system upgraded landing gear and pylon structural modifications.  Both aircraft will also incorporate common modernized and fully integrated cockpits/avionics that will reduce operator work load and improve situational awareness and safety.  The UH-1Y/AH-1Z aircraft will have increased maneuverability speed and payload capability.  Additionally the AH-1Z will upgrade the current AH-1W Night Targeting System (NTS) Forward Looking Infrared (FLIR) system to a 3rd generation staring focal plane array FLIR that will significantly extend autonomous weapons engagement ranges.","Navy","","","","","","","","","","","","","","","","11","Millions","Thousands","","0604245N","","","","","","","","","A","Yearly","101","","",
"6a0461a50cf5cd0cb9d452e0f08edf47","2014","2014-12-15T20:57:02+00:00","1418677022","http://comptroller.defense.gov/budgetmaterials.aspx","record","dodbudget","public","P40_.xml","procurement-amended","2014","2014","UH-1Y/AH-1Z","0178","Each","Each","Combat Aircraft","2013-05","Combat Aircraft","PBAmended","Description:  The mission of the AH-1Z attack helicopter is to provide rotary wing close air support anti-armor armed escort armed/visual reconnaissance anti-helicopter and point air defense and fire support coordination during day/night conditions.  The mission of the UH-1Y utility helicopter is to provide command and control and combat assault support during day/night and reduced weather conditions.  The UH-1Y/AH-1Z procurement strategy is to convert 37 AH-1W helicopters into AH-1Zs build 152 new AH-1Zs remanufacture ten (10) H-1N helicopters into UH-1Ys and build 150 new UH-1Y models.  The UH-1Y and AH-1Z share an 85 percent common footprint which include portions of maintenance planning technical data supply support support equipment facilities and resources required at the intermediate and depot level maintenance activities for both structural and avionics items of repair.Major modifications include a new 4-bladed rotor system with semiautomatic blade fold of the new composite rotor blades  performance-matched transmissions a new 4-bladed tail rotor and drive system upgraded landing gear and pylon structural modifications.  Both aircraft will also incorporate common modernized and fully integrated cockpits/avionics that will reduce operator work load and improve situational awareness and safety.  The UH-1Y/AH-1Z aircraft will have increased maneuverability speed and payload capability.  Additionally the AH-1Z will upgrade the current AH-1W Night Targeting System (NTS) Forward Looking Infrared (FLIR) system to a 3rd generation staring focal plane array FLIR that will significantly extend autonomous weapons engagement ranges.","Navy","","","","","","","","","","","","","","","","11","Millions","Thousands","Basis for FY 2014 Budget Request:  Funds are requested in FY 2014 to procure 26 AH-1Z/UH-1Y helicopters.FY 2010 was the first procurement year of the AH-1Z Build New aircraft requiring additional manufacturing leadtime due to new cabin structure.FY 2014 Airframe rate increases predominantly due to prime contractor compliance with Pension Protection Act and reduced projected business base.All GFE electronics previously harvested from UH-1N and AH-1W aircraft at no-cost must be procured new at cost for all future lots beginning in FY 2013 Lot 10 due to unavailability of legacy aircraft.  Budgeted values for lots procured through FY 2012 reflect a cost avoidance from harvested components.  The specific GFE components no longer harvested include:  CD-45/ALE-47(V) Chaff/Flare Programmer ICS Boxes MT-6711 TACAN Mount RT-1798 TACAN Receiver APR39 System CP-1975/AAR-47(V)2 Central Processor SU-211/AAR-47(V)2 Optical Sensor AS-2728 Antennas AT-741B/A Antennas EGIs CV-20 Digital Converters.  GFE Electronics increase in FY 2014 due to Mission Computer being provided GFE instead of CFE.  GFE Electronics increase beginning in FY 2014 due to Mission Computer being provided as GFE; previously included in Airframe/CFE.All new engines are factored into the budget formulation for FY 2014 through the FYDP.  Refurbished H-60 engines are purchased as availability permits; however the supply is nearly exhausted.  FY 2014 Armament and Other GFE changes due to net zero realignment of components between cost codes.FY 2014 Support Cost increase due to deferred depot stand-up in compliance with Title 10 organic depot capability requirement.  Depot stand-up was originally planned for FY 2012 prior to funding reduction for Support Cost.FY 2014 Peculiar Traning Equipment increase due to an added AH-1Z trainer.","0206120M","Aircraft Procurement Navy","AB","1506N","1","1","","","","A","Yearly","101","","",
