"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","RFPIssueDate_val","FundingVehicle_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2013","DTRA","2014-05","2014-06","1.000","0.046","false","","","","","","","","","","","PO","","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-0-37e0ddda563f38252b8f35dc7db1cc655b5559bf","f92f0854f2c9098b2c409f774c679b4c1ddb51fa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-8-9cc0c4929791acd6f3cb8f37f38fe8a611df0d05"
"2014","DTRA","2014-03","2014-04","2.000","0.050","false","","","","","","","","","","","PO","","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-1-bad6acac4ba84b1a8da3bfa1d1af261547e875a2","f92f0854f2c9098b2c409f774c679b4c1ddb51fa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-8-9cc0c4929791acd6f3cb8f37f38fe8a611df0d05"
"2015","DTRA","2015-03","2015-04","1.000","0.050","false","","","","","","","","","","","PO","","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-2-4fab4e1285d9eb3150f5ad6582f2b3fceece15f5","f92f0854f2c9098b2c409f774c679b4c1ddb51fa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","f92f0854f2c9098b2c409f774c679b4c1ddb51fa-8-9cc0c4929791acd6f3cb8f37f38fe8a611df0d05"
"2014","DTRA","2014-05","2014-06","2.000","0.050","true","","","","","","","","","","","PO","","4b86cd270a20763220d9ebb451e89066477c5918-0-c660eb1ef162a7030577818e49615a1d697140a0","4b86cd270a20763220d9ebb451e89066477c5918","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","4b86cd270a20763220d9ebb451e89066477c5918-3-beb491c4274a80b17c0cf8c818df9ffed750d744"
"2015","DTRA","2015-03","2015-04","1.000","0.050","false","","","","","","","","","","","PO","","4b86cd270a20763220d9ebb451e89066477c5918-0-b83951992a1a1a5f7bac329cab69155958b3f66d","4b86cd270a20763220d9ebb451e89066477c5918","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","4b86cd270a20763220d9ebb451e89066477c5918-8-f2ff610fc5b061a179cff0384592019daed016ec"
"2016","DTRA","2016-03","2016-04","2.000","0.050","false","","","","","","","","","","","PO","","4b86cd270a20763220d9ebb451e89066477c5918-1-74277f76d467355fba21ce32ce58d5641279e63c","4b86cd270a20763220d9ebb451e89066477c5918","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","4b86cd270a20763220d9ebb451e89066477c5918-8-f2ff610fc5b061a179cff0384592019daed016ec"
"2016","AFLCMC Wright Patterson AFB","2016-06","2017-04","1","8.000","true","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-0-f9aab618458ac8a22e156760d4a8d574790f3b55","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-0-9aaf4eb138717bbfe14f26cd22855ab6ea4fd6ab","","","","e0337fe81202243d7e66e7920d9691c0970369f3-0-8ecce33acef4e9890e150758522a2bd201e11ea7","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","e0337fe81202243d7e66e7920d9691c0970369f3-0-1386129d61afa3ada8857f9b0d722363c14e58dd"
"2017","AFLCMC Wright Patterson AFB","2017-06","2018-04","1","8.000","true","SS","FPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-1-455aced5bedd13ebf8e49b964dbd17488dfedeae","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-1-af259a39db2f53e5006b06bfd98c4afaea992de4","","","","e0337fe81202243d7e66e7920d9691c0970369f3-1-f19fd53cfbe6fc9deade18392dd3f53e7b68c9f9","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","e0337fe81202243d7e66e7920d9691c0970369f3-0-1386129d61afa3ada8857f9b0d722363c14e58dd"
"2012","AFLCMC Wright Patterson AFB","2014-08","2017-01","3","118.700","true","SS","FFP","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-0-361194153e8f1187b19f7c06213ab2ba53c61639","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-e0337fe81202243d7e66e7920d9691c0970369f3-0-1d7ab3f98fadfbf1d9d91f0fc0337a28bbb61510","2013-08","","","e0337fe81202243d7e66e7920d9691c0970369f3-0-41c3ac7b79fb5bf0e1e41a9d80a525cd2d08819e","e0337fe81202243d7e66e7920d9691c0970369f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","e0337fe81202243d7e66e7920d9691c0970369f3-2-e70cba41def55b1dfac48cd0e5b0b8e28f2d1af3"
"2011","303 AESG/PK","2011-12","2014-03","2","103.702","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-28b50999c1fca4f7b9768e501e99300db6c76161-0-b67b6126baaf6c4a5bab4a28148aceb74c1dccf2","0","","","2010-03","","","28b50999c1fca4f7b9768e501e99300db6c76161-0-ae41324c85c83664721e4fd7f96a60e4820d3308","28b50999c1fca4f7b9768e501e99300db6c76161","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","28b50999c1fca4f7b9768e501e99300db6c76161-2-641d1327e267c2bdc99a5d7b7774a167cfc0dc61"
"2012","303 AESG/PK","2012-12","2014-12","3","121.047","true","SS","FPIF","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-28b50999c1fca4f7b9768e501e99300db6c76161-1-3900f0938a4680c50390adc78fc1347d4215ec04","0","","","2012-01","","","28b50999c1fca4f7b9768e501e99300db6c76161-1-9eb9bc3ae044fb6ba99364e4b4d2c11aa7b8d877","28b50999c1fca4f7b9768e501e99300db6c76161","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","28b50999c1fca4f7b9768e501e99300db6c76161-2-641d1327e267c2bdc99a5d7b7774a167cfc0dc61"
"2011","303 AESG/PK","2011-12","2014-04","2","105.294","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-28b50999c1fca4f7b9768e501e99300db6c76161-0-4649ecb00ee41c12f8673761cb4326100e37dd30","0","","","2010-03","","","28b50999c1fca4f7b9768e501e99300db6c76161-0-0bf6768d613a816ac97ddf695a0ae1212831de15","28b50999c1fca4f7b9768e501e99300db6c76161","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","28b50999c1fca4f7b9768e501e99300db6c76161-3-28cc0c1514f3612493749147dc1c1dc4532163fe"
"2009","303 AESG/PK","2011-02","2011-05","2","21.821","true","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-28b50999c1fca4f7b9768e501e99300db6c76161-0-76a9483619d379d2e914fe9b27b3f9359f608be9","0","","","2008-01","","","28b50999c1fca4f7b9768e501e99300db6c76161-0-cb0f57e9dd03571bbbef9b9f426e9310180b7d84","28b50999c1fca4f7b9768e501e99300db6c76161","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","28b50999c1fca4f7b9768e501e99300db6c76161-0-ad8a5710e7754608c2c09d3f66ec5daf993d7b74"
"2012","DTRA","2012-03","2012-04","4","0.050","true","","","","","","","","","","","PO","","44df3faab1c8c9111aed48cc425ad21c8348fd3e-0-51a3e74937768ac692b5878aaa20f56f81d2623f","44df3faab1c8c9111aed48cc425ad21c8348fd3e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","44df3faab1c8c9111aed48cc425ad21c8348fd3e-8-ada282ee8a24746e4fef1e6d91c3ee5a8bfb02b4"
"2011","DTRA","2011-03","2011-04","1","0.050","true","","","","","","","","","","","PO","Government Services Administration - Chicago, IL","44df3faab1c8c9111aed48cc425ad21c8348fd3e-1-40ea736ff0ee951804453e1f1773e8ce93a8634d","44df3faab1c8c9111aed48cc425ad21c8348fd3e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","44df3faab1c8c9111aed48cc425ad21c8348fd3e-8-ada282ee8a24746e4fef1e6d91c3ee5a8bfb02b4"
"2013","DTRA","2013-03","2013-04","1","0.050","true","","","","","","","","","","","PO","","44df3faab1c8c9111aed48cc425ad21c8348fd3e-2-aaf8b7ea1929a7ff2124c86a94d7b64293e295b4","44df3faab1c8c9111aed48cc425ad21c8348fd3e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Vehicles.Recurring.CostElementList.CostElement","44df3faab1c8c9111aed48cc425ad21c8348fd3e-8-ada282ee8a24746e4fef1e6d91c3ee5a8bfb02b4"
