"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","OCO_val","FundingVehicle_val","RFPIssueDate_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","","MICC, Ft. Eustis, VA","2015-05","2015-06","1","434.000","true","SS","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b48bd0753367aaee5dc5e7e16aa8ade5b877ad04","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b364507f17826eb0090502f33cac813e48fc7c3e"
"2015","","MICC, Ft. Eustis, VA","2015-07","2015-09","1","49.000","true","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-64d06d44e677f8ab7fc976ee5947d84569375f55","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-188e696d6f88b8709e7724abdc6e10bfb5218d08"
"2016","","TBS","2016-07","2016-09","1","151.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-4394c57002152ef6723c37c539dbbb53d3f5bcb8","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-82280100369f21b8431f692ab493d6a588f72257"
"2017","","TBS","2017-07","2017-09","1","147.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-b9933fae801127b6ef918e6d03a7be64c7dff17e","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-82280100369f21b8431f692ab493d6a588f72257"
"2016","","MICC, Ft. Lee, VA","2016-02","2016-08","1","350.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5b8616266ed20ab638103d9713eb8175182883c2","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bde175e1a1f99667c93b0f7877cff4d033d0c70a"
"2017","","TBS","2017-02","2017-05","1","498.000","false","C","FP","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-a4849e3eec6120720c62c1d07c6e9963090c051c","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bde175e1a1f99667c93b0f7877cff4d033d0c70a"
"2013","Reference footnote (14)","Oklahoma City, OK","2013-08","2014-01","1","1225672.000","true","SS","FFP","","","","2716d37d44e85f0f34dc04267a41a58174f205ff-0-c702cac2df5d02609a7b02ea895060a191ae7fdf","2716d37d44e85f0f34dc04267a41a58174f205ff","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","2716d37d44e85f0f34dc04267a41a58174f205ff-0-d6cb704594310686569419862beb7db386ac6acd"
"2012","","AMCCC, Redstone Arsenal, AL","2012-12","2012-12","1","2181.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-d6e928c1d3b5dc0a0abd9d5035425a57e748d515","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-ee8713dbb827afd946b120257d5417be56b5a924"
"2013","","TBS","2013-08","2013-11","1","1125.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-f0a0d0f814c831e08df14ca9ff825a0e0d4faa2d","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-950ade91a7a461018f460c82e4e7b2942cb413af"
"2014","","TBS","2014-05","2014-07","1","282.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-1514cb57f557f749585627b74013fa041727645e","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-950ade91a7a461018f460c82e4e7b2942cb413af"
"2012","","TBS","2012-09","2012-10","1","990.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-4357cbc003aac1baa2acfcb8adc495b961086fbe","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-032677d34cf7fd819cf0a58bfcf78e9ba91c585f"
"2013","","TBS","2013-04","2013-06","1","616.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-72594ceb8c1bb5de79c7f00974fff2522c915d27","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-032677d34cf7fd819cf0a58bfcf78e9ba91c585f"
"2014","","TBS","2014-06","2014-08","1","1523.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-2-7a31e6b8f5346223e317c5ce6e6e546d1e315593","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-032677d34cf7fd819cf0a58bfcf78e9ba91c585f"
"2012","","ACCNCR, Alexandria, VA","2013-03","2013-03","1","1584.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-213fabb23d802d62ba9403f92438a39f243ae77d","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-87517df50380f2ce241321ab4ab4bd64337b5b47"
"2013","","TBS","2013-05","2013-07","1","3066.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-4464b6198bbc4a322c5c5b82c4cd048d4dfde2fe","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-8e9332ab01f6c501d6419e344f07a772b458c99f"
"2014","","TBS","2014-06","2014-08","1","5040.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-a5b7aecf85c81de3afd1f7f0590be595c424fa21","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-8e9332ab01f6c501d6419e344f07a772b458c99f"
"2012","","TBS","2012-11","2012-12","0","0.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-9654c15c3b84b5fd19b0e9f16810fe570510e6f9","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-00851556a993c7e297c1ae19ccaa799e11c3253c"
"2013","","TBS","2013-05","2013-07","1","609.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-851788100898e45c505ee5782de06f0976e6e99c","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-00851556a993c7e297c1ae19ccaa799e11c3253c"
"2014","","TBS","2014-06","2014-08","1","1620.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-2-f01f8de10e2d71f0ac842354ddf572a34724cdf3","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-00851556a993c7e297c1ae19ccaa799e11c3253c"
"2012","","TBS","2012-09","2012-10","1","18056.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-43d212e6f74d6d9ace5818e52f6ba4e853446b12","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-07867cebb3a9aa13ee4e4a8c3a6cda542e782e5e"
"2013","","TBS","2013-02","2013-05","1","300.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-4b0b5018d5175a53389e628ebdb61945343d39c2","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-07867cebb3a9aa13ee4e4a8c3a6cda542e782e5e"
"2012","","DOI, Herndon, VA","2012-02","2012-03","1","281.000","false","C","T&M","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-90da2d5ee990c914b9ff6156fbfac48b482e7e5e","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-80fdf9b243705b7a6dd61db783ba593ad0f8d76d"
"2014","","TBS","2014-07","2014-08","0","0.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-b4101db673116cdf4c19a8cd7e168a79e16a599c","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-bd0b1adf8452cca234399042b84d2f1affb57d7c"
"2012","","CHESS, Ft. Benning, GA","2012-08","2013-04","1","214.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-670378ff20866fa6e4e8150ac379512c6a240a8b","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-3a10bc3d0b4482d1a56aee3d77a7ea975241bfee"
"2014","","TBS","2014-08","2014-08","0","0.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-8dcab1c4f15b4de73b701ebeffeb01f90eb5e12f","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-e88df7603f4a115fa660f233fff52a50d56c4812"
"2012","","MICC, Ft. Eustis, VA","2012-09","2012-10","1","29.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-07e566cd3fb36baeeb94b0eee012ffb6e4d90859","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-1ba8a0aa543524a88e12b17027598b9b9f10d09a"
"2013","","TBS","2013-02","2013-03","1","81.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-9499fed0e87d72564fd749c9a297901714ea9a9c","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-4ca5d9134f172b9219dc8c53c9c0b09b554f9ca7"
"2014","","TBS","2014-02","2014-03","0","0.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-1f89a018d5a8c229d13cacaa9fd5338d28bc0b4a","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-1-4ca5d9134f172b9219dc8c53c9c0b09b554f9ca7"
"2013","","TBS","2013-02","2013-03","1","259.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-f595fce7aad06470252d1a5f0d97de19f62f6a5e","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-b8b5600fe31b6cedf5ee49b9c9b046ba9d5063c2"
"2012","","TBS","2012-09","2012-10","1","130.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-e7fa138cec894775355574fd7d4b00ecae88c138","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-5398fbb0cea60a3b49f963fe954264809c4e200f"
"2013","","TBS","2013-02","2013-03","1","95.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-e3568e8e087cae381454a53ffc6d207818052f52","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-5398fbb0cea60a3b49f963fe954264809c4e200f"
"2012","","TBS","2012-09","2012-10","1","2348.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-0be4e33b9c274192aeb3bf98de5a87115d8afcfe","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-d121646e8abab3b079df05b589973f4a0481c088"
"2013","","TBS","2013-03","2013-04","1","1794.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-1f484627556db2e97f69cdcca0ee0c909a0ecaa1","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-dda05d64d69fa8884568a88673e1521585446ffb"
"2014","","TBS","2014-02","2014-05","1","1672.000","false","C","FP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-b98213743eefdeee2fc2b23ddf5d7e57a3f9df48","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-a57ca4b937fdf451124a558c3f3cd7e95c65f96f"
"2013","","TBS","2013-03","2013-05","1","1056.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-0-0f8187663cb62db8af7567e86de160d4b924d147","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-d9774fee1da52d54cfee4c0bd44d9142de50fd63"
"2014","","TBS","2014-02","2014-05","1","22589.000","false","C","FFP","","","","571239ea242e1e673bae4fee7eb23020af5fa084-1-72407d1e1ea7be6041b48868c733666c567aee7c","571239ea242e1e673bae4fee7eb23020af5fa084","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","571239ea242e1e673bae4fee7eb23020af5fa084-0-d9774fee1da52d54cfee4c0bd44d9142de50fd63"
"2014","","AMCOM EC, Huntsville, AL","2014-04","2014-07","1","1175.000","false","C","FP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-beeb7f807e734abcc562219bb04faba302e3c10e","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-5cc7b641ac44930d2170fc33f1dd190a0b84958c"
"2015","","TBS","2015-02","2015-02","1","1065.000","false","C","FP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-1-b08fe4603225991ec85175a1f90443d20568f6fe","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-5cc7b641ac44930d2170fc33f1dd190a0b84958c"
"2014","","TBS","2014-06","2014-08","1","496.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-e580d720217f20c24d981deb0737c4211742987f","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-cb340bc0bf22fbf0e66d7d9611546f0a8b8d33ac"
"2015","","TBS","2015-06","2015-08","1","1700.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-1-67fe896b2ac66bb0d7fcf746d28b571651ac7df4","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-cb340bc0bf22fbf0e66d7d9611546f0a8b8d33ac"
"2013","","ACC-RI, Rock Island, IL","2013-03","2013-03","1","2299.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-57e9de45224432ae944facaa2d36cd724f26af01","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-aa9c696579ef2d629bb39d2415af002cdd3d417e"
"2014","","TBS","2014-06","2014-08","1","5040.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-583e24917950fa9691860a5a103b3f6bfe6b7dac","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-1-9e48ffe6d7a63ce5f86f836322c37593c456c3eb"
"2015","","TBS","2015-06","2015-08","1","6041.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-1-afcecfc9930cd6510daaf80614c66129902f0c07","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-1-9e48ffe6d7a63ce5f86f836322c37593c456c3eb"
"2015","","TBS","2015-04","2015-06","1","761.000","false","C","FFP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-1d07e0be83e043f01b364cc7ae16d7ea47c8e64d","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-8ab06b42f7bc22ddd25ffaaa837af658fda77f6d"
"2013","","DOI, Sierra Vista, AZ","2013-04","2013-05","0","0.000","false","C","FP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-77a208b7cb7efbf7492e25464c67552c63f0d125","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-04f7c3eb1bfaaed9534dd77f83bafe4586e5380c"
"2014","","TBS","2014-06","2014-08","0","0.000","false","C","FP","","","","a4b82838d22cfbf1da667ad790027d833a60a900-0-1dfe814bf47a758a158312136d48baff225dde7c","a4b82838d22cfbf1da667ad790027d833a60a900","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Software.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b82838d22cfbf1da667ad790027d833a60a900-0-fcbad1301438e9783d5cf6b2366a2ef3c1ef23a8"
