"Name_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_PriorYear_val","Cost_Quantity_Total_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_Total_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_Continuing_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Launch Services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.395","27","2467.677","174.792","5","873.958","162.11","4","648.44","165.148","5","825.738","165.148","5","825.738","176.6","5","883.002","141.39","5","706.951","136.934","5","684.671","178.801","5","894.007","274.894","29","7971.933","177.293","90","15956.377","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-392b732ed1fe294af83c135bf9cbdc76da3df787","15","A","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-980b0cfd97653d30e89bb1b7fed538f4c95f3f69","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-ceeea5dccfd76a8911ee4b00a5b47759c1be1402"
"Launch Capability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4116.199","","","688.722","","","874.637","","","878.863","","","878.863","","","922.058","","","958.521","","","985.417","","","1004.885","","","13391.013","","","23820.315","","","","","A","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-4af3f4d3f1e5ba11d0a150e255ef60d58c01dc6d","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-ceeea5dccfd76a8911ee4b00a5b47759c1be1402"
"Launch Capability","","","","","","","","","","","","","631.551","554.946","745.183","","745.183","734.126","772.022","758.05","510.43","11148.019","15854.327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","c8bddcf0640778bc663bf751547ef2985baa8f1e-0-d45b6206aac5d26e6009fb6608e063e05008ce8f","c8bddcf0640778bc663bf751547ef2985baa8f1e","root.record.ItemExhibitList.P5Item","c8bddcf0640778bc663bf751547ef2985baa8f1e-0-ed777bfccdf8516b04a0029e1787af49b0e57577"
"Launch Services","32","4","101","5","3","3","4","5","4","5","39","3279.649","573.837","726.093","466.671","","466.671","507.406","661.43","668.685","1140.359","10005.128","18029.258","102.489","143.459","178.508","145.219","155.557","155.557","126.852","132.286","167.171","228.072","256.542","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-29d99b032b9c1f16a02a1af5716870398fccb364","19","A","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-08c0cc35737fde6c868641df9d0cd2fff10f01ef","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-281559dbbb5694aaad7cd3964251b6c076244603"
"Launch Capability","","","","","","","","","","","","4842.649","0.000","","0.000","","0.000","0.000","0.000","0.000","0.000","0.000","4842.649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","A","de08184513d1e1f65d84300ccaf6c8414cb8e42a-1-217472b27d3f0a023c127d1ff72860b4239f2131","de08184513d1e1f65d84300ccaf6c8414cb8e42a","root.record.ItemExhibitList.P5Item","de08184513d1e1f65d84300ccaf6c8414cb8e42a-0-281559dbbb5694aaad7cd3964251b6c076244603"
"Launch Services","36","5","45","4","","","","","","","","3864.57","749.616","539.843","","0","0","","","","0","0","5154.029","107.349","149.923","114.534","134.961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-100d75c4952b99fe669e096bab6fc423ca20ff77-0-38b39a9ac8bbb2eb53deb44d043c0f39a04c381d","27","","100d75c4952b99fe669e096bab6fc423ca20ff77-0-ff4b81cf79b697350fd7456e7b4919c770e104c2","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item","100d75c4952b99fe669e096bab6fc423ca20ff77-0-e30c43e884902f25ccd160260a6d9b14024b0492"
"Launch Capability","","","","","","","","","","","","4842.649","","0","0","0","0","0","0","0","","0","4842.649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100d75c4952b99fe669e096bab6fc423ca20ff77-1-dc69f47be86d51575fcba02ab552c1001ffa5728","100d75c4952b99fe669e096bab6fc423ca20ff77","root.record.ItemExhibitList.P5Item","100d75c4952b99fe669e096bab6fc423ca20ff77-0-e30c43e884902f25ccd160260a6d9b14024b0492"
"Launch Capability","","1","2","1","","","","","","","","631.551","554.946","673.428","0","0","0","0","0","0","0","0","1859.925","","554.946","929.963","673.428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-1e71f751a1d7f116f0d0205d18e16a74fb777ca6-0-09686a28cc8de6c2a7c1da3fb1595e2d15fb2154","","","1e71f751a1d7f116f0d0205d18e16a74fb777ca6-0-c413ec7b9a3cc001253ae9a33abd61c5d39fec53","1e71f751a1d7f116f0d0205d18e16a74fb777ca6","root.record.ItemExhibitList.P5Item","1e71f751a1d7f116f0d0205d18e16a74fb777ca6-0-44191504dd8aa3b5ef591e54b957e416332954d8"
"Launch Services","","","58","","5","5","5","4","5","5","34","","","","632.981","0","632.981","655.647","666.413","1135.319","1147.357","8308.983","12546.7","","","216.322","","126.596","126.596","131.129","166.603","227.064","229.471","244.382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-d78301a275add84b31cec44a0b51a1b94e024f7c-0-77d50b6487a2914bd810bce57a9b06cb687e75d5","","","d78301a275add84b31cec44a0b51a1b94e024f7c-0-c349c38635efbaa92749657d2ee1507eefe7d1ee","d78301a275add84b31cec44a0b51a1b94e024f7c","root.record.ItemExhibitList.P5Item","d78301a275add84b31cec44a0b51a1b94e024f7c-0-54ad1c41ab0cec041394ef6cdda298f75b59caa7"
"Launch Capability","","","","","","","","","","","","0","","","0","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d78301a275add84b31cec44a0b51a1b94e024f7c-1-f16e62217d00411fbfb3fde8234c1ad25b0246d4","d78301a275add84b31cec44a0b51a1b94e024f7c","root.record.ItemExhibitList.P5Item","d78301a275add84b31cec44a0b51a1b94e024f7c-0-54ad1c41ab0cec041394ef6cdda298f75b59caa7"
"Launch Capability","","","6","","1","1","1","1","1","1","1","0","0","0","556.233","0","556.233","761.945","748.303","500.499","509.519","9307.516","12384.015","","","2064.003","","556.233","556.233","761.945","748.303","500.499","509.519","9307.516","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-e2d55092ee3968eb6944de244cb99f056d51eb0f-0-092f76e51dabfaea08e403140c0699b0343c1ccb","","","e2d55092ee3968eb6944de244cb99f056d51eb0f-0-d5b04d6d70a11e8ec8600d4adcc138743b93e537","e2d55092ee3968eb6944de244cb99f056d51eb0f","root.record.ItemExhibitList.P5Item","e2d55092ee3968eb6944de244cb99f056d51eb0f-0-a11eb5c5ec05a6804195a5fdb9b6ac1cdf7aa178"
"Launch Services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.777","24","2154.642","104.345","3","313.035","195.069","4","780.274","173.056","4","692.224","173.056","4","692.224","185.566","5","927.832","195.312","5","976.558","216.335","5","1081.676","206.068","5","1030.339","","","","","","","0.000","true","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList-1e3a3a69df561bf2b5b522b7482f6380772ca187-0-15b91fde3c20bf4afbc71c63e127665fc24f51c4","","A","1e3a3a69df561bf2b5b522b7482f6380772ca187-0-bf98ac91e552e1dd191943afb63746c07df2ec8b","1e3a3a69df561bf2b5b522b7482f6380772ca187","root.record.ItemExhibitList.P5Item","1e3a3a69df561bf2b5b522b7482f6380772ca187-0-2959b5cb894e9b2cb1d28d0f727dd11c2ca79973"
"Launch Capability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3387.895","","","727.919","","","826.637","","","874.606","","","874.606","","","914.425","","","962.397","","","1026.065","","","1071.923","","","","","","","0.000","true","","","A","1e3a3a69df561bf2b5b522b7482f6380772ca187-1-1f09d52fb8ecd4202e77c78c72e7d96f48905599","1e3a3a69df561bf2b5b522b7482f6380772ca187","root.record.ItemExhibitList.P5Item","1e3a3a69df561bf2b5b522b7482f6380772ca187-0-2959b5cb894e9b2cb1d28d0f727dd11c2ca79973"
"REMOTE ENVIRONMENTAL MONITORING SYSTEM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","1.5","1","1.5","4.2","1","4.2","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","0.000","","","","A","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-7defd1c0190b6cd24fcbb090128df80894e8d562","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-e7e89fec9c6812944a5decf3c9475e71fd3a9ac1"
"ENGINEERING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.9","","","3.113","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","0.000","","","","A","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-1-963716c7811a3547817194dfd7af7fb4ca2f29f3","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-e7e89fec9c6812944a5decf3c9475e71fd3a9ac1"
"PRODUCTION SUPPORT SERVICES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.752","","","4","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","0.000","","","","A","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-2-aebace0144019bb59243e0f852ec05e8c4760f87","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-e7e89fec9c6812944a5decf3c9475e71fd3a9ac1"
"DATA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.4","","","0.75","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","0.000","","","","A","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-3-419196bc8cea6889443569f4be82318b1ce053e2","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-e7e89fec9c6812944a5decf3c9475e71fd3a9ac1"
"GOVERNMENT COSTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000","","","0.329","","","4","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","0.000","","","","A","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-4-f03bee140f7a3258eb715deab0d9096d4b9ae096","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9","root.record.ItemExhibitList.P5Item","411d551c941ea8dff0f7f48cc2fa1d29aaffd1d9-0-e7e89fec9c6812944a5decf3c9475e71fd3a9ac1"
