"Name_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","98","2.561","","","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-1c5e791da70e401d08ec8567853ed42e298029f1","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-2ea359caf32ffad4fbf677b1bce57fb0cfdfd717"
"Air Force Active","5","3.27","","","","","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-535a81d8387578d8d0da5bece1c13cf852d583e8","0f62486a86689d13a2561e5c4624b5c569c1eda9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-8e29950488f30c249c39d13e9ad5a5148e0d25b4"
"Air Force Active","6","0.398","","","","","159534d0b57648a4377405fd524fece23ff28718-0-addd6b37d0dd160b8275ea600a755a3be948d8d5","159534d0b57648a4377405fd524fece23ff28718","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","159534d0b57648a4377405fd524fece23ff28718-0-12b97abbcc135ac27f1d11105c6eea73a923b0b2"
"Air Force Active","23","0.012","","","","","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-121ed65fa5a1e5c799ff8b39b265b0b09fadc141","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-b736666b5a4e7468098b5f43a0efa75ba9456ba9"
"Air Force Active","1009","27.83","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-3e145880407ffc72e4793c295695960ad32cb83f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air National Guard","25","0.601","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-afe51243cbc0c7edda89ec758421d29dbf0a089e","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air Force Active","","","848","3.026","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-ec363bfa8bef0bb0efda926e360bb6178b495f66","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air National Guard","","","94","0.098","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-47d0ade470a68df5b35bc1ff3189f6c2c10f29f8","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air Force Active","","","4","3.778","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-f394fa80799dc0e1c65732b7524c96cf95785829","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air Force Active","10","3.566","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-e88ee765ef33ef23989700206a53de065462fa0f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-8834ac8213a8b2019cd0588a13b9950886b68319"
"Air Force Active","","","33","2.156","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-0e3122a3817fbb6b43200998314112e0de1475e2","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-685b5931689e7f7451d837c1c7b18241771121a0"
"Air Force Active","","","","","4","12.94","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-f8ef3d9b8353d051120273fad0339b3bf48cb8ef","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-2c27806dfe06160c83a04eec2f31e690892d424b"
"Air Force Active","","","","","6","57.685","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-e71d10c6865988ed7cc46a8749ba93e658924a3b","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ba7e7521acebd42c941bb75881443bf9bb6877e8"
"Air Force Active","","","","","3","0.081","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-9c1b1fd5728be46e556c79e45b070254df57465f","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air National Guard","","","","","2","0.054","381cd9596be7077445ddb8dc36f57e679b43cd6b-1-cf278925573e1df631b4b3c2b9d840480925df89","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Reserve","","","","","1","0.027","381cd9596be7077445ddb8dc36f57e679b43cd6b-2-f93414f123925530c4ee198bb9b0bf687e89be76","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Active","","","1","5.016","","","399d00516df75cfb2d765289abba47af25f6f783-0-b83d114556bbd69b0c136545df03e4327af51cae","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-f1ea530fe1b2f038beb30360bc752c479ab9cea0"
"Air Force Active","","","4","47.496","","","399d00516df75cfb2d765289abba47af25f6f783-0-458f09e14485d3962b620c16d70d97d397902c38","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-0eb373530916f456bdd36f55ad6ad68c43b96387"
"Air Force Active","","","1","5.152","","","399d00516df75cfb2d765289abba47af25f6f783-0-8afaf3ab5500a7eb6ed11a0b1061621457709d9c","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-6bc10decd9d6f5e2cf9509819c5e0d4cf3a2cc24"
"Air Force Active","0","0.000","1","12.6","","","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-9d825940886d60e2d9847ffb531236cd5a222c02","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-e3d6167feb0008e1d9c3de9fa1915358298d00df"
"Air Force Active","2","0.2","","","","","54a96df817b9d5263953371373536571cc395220-0-1b85e5cc69ce92e3f2a35cf9cbde3f4f483e28b8","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-e795fcec1ae6967ff750dbc99e852dfbd892b9ac"
"Air Force Active","3","14.049","","","","","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-ca2c985c0addf7a8a67f1b61c5d850b91feeec46","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-1f12610c2024ebdb5e02764e87f9dc71054221e6"
"Air Force Active","5","2.5","","","","","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-fa06d27c7e089d01244f0ff51ba9c0ae0641a5f2","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-383c85c4e5bd5b5b61cfb0a18ef40eeeda801b3b"
"Air Force Active","","","2","26.059","1","13.368","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-ea960cb0205616bc94448b27033b728dcf01216d","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f81f7edc721f36ff59ffbe16e3e321f3fe816d90"
"Air Force Active","","","17","6.319","","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-8b328d35d808e2b1dae69e9b6f8feb51ddd35a63","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air National Guard","","","17","6.319","","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-610091faa44176848980a068ea9d477132df4c98","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Reserve","","","7","2.602","","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-ed255e6a8344136735f61e2a390e738e9e4f1abd","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Active","","","5","1.972","","","8ac92803876f93a305965d578c716110cdc62437-0-4606d936d263e9abd02153b91c02140850e2d4f2","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-d5ac65ba7d2b8cb2f2393b6c56ce1433a5d3f0dc"
"Air Force Active","","","2","0.989","","","8ac92803876f93a305965d578c716110cdc62437-0-438d17ee624a3f5532b6a5b7404917f0ee1e292b","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-a1cf91f160db634744306202cd3f1a5a774e1493"
"Air Force Active","","","","","21","20.916","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-d4e68529f5d954e737fdc3cd36f55e649a76d330","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0fedad4be96199188f97c3c9f3205d6c9792a237"
"Air Force Active","","","14","0.358","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-6c5602bea16a2669bd0e41f1bd139c10772b1cb5","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air National Guard","","","12","0.307","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-a613a5b3b8ebea40ea55409a9a4f02e49cc4cb27","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air Force Reserve","","","10","0.256","","","a28e603a31ab3a36341c9e22da942c39ec237c28-2-99ceb33e0d2bbfa53df4d81aa0e752aec691b184","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air Force Active","","","","","22","15.963","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-9a3e84d9a99c03df05d97e8a5a7a2ed34e7968f0","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-19572ed89b0b00e34d7b994196c7abab6774adbc"
"Air Force Active","","","","","6","2.354","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-539062620c8152a8ca575e2fa0dfae44316a68a2","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air National Guard","","","2","0.77","10","3.92","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-3d759540e0730e5d907f3d80cb4f3725b6fd0555","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air Force Active","14","2.044","","","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-eede63b874ff922dec9f963b117e939efe7d0f2c","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-792f76ddf9a97ac325b187f39b6aecb5125da7ad"
"Air Force Active","1","0.075","","","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-37eed295e9c75636d8ed087ad4820f8f3cc64c4a","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-edbe7fd50149b1739639276bbee5453bb98caae4"
"Air Force Active","","","","","16","3.764","b8a3170d05dde8629ded4b7b78f578982e21c224-0-b883c18017649104394c28778ef6a8907193a1d2","b8a3170d05dde8629ded4b7b78f578982e21c224","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b8a3170d05dde8629ded4b7b78f578982e21c224-0-6ed8e9e4d17a02de62a498945b4517b3d27189e4"
"Air Force Active","","","","","2","2.801","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-8c721cfdfd5dd6dd931d1cdee70f4da22dde02ae","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-1e36537770f861139b52b6653c29fd5f1935e269"
"Air Force Active","","","","","2","2.144","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-3f8c6b3669e03d0df41c8bc0a0ffd888da82bcd2","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-e8c2f3d5a77ad11841468113e4359b006f197020"
"Air Force Active","","","","","2","5.589","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-2ab89aee0a64a36f36c485e7cfd38a419771f7c4","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-a609c2b0244bad5358bfb7e44eb24fd3be5b8fa5"
"Air Force Active","18","3.55","","","","","d0084e59e4867559e7ac78e9cf9ff395619df604-0-929c7dcb071ae4f9565cbd2d122b19987c0c0eb0","d0084e59e4867559e7ac78e9cf9ff395619df604","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d0084e59e4867559e7ac78e9cf9ff395619df604-0-c3fcff8fac4b331ea8c52e1768d62b7ea3419eb0"
"Air Force Active","0","1.781","","","","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-12aa76216d52b7edf461eabc54d745adc97c4224","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","fb54e06467b731bf13ac60b5c589758d4131acbd-0-5053e2970b442747be133be3d320cc65695dd97f"
"Air Force Active","","","1","0.913","","","fb54e06467b731bf13ac60b5c589758d4131acbd-0-018436d0644ac1a85b28254e41fccd4c0d8447c4","fb54e06467b731bf13ac60b5c589758d4131acbd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","fb54e06467b731bf13ac60b5c589758d4131acbd-0-24192e78b10a8583381c236f347cc70089f050a8"
"Air Force Active","","","2","10.866","","","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-5ae667d584f51bf699b44f7029545269401d197b","086f5258b19005be4593baa1c9cdf9eec7cd1cad","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","086f5258b19005be4593baa1c9cdf9eec7cd1cad-0-02764f06dd5dac7f84fd40bff3e5d2ac0b721cce"
"Air Force Active","336","41.887","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-8cbab882f0bf2685ff22ea64c0e6ff4e34cb6efe","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-1c6e1a1f238793947c5da9a88f364782018896f6"
"Air National Guard","42","5.236","","","","","094b114b010621064be6b19ba691583e52d3c19b-1-29cbb3543c57ee19986f570fb9c4212a2483a260","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-1c6e1a1f238793947c5da9a88f364782018896f6"
"Air Force Active","","","991","1.162","","","094b114b010621064be6b19ba691583e52d3c19b-0-ea30564e458e18efadfb62100df6e086944d5df9","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air National Guard","","","86","0.101","","","094b114b010621064be6b19ba691583e52d3c19b-1-49f753ee1bd48426725ada6df5df87fc28992cdf","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-8979fbfb1fa54053e5e1f75f785ba1a86af06302"
"Air Force Active","","","15","8.748","","","094b114b010621064be6b19ba691583e52d3c19b-0-ee8f2277f0edcddf693513881f9a12d7bfdd5e8d","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-0bc814c3444c607c8362ab864516d645f34d3284"
"Air Force Active","14","3.224","","","","","094b114b010621064be6b19ba691583e52d3c19b-0-3149733837893a6edbfa88347b3235560ffd503e","094b114b010621064be6b19ba691583e52d3c19b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","094b114b010621064be6b19ba691583e52d3c19b-0-feb7bee3935131e120307824ed2c3731205b4c65"
