"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule","RevisionsAvailableDate_val","FundingVehicle_val","RFPIssueDate_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","","ACC-NJ","2015-05","2015-06","1","13187.000","","C","FFP","","","","","","","a0168a46a172c79087f20b50c38a571e5621523e-1-09c9942082e1f16cf159794bf5b5b50586afec8c","a0168a46a172c79087f20b50c38a571e5621523e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a0168a46a172c79087f20b50c38a571e5621523e-0-b790038e7d0a1cabff6e0a41dd164e8b690c35e7"
"2013","","NAVAIR","2013-08","2014-09","42","13548.00","true","C","FPIF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-16a811e23262a242da8a3de7c3ed2811a737495e","","","2012-01","149","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-92a1ccba6cc2c2bbdd02ec725e93f7ecdd9697b0","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-7bc2d2d1c01154f8776233b8c1578126db610fa7","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96"
"2014","","NAVAIR","2014-06","2015-09","59","12080.00","true","C","FPIF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-16e56fe1aa16be4f542fddd07bb60b506bc2af11","","","2013-01","188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-4c38d6205c7a479528644c82aa441c81d67dea78","c98d59c0701902dcd423cbadd821f8e3f3c1e083-1-bf102c9b8d2faa5552758da391e694858429edfd","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96"
"2015","","NAVAIR","2015-09","2016-09","47","12234.04","true","C","FPIF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-712b5a7f843483a10c89dc1c2b00142b61a05036","","","2014-01","166","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-845553d7f06e626b1ce6d44eadaf46697c23c358","c98d59c0701902dcd423cbadd821f8e3f3c1e083-2-e0f2bba9c398c72f9987ceead8cc94dc78437a4f","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96"
"2016","","NAVAIR","2016-06","2017-09","63","13363.64","true","C","FPIF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-3-cfc28a8ba64bc7c99f5213fc2fd41453b6003cd7","","","2015-01","212","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-3-d1e5b0ddd334541bc544f847563d640f72c44d2c","c98d59c0701902dcd423cbadd821f8e3f3c1e083-3-98f3bc5b2620057193fda9469ceaa6e7874a2756","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96"
"2017","","NAVAIR","2017-02","2018-09","44","15666.67","true","C","FPIF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-4-cebed6192eaeb36a97d76c5cf178815c0642b7ab","","","2016-01","141","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-c98d59c0701902dcd423cbadd821f8e3f3c1e083-4-4f629ce4ec8cb75a7338ffd83a29f5685d509c5a","c98d59c0701902dcd423cbadd821f8e3f3c1e083-4-7d604153bca600bb8d47f271f0d7c4a22fc814f8","c98d59c0701902dcd423cbadd821f8e3f3c1e083","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","c98d59c0701902dcd423cbadd821f8e3f3c1e083-0-31f0883347ff051d7c3282cf4f8e16af0aefcb96"
"2014","","ACCRI, Rock Island Arsenal, IL","2013-10","2013-10","0","0.000","true","C","CPFF","","","","","","","d292bad6835cd892ce252340bffac4943124b668-0-5e3e6e41d6b3a22a7eab2dec154e4e7d9b22ea51","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","d292bad6835cd892ce252340bffac4943124b668-0-91cb72238cbeb90ca4eb4b78e0ace4266bc4aa06"
"2015","","ACCRI, Rock Island Arsenal, IL","2014-10","2014-10","0","0.000","true","C","CPFF","","","","","","","d292bad6835cd892ce252340bffac4943124b668-1-9611c9c1204122e04428ffa85f2953fe37aac2db","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","d292bad6835cd892ce252340bffac4943124b668-0-91cb72238cbeb90ca4eb4b78e0ace4266bc4aa06"
"2016","","ACCRI, Rock Island Arsenal, IL","2015-12","2015-12","0","0.000","true","C","CPFF","","","","","","","d292bad6835cd892ce252340bffac4943124b668-2-bd210f061566185bca69faa3f61d76f8e79f2aeb","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","d292bad6835cd892ce252340bffac4943124b668-0-91cb72238cbeb90ca4eb4b78e0ace4266bc4aa06"
"2017","","ACCRI, Rock Island Arsenal, IL","2016-12","2016-12","0","0.000","","C","CPFF","","","","","","","d292bad6835cd892ce252340bffac4943124b668-3-f842830f47b4f8363924e924490c48c46596046d","d292bad6835cd892ce252340bffac4943124b668","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","d292bad6835cd892ce252340bffac4943124b668-0-91cb72238cbeb90ca4eb4b78e0ace4266bc4aa06"
"2015","","** NO PCO **","2015-08","2015-09","5","80.000","true","C","FP","","","","","","","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-c1d59bcac56869ebf49e5d2808100bc93e0680fe","e05569c60e02c1ebdf8f23c3474ef65fef324184","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","e05569c60e02c1ebdf8f23c3474ef65fef324184-0-ce02ede78e12cfba8dd224fa2502500bd670be58"
"2015","","ACC Orlando, FL","2015-01","2015-04","3","400.000","true","C","CPFF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-3a2c7fd07072970e3f3375534012fb8a8c13471e","","","","","","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-57094e0b6443444841708d1734ca57ad50545547","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-971555bbf2ef8a9737ce6f98c6a0b6ddda98885c"
"2016","","ACC Orlando, FL","2016-04","2016-06","2","400.000","true","C","CPFF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-136a65d83c41f78416c04aabc2bbe3f2127ed8ca","","","","","","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-0-6f7878e888962b7d6c931ac0993bef462136f8e6","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-704202a8da11890010bbd616267be46b903f2275"
"2017","","ACC Orlando, FL","2017-04","2017-06","5","400.000","true","C","CPFF","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-c39d3410533127f404607dfd059e4f79fca9ce0e","","","2015-07","","","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-2f4da8f5b4960d42da65df989b1f44d6ae1bc0e4","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","ebe18eae2c52042e93ac0fd63296fdca4b4e31bb-1-704202a8da11890010bbd616267be46b903f2275"
"2012","","NAVAIR","2011-12","2013-07","36","0.016","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-c24e669dbc20655d7946d8e6400259370d89564e","","","2011-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-8db25ca51fff57efd88c155f1a11b90110971b93","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2013","","NAVAIR","2013-04","2014-09","46","0.015","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-1-811b59680e16b24660402763d6c23414fde5de20","","","2012-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-1-2a8ca7ae4731e11d473a792d618a40c8759be21e","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2014","","NAVAIR","2014-02","2015-09","62","0.017","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-2-14b448c679de3c7f6082bdc3b1727d7f3476fddb","","","2013-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-2-4cc2a0a650da6ed1fdf039a4647d5e7dfcca780c","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2015","","NAVAIR","2015-02","2016-09","67","0.017","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-3-1be612025ff570360efca7b896b7fcd539806518","","","2014-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-3-7cba366d34c86305fdea1e946ab284507b95d85d","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2016","","NAVAIR","2016-02","2017-09","68","0.018","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-4-9ebfecc443fdde6829223f4981598549da7306a2","","","2015-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-4-351101340c22785d2cac83edcbe62b72176eee7d","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2017","","NAVAIR","2017-02","2018-09","69","0.018","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-5-c5904be5b5b7a66c35e285ab90988db27881630a","","","2016-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-5-f003ee50d13b0cc1b6876c173c27b28dd90a1392","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2018","","NAVAIR","2018-02","2019-09","57","0.018","true","SS","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-470e0018bc62797cd9610c7480dfcaf1b47ca02b-6-b8f85acf5c5baa9393d1e4833ea6811c6f4be81a","","","2017-01","","","470e0018bc62797cd9610c7480dfcaf1b47ca02b-6-79dcc42eaeae6fbf2b08d043ddf841a4dd08696d","470e0018bc62797cd9610c7480dfcaf1b47ca02b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","470e0018bc62797cd9610c7480dfcaf1b47ca02b-0-cd52fc80c15de418c2a5f8fc9b7ac1a2946cfcaf"
"2013","","San Diego, CA","2013-02","2013-08","4589","62.609","false","C","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-7144e0845629d417c2134eb674d7c53063f2ff5c-0-d5153b824d5da3cd0cf55de6ceef01668e276498","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-0-a26604c57a6cfbc70ee8a4b860716f6c0bf2e05f","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7144e0845629d417c2134eb674d7c53063f2ff5c-0-e1bd487bea86d39cf3fa56e1e5b5ae2fd8e75542"
"2014","","San Diego, CA","2014-07","2015-01","2648","68.008","false","C","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-7144e0845629d417c2134eb674d7c53063f2ff5c-1-f71f4faaa0ba1db3b5473326fec7581758c3bcca","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-1-74cee3a4fb07124b5ef0d3a100b63cbdc3f08398","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7144e0845629d417c2134eb674d7c53063f2ff5c-0-e1bd487bea86d39cf3fa56e1e5b5ae2fd8e75542"
"2013","","San Diego, CA","2013-02","2013-08","475","29.819","false","C","FFP","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList-7144e0845629d417c2134eb674d7c53063f2ff5c-0-5b13e432a634af71cbe08ab4e6dbd553557601fd","","","","","","7144e0845629d417c2134eb674d7c53063f2ff5c-0-e0a07b42af8f2fa23bd84af111195a01eba80ded","7144e0845629d417c2134eb674d7c53063f2ff5c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","7144e0845629d417c2134eb674d7c53063f2ff5c-0-5a42c202e1a8779aabb77593378ba58caa4634e0"
