"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","FundingVehicle_val","ContractMethod_val","ContractType_val","ItemNameSuffix_val","OCO_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ComponentMonthlyDeliveryScheduleList_ComponentMonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","RevisionsAvailableDate_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2016","","DISA","2016-07","2017-10","2.000","1.603","true","","MIPR","","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-4d009eb76a45a2408371757c01a1c2421689e2e9","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-91fec97aa632c5e00ef54040f8b14ded6f0124d8"
"2017","","DISA","2017-07","2018-10","2.000","1.590","false","","MIPR","","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-b15392f150a4c3f48317ce85a679d6d5efe41513","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-91fec97aa632c5e00ef54040f8b14ded6f0124d8"
"2017","","DISA","2017-07","2018-10","2.000","2.676","false","","MIPR","","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-8e23bb33ba5a32e4cc1c1223a8c98e19fd20fd82","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-09c4fd28059558129796d581d35532639f68305c"
"2016","","DISA","2016-07","2017-10","2.000","2.714","false","","MIPR","","","","","","","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-1bc56304c2178c3eb12cb71c4373f52d76706229","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-09c4fd28059558129796d581d35532639f68305c"
"2017","","CECOM","2017-03","2017-04","2000","2.835","","","","C","CR","","true","","","","","","","","","29aac650f3205f38e0a16b1e6bde996ca7975423-0-adb5f7deec34ca256ba058635c46a5f932a9489a","29aac650f3205f38e0a16b1e6bde996ca7975423","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","29aac650f3205f38e0a16b1e6bde996ca7975423-0-3fc116a0ede90199d5af952b6bc5ea7aead0dd0e"
"2015","","DMA Tech Services","2015-05","2015-07","1.000","0.140","true","","PO","","","","","","","","","","","","","2f57950a964560dac5fb1e27226ebffd9ab25762-0-67b1fd491f135337543aedbab7f5906060bb86fe","2f57950a964560dac5fb1e27226ebffd9ab25762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","2f57950a964560dac5fb1e27226ebffd9ab25762-0-3801fd5d8e7823fca97ad59ddd172fc977d9de60"
"2016","","DMA Tech Services","2015-09","2015-12","1.000","0.085","false","","PO","","","","","","","","","","","","","2f57950a964560dac5fb1e27226ebffd9ab25762-0-d5b492abdb97e4c3d59448f80e8d88254b3ac78b","2f57950a964560dac5fb1e27226ebffd9ab25762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","2f57950a964560dac5fb1e27226ebffd9ab25762-1-212e4e859ce232be6dbb5d0a167c7c9d15e5dbd9"
"2015","","DMA Tech Services","2015-05","2015-07","1.000","1.090","true","","PO","","","","","","","","","","","","","2f57950a964560dac5fb1e27226ebffd9ab25762-0-0bd7b069c5269d0c826f0c19fb60a44afbd2c03a","2f57950a964560dac5fb1e27226ebffd9ab25762","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","2f57950a964560dac5fb1e27226ebffd9ab25762-0-c25157846c4d7c5b650b7f087d43a4eb510210b5"
"2017","","ACC-RI, Rock Island, IL","2017-02","2017-03","1","4500.000","false","","","C","IDIQ","","true","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-ef24da66b0096a940bb394f73ba1e5c7b981c8f9","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-9f0bb1e1d4349198efe49591337b41f0d698d011"
"2015","","ACC-RI, Rock Island, IL","2016-06","2016-07","1","11500.000","true","","","C","IDIQ","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-f660e2733723cf8cec66e13f8710e66854f3f84a","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-884d8c14f15f225b400cb3d4d6652e01d08d8aaf"
"2015","","ACC-RI, Rock Island, IL","2016-06","2016-07","1","7000.000","true","","","C","IDIQ","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-f9a30ea6d6288a317f48b7cf3d744318573ccb2c","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-33df37a8fd15a89652d1265906d0d5b4b13595be"
"2016","","ACC-RI, Rock Island, IL","2016-01","2016-02","1","5000.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-057c8b05d794a4491eac6233b763a3c4c857d34f","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-1c620b166656fda46db1d35d30be01a32b92a623"
"2016","","ACC-RI, Rock Island, IL","2016-01","2016-03","1","4500.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-c4c6dbbfc8e1e252d7de90ef4435cf9595df577c","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-7a890472432a2b8e798c641b368e00d2ff05cc76"
"2016","","ACC-RI, Rock Island, IL","2016-02","2016-03","1","3500.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-4ce70d07c1da0d605c217bb200e65d0652e7919c","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-348c23959c359f2e5f087bda70feaecb4c5cacc4"
"2016","","ACC-RI, Rock Island, IL","2016-01","2016-02","1","6000.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-33efea7da2cfa2304f751aa8e248aa8d318acc6d","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-f36c8034fd6aa126ad032b523f4eb3155e92d706"
"2016","","ACC-RI, Rock Island, IL","2016-02","2016-03","1","4000.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-5aef03cb63ec09085b306f7ed4a1083729cffdcb","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-850bfb57d1fd450e0c5391a66b20320b4d8a2706"
"2016","","ACC-RI, Rock Island, IL","2016-05","2016-06","1","6500.000","","","","C","FFP","","","","","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-1abd5eb7a147340b57f80fb1140626ae7645f9b0","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-014d1361594397040018d17ed0ccfde253857ba4"
"2015","","MDA, Huntsville, AL","2014-12","2015-12","1.000","2.862","true","","","SS","FFP","","","Missile Defense Agency","1.000","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-f7c54bcdd6ee7bacaf03aa4945664da2fcb8bfeb","","","","","","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-3521ba5360efdb01ac697e2f56f6b1a2113e5f76","64c2085b24f7871ccd17fccf20ceb6dd29a8837f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","64c2085b24f7871ccd17fccf20ceb6dd29a8837f-0-3761671bfd104ad84a7982671b4a43bcbd860b2a"
"2015","","MICC, Ft. Knox, KY","2015-09","2015-10","1","1357.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-d807e6286d843cff0530ebcb3d823d03d86687a9","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-8b6f17e140e45bb6cd8280f26cc6220174e1dd8a"
"2015","","MICC, Ft. Knox, KY","2015-09","2015-10","0","176.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-802c8bfd8a64c9619f101beb1b8af8d35bbf8163","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-a25e171e475afa330319bb13b4980b6723aff0e0"
"2015","","MICC, Ft. Knox, KY","2016-06","2016-07","0","154.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-9c9e0af58af817de76fe5f98bff72258582c4ffb","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-4fb11d6756409db9e3d63e26461f53123f0ed713"
"2016","","MICC, Ft. Knox, KY","2016-06","2016-07","1","770.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-b6443946553ef1ddf1e71d1265624ad4db00c70c","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-4fb11d6756409db9e3d63e26461f53123f0ed713"
"2017","","MICC, Ft. Knox, KY","2017-05","2017-07","1","749.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-27e84d03442f90470e8a51af6b3b1a0256a95c9d","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-4fb11d6756409db9e3d63e26461f53123f0ed713"
"2015","","AMCOM EC, Huntsville, AL","2015-06","2015-07","1","356.000","true","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b72ec0c14bee65820dc3f5301d23bb58ea1282ff","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-858072f316c0db42618c1e104170c3849a99e763"
"2016","","AMCOM EC, Huntsville, AL","2016-05","2016-07","1","250.000","false","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-76aefaef43ce4451de83be8bcdd9108d99ef84d0","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-af7efe8670a6548d24e378d3ce9ac77ba39a617c"
"2017","","AMCOM EC, Huntsville, AL","2017-04","2017-06","1","150.000","false","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-457dff210b7d0a3a21dd4a2ee89821b5e11e7fe4","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-af7efe8670a6548d24e378d3ce9ac77ba39a617c"
"2015","","ACC-RI, Rock Island, IL","2015-05","2015-07","1","3883.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-39ea631a62e09c20b4cc1416442e93041baa85d8","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5e45e4abc21104039f020e95d395cba42a04d995"
"2016","","TBS","2016-04","2016-07","1","2000.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-1b18a5ac9556f30a97d7f1a5473ad2e5dad18ba6","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-ab8504787ea36ae3901d8049aa65e0e22df466ce"
"2017","","TBS","2017-04","2017-07","1","2000.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bf07d8fca8e6c269febe2273abe3977af505d25f","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-28865f67cc6ced5505af9491e62e49db81dc83d6"
"2015","","ACC-RI, Rock Island, IL","2015-05","2015-07","1","34632.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b7088e2e4956d97883bdf445a63a2224c7a096e7","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-e398ac01417e40ff6b2f1e2203906170597b74f8"
"2016","","TBS","2016-03","2016-05","1","29391.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-dcd528ce0380541b89a86bf7003917719972a88c","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-b2403366bde007c161b3d2f4c3cd806944f168b1"
"2015","","ACC-RI, Rock Island, IL","2015-06","2015-09","1","6512.000","true","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-b16926c91d13c11642a61d77ea2005c13781ae5e","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-5debcb6753bf1e69c9f50025228fe6126abf41e6"
"2016","","ACC-RI, Rock Island, IL","2015-10","2015-10","1","1201.000","true","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-60d0a4bb9bfd25aa032d9ee7650de61930f1dbec","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-6c35a7921404967e6d048ccc38d34049e4598689"
"2016","","TBS","2016-03","2016-07","0","5237.000","false","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-0ef396c6db7c129e09f38e955d72b5872fb670a0","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-3e86cfef9bc7f245a240dc13c40715db2b6ad449"
"2017","","TBS","2017-03","2017-06","1","6434.000","false","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-23d8b7b408d86a39c3dfbc596870a5a36bacb417","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-3e86cfef9bc7f245a240dc13c40715db2b6ad449"
"2017","","TBS","2017-04","2017-07","1","1490.000","false","","","C","FFP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-9094fdbcc3592c79abcbe47342c5848a052bed96","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-bbed9f3990de391d71c1d9a4cd35e38ce0da406e"
"2015","","TBS","2016-04","2016-07","1","500.000","false","","","C","FP","","","","","","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-18587b8a3bb62054e5ce671a2a9c3dfa46fe551a","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-16c8d7a2b86ecbd457362b56c30b594b03c6a42a"
