"Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Name_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-370b27efa009a45e1b69676eeb011d8a972df37e","44.123","0.667","0.984","","","","","","","","","","","44.123","0.667","0.984","","","","","","","","","","","","","","","","","","","","","","","","","","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-ae0f4b5c7f26e427d7d8f32972e133fdedaa9795","0707044696fc9f97fc5f9cdec688e54f11b61b8e","root.record.ItemExhibitList.P5Item","0707044696fc9f97fc5f9cdec688e54f11b61b8e-0-501d9d6416fdec5578d474c5ee5ac560e6aad6b0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-747e4c16fd2dfba3394ac5becbe5aa2f9c216703","2401.247","192.038","304.408","242.514","33.032","275.546","","","","","","","","2401.247","192.038","304.408","242.514","33.032","275.546","","","","","","","","","","","","","","","","","","","","","","","0741a57148a7370e69404170cd88e66b1f8cdc97-0-a41819f4f210472908ed2c10ba92f4256fe0d4d1","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item","0741a57148a7370e69404170cd88e66b1f8cdc97-0-488e19c4072d91930b4b7cc5c2c341c7b500a3ee"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0768f43221782b7e463bf0c1de2bf2208b7a674b-0-7f165984ae6668aa1516394d59234712fb394ec9","1552.344","","","","","","","","","","","","","1625.748","","8.914","5.849","","5.849","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-0768f43221782b7e463bf0c1de2bf2208b7a674b-0-b64871e0ca3f228e6e95dab58bf2c25c12937bb7","73.404","","8.914","5.849","5.849","","","","","","","","","","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-a7d8b88a500545378f31c8dce32b872e4963d957","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-a692be751637ec1819851884a7388e5b22c9fa09"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-093acf038559e24184a8c8ac7cc477f3c62c43af-0-0440c3e00a36245c1c6f5888ca913b24bb1f0111","3282.882","","64.25","0","0","0","0","0","0","0","3347.132","0","","3282.882","","64.25","0","0","0","0","0","0","0","0","3347.132","","","","","","","","","","","","","","","","Flyaway End Item","093acf038559e24184a8c8ac7cc477f3c62c43af-0-deffa43eb87366935967e9d3effdde35681531e9","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item","093acf038559e24184a8c8ac7cc477f3c62c43af-0-babfbe218448ff30e355271eda87e7c6d7b2c3fe"
"","","","","","","","","","","","","","","146.154","15","","","","","","","","","0","161.154","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-093acf038559e24184a8c8ac7cc477f3c62c43af-1-d3d33941936cf1aedfdd66070035212d8da56924","146.154","15","","","","0","161.154","","","","","","","CV-22","093acf038559e24184a8c8ac7cc477f3c62c43af-1-53d110d33593cb7abbe2fb884fb653a50bd31249","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item","093acf038559e24184a8c8ac7cc477f3c62c43af-0-babfbe218448ff30e355271eda87e7c6d7b2c3fe"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-09a0162a088a60586f34136f2aaba9651da27f67-0-c79b58e2d1c878facd9fb218c64b7a6cd2ac0f32","176.171","2.166","5.835","1.967","","1.967","","","","","","","","176.171","2.166","5.835","1.967","","1.967","","","","","","","","","","","","","","","","","","","","","","","09a0162a088a60586f34136f2aaba9651da27f67-0-c0932016943b9619a6568c2b00e64954b80a22bf","09a0162a088a60586f34136f2aaba9651da27f67","root.record.ItemExhibitList.P5Item","09a0162a088a60586f34136f2aaba9651da27f67-0-79562f71d97dfa2359e1d3830eccd2b05c655337"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0b019e9859b658925f8cc253738f656dc7f9a9ee-0-4e80b8f12389ab45c89bbac07c64f3aa50a80a44","100.274","22.098","26.021","","","","","","","","","","","100.274","22.098","26.021","","","","","","","","","","","","","","","","","","","","","","","","","","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-77d2ae82873a132eec4e646134198943f4e47be2","0b019e9859b658925f8cc253738f656dc7f9a9ee","root.record.ItemExhibitList.P5Item","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-aa3bf1fe351e495ce32a2a4b7d069e72dec659e1"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-e2391eaf1169839e055916f4af54ea63c0254571","17.992","2.241","20.858","13.663","","13.663","","","","","","","","17.992","2.241","20.858","13.663","","13.663","","","","","","","","","","","","","","","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-202e7daf954a9923ac7eb313034e23fc02fe019a","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-e66a2aab2773fc213365444985a439e12a0553a0"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-f2cfe723f937825ffe9a2274ec79fe4325f36b27","205.294","","","1.72","1.841","3.561","","","","","","","","205.294","","","1.72","1.841","3.561","","","","","","","","","","","","","","","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-6bf16d36ddf3f114d067b646be35a1116188aa55","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-d019a67bac9488a4076c570e69e4b9a1f001641f"
"","","","","","","","","","","","","","","4","14.505","4.959","2.459","","2.459","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-fdd62291882cad8b5c517a53aeee8d7fe5a50528","4","14.505","4.959","2.459","2.459","","","","","","","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ad2a15275e61b486c56d77b995da0cb858bb7f0c","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-2-b154f900d87c9d08d6656334c7110a5c3ad573f4"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0be141ddc121c32f513089cf90f372805ac633d3-0-e64ba2382bc0926533c1cec7efb702fc305991cb","1062.661","13.406","45.209","48.271","","48.271","","","","","","","","1062.661","13.406","45.209","48.271","","48.271","","","","","","","","","","","","","","","","","","","","","","","0be141ddc121c32f513089cf90f372805ac633d3-0-7b1331d1e227d6981cfc823c3e4573fa160d32a4","0be141ddc121c32f513089cf90f372805ac633d3","root.record.ItemExhibitList.P5Item","0be141ddc121c32f513089cf90f372805ac633d3-0-93c6b34e278804c8dafbf22009f3131eb0667831"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0c303713906fb08c29285b8efb9bfdc10f041a82-0-c662262b02d77e4126c79effdbd42f4ad1beffa7","3734.892","399.507","561.554","84.002","344.363","428.365","193.118","239.711","82.432","83.237","5784.681","61.865","","3734.892","399.507","561.554","84.002","344.363","428.365","193.118","239.711","82.432","83.237","61.865","5784.681","","","","","","","","","","","","","","","","Flyaway End Item","0c303713906fb08c29285b8efb9bfdc10f041a82-0-2c26cfe249b35e2b5a75493e9be4fec21f995fce","0c303713906fb08c29285b8efb9bfdc10f041a82","root.record.ItemExhibitList.P5Item","0c303713906fb08c29285b8efb9bfdc10f041a82-0-4dd90aa2b6d0700967657dae5ead8a77930354b4"
"","","","","","","","","","","","","","","4.062","0","0","0","","0","0","0","0","","0","4.062","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-e15f28b51de53a6d049df5de7a8b23b667eec8ba","4.062","0","0","0","0","0","4.062","0","0","0","","","","WGS SV1 SV5","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-d73890d3e6a6bfa2b36023ce3fa0f3afdf99ab2a","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"","","","","","","","","","","","","","","148.335","","","","","","","","","","0","148.335","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-0c9c39a029d1aef8067fd70604b5ab193280a35a-0-7d42e544aa14f21f322cf669742281d4aad03733","148.335","","","","","0","148.335","","","","","","","WGS B2FO","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0d4377f9ab964d53dc0d9413bc4abff231d61463-0-9ac560a6b9b15a57adb37439e0c0739197881ae1","153.663","","","","","","","","","","153.663","0","","153.663","","","","","","","","","","0","153.663","","","","","","","","","","","","","","","","","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-99bae707e15c29230c82188ce61ec3b3d33380e3","0d4377f9ab964d53dc0d9413bc4abff231d61463","root.record.ItemExhibitList.P5Item","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-9c09bae81eed83be0af2a779183f71511d0beb45"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-0d4377f9ab964d53dc0d9413bc4abff231d61463-0-84ad96a561479091f1c95a67e6cdddcc627bd8ac","","","","","","","60","90","120","120","","","true","","","","","","","60","90","120","120","","","true","","","","","","","","","","","","","","","","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-f197f4d1ce22c4e6ea6f52c58515f980b944eca0","0d4377f9ab964d53dc0d9413bc4abff231d61463","root.record.ItemExhibitList.P5Item","0d4377f9ab964d53dc0d9413bc4abff231d61463-1-8a4ade959a865e872db6f03aa57fff16eb48fe3c"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-11760a31d4fd15ef84829c35a72f599b1f685f4e-0-45da66d6fd368e2580c3af84768ae2b80d3c0589","310.955","14.302","11.402","7.658","7.233","14.891","","","","","","","","310.955","14.302","11.402","7.658","7.233","14.891","","","","","","","","","","","","","","","","","","","","","","","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-dc01f1e400309a59d79a2136d27f5fb935b7191a","11760a31d4fd15ef84829c35a72f599b1f685f4e","root.record.ItemExhibitList.P5Item","11760a31d4fd15ef84829c35a72f599b1f685f4e-0-5d6cb651814d138b58e8f1b46d319ef529568e0a"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-12de57fd9a6eb7a80b56604cff8f942215f69508-0-2c91e5f9d738412e8bcc028458148d2b95bc494c","","0","0","12","0","12","100.559","153.855","208.291","213.428","2001.3","1313.167","","","0","0","12","0","12","100.559","153.855","208.291","213.428","1313.167","2001.3","","","","","","","","","","","","","","","","UH-1N Replacement","12de57fd9a6eb7a80b56604cff8f942215f69508-0-766d923ad21da9b30ba6be5257788931b065ba0d","12de57fd9a6eb7a80b56604cff8f942215f69508","root.record.ItemExhibitList.P5Item","12de57fd9a6eb7a80b56604cff8f942215f69508-0-0a378f6a7c0fff5df1e1d90ba25ca1f167061c5d"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-173985485f7c6c76710355ff44e0680c1ea97cf0-0-6c4b841b3cb6b342f232be2bd73814212ec801fa","51.075","4.348","","","","","","","","","","","","51.075","4.348","","","","","","","","","","","","","","","","","","","","","","","","","","","173985485f7c6c76710355ff44e0680c1ea97cf0-0-ac7509fa10b3c67f37044350422300a7f1ecc53c","173985485f7c6c76710355ff44e0680c1ea97cf0","root.record.ItemExhibitList.P5Item","173985485f7c6c76710355ff44e0680c1ea97cf0-0-3728ff39bef87ca6b9b418fca864900ed25a3e5b"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-ac54c9cd496a824f1a160f5fe3e117d5f6e3b68e","45.658","","","3.927","","3.927","","","","","","","","45.658","","","3.927","","3.927","","","","","","","","","","","","","","","","","","","","","","","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-9a596c491aad5151b46d64b403051266af55547e","1778b846fe2398bcb89813ebc1b09ab7bbe2302b","root.record.ItemExhibitList.P5Item","1778b846fe2398bcb89813ebc1b09ab7bbe2302b-0-44aee3af264b97a2c99b2d0bb74d74bc50af7c45"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-1818754580ed19d402b532fe8b3558222e40146c-0-7efd793aa0b0a2870b8307af0075ec679369a3b1","28.819","0.969","1.403","1.985","","1.985","","","","","","","","28.819","0.969","1.403","1.985","","1.985","","","","","","","","","","","","","","","","","","","","","","","1818754580ed19d402b532fe8b3558222e40146c-0-6126559055827db5ac2aec648d33d86587a0021e","1818754580ed19d402b532fe8b3558222e40146c","root.record.ItemExhibitList.P5Item","1818754580ed19d402b532fe8b3558222e40146c-0-cce2416414313ca1f96ce29a92ecfb7195ac84e9"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-40e4ee970cb9c95954c0ec58cee03cb010f24733","8820.636","1117.11","533.708","","","","","","","","","","","9353.744","1178.91","563.078","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList-18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-3df67325e8bdd5d58cfbbb5781abf006c6818e90","533.108","61.8","29.37","","","","","","","","","","","","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-dae46bf946ea074b8fc32526953e56401327f3f4","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa","root.record.ItemExhibitList.P5Item","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-d39dc896fea13018df42abf17123185bc406e207"
"root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList-190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-85b8cec92e239e66342e50a130b8b15863b6231e","214.784","","","","21.541","21.541","","","","","","","","214.784","","","","21.541","21.541","","","","","","","","","","","","","","","","","","","","","","","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-c228f0d549353016a4ce1a194b92bfe85fb9baea","190ddc35f26bc897b70bf5f0bed46c8eaa825c18","root.record.ItemExhibitList.P5Item","190ddc35f26bc897b70bf5f0bed46c8eaa825c18-0-e9eb1246e78154b5d1fe46c712ed26272f7a819f"
