"Name_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air National Guard","212","3.999","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-78c7e4889d33eb5c0e07e9b9e4fd16f627f3c80f","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air Force Active","","","1022","0.959","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-f7c997486c1de98c715b2acd4ab5d3d82a32723a","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air National Guard","","","113","0.107","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-f0804d2d7f9281c222249b8b62c66cb98b31320a","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air Force Active","","","11","3.372","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-77ce65977dfb624dc9a553bf918424315b1c5e10","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air National Guard","","","4","5.376","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-3689747190295cc637d8b2e34ffe9a91c0f84910","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air Force Active","","","13","4.636","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-e9778c8f66fddbbdba5f7d99bc46d6b0884a7ff6","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-8834ac8213a8b2019cd0588a13b9950886b68319"
"Air National Guard","","","","","7","0.933","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-5c8bb60fae87dc874118b5b59262396ef17b2014","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Reserve","","","","","10","1.333","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-4a5ab3548cc460b60717e2af8438be1c4dc88ad7","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Active","","","33","2.112","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-19fd688ed5736aeeafc625d027cee03e8e90467b","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-685b5931689e7f7451d837c1c7b18241771121a0"
"Air Force Active","","","","","3","10.003","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-16549b807ab71fa49ac5ca5abe8f88a38679214b","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-2c27806dfe06160c83a04eec2f31e690892d424b"
"Air Force Active","","","","","4","39.035","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-6c6b53b0f08eb94c60105cc23fb427c43a39c4fb","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ba7e7521acebd42c941bb75881443bf9bb6877e8"
"Air Force Active","","","6","0.225","11","0.399","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-17a70cd5882af06d507b2bb0d62a8af615c99e02","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
"Air Force Reserve","","","3","0.112","3","0.109","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-60fafe87fce3d5afcaa9b214be581e0ecdc0e82e","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
"Air Force Active","","","10","10.295","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-e93e8ab63adf0c7a9ee2babeca1ff3960f04ef08","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-83fc230a6b5989fbc48e0c9f71d03a3fade1bb33"
"Air Force Active","","","","","21","0.000","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-c0fa918a1b40e15d0651f490ac9a8fa84aa29504","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5076a96995657add30700f23d453832627c5e780"
"Air Force Reserve","","","15","0.72","3","0.000","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-978a750d18421ac556414f3217d65c65d9df7658","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5076a96995657add30700f23d453832627c5e780"
"Air Force Active","","","","","12","0.324","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-a6885da96d843be4fdacef3e5eef695d3680d7dd","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air National Guard","","","","","","","2","0.054","381cd9596be7077445ddb8dc36f57e679b43cd6b-1-eb9ba183cce9389794bc918019a32b68aadd7672","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Reserve","","","","","","","4","0.108","381cd9596be7077445ddb8dc36f57e679b43cd6b-2-665f6fa98406d749dac481fdd5a8d683eb99d1ef","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Active","","","1","4.923","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-87a8bd62589c7f8ee1e390fd9626c40b2dd9b513","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-f1ea530fe1b2f038beb30360bc752c479ab9cea0"
"Air Force Active","","","4","46.201","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-edc09fe88ee87afcaa48b03299814511c739f2ac","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-0eb373530916f456bdd36f55ad6ad68c43b96387"
"Air Force Active","","","1","5.181","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-8cc78740817d98be4d77623d21e6d551a31c3c19","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-6bc10decd9d6f5e2cf9509819c5e0d4cf3a2cc24"
"Air Force Active","","","5","2.2","","","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-f0c3fd02c07962b85d8537d014a9aecf7939f744","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-0ed2189bee6482eb861a165019963c165c835c63"
"Air Force Active","0","0.000","1","2.7","","","","","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-87c6649a88f1cc9bf3836e2800cbcee9e3ebc7af","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-e3d6167feb0008e1d9c3de9fa1915358298d00df"
"Air Force Active","2","0.2","","","","","","","54a96df817b9d5263953371373536571cc395220-0-598fdb98debd52a537231494e30be981b55dfa4e","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-e795fcec1ae6967ff750dbc99e852dfbd892b9ac"
"Air Force Active","1","2.053","","","","","","","54a96df817b9d5263953371373536571cc395220-0-b08ff907ca85453be9fba8bb8633f313ab7d97dc","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-6588ba5c41bc572fadef5cd29f284fe073dade20"
"Air Force Active","2","9.361","","","","","","","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-a1996565e625a43f847844d4750e9d075cd1546c","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-1f12610c2024ebdb5e02764e87f9dc71054221e6"
"Air Force Active","10","5","","","","","","","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-c24b8e39a796fa7767ff9c36a72eeed65b89b686","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-383c85c4e5bd5b5b61cfb0a18ef40eeeda801b3b"
"Air Force Active","","","4","29.022","1","13.425","","","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-915572624e66cbfd1713d799d13c5d6a71b5b425","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f81f7edc721f36ff59ffbe16e3e321f3fe816d90"
"Air Force Active","","","18","6.572","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-f15b2f0ca5ccff2da569e03cb4c4297ea9c0b391","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air National Guard","","","19","6.938","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-8b45c6ca2febb13172f19d6abefe5603c46f0b62","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Reserve","","","8","2.921","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-c5f63421041b4301526a5417c5b3c152c6b70d47","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Active","","","4","1.551","","","","","8ac92803876f93a305965d578c716110cdc62437-0-64398a394b892c0d07947cc3ab417b20a115cda6","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-d5ac65ba7d2b8cb2f2393b6c56ce1433a5d3f0dc"
"Air Force Active","","","4","1.33","","","","","8ac92803876f93a305965d578c716110cdc62437-0-11f411ca605e212ec58e1364c798df4e58b8b7b4","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-a1cf91f160db634744306202cd3f1a5a774e1493"
"Air Force Active","","","4","4.194","22","19.13","1","1.097","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0598b68cc98490eec1f5e00c0a9ee5c38adb1936","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0fedad4be96199188f97c3c9f3205d6c9792a237"
"Air Force Active","","","14","0.358","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-3648e85259daeb4cebb65cfc9c64dfe7fb3b5d00","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air National Guard","","","16","0.41","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-1-25458fe7e9272e642efddbf1bf66bc147b49d3f9","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-037cc72d2c64912a142165a13f8f59e069d8ae8a"
"Air Force Active","","","","","25","16.705","6","4.353","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-157f852413881f5fc73c199c145ccb2f265d4563","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-19572ed89b0b00e34d7b994196c7abab6774adbc"
"Air Force Active","","","","","4","1.543","8","3.136","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-0adecfd4b915a2a02fc1cc27b5d542175bbebe6b","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air National Guard","","","5","1.891","10","3.85","","","adc0fd1f1425b4f60a521474479b1b300340fbc4-1-4193bd5824fd87564f5c1e4cbf00a0a5f6b37f36","adc0fd1f1425b4f60a521474479b1b300340fbc4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","adc0fd1f1425b4f60a521474479b1b300340fbc4-0-7238f35f7f254e81db811ef9900fdc77444e1d15"
"Air Force Active","14","2.171","","","","","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-32d6ad63982f3f46d01d475dac93f16baeb1d92b","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-792f76ddf9a97ac325b187f39b6aecb5125da7ad"
"Air Force Active","1","0.075","","","","","","","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-e2b1b49afe38645dd2a5e374804c5430d28763e2","b1ee92e162c25302d94da3c5fb1c45a78b78db58","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b1ee92e162c25302d94da3c5fb1c45a78b78db58-0-edbe7fd50149b1739639276bbee5453bb98caae4"
"Air Force Active","","","","","13","2.969","","","b8a3170d05dde8629ded4b7b78f578982e21c224-0-b162e994ea339bc42323a34aece1a344daef9cdb","b8a3170d05dde8629ded4b7b78f578982e21c224","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","b8a3170d05dde8629ded4b7b78f578982e21c224-0-6ed8e9e4d17a02de62a498945b4517b3d27189e4"
"Air Force Active","","","","","7","12.697","3","4.201","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-3919ab35d65f353546b9345fddfa647ad74f37ef","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","c9ad62ffdba5a9559a77aee838a4c5af880cb7bc-0-1e36537770f861139b52b6653c29fd5f1935e269"
