"Name_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearFive_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","21","0.545","21","0.545","","","86","2.055","","","","","","","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-aa1d4b2d41d05614f3d2411758bfbea24c1a18e6","0424d8adc0de12753a0a7dc939dc55b0785cce8b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0424d8adc0de12753a0a7dc939dc55b0785cce8b-0-2ea359caf32ffad4fbf677b1bce57fb0cfdfd717"
"Air Force Active","4","2.4","4","2.4","","","","","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-ae6a4267f5b9e9c76b513671ae89bdac50fa5bc3","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
"Air National Guard","","","","","","","2","1.2","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-1-fc28ca3afac44cbc17b0fd3c4fc3c8cc3f1f19ba","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
"Air Force Reserve","","","","","","","1","0.6","","","","","","","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-2-b26cfd0df0b67ddc43f1658f49cafcac8f88747c","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0abb3645fe4a9cb8f4a10913f80c8da3b29bf011-0-dba43546514a879b0941005b4db42900d030e9fb"
"Air Force Active","7","4.5","7","4.5","","","","","","","","","","","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-898ca9fea43b7678aacdfeb620ec20f35bf630e9","0f62486a86689d13a2561e5c4624b5c569c1eda9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","0f62486a86689d13a2561e5c4624b5c569c1eda9-0-8e29950488f30c249c39d13e9ad5a5148e0d25b4"
"Air Force Active","8","1.596","8","1.596","","","","","","","","","","","159534d0b57648a4377405fd524fece23ff28718-0-7c3a86c11a3db54237f508bdc354355311fb0990","159534d0b57648a4377405fd524fece23ff28718","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","159534d0b57648a4377405fd524fece23ff28718-0-12b97abbcc135ac27f1d11105c6eea73a923b0b2"
"Air Force Active","1","4.05","1","4.05","","","","","","","","","","","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-240973e1969f3e6b3156644d951bcd471bde52e7","2146b39417826335bc8c06e6e86906e33c6d1dfd","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2146b39417826335bc8c06e6e86906e33c6d1dfd-0-34fa183152b9d98e4341378196b584c5635ca38f"
"Air Force Active","24","0.012","24","0.012","","","","","","","","","","","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-f6872ce87f0cf6b5d5e39a70be05dfad5f79a93a","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","217afa56d2960983c1aa9fa9b7f9a927b2c01d1f-0-b736666b5a4e7468098b5f43a0efa75ba9456ba9"
"Air Force Active","1202","44.504","1202","44.504","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-ec9a57c258cec77e0118ace446248bf8ec0c76e4","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air National Guard","211","6.905","211","6.905","","","","","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-8ff987bdd1ec04beccef604cdfd5f34931abdbb3","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-2b779269a9d4fee94ecb69ba3622c8ead7730db6"
"Air Force Active","","","","","","","994","0.924","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-5a6f2d36590e7e0a466a71e641b673e4fa7d8db5","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air National Guard","","","","","","","110","0.102","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-dbedfd9596a6322c6e44cadfdb5c1ac2605bd0e1","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-56b7fe584aba9574d0240d58da0626fb5591b9c2"
"Air Force Active","","","","","","","16","24.09","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-a363eb833ad6b76911a5d667800b02aaf0308ace","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air National Guard","","","","","","","7","9.41","","","","","","","2ddb26aef7cdb76cf8890008685d942b11569883-1-5a6ed4750f060c53131b041015898235d5adb6bd","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-567f4aeecdd559f8935de38d3a3c66d9981205b4"
"Air Force Active","","","","","","","12","9.72","","","2","0.713","","","2ddb26aef7cdb76cf8890008685d942b11569883-0-8e909e15e5ab74afe7d37f2562ba75a1f38a82e5","2ddb26aef7cdb76cf8890008685d942b11569883","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2ddb26aef7cdb76cf8890008685d942b11569883-0-8834ac8213a8b2019cd0588a13b9950886b68319"
"Air Force Active","","","","","","","","","","","14","1.853","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-a5e009f7e7a5041d208325d90b93ad225f24f879","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air National Guard","","","","","","","","","","","15","1.985","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-1-158b5890c429315960e6cb63b32573633c336f97","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-9aafce3e4ecdc40bfad2e0320bbabf39c64ca198"
"Air Force Active","","","","","","","33","1.966","","","","","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-c9b3c8e6011ad5907b9acbc7079a89661b7af675","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-685b5931689e7f7451d837c1c7b18241771121a0"
"Air Force Active","","","","","","","","","","","2","5.53","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ae487507cdea60470a8d72dcbb529eb66b88f384","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-2c27806dfe06160c83a04eec2f31e690892d424b"
"Air Force Active","","","","","","","","","","","2","15.708","","","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-f92ef4e5753861373323f0f21af0ac1dd2c42278","317dd0dd137201d7eadda21f2fc98ab75c61265a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","317dd0dd137201d7eadda21f2fc98ab75c61265a-0-ba7e7521acebd42c941bb75881443bf9bb6877e8"
"Air Force Active","3","0.155","3","0.155","","","12","0.447","","","6","0.225","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-c1b2335621c9e039a67abf66a9ebfdfe593e6c86","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
"Air Force Reserve","1","0.052","1","0.052","","","4","0.149","","","1","0.037","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-1-d0835b71c5ba8f4589545b86bfa760134a468ad8","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-0c3165c3f7a802ab08f53c1f80607f356be1b92f"
"Air Force Active","","","","","","","3","4.167","","","7","7.205","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-02560aacf04e3656c5a23e1d37e9b0d4e7c9e622","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-83fc230a6b5989fbc48e0c9f71d03a3fade1bb33"
"Air Force Active","","","","","","","6","0.38","","","","","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-124d2a006a0cc00fb17cbd434e6a8657fd5fa1a1","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-079940b0b512fc5a2bd3da0f3b4964a47a37a9cb"
"Air Force Active","","","","","","","12","2.351","","","23","1.759","","","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-bdc92f91e870d9ed840ecd9b7077995440499286","35c389cdde306dcfd9b55a6aff45ca19d36dd30a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","35c389cdde306dcfd9b55a6aff45ca19d36dd30a-0-5076a96995657add30700f23d453832627c5e780"
"Air Force Active","","","","","5","0.135","","","","","19","0.513","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-dba8456886327892f5f6708f2e47b67fe232765d","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air National Guard","","","","","5","0.135","","","","","2","0.054","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-1-c70824e197b222d11ece576a91d67a314a915efa","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Reserve","","","","","2","0.054","","","","","3","0.081","","","381cd9596be7077445ddb8dc36f57e679b43cd6b-2-d86eb7ce2fb713296751b63146b177f6610d1a1e","381cd9596be7077445ddb8dc36f57e679b43cd6b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","381cd9596be7077445ddb8dc36f57e679b43cd6b-0-7ffbe0acfcdeee384ff4f2e5756125e659ed0552"
"Air Force Active","","","","","","","1","4.997","","","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-1afcaa7c2df489745500df9fb7fa4c9948251a1e","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-f1ea530fe1b2f038beb30360bc752c479ab9cea0"
"Air Force Active","","","","","","","4","45.03","","","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-16e761e16370704e926cf9947fa6db70c688e245","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-0eb373530916f456bdd36f55ad6ad68c43b96387"
"Air Force Active","","","","","","","1","5.203","","","","","","","399d00516df75cfb2d765289abba47af25f6f783-0-0e4c04cefca6062f2543f112ddee477c9dd80cfb","399d00516df75cfb2d765289abba47af25f6f783","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","399d00516df75cfb2d765289abba47af25f6f783-0-6bc10decd9d6f5e2cf9509819c5e0d4cf3a2cc24"
"Air Force Active","","","","","26","2.421","","","","","","","","","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-bf786c8bf85774612b135ef4d38415420bd71b8a","3d27c1594c7a2348c61d9379e8e80131ca1d9545","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","3d27c1594c7a2348c61d9379e8e80131ca1d9545-0-848d5db9115d11013c94a3e366401a7598a311f7"
"Air Force Active","0","0.000","0","0.000","","","1","19.82","","","","","","","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-577ffb2e8f583ae3029436a1d0705b067c6f82df","408958287be1d4449ef97c9ae3794e1c4dc1ed5a","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","408958287be1d4449ef97c9ae3794e1c4dc1ed5a-0-e3d6167feb0008e1d9c3de9fa1915358298d00df"
"Air Force Active","2","0.3","2","0.3","","","","","","","","","","","54a96df817b9d5263953371373536571cc395220-0-51a193e912d176bc84ca09a43ee5e55cb87dbe01","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-e795fcec1ae6967ff750dbc99e852dfbd892b9ac"
"Air Force Active","1","1.804","1","1.804","","","","","","","","","","","54a96df817b9d5263953371373536571cc395220-0-faef089ee829e48c5cc3d6e32ec184ea318a2e4d","54a96df817b9d5263953371373536571cc395220","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","54a96df817b9d5263953371373536571cc395220-0-6588ba5c41bc572fadef5cd29f284fe073dade20"
"Air Force Active","1","4.37","1","4.37","","","","","","","","","","","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-9d31e4eefe9502b282dec163fc6c8163fac6a124","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","6d28d75aa6a7a427ef76cbe2069740b9fe6cf44f-0-1f12610c2024ebdb5e02764e87f9dc71054221e6"
"Air Force Active","7","3.5","7","3.5","","","","","","","","","","","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-1bf5f092fbee174be5e5fe9a09a0322d6b2a168a","7486c8171a92c0b428c8e18f6b1b83b98774c743","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","7486c8171a92c0b428c8e18f6b1b83b98774c743-0-383c85c4e5bd5b5b61cfb0a18ef40eeeda801b3b"
"Air Force Active","","","","","","","2","16.317","","","2","22.803","","","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-55f1f8dea82e14fee2e182847fc46c719ad1d4ac","85597cd913ea3d5ba176a2f874646a4ea8fb1587","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","85597cd913ea3d5ba176a2f874646a4ea8fb1587-0-f81f7edc721f36ff59ffbe16e3e321f3fe816d90"
"Air Force Active","","","","","","","14","5.021","","","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-0-78176508cd55a788ce55387871ff63f8ffd5ea42","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air National Guard","","","","","","","14","5.021","","","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-1-c712d6ba6fc8e8c5ea9835a4d5d964b26079c8c5","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Reserve","","","","","","","6","2.153","","","","","","","862e2d15d0f822c8485aa65674eee94dde4da08d-2-c035b8d64220b92158b54829f870a8209a7bd12a","862e2d15d0f822c8485aa65674eee94dde4da08d","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","862e2d15d0f822c8485aa65674eee94dde4da08d-0-37213ac8da388350e5797ca4249ecc21643d9326"
"Air Force Active","","","","","","","1","0.381","","","","","","","8ac92803876f93a305965d578c716110cdc62437-0-09ce7c7ad452a8b52106bc30389d7ab6f4b140e2","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-d5ac65ba7d2b8cb2f2393b6c56ce1433a5d3f0dc"
"Air Force Active","","","","","","","7","2.619","","","","","","","8ac92803876f93a305965d578c716110cdc62437-0-a140b08375c748f2e531c09e18dac8fca2d990fa","8ac92803876f93a305965d578c716110cdc62437","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8ac92803876f93a305965d578c716110cdc62437-0-a1cf91f160db634744306202cd3f1a5a774e1493"
"Air Force Reserve","","","","","","","11","230.737","","","","","","","9282c1681681500f80124b54352c8721ab25cc67-0-e1986cf7ea72b5389107b7276366b46ada8f487c","9282c1681681500f80124b54352c8721ab25cc67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9282c1681681500f80124b54352c8721ab25cc67-0-85127af9bdfd8998da53f35c07f92da3d8106ccb"
"Air Force Active","","","","","","","32","14.5","","","","","","","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-e5bd400ee8de725770506a4c2536f5ca9ad8cb2f","9de970bd63155a8bb67dc6d2bcb69d63844fb920","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","9de970bd63155a8bb67dc6d2bcb69d63844fb920-0-05dc145824abedc965b8e2465912a1b3eb590db6"
"Air Force Active","","","","","","","","","","","13","9.718","","","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-b1629882d87f757b014aa73e9742a5b3cf487716","a0eb6503204411293638c6f0c3c3ebda07d5d2a4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a0eb6503204411293638c6f0c3c3ebda07d5d2a4-0-0fedad4be96199188f97c3c9f3205d6c9792a237"
"Air Force Reserve","","","","","3","7.717","","","","","","","","","a28e603a31ab3a36341c9e22da942c39ec237c28-0-f8e8e3588c7c84e04dc1f3fb66460de5b204fdaa","a28e603a31ab3a36341c9e22da942c39ec237c28","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","a28e603a31ab3a36341c9e22da942c39ec237c28-0-ffccc20070b0af4545f67464f3cf8756c9396382"
