"Name_val","Name_@footnote","Location_val","ContractDates_PriorYear_val","ContractDates_PriorYear_@footnote","ContractDates_CurrentYear_val","ContractDates_CurrentYear_@footnote","ContractDates_BudgetYearOne_val","ContractDates_BudgetYearOne_@footnote","ContractDates_BudgetYearTwo_val","ContractDates_BudgetYearThree_val","ContractDates_BudgetYearFour_val","ContractDates_BudgetYearFive_val","DeliveryDates_PriorYear_val","DeliveryDates_CurrentYear_val","DeliveryDates_BudgetYearOne_val","DeliveryDates_BudgetYearTwo_val","DeliveryDates_BudgetYearThree_val","DeliveryDates_BudgetYearFour_val","DeliveryDates_BudgetYearFive_val","AdminLeadTimeAfterOct1InMonths_val","ProductionLeadTimeAfterOct1InMonths_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GM GDLS Defense Group, L.L.C","","Sterling Heights, Michigan","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-dc46ebdfa87373ce9a0991ab5da07988e5501422","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-2-6b4cc00b68f03d5d8db108eae1928f678d138f05"
"GM GDLS Defense Group, L.L.C.","","Sterling Heights, Michigan","2014-11","","2015-11","","2016-11","","2017-11","","","","2015-06","2016-06","2017-06","2018-06","","","","2","7","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-0138be3bce2c8be7ed5dcaa1a11f6fab19c4112c","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-3-40b2ddcb57974f219b09e2c79da67d409d7428c3"
"GM GDLS Defense Group, L.L.C.","","Sterling Heights, Michigan","","","","","","","","","","","","","","","","","","","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-74b74cbbb6ad453c28d8ba5004569285cc2b62e4","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-4-1004b82a63018bdb6622743918ce0a1d7896349a"
"GM GDLS Defense Group, L.L.C","","Sterling Heights, Michigan","2015-01","","2016-01","","2017-01","","2018-01","2019-01","2020-01","2021-01","2015-01","2016-01","2017-01","2018-01","2019-01","2020-01","2021-01","4","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-7a1c797a0d092ef9e24bc341a20040d9bc5e2b21","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-5-0bf06a31e5bc7e355e22ccca006564d5bbfd776f"
"GM GDLS Defense Group, L.L.C","","Sterling Heights, Michigan","2015-02","","2016-02","","2017-02","","2018-02","2019-02","2020-02","2021-02","2015-02","2016-02","2017-02","2018-02","2019-02","2020-02","2021-02","5","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-0ea7ef476dc91da674c0a4f8e4aaa14aeee5ab2b","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-6-814523973a35818c5104c0d7dcd160f557b4cf6c"
"Rockwell Collins Simulation & Training","","Cedar Rapids, Iowa","2015-01","","2016-01","","2017-01","","2018-01","2019-01","2020-01","2021-01","2015-08","2016-08","2017-08","2018-08","2019-08","2020-08","2021-08","4","7","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-2e72d218df0b240835a6efb17656736afb0c7593","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-7-1d0708b7b1ed8ac393b506ba36af04c7ca2e1729"
"GM GDLS Defense Group, L.L.C","","Sterling Heights, Michigan","","","","","","","","2018-11","2019-11","2020-11","","","","","2019-02","2020-02","2021-02","2","3","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-c7209438022dc72f6d52804ea5d2624421f0ef58","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-8-ae797844a8d9c7ad47284007c67671fc0c5d5547"
"GM GDLS Defense Group, L.L.C.","","Sterling Heights, Michigan","","","","","","","","2019-04","2019-11","2020-11","","","","","2020-07","2021-02","2022-02","7","15","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-d88ca7fa54bd8826dde868932863862925fdc2b9","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-9-132f5ddf8a0400d3ae5b8c53a1fad9b160a44e84"
"GM GDLS Defense Group, L.L.C.","","Sterling Heights, Michigan","","","2016-01","","2017-01","","","","","","","2016-05","2017-05","","","","","4","4","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-a172e1ea5903dac6fd76a58c407f19e935071903","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-10-40fc84ab547812629f6f7495ff2c3e98e936c3e5"
"GM GDLS Defense Group, L.L.C.","","Sterling Heights, Michigan","","","2016-04","","","","","","","","","2017-07","","","","","","7","15","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-d73acd6d08f77007bba9d1d7ff41d6e6733308fb","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-11-2a4253f7d31ecde91da4b56d16a1ebcaa107bcb7"
"PM SBCT and GM GDLS Defense Group, L.L.C.","","Warren and Sterling Heights, Michigan","2014-12","","2015-12","","2016-12","","2017-12","2018-12","2019-12","2020-12","2014-12","2015-12","2016-12","2017-12","2018-12","2019-12","2020-12","3","","08f0b8c55ab416b3f81c3308a3808c481d43dc37-0-c20900719f4d28da0e615341ebba04480ef3555e","08f0b8c55ab416b3f81c3308a3808c481d43dc37","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","08f0b8c55ab416b3f81c3308a3808c481d43dc37-12-a657d854437162e7d8d835fe6beef7cb3b3d3f19"
"NORTHROP GRUMMAN SYSTEMS CORP.","","CHARLOTTESVILLE, VA","2014-12","","2015-12","","2016-12","","","","","","2016-01","2017-01","2018-01","","","","","3","13","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-9650b1cbb8e888c5d0526b7bbdc4128fc138c444","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-976582d2c17681e0004aa873281e1a18276ca703"
"NORTHROP GRUMMAN SYSTEMS CORP.","","CHARLOTTESVILLE, VA","","","","","","","","","","","","","","","","","","4","6","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-478870d2c12d32e2ba3ccc7deebdcbba951a1a6b","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-7aa8a533f5d0f48d2122321ce70056bb7fe921b6"
"TBD","","TBD","","","","","","","","2018-12","2019-12","2020-12","","","","","2019-06","2020-06","2021-06","3","6","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-070b10d6756a36c5866092f44dc901c0dbd3bf3a","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-b6ae1e1e0afa5951943994892fbe2d2bfd46014b"
"WR Systems","","Norfolk, VA","2014-12","","2015-12","","2016-12","","2017-12","2018-12","","","2015-05","2016-05","2017-05","2018-05","2019-05","","","3","5","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-f51fd81d2a205f8b4119f51de809ec462a5e47fc","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-629cebb0ae7c6efbfff39358a68f14be81672fac"
"TBD","","TBD","","","2015-12","","","","2017-12","2018-12","","","","2016-08","","2018-08","2019-08","","","3","8","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-e51da0ada183b60f56418c5b1f67eab45c5d6888","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-9cf0a302313d830b225ca64ac51338c9f41115d3"
"Multiple Vendors","","Various","","","2016-01","","2017-01","","2018-01","","","2021-01","","2016-07","2017-07","2018-07","","","2021-07","4","6","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-e286fbc40a59d0fba6edbe3d2fdf234484b97ea0","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-17f789ea977b10f4fb32951f5f95779fc5d8e5f3"
"Knudsen","","Not Specified..","","","2015-12","","2016-12","","","","","","","2016-03","2017-03","","","","","3","3","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-3c38032afeca86ded9647a77f26ed58939b2e73f","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-dc20b1e940158ba197889642a59e6e54c55b4b63"
"TBD","","TBD","","","2015-12","","2016-12","","","","","2020-12","","2016-03","2017-03","","","","2021-03","3","3","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-05ef95ff8a48542c124420c7d3ad7e97dbfecc5b","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-b9d16bf24cbd65b670fa64cb34dbc9757853ea6c"
"WR Systems","","Norfolk, VA","","","2015-12","","2016-12","","2017-12","2018-12","2019-12","2020-12","","2016-03","2017-03","2018-03","2019-03","2020-03","2021-03","3","3","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-9c7adf9e5ab4b6846d5001cf69031d9a553a0062","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-de7c31d42c7de0f130addf182fff057d8d0e9053"
"The Boeing Company","","Long Beach, CA","2015-04","","","","","","","","","","2016-10","","","","","","","6","18","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-477de4109d7c983f58a22bcb1e685cb1e789dc2f","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-1cae62e78d32e0ee13a70029666b6bd578fd7a14"
"The Boeing Company","","Long Beach, CA","2015-03","","2017-03","","","","2018-03","2019-03","2020-03","2021-03","2016-03","2018-03","","2019-03","2020-03","2021-03","2022-03","5","12","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-7291723d61ab06e5c1d675d131f0ea49a5af66dc","0989a56b20ac2bbaec61f72a12dd4289276b0790","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-0dfb6ad2140b4471d9203de8b09637169dea4c78"
"Lockheed Martin (3)","","Marietta, GA","","","","","","","","","","","","","","","","","","2","15","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-133911deb98b0a10af6097bb045f9747c02b0f1d","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-cf3bca12c273b6f50420a693ab0df481878f840f"
"Lockheed Martin (5)","","Marietta, GA","","","","","","","","","","","","","","","","","","2","27","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-4c0810b8ddaf8d31dd4405b933242bc8a6ae60c5","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-1-9e05e04042f07038eb62cacce78eb7fb99f678ad"
"Lockheed Martin (6)","","Marietta, GA","","","","","","","","","2019-12","2020-12","","","","","","2022-03","2023-03","2","27","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-97f5ec4e953ebc6d6a78159e6c011b8ed8550464","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-2-b43ee905c8f8b4cefa528646fd536797c31f3026"
"Lockheed Martin (2)","","Marietta, GA","","","","","","","","","","","","","","","","","","2","15","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-c5fae9b65e8195a10ba493c80286de49b36dee12","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-3-46dc7a1476daee7a75b547f038e6040e95facc80"
"Lockheed Martin (4)","","Marietta, GA","","","","","","","","","","","","","","","","","","2","27","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-8b7cdcee7b5b1ecd223b960a0db9064d26bb4272","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-4-f8befed6fcbad1ffa49a46a5f6ccf862de5d28d9"
"Lockheed Martin (1)","","Marietta, GA","","","","","","","","","","","","","","","","","","2","15","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-8be19f79cb04aba985013ebdd1fdab7845b02e44","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-5-8c8651ade15040410986951687b2698aba741e19"
"Lockheed Martin","","Camden, AR","","","","","","","","","2019-12","2020-12","","","","","","2020-03","2021-03","3","17","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-5350f03b5558eab402696dd501914054edd3cef0","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0ce7994756742ea069a0d8cb1f6aa30cf8364fb3-0-c63a8af9325b122d40f683b3d224aa9cce0d8e77"
"L-3 National Security Solution Inc","","Albuquerque, NM","","","","","2017-01","","","","","","","","2018-09","","","","","2","20","0f261a6fd7b3518fdcc369133607071628fa1c40-0-111285da78ebf7bcd08217d2b1fb97bc253e6dc7","0f261a6fd7b3518fdcc369133607071628fa1c40","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f261a6fd7b3518fdcc369133607071628fa1c40-0-ed1482e10638cd68721d68e761d5a5372e62dbeb"
"Raytheon Company","","Colorado Springs, Co","","","","","2017-01","","","","","","","","2018-09","","","","","2","20","0f261a6fd7b3518fdcc369133607071628fa1c40-0-a0539ab5c753f690c2296d65c67969651ef2a7eb","0f261a6fd7b3518fdcc369133607071628fa1c40","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","0f261a6fd7b3518fdcc369133607071628fa1c40-0-9baadd05fdd8dc42d714042dacd3e08ccda0dc0e"
