"Name_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Active","","","38","","","","","","","","1.447","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-50390efbb1adb33b5cb356f932b2813c4564c969","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air Force Active","","","38","","","","","","","","0.000","","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-5b7cb7cd2a046bde95daa1667d028083b9f2b5a5","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-4e3f2a9fd91a1281cfaf19253946d99083b8494a"
"Air Force Active","8","8","1","","","","","","6.718","6.718","0.9","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-5ba458c681b2792e96300e7f51279072f84fd6e2","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-7b52469e69d4a902a987e9d117b67a37c88ca768"
"Air Force Active","2","2","","","","","","","0.66","0.66","","","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-a2c54dde0e732c19a4d8d77d14a5bc6af33b3e4e","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-1-4ab938c9f214fd25b61c0bff1473b9719fce830c"
"Air National Guard","","","","","2","9","","","","","","","0.778","4.179","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-a72095fe1634ea028ec221294a1095dffaac8654","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-e1ab5f6fa0583efc6c251483a8bef0b974314263"
"Air Force Active","","","","442","","","","","","","","59.508","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3eacef2eb2691b12b65468493948654572314ee7","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air National Guard","","","","59","","","","","","","","2.6","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-57ac1ff8e588107649402ba6e1d7cbee2d2caaf5","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air Force Active","","","100","","","","","","","","4.667","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-9efaf434c1ed3fea44cb38f4346f7a2950dd6853","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air National Guard","","","96","","","","","","","","0.069","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-0c6e680e98056dafde462dd55d8ca0ef5366a432","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air Force Active","15","15","15","","","","","","18.019","18.019","16.341","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-eba1122969291c48fb879779d88ffbe47c006330","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3391076311372087e46245f853488cecc5bb6f71"
"Air National Guard","","","3","","","","","","","","5.727","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-c3e7f0b161f704660c09d5273e1feafdfa3e8f99","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3391076311372087e46245f853488cecc5bb6f71"
"Air Force Active","","","12","","","","","","","","8.84","","","","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-36a99eae1beec62190122e23c33c886d78c3e94a","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-7b3aaf63e82f4d37c4834c152c70dd270af9b546"
"Air Force Active","","","6","","","","","","","","149.612","","","","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-d5c643a939a4946a3e0a4f41ae2b52849da1401e","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-3c4c5cbc4c1a63096b01ac03c58a326f1e38dc8b"
"Air Force Reserve","","","5","","","","","","","","124.676","","","","","","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-1-ba5d9c956219a794b6b2c8f673f0c2007417d063","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","ef0732f3c1dd5717a958db9160b2bcea08ed1ee3-0-3c4c5cbc4c1a63096b01ac03c58a326f1e38dc8b"
"Air Force Active","0","0","","","2","3","0","0","6.68","6.68","","","12.483","0.000","0.000","0.000","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-6e91749c923589b045f62bd8ed57315d3999c9e6","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","8e1cb1475ad3e6389e65cae9a8dbe709c6f9a5fb-0-dac413ad986d0c8c61870e57529626d37c743fbd"
