"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FiscalYear_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_PCOLocation_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_AwardDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FirstDeliveryDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_Quantity_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_UnitCost_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_RFPIssueDate_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_FundingVehicle_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning_ItemNameSuffix_val","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Cockpit for FY13 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","0","1","","13.2","","0","0","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-3-745f047c2dadd890967d620facdd85eb6b836d66","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"Cockpit for FY14 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","","3.5","11.925","0","0","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-4-50e058f6a8ea008491a8c1fbd11667f34e3e0262","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"Cockpit for FY15 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2013-12","2013-12","0","0","2013-12","TBD","I think i","0","1","","2.25","1","0","5.3","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-5-9fdd925df29e8445ef3d4c4228f4651859c2184a","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"A/C Misc Avionics","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","116.763","14.426","14.11","0","8.094","","","","","","","711ef627f28f59f569bd3148f9eec777b78e9140-6-9faf7c3789e4f2150700c9480603c21068741ae9","711ef627f28f59f569bd3148f9eec777b78e9140","root","711ef627f28f59f569bd3148f9eec777b78e9140-a37f00cbb2ca2b1163b09c67c42f25d87a2bfa46"
"GFE - Engines T.L.","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","","0","0","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-0-f35fac90d881f9acce0ebfe35a5f556192b77fde","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"GFE Electronics","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","","0","0","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-1-15ff4f3e992d5d75f59a767fa97d6bf62979b224","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"GFE Other","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","","0","0","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-2-f789eb6e1be168c2535ed78f559c6d7703c04c53","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"Engines T.L.","See End Item P5A","See End Item P5A","24","24","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","2","42.363","5.367","","0","0","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-0-42301c6a10938187ab5f0b7ed985fb8abfdd2380","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"GFE Other","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","27.983","0.299","","0","0","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-1-2bf6a3c7c8a00332abbe1561044e173d63b75365","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"GFE Electronics","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","0","18.946","","2.396","1","1.804","","","","","","","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-0-1e284d2406a1f9336f755374edc22ccb7832dc6f","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3","root","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-000b78c128d13812f9554e8a9300996002971912"
"GFE Other","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","0","1.953","","0.599","2","0.084","","","","","","","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-1-2342982b38d063eabd2f6d77d9c7d65572881714","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3","root","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-000b78c128d13812f9554e8a9300996002971912"
"G.F.E Engines T.L.","See End Item P5A","See End Item P5A","29","29","2013","See End Item P5A","2013-03","2013-03","0","0","2013-03","TBD","I think i","0","1","139.382","23.995","5.866","4","9.477","","","","","","","ac990c4af44fbd852c42afa3fbe345ae6756f357-0-25a981eb9c7d789bef15410c3123b636dbec96f5","ac990c4af44fbd852c42afa3fbe345ae6756f357","root","ac990c4af44fbd852c42afa3fbe345ae6756f357-9a1f69fa853ba39f25c1889d24a9ab0bbc75dddb"
"GFE Other","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","17.047","3.119","2.958","0","4.581","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-0-548acdd5fbd02f228df629649e6030ff42d8f264","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"MYP Savings","See End Item P5A","See End Item P5A","0","0","2013","See End Item P5A","0001-01","0001-01","0","0","0001-01","TBD","I think i","0","0","","","22.76","0","0","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-1-60ed479c24941acdbca4d31682b6be5cbe78f05f","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"Other Government Furnished Equipment ()","","","","","","","","","","","","","","12","","12.624","0","0","","0","0","0","0","0","0","12.624","d68f129df2175d626887543e16de0b5cd8f14a06-0-2bb8fb21dd963c9fe3d5bf22f4f6bb5b369d62dc","d68f129df2175d626887543e16de0b5cd8f14a06","root","d68f129df2175d626887543e16de0b5cd8f14a06-f9a00bc237e326a6fcde27d98d653057a856f59b"
"CFE- Engines T. L","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2013-02","2013-02","0","0","2013-02","TBD","I think i","0","1","180.754","25.79","21.24","6","20.639","","","","","","","f04e419a8aead21bb9b63fae709842c2a80a56f7-0-6f26bb03df29f4c4a11767728d78b4a6c88a110a","f04e419a8aead21bb9b63fae709842c2a80a56f7","root","f04e419a8aead21bb9b63fae709842c2a80a56f7-41a39341a4bc9665dae89472385aef38f613d4c5"
"GFE Electronics","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","0","18.946","","","0","2.396","","","","","","","1ca18c61c90424ebb9ddbbfcf79390ac9111423d-0-c7cd4cf886ae22cda9641d63d27bc83c85036c29","1ca18c61c90424ebb9ddbbfcf79390ac9111423d","root","1ca18c61c90424ebb9ddbbfcf79390ac9111423d-09bf02ab028775243fcc173c0a30f8c07f4560ae"
"GFE Other","See End Item P5A","See End Item P5A","20","20","2013","See End Item P5A","2014-07","2014-07","0","0","2014-07","TBD","I think i","0","0","1.953","","","0","0.599","","","","","","","1ca18c61c90424ebb9ddbbfcf79390ac9111423d-1-7237685e77d9e16c36fc87f41cc39dbb6feb9ecc","1ca18c61c90424ebb9ddbbfcf79390ac9111423d","root","1ca18c61c90424ebb9ddbbfcf79390ac9111423d-09bf02ab028775243fcc173c0a30f8c07f4560ae"
"Engines T.L.","","","","","","","","","","","","","","0","2","276.733","0.232","13","0","6.1","","","","","","","35a0cc5bbb2eef50d7cda5240c35c5520b756179-0-a9812767286495d4c7e2df18839d7438a262d16a","35a0cc5bbb2eef50d7cda5240c35c5520b756179","root","35a0cc5bbb2eef50d7cda5240c35c5520b756179-25f1043f0d3e2934eb8f89f409c555e6cdad0af4"
"ALE-50 IMPLC","","","","","","","","","","","","","","0","0","19.15","","","0","0","","","","","","","35a0cc5bbb2eef50d7cda5240c35c5520b756179-1-8ea4950fe57bf2b1c1ff1345c84aa22df7058611","35a0cc5bbb2eef50d7cda5240c35c5520b756179","root","35a0cc5bbb2eef50d7cda5240c35c5520b756179-25f1043f0d3e2934eb8f89f409c555e6cdad0af4"
"GFE Other","","","","","","","","","","","","","","0","0","23.534","1.147","1.262","0","0.596","","","","","","","35a0cc5bbb2eef50d7cda5240c35c5520b756179-2-960e577aca973ee3897d6088a31ce82bd88b7b96","35a0cc5bbb2eef50d7cda5240c35c5520b756179","root","35a0cc5bbb2eef50d7cda5240c35c5520b756179-25f1043f0d3e2934eb8f89f409c555e6cdad0af4"
"G.F.E Engines T.L.","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2013-04","2013-04","0","0","2013-04","TBD","I think i","0","0","93.339","46.043","23.995","4","14.34","","","","","","","39ae0aeeab7b566afe1eadfa8cf6c5626cd22983-0-d5316a74890884c9dcd338601fb4254b2feaa394","39ae0aeeab7b566afe1eadfa8cf6c5626cd22983","root","39ae0aeeab7b566afe1eadfa8cf6c5626cd22983-1afbe346e2b7105cd6e3192fbd0a4b0fcd3e5d7e"
"GFE - Engines T.L.","","","","","","","","","","","","","","0","0","","","","0","0","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-0-394f4b77b0d55d86805932735edfedd7eaa3d128","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"GFE Electronics","","","","","","","","","","","","","","0","0","","","","0","0","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-1-c539eb1c5b629a9361332dc8720b845dcd72ee05","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"GFE Other","","","","","","","","","","","","","","0","0","","","","0","0","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-2-268b449cb59654202d7d519c7b640ebdf1b73ef6","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"Engines T.L.","","","","","","","","","","","","","","0","2","37.09","5.273","5.624","0","0","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-0-d90d5d6a87728661f15f72cdc9c12b94da17d441","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"GFE Other","","","","","","","","","","","","","","0","0","9.953","18.03","0.562","0","0","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-1-2526e8ecbbc9d126192c8ef075f00eea1a63b59f","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"Other Government Furnished Equipment ()","","","","","","","","","","","","","","12","","12.624","0","0","","0","0","0","0","0","0","12.624","67c33ae90f5dce400918e6dd4702f1c0b9329a6e-0-59550abc3e8656b3a6b3c0bf707938268894d7e5","67c33ae90f5dce400918e6dd4702f1c0b9329a6e","root","67c33ae90f5dce400918e6dd4702f1c0b9329a6e-d16a5b5b101c467397c35072aaa5b554ba56667b"
"CFE- Engines T. L","See End Item P5A","See End Item P5A","27","27","2013","See End Item P5A","2013-02","2013-02","0","0","2013-02","TBD","I think i","0","0","118.124","62.63","25.79","6","23.364","","","","","","","8f942adb7f3266a0f5a4fccc554ad190b1fcd316-0-ba0586ac3495d21b2ab3d67beee0d98b08e11cfe","8f942adb7f3266a0f5a4fccc554ad190b1fcd316","root","8f942adb7f3266a0f5a4fccc554ad190b1fcd316-afd3beaf0f47ebb69ce49cceb0255c5601d2a8eb"
"Other GFE","","","","","","","","","","","","","","0","1","32.177","","","0","0","","","","","","","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-0-14ef5f62b8d8496e45ae24764e93bb6ba331b5e6","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1","root","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-493e8c63bf426087646e3290d7159f2c98a9c156"
"JTIDS","","","","","","","","","","","","","","0","1","16.955","","","0","0","","","","","","","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-1-01fc9181f2556fe696bc23faf13baf846f41bcc3","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1","root","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-493e8c63bf426087646e3290d7159f2c98a9c156"
"Engines","","","","","","","","","","","","","","0","1","14.9","","","0","0","","","","","","","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-2-ece53ac66e02caf0b9613113468b427d8df3226e","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1","root","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-493e8c63bf426087646e3290d7159f2c98a9c156"
"GFE Electronics","","","","","","","","","","","","","","0","0","","","","0","0","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-0-147f247fa8832f3991a18a1fe49dd5638fdbb896","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"GFE Other","","","","","","","","","","","","","","0","0","","","","0","0","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-1-ce83260b523769009b4575f559b06daa70fc8ed3","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"GFE Other","","","","","","","","","","","","","","0","0","15.399","2.599","3.413","0","2.3","","","","","","","d46770dfce4832695015cca5ec653169a7a3eea4-0-9751a6d451e9baf40cc31e60626443033e7ea820","d46770dfce4832695015cca5ec653169a7a3eea4","root","d46770dfce4832695015cca5ec653169a7a3eea4-1c740c048065abe17d290ebf81829771fae14186"
"GFE - Engines T.L.","See End Item P5A","See End Item P5A","14","14","2013","See End Item P5A","2013-01","2013-01","0","0","2013-01","TBD","I think i","0","2","220.195","16.081","15.382","0","15.644","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-0-0502af60c1366e26516d46376875a7575a6f8fb5","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"GFE - Cockpit","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","270.202","","","0","0","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-1-03c87e06da297ba1345017f53ec1ff9d60ba2178","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"Cockpit For FY12 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","","13.103","","0","0","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-2-0a2dfda49196dfa906835b9db6c3ae7865ba856f","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"Cockpit for FY13 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","","","13.154","0","0","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-3-12a889fa083879412427afda5b0cae738606e084","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"Cockpit for FY14 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","","","3.5","0","13.154","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-4-3af7090b493977af989e78494283a958eee42f07","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"Cockpit for FY15 EOQ/Long Lead","See End Item P5A","See End Item P5A","15","15","2013","See End Item P5A","2012-12","2012-12","0","0","2012-12","TBD","I think i","0","1","","","2.25","0","1","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-5-fd04bb5e5a922e57a1601abedafbadbedf4df8ce","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
"A/C Misc Avn","","","","","","","","","","","","","","0","0","102.907","13.915","12.513","0","14.109","","","","","","","e2297bd352948330f7f0eccbc2b20d971294ef74-6-d981a67f284772a551386ab0d9680b9d5ad22982","e2297bd352948330f7f0eccbc2b20d971294ef74","root","e2297bd352948330f7f0eccbc2b20d971294ef74-cbe30f61f43beb39820edf5ff2e39bd2baed9927"
