"Name_@footnote","Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_Continuing_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_PriorYear_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_Total_val","Cost_Quantity_BudgetYearOneOCO_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_Total_val","Cost_UnitCost_BudgetYearOneOCO_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","ManufacturerList_Manufacturer","AllPriorYearsDeliveries_val","IdCode_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","Filter Canisters","","","","0.142","0.142","","","","","","","","","3309","3309","","","","","","","","","","","0.043","0.043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.NonRecurring.CostElementList.CostElement.ManufacturerList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-3-3281bcc532085c5ff01d42971ec9bc98a831281f","","","","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-3-c26d9df335798eb6a72c5373db72187093b57731","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-ad2a15275e61b486c56d77b995da0cb858bb7f0c"
"","WGS SV 4-5 RF Bypass Mod","4.062","0","0","0","0","0","4.062","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-f7212555a7935030c93bec6a4f4c4774bf3c1720","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-d73890d3e6a6bfa2b36023ce3fa0f3afdf99ab2a"
"","Factory Restart","67.76","","","","","0","67.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-cabc92ff15118542daeb17e1ef6d030d965d0215","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90"
"","WGS SV 7 RF Bypass Mod","0.777","","","","","0","0.777","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-768a3c7e5736db750cfe1be0a769f4c09bfc5023","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90"
"","WGS SV 7 Redundant Ports","4.407","","","","","0","4.407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-2-d829f832df2eafd51d53bf70613101d4b9c95144","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90"
"","WGS SV 10 Test Battery Refurbishment","3.5","","","","","0","3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-3-72090e8ce9638f4a337054403fc165ee105e2cd2","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90"
"","WGS B2FO Enhanced Digital Channelizer Implementation","71.891","","","","","0","71.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-4-ba757a222020c12d687728b5b1179c6db180fcea","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-11f55c16ef487b0881e4d10d75d96fd07c370c90"
"","1.2.1) Non-Recur Cost","101.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-b7fd484c61254858ffbe7505246fd16ba4816904","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-dae46bf946ea074b8fc32526953e56401327f3f4"
"Ancillary Equipment: FY13 includes all the Ancillary Equipment for the 3 EA-18G from the Boeing's A-12 Aircraft Litigation Settlement.","1.2.2) Ancillary Equip","431.972","61.8","29.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-1-c35368fde57c7c8a2c9b00c74fbd6283d020455d","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","18e4568b6225cf5817f3b0073e1f99fa78c6f1aa-0-dae46bf946ea074b8fc32526953e56401327f3f4"
"","Factory Restart","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-889385eb8013077791da9eaa0af264f68f9435fb","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-f190d4837d957df9a20a459c70b0e435a069a7ab"
"","WGS SV 7 RF Bypass Mod","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-1-c1deae42a9911cdb879c6c548c887d7d130b1016","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-f190d4837d957df9a20a459c70b0e435a069a7ab"
"","WGS SV 7 Redundant Ports","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-2-446d64065752198af7498b1aa692478221afe133","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-f190d4837d957df9a20a459c70b0e435a069a7ab"
"","WGS SV 10 Test Battery Refurbishment","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-3-e0feeee36b1e165394db9eed1534dfb55d3f0333","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-f190d4837d957df9a20a459c70b0e435a069a7ab"
"","WGS B2FO Enhanced Digital Channelizer Implementation","0","","","","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-4-ebe60206411926714ec5028c7005b8a537578c4b","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-f190d4837d957df9a20a459c70b0e435a069a7ab"
"","Aircraft Vehicle Regeneration","","24.015","34.561","33.165","33.165","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-6d6de6d6536dfd35f3a88a926a68927aad5eb9dd","20dd39857bc423994c22ffc6fee2cc724c64bc48","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-654daeaaf98c0c16aadbef2c4229f690ccd7aad0"
"","Engine Regeneration","","12.561","20.507","15.131","15.131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20dd39857bc423994c22ffc6fee2cc724c64bc48-1-9b2b9deb1e5e2f903e3053a458860044496c9dd1","20dd39857bc423994c22ffc6fee2cc724c64bc48","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","20dd39857bc423994c22ffc6fee2cc724c64bc48-0-654daeaaf98c0c16aadbef2c4229f690ccd7aad0"
"Due to Congressional reduction for cost growth, the majority of efforts tied to FY16 Lot 20 had to be deferred to FY17.","1.2.1) Non-Recurring Cost","860.196","7.624","0.256","7.058","7.058","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-0-d8795142cbdca990a5943df23f6560a358fd02ac","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","22280713174a76e0cb7141642ef20990b40d4483-0-195a943c564cb6ecaf7843d63a4cfbf4a59d2e69"
"Increase due to the need for Mission Auxiliary Tank System(s) required in support of production aircraft.","1.2.2) Ancillary Equipment","144.912","8.751","0","2.244","2.244","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-1-fd1b9988ee7d342b3383111f4e4841c9c938d974","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","22280713174a76e0cb7141642ef20990b40d4483-0-195a943c564cb6ecaf7843d63a4cfbf4a59d2e69"
"","1.2.3) Other","293.844","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22280713174a76e0cb7141642ef20990b40d4483-2-348a1ff8bbaa053bd7b74e8fb582c9ca9aecedb1","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","22280713174a76e0cb7141642ef20990b40d4483-0-195a943c564cb6ecaf7843d63a4cfbf4a59d2e69"
"","1.2.1) Engineering Change Orders (ECO) (Active)","","9.742","4.82","5.872","5.872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24febab206f12e49a266ce58bec118a0b5f41773-0-b3790553e9eee25ad09145618570c6c4c1bee42e","24febab206f12e49a266ce58bec118a0b5f41773","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","24febab206f12e49a266ce58bec118a0b5f41773-0-4a557f23d956f37062f9b3fa2bab63b754eeb121"
"","Hardware NRE","","","","59.05","59.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28db4ed18158a0173a157eb2aff413f08b7772f6-0-16d6f99fd8fb5ddf50d41d31b3e93135257b2782","28db4ed18158a0173a157eb2aff413f08b7772f6","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","28db4ed18158a0173a157eb2aff413f08b7772f6-0-340710899c7925ffe3346c99044e4a9f22bfb6d1"
"","1.2.1) Non-Recur Cost","125.857","0","0","0","0","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2e1e6074e7f761005c59957a9b1c323d09359d95-0-a22f71c5b2066cd184d6e9de7b6c5c58cf7c2e92","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway","2e1e6074e7f761005c59957a9b1c323d09359d95-0-740819a310ed8af229ab69f66fb4a27ea26daebe"
