"FiscalYear_@footnote","FiscalYear_val","PCOLocation_val","AwardDate_@footnote","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","2020","SMC, LA AFB, CA","","2020-02","2025-02","3","163.154","true","2016-02","C","FPIF","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-6b5c51e940db0771ce814ec6624396de93e521ca","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-280c54a687e9e7b7ee6a4ea2cf32457c8430584e","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-09c91fd46221cfc0ba850d8eee3d7df8da650989","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-e4bd1d79022caf2b398f680649135e395f5eae4f"
"","2021","SMC, LA AFB, CA","","2021-02","2026-02","2","211.150","true","2016-02","C","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-7c052908a76f9d4cdfc11472b934f3b8b0f7b787","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-11efd7e2699144bcaea618086e96a33e02788689","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-fb0d6a772f138e828b001e06005953845a758a9e","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-e4bd1d79022caf2b398f680649135e395f5eae4f"
"","2010","SMC, LA AFB, CA","","2010-12","2017-02","1","1693.304","true","2009-09","SS","CPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-4b45bf46ebadc7260044af756a340d0efef4d7b2","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-a8353df82a506a8269f5e780930a439b4faceec4","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-e7d8cd5fd0330387db5e063a766d4e7cedd85e95","76154ffd64abb4e2a0420aed9169e1fe85f4712c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","76154ffd64abb4e2a0420aed9169e1fe85f4712c-1-53b2ed914c34e9e50fa1d222298e307a7a0c9f4f"
"","2012","SMC, LA AFB, CA","","2012-12","2018-06","2","1116.086","true","2012-01","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-d4ed1b03364dc6ee3199377de05c10de4cb7991f","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-c0097fd20c35d753a28356fbdf3069b7c7503992","76154ffd64abb4e2a0420aed9169e1fe85f4712c-0-64d9817356286e0d60be62987dd8b96134037720","76154ffd64abb4e2a0420aed9169e1fe85f4712c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","76154ffd64abb4e2a0420aed9169e1fe85f4712c-4-5964287fe5ce1ab824d9dfcdc0b928c366d4ff19"
"","2014","LAAFB, CA","","2014-04","2019-07","2","224.183","true","2007-07","C","CPAF","","","","","","","","a69036802b162f2edfb4e702e24f4ed65e383d2b-0-61abaa0bb7f9d091ae200dfd7e445753a616fa68","a69036802b162f2edfb4e702e24f4ed65e383d2b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","a69036802b162f2edfb4e702e24f4ed65e383d2b-0-a3f0c8fba6db3a67269912e9688b0f548f7b329a"
"","2015","LAAFB, CA","","2016-03","2021-03","1","257.308","true","2015-03","C","CPAF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a69036802b162f2edfb4e702e24f4ed65e383d2b-1-750c589de38bf2bdd54468eab89500da66da5735","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a69036802b162f2edfb4e702e24f4ed65e383d2b-1-ed4ff66756da3689ef11dea042630619238d8ef6","a69036802b162f2edfb4e702e24f4ed65e383d2b-1-61175cf2fa0dcc8a783eb59c00e73cabcda97aa0","a69036802b162f2edfb4e702e24f4ed65e383d2b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","a69036802b162f2edfb4e702e24f4ed65e383d2b-0-a3f0c8fba6db3a67269912e9688b0f548f7b329a"
"","2006","SMC, LA AFB, CA","","2006-01","2013-07","1","832.268","true","2005-09","SS","CPAF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-86154f1f9cf2496e93eb01b5e40f64498a119e04-0-b84e216b4265966a81311213786d2a7fbd5abc24","0","","","86154f1f9cf2496e93eb01b5e40f64498a119e04-0-d8d471eca3ac282c42117b76d54542098a7e406a","86154f1f9cf2496e93eb01b5e40f64498a119e04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","86154f1f9cf2496e93eb01b5e40f64498a119e04-0-fddd08fceb65a1f6b8925cafbeeef195a11e6c06"
"","2010","SMC, LA AFB, CA","","2010-12","2017-02","1","1693.304","true","2009-09","SS","CPIF","Air Force","","1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-86154f1f9cf2496e93eb01b5e40f64498a119e04-0-0c67dfea5db49500db8f12da588261c216167398","0","","","86154f1f9cf2496e93eb01b5e40f64498a119e04-0-4f651efce512612aa953e30f1df80e1d39b86c67","86154f1f9cf2496e93eb01b5e40f64498a119e04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","86154f1f9cf2496e93eb01b5e40f64498a119e04-1-563ddf45d2afc318e66bee819265450b21d47cc6"
"","2012","SMC, LA AFB, CA","","2012-12","2018-07","2","1295.141","true","2012-01","SS","TBD","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-86154f1f9cf2496e93eb01b5e40f64498a119e04-0-8671c711d00925be83ffd73c9ab7eb14f20f0103","0","","","86154f1f9cf2496e93eb01b5e40f64498a119e04-0-327b6cc2220863ff9bed471c2d146532f01c6e5f","86154f1f9cf2496e93eb01b5e40f64498a119e04","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","86154f1f9cf2496e93eb01b5e40f64498a119e04-0-31717cf1404a65eed19de3a0e178c1b82cce2aa3"
"","2012","LAAFB, CA","","2011-12","2015-12","2","257.000","true","2007-07","C","CPAF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-4731b61208b5681094c8f9570ed3cd5acda43ba5","0","","","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-7c2c96bc5e994761a39392e444edb58c6478ebf6","c7d91e290fe921cf08454d1dd7b0766d783d9f6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-28842b835874896e5bccb6b3a433fb6810b2b1a3"
"","2013","LAAFB, CA","","2013-04","2016-12","2","246.400","true","2012-08","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c7d91e290fe921cf08454d1dd7b0766d783d9f6b-1-38b068e1e73908d8d64bfdd83c315851c7f5cf3a","0","","","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-1-26aaf71022f302c81d1709665f7def153fa27196","c7d91e290fe921cf08454d1dd7b0766d783d9f6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-28842b835874896e5bccb6b3a433fb6810b2b1a3"
"","2014","LAAFB, CA","","2014-04","2017-12","2","201.700","true","2012-08","SS","FPIF","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-c7d91e290fe921cf08454d1dd7b0766d783d9f6b-2-0387417e6c4f05bdf057903a2433a7c22daf0188","0","","","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-2-05ec17c330c86988a82a95f7aad7d84e8188edc5","c7d91e290fe921cf08454d1dd7b0766d783d9f6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-28842b835874896e5bccb6b3a433fb6810b2b1a3"
"","2015","LAAFB, CA","","2015-02","2018-02","2","0","true","","SS","FPIF","","","","","","","","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-09feeec32398501174b1bc4c94ca9b4e03d36954","c7d91e290fe921cf08454d1dd7b0766d783d9f6b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","c7d91e290fe921cf08454d1dd7b0766d783d9f6b-0-7c4b7e065136bead5a43772fdcf6880c03a5f32c"
"GPS IIF Units 1-3","1997","SMC/GP","","2002-11","2010-04","3","114.200","true","1995-02","SS","CPAF","Air Force","Prior Year contracts with undelivered assets have all deliveries occurring before Oct 2011 loaded in the month of first delivery.","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-cbdcc8dd419559e1049a9591d965e2955f2f55da-0-3d71979ff3c0bfab8077ca382d6aa54d960ed7aa","0","","","cbdcc8dd419559e1049a9591d965e2955f2f55da-0-201d86225794be3cc2806615526132daa707e6b4","cbdcc8dd419559e1049a9591d965e2955f2f55da","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement","cbdcc8dd419559e1049a9591d965e2955f2f55da-2-c9cc68fb6b82af50d4463433e5c7e054030efc0b"
