"Name_val","ManufacturerList_P10Manufacturer_Name_val","ManufacturerList_P10Manufacturer_Location_val","ManufacturerList_P10Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_P10Manufacturer_HistoryPlanningList_HistoryPlanning","WhenRequiredInMonths_val","QuantityPerAssembly_val","Cost_AllPriorYears_TotalCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFive_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"For FY16 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-778766a96f9ec3df704348e21413c9f4ebdf869a-3-5349547e47f8881411d20a37e14019f34c07c962","0","0","","0","0","","","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-3-4122b31de08cec436d718d73a31e3feac76ff642","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"For FY17 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-778766a96f9ec3df704348e21413c9f4ebdf869a-4-c292ef11a632ecb97afb7063ee2c8979fbca0d10","0","0","","0","0","","","","","","","","","778766a96f9ec3df704348e21413c9f4ebdf869a-4-8353c59dce5aae4ea41d19845272fa1880f5e2d4","778766a96f9ec3df704348e21413c9f4ebdf869a","root","778766a96f9ec3df704348e21413c9f4ebdf869a-3897f8bd0c72967be0710639968c6d89ba53b985"
"For FY 2013 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9dedd9adb68086e518701fc200ba71bffc2ce5ce-0-85104418f6e764f256d62a1bd81936b6b6eac6ed","0","0","","0","0","","","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-0-fdeae7f81dfdb972d6eec63b8a2cc6927a909044","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"For FY 2014 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9dedd9adb68086e518701fc200ba71bffc2ce5ce-1-c99d0bf1fe7d00fb1e0290f36ba388066bd96fd2","0","0","","0","0","","","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-1-0156811800de01618ff9a069a341958db92e26d8","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"For FY 2015 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9dedd9adb68086e518701fc200ba71bffc2ce5ce-2-5865a652c0f6945a0a20c6180076aaf9aa2ae3c1","0","0","","0","0","","","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-2-f2662e6ec57fe3ff79a097b58850657247e6460d","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"For FY 2016 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9dedd9adb68086e518701fc200ba71bffc2ce5ce-3-13fb2f3273121e45887460eef29361a887776c17","0","0","","0","0","","","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-3-6fb48b351c49bc3c2eee84ff29b1398b9db214b9","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"For FY 2017 EOQ/Long Lead","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9dedd9adb68086e518701fc200ba71bffc2ce5ce-4-f45c9ba7343224c4f589246a81feba7ebd4daca7","0","0","","0","0","","","","","","","","","9dedd9adb68086e518701fc200ba71bffc2ce5ce-4-84f5a68d8ac2431c4a2ed21c9195256db78e33e4","9dedd9adb68086e518701fc200ba71bffc2ce5ce","root","9dedd9adb68086e518701fc200ba71bffc2ce5ce-ff97528d3262cf97d561162593da40b115740474"
"EOQ","See End Item P5A","See End Item P5A","0","0","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-0-db9150f5edd5f3d5a33f444ba5088847cb517065","0","0","","0","20","","","","","","","","","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-0-b3cb5e41d62f3602917a1d25eb518e58f2860d3f","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3","root","9fce5d8218f04c111f7ce63b9eec5e20a96f5fc3-000b78c128d13812f9554e8a9300996002971912"
"Engines","Pratt & Whitney","East Hartford, CT","","","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-b9601951925a3f8d500c4dc71901dd76ff32de73-0-b99a65e230b15dee9804e431cf8e629a12e31ddc","0","","220.776","","80.032","50.375","64.548","106.215","112.162","127.16","129.449","4093.728","4984.445","b9601951925a3f8d500c4dc71901dd76ff32de73-0-441b73ac6948d23d5c3359060554ce66092cba9d","b9601951925a3f8d500c4dc71901dd76ff32de73","root","b9601951925a3f8d500c4dc71901dd76ff32de73-af1e2fefb3a97253539bd22ee0ac7e0e24a5a935"
"Airframe For FY 2013 EOQ/Long Lead","See End Item P5A","See End Item P5A","25","25","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-0-5acfad36f6c3243250dd9d6857b28a97cca3e0a4","0","0","","0","0","38.984","","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-0-c183387d1f5f64552ef36e78e2c398b1c91b7943","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"Airframe For FY 2014 EOQ/Long Lead","See End Item P5A","See End Item P5A","25","25","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-1-fa83c6856a5336fc248c238f3a5b0b7f613f9741","0","0","","0","0","3.037","54.472","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-1-097f9d3978edf82f71f5c11e715ad8d31d70a6df","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"Airframe For FY 2015 EOQ/Long Lead","See End Item P5A","See End Item P5A","25","25","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-2-1479d035f30a6b904215f1dee31f7f67aaa983de","0","0","","0","91.031","1.961","4.047","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-2-e08bfd55aa5d3e2c880e36bc725473eb6d312b71","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"Airframe For FY 2016 EOQ/Long Lead","See End Item P5A","See End Item P5A","25","25","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-3-6a4c14f9a3b57f2a583446f564239985852d2087","0","0","","0","3.775","2.338","3.737","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-3-4f938ee581c1c1644794ea11f69457883f8218c7","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"CC/Avionics For FY 2013 EOQ/Long Lead","See End Item P5A","See End Item P5A","32","32","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-4-795c2564e9f9d675f55ba14d40bbc67d3d82decb","0","0","","0","0","59","","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-4-a8d187e291a33a00b31bd9dbf3badee9f4f4a150","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"CC/Avionics For FY 2014 EOQ/Long Lead","See End Item P5A","See End Item P5A","32","32","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-5-1389345eb630d0af66126ca21d9bac2a86a0c75f","0","0","","0","0","55.586","25.249","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-5-1dbc0aafae776e480c850e495ac0e8d400dbddef","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"CC/Avionics For FY 2015 EOQ/Long Lead","See End Item P5A","See End Item P5A","32","32","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-6-8abcc21d1d9ccaab014051f6c7db6266654e13f1","0","0","","0","40.051","4.5","70.673","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-6-3f40caf5ae780101a12bde650acc0bef47639c46","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"CC/Avionics For FY 2016 EOQ/Long Lead","See End Item P5A","See End Item P5A","32","32","root.record.ItemExhibitList.P10AdvanceProcurementList.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.P10Manufacturer.HistoryPlanningList-c0a6961e6e9f77f90f21e61b49312b87e317185d-7-cdb34711371b035f89de64d8af9f8c536a433b33","0","0","","0","92.396","4.5","2","","","","","","","c0a6961e6e9f77f90f21e61b49312b87e317185d-7-6df31c476cb30cb9abe52efd3d7a622690a830d0","c0a6961e6e9f77f90f21e61b49312b87e317185d","root","c0a6961e6e9f77f90f21e61b49312b87e317185d-58ad5bfa51e28f9e6294a28c5bfc9b89ab750b41"
"Equipment","","","","","","30","","130","","92","0","0","0","0","0","0","0","222","d68f129df2175d626887543e16de0b5cd8f14a06-0-24266a8b5969363350a5602607537fe7279fdc7b","d68f129df2175d626887543e16de0b5cd8f14a06","root","d68f129df2175d626887543e16de0b5cd8f14a06-f9a00bc237e326a6fcde27d98d653057a856f59b"
"Equipment","","","","","","12","","0","","48","0","0","0","0","0","0","0","48","e618bcf4b0056bb092fac231a442094da95cb09d-0-78c67f2d95ddf083fbd11b45532ca413d514e2bc","e618bcf4b0056bb092fac231a442094da95cb09d","root","e618bcf4b0056bb092fac231a442094da95cb09d-4557960009f9afe9dbc5a70e7f3ab57a658f0a34"
"AVIONICS","","","","","","0","","37.969","","0","0","0","0","0","0","0","0","37.969","fc16d6666556af8fa35dfa87991d142c1a508c72-0-126a62d1403c716d3fffefa888f8dd561ed3a1cc","fc16d6666556af8fa35dfa87991d142c1a508c72","root","fc16d6666556af8fa35dfa87991d142c1a508c72-a413749fa6402d2d20ada5e74a6acf8e18c0ec6c"
"EOQ/Long Lead (Prior Years)","","","","","","0","0","364.235","0","0","","","","","","","","","35a0cc5bbb2eef50d7cda5240c35c5520b756179-0-b26267d1b0a9fda6083d0a9e15a3887c24c5d3cc","35a0cc5bbb2eef50d7cda5240c35c5520b756179","root","35a0cc5bbb2eef50d7cda5240c35c5520b756179-25f1043f0d3e2934eb8f89f409c555e6cdad0af4"
"For FY13 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-0-377676cc3de7d688d33a0b367ed095ad529e3724","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"For FY14 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-1-447211c0850159c1e707b984a493dd739b38e938","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"For FY15 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-2-5f8eb0f5b49fc6f4b2a78a70dc852dd7e8a25677","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"For FY16 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-3-f49936d2d06d5a440194b1539d15096357421d38","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"For FY17 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-4-fe60f6044d66e2e822df151be4588ffed0c8b2d3","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28","root","3a6c1a695d3d54554f7a0eb388be6f1d674c7b28-7562f0a6b228bbab1a3c453476cc8ad25712f4f3"
"For FY 2013 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-0-5c1e9da61d633eefe058187eaa20aa469cd4976d","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"For FY 2014 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-1-118753d80d3d5851d72a03f458af3af3c257f249","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"For FY 2015 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-2-4d1ee32f72322544d7b26fb457cbf81b88b7b8fd","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"For FY 2016 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-3-279de04ae5d97df31eb8dfb4f77cbd85029c8214","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"For FY 2017 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-4-4ee9142efa7052a3cd155bdc59d3036def5986aa","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b","root","561610d73d25c1dc38c45b6c3d0d7fa1e48a5b9b-84f5432b99bfadc0e864456923ab496a90a88ef7"
"Equipment","","","","","","30","","130","","0","0","0","0","0","0","0","0","130","67c33ae90f5dce400918e6dd4702f1c0b9329a6e-0-535a99dcf93a76d6d2d4bbe3116c7aa8aeaf18e2","67c33ae90f5dce400918e6dd4702f1c0b9329a6e","root","67c33ae90f5dce400918e6dd4702f1c0b9329a6e-d16a5b5b101c467397c35072aaa5b554ba56667b"
"Engines","","","","","","0","","156.482","","64.548","55.081","50.375","85.368","115.871","112.162","127.16","4289.291","5056.338","9407d887f71ac96f7363403965f907c3ecfbc9a0-0-603ef32d430a1d2536b2145c9f746b75dee9ee77","9407d887f71ac96f7363403965f907c3ecfbc9a0","root","9407d887f71ac96f7363403965f907c3ecfbc9a0-bd7110265d5c3528993816e3f1c1da56f4012901"
"AVIONICS","","","","","","0","","37.969","","0","0","0","0","0","0","0","0","37.969","97699de1dded651031cfc418fd94464828a2d069-0-75b9f0877c11374a9d1a84f59bf91d5c682c5f23","97699de1dded651031cfc418fd94464828a2d069","root","97699de1dded651031cfc418fd94464828a2d069-d3f35adade12248826dd7098e129c956faf5b185"
"Prior Years EOQ/Long Lead","","","","","","0","1","538.598","0","0","","","","","","","","","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-0-d46a78dba5b91bbc633ae102cf49371c3918eda1","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1","root","a52047b42ab2cf30fb9f33f4980c7de03b45f4b1-493e8c63bf426087646e3290d7159f2c98a9c156"
"For FY 2013 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-0-9224863824136f6428a5c831ad443cfcadc92598","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"For FY 2014 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-1-8b0b9f3a815e7bbbddba78b0374b0ef6137fc503","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
"For FY 2015 EOQ/Long Lead","","","","","","0","0","","0","0","","","","","","","","","b4024840b662690bd3b4a347140981a7a88d33f6-2-0040e8448bb6b19d90a86a4533a5b18065e7a356","b4024840b662690bd3b4a347140981a7a88d33f6","root","b4024840b662690bd3b4a347140981a7a88d33f6-f417816ab23b125b916695965a697031bababecd"
