"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","Rate185_@footnote","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"L-3 FUZING & ORDNANCE SYSTEMS INC","","CINCINATTI, OH","6000","20000","10000","","0","0","0","0","0","6","24","30","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-17626826f7f88f773af9cd385b6c2891a3dbf7a4","01a66471d57444735bcfe046df410bd9488b9810-0-37163c30e230e1b1caee13a17d08e7ac0e6e66e9","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-1-454e0bef8b82cccb45fd39af2fad05832ead4b74"
"ATK Tactical Systems (HTVSF)","","Keyser, WV","166","992","773","","0","10","12","22","0","10","12","22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01a66471d57444735bcfe046df410bd9488b9810-0-f1ce8b9068cf4a08434b494f09d6a3ff635532ec","01a66471d57444735bcfe046df410bd9488b9810-0-9a541719229145267136557fecd4989909ae5e47","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","01a66471d57444735bcfe046df410bd9488b9810-2-7032e78df4e96ca8d8641ad592fa5c5d60af9835"
"Raytheon CO","","Tucson AZ","7","75","50","","3","3","24","27","3","3","24","27","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-92364cd61fae1a8856e6d23a6b3ee7e7d3731743","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-6a9305c35b4849e3ec71a8ea6273de6a92fade61","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-0146d6a790e4fc96b97dfd5a26c2d45b2f1d9bba"
"COMBINED SYSTEMS INC.","","JAMESTOWN, NY","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-faf4d8f5ea02e48b970479f537e35283b291e959","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-ba1553c2a912958b60c95571da5348ba39a041f6","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0682c17f2221cffef88bf0c79d0d68ecb9f06bcc-0-8037d1627c0a3153912d115fc901168b31223bea"
"ALLIANT TECHSYS ARMAMENT SYS","","PLYMOUTH, MN","1000","3000","2000","","7","11","12","23","6","6","12","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-a76ba70ae4233ff700f12bb3314fab7c4e5ed9a1","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-2fc4f81c43eb29f7b051dd08b10a47141de479c2","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-83a29f90ba1d98e89a9eafaf0ebbd76e59d28a47"
"GENERAL DYNAMICS ORD AND TACT","","ST PETERSBURG, FL","500","33000","11000","","6","6","11","17","6","6","11","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-575dc067a70f34b6e2464255d5ec4ff2451a9463","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9f74a7172ca6c9399607dfbed1646a7c1d03d647","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b2d9467b248db3b244b293c572d9b1bed929bc39"
"ALLIANT TECHSYS ARMAMENT SYS","","PLYMOUTH, MN","500","33000","11000","","6","6","11","17","6","6","11","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-283ce41f268bf4d8cafc713976ad55c61c3cdae5","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-edca49cb624f6bbb30eda5fc3dde9957175d429e","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b2d9467b248db3b244b293c572d9b1bed929bc39"
"TO BE SELECTED","","TBS02","500","33000","11000","","6","6","11","17","6","6","11","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-f66d5d1117fb404a79e8924cb14cef00573109c2","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-2-2e9fcb9be9f2012d9020ed1d0d9ff0331e8cdedc","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b2d9467b248db3b244b293c572d9b1bed929bc39"
"TO BE SELECTED","","TBS01","500","33000","11000","","6","6","11","17","6","6","11","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-b524cdb0c7f9b9b58f1a794935882832864ea25f","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-3-c6d5245a9b42caa22728a163e9fff0f01f21f468","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-b2d9467b248db3b244b293c572d9b1bed929bc39"
"ALLIANT TECHSYSTEMS INC.","","PLYMOUTH, MN","1000","5000","3000","","6","9","15","24","6","6","14","20","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-fa10d061b76b265a951696020352bcb9345b508f","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-89afb4f56857e5e365aeff3b95919504eed63bc5","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9813b7fad1aff0d7e68c927f651da24852f55635"
"TO BE SELECTED","","TBS01","1000","5000","3000","","6","6","15","21","6","6","14","20","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-ec0ce2e6a40e7b21bdb2cc7cfdbd190faebfa8b5","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-712f8aca7a795c3c7e6b0b44292f355c9775d1fc","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9813b7fad1aff0d7e68c927f651da24852f55635"
"TBD","","TBD","20000","275000","175000","","6","6","30","36","6","6","28","34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-08c99788914618110a36f5ab4ca27fe1253aedb8-0-b0e68f617515185456dcf30067151db698665777","08c99788914618110a36f5ab4ca27fe1253aedb8-0-2902e1cfc1361f9398055e2706f9374fc87c7f73","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","08c99788914618110a36f5ab4ca27fe1253aedb8-0-de14bb90938e2b9f787ae5a15ceaa1c28ee43326"
"AMERICAN RHEINMETALL MUNITIONS","","CAMDEN, AR","50000","450000","200000","","6","6","12","18","6","6","12","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-08c99788914618110a36f5ab4ca27fe1253aedb8-0-8576bddd8745ac1d9e919e75815efe7909e57999","08c99788914618110a36f5ab4ca27fe1253aedb8-0-407359a455bcf56a8d52be01f1aac8efdaabaee4","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","08c99788914618110a36f5ab4ca27fe1253aedb8-0-642f5a03330451351b1b2caa72763844dbb27a61"
"AMERICAN RHEINMETALL MUNITIONS","","CAMDEN, AR","250000","2000000","500000","","6","10","12","22","6","10","12","22","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-08c99788914618110a36f5ab4ca27fe1253aedb8-0-df9a6a5367d9f5289393de3763675f41505672de","08c99788914618110a36f5ab4ca27fe1253aedb8-0-8c171e5ea15bf9059c553b8a466bc151c7d3f099","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","08c99788914618110a36f5ab4ca27fe1253aedb8-0-36642831def4b685515af9bea25a781740a026f1"
"RAYTHEON","","TUCSON, AZ","0.00","0.00","0.00","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-cb0c617d258d03a557f9eae29047d5383aa3572b","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-db5f6bcbc232b5b6fdd8366700895f75ac5b4bfd","0ce061608e991ea9bb4f145a14edfb9c37fd42f8","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-bcc851c52af6f94360a189ecefacc896cace2d15"
"ALFAB","","Montgomery, AL","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-facb06b67b43d6013994e067da5dd09977c455fb","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-9708a5ae0b774031f45ce33113ae147a2ce87a57","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-f69d9ce6f19e34a4c3caef0e489fde1e79ceb25b"
"ALFAB","","Montgomery, AL","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-8ed5684f6d89ae31989a06c314f776c98c47d32c","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-cfb56eee007874ab752cddde5ee81c8ec29b5d86","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-f57ba1b551d15eb945cbb0977c7786d2fc5130b0"
"ALFAB","","Montgomery, AL","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-071d20f23f51d42aec35e6b6953585ee5217bb2d","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-ab870860ce183e003c4473f5ce671b6db5e8fcea","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-2-23e96775bac7ff82d1ee87787aeec6c8d9700f9d"
"CAROLINA GROWLER","","STAR, NC","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-9c4aff31b1ea8ea0ce0601b35c9f6ca941c03e4c","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-7baa3f063e7b83559599826c02b67b471be5f825","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-2652cd758e993ed02b86e1efeb2430f6d402f7f5"
"CAROLINA GROWLER","","STAR, NC","38","305","152","","0","2","18","20","0","2","8","10","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-c41b9fa4276bb529c36d5f2fc5e5afe59683d49a","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-e06c8c80b5e47828cdb097379778ab50eaec8ee0","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-df0d46cb52115a761708f797e7a724fd838bbf25"
"DEVAL CORPORATION","","PHILADELPHIA, PA","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-5e9f31360c4e5443b1251ef49c5096b29a0ee401","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-f01ca2879c7c0efb99bf2955e8f7762f5506141d","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-2028ba623aa313cada8955afad6e6bc0ce657c8e"
"TBD","","TBD","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-240b8cd64885dbfabc87a4e6af56ab4642d191bc","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-e07a1694603d47d5bd9dfa68e0b1ba24a00e9487","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-3f2ec7422ecd0429294992c5eb3de277b3fba208"
"L3 National Security Svc","","Reston, VA","","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-12c4d9b7a502864db4355d490524eca3f7dbbd27-0-a54630da76f2c3e90060884ceb683d04cd3f0d50","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-d579b101056c22e3d0c62c039a0bc738c3cd656d","12c4d9b7a502864db4355d490524eca3f7dbbd27","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","12c4d9b7a502864db4355d490524eca3f7dbbd27-0-ebb382472c68e2c0537e85f3a2eef2f51e5b5167"
"NAMMO Talley Defense Systems","","Mesa, AZ","1000","10000","2500","","12","12","12","24","12","12","12","24","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-c8ab82edb26d11967895b1a672abdd669d93a6de","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-b2a607bd78a9a433d37fd904664c9e83ea63f095","13358a8af49bf2193d8c1fcbff91f4af8f182c5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-eb1d9b7a9b68787cfe27b9fdd3f61708851cad8a"
"NAMMO Talley Defense Systems","","Mesa, AZ","1000","10000","2500","","8","8","31","39","6","6","28","34","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-0a41e1deeb0514779b28c326cdf638c26323e361","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-11d5bc507df81da3f975c388de39895332f1b3aa","13358a8af49bf2193d8c1fcbff91f4af8f182c5e","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","13358a8af49bf2193d8c1fcbff91f4af8f182c5e-0-9155d62d63e86e477351fb83b896c22263c48b29"
"ARETE","","TUCSON, AZ","2","12","6","","0","0","18","18","0","0","18","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-156aa9ca7262cd035757fec582470939a1dd8c4f-0-7c135a6bb173f3deea8353d8f580543d369dc99c","156aa9ca7262cd035757fec582470939a1dd8c4f-0-ec4c87ca60493b44e9be5e7f8aa1fad0ed0328ec","156aa9ca7262cd035757fec582470939a1dd8c4f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement","156aa9ca7262cd035757fec582470939a1dd8c4f-0-b686c2d7cf3f3cdfe671efc5d5fffea792dd1ecd"
