"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","ItemNameSuffix_val","OCO_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2017","AFMC/AAC","2017-05","2018-07","130","0.038","true","2017-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-5-fd978c613559b0efe3cec331341dd25afa14375b","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","","","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-6-2ef5f1999d2b6788f87917e9250137896b13ebdc","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","7ab0d52bda370f7b26c1c5b5bfdb85c6894c074f-1-041190bd2eb136e4a8a52345416e5f46e89a7be4"
"2013","AFMC/AAC","2013-05","2014-07","100","0.035","true","2013-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-0-58d7bc071cb644f0d2c13bf9a2fbd3e42e2b3d26","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2015","AFMC/AAC","2015-05","2016-07","150","0.037","true","2015-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-1-0dfd38551b91fa53bf5e83af47d20a2e94577dfc","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2016","AFMC/AAC","2016-05","2017-07","150","0.038","true","2016-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-2-823348128b55d249267bf9e72cd19d3033b29286","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2017","AFMC/AAC","2017-05","2018-07","130","0.039","true","2017-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-3-9eb0a175bdc4172da616a58e11853a7eb57ed9ca","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2018-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-4-0eb3b9b35996d6170661cfc59152690075cd9817","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2019-01","SS","FFP","","","206b00e57f5725c6a140976462b6501858345ebc-5-9f7654f8e2e70a05c842440cfe383caae42ce877","206b00e57f5725c6a140976462b6501858345ebc","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","206b00e57f5725c6a140976462b6501858345ebc-1-361cce4ec18f58bb65bd7e014153382066cc384b"
"2016","AFMC/AAC","2016-05","2017-07","150","0.049","true","2015-01","SS","FFP","May 2016","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-0-2c16f2b0ad7f46732b08cd746569ca7453a0c81d","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2016","AFMC/AAC","2016-05","2017-07","75","0.048","true","","SS","FFP","May 2016","true","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-c30ec75ebae91b612d82c4522170f1c08fd4c373","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2017","AFMC/AAC","2017-05","2018-07","108","0.040","true","2015-01","SS","FFP","","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-2-04b549f553eee165670b29088b0c3d2c136b7415","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2018","AFMC/AAC","2018-05","2019-07","112","0.039","true","2015-01","SS","FFP","","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-3-f57b147ced266fde5224b8e115e4f40a8be69f0d","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2019","AFMC/AAC","2019-05","2020-07","112","0.040","true","2015-01","SS","FFP","","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-4-c82491a03c84917ffe9aba25d5c872218012410c","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2020","AFMC/AAC","2020-05","2021-07","114","0.040","true","","SS","FFP","","","ef29240e8a8695d224b5fc9048ad3f5397c5b199-5-606ebd953869951ae4b9709e70c7a7aeaf0eb3ef","ef29240e8a8695d224b5fc9048ad3f5397c5b199","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","ef29240e8a8695d224b5fc9048ad3f5397c5b199-1-4712255d8df3eed73b968d36fdb8e627660d6dca"
"2011","AFMC/AAC","2011-12","2013-04","195","0.039","true","2011-05","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-0-b794fcfb8c251476dfb2baae9505ff3e5c5543a2","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2012","AFMC/AAC","2012-08","2013-11","121","0.040","true","2012-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-1-55823650d559e81e031c56914e7ede255b1bc973","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2013","AFMC/AAC","2013-08","2014-11","116","0.040","true","2013-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-2-97a8cfa5622413f239470417807589b7260e68e2","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2014","AFMC/AAC","2014-08","2015-11","147","0.041","true","2014-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-3-21faf92113ccbd11816c0e2ef504ae56882735b4","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2015","AFMC/AAC","2015-08","2016-11","146","0.042","true","2015-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-4-4d247048da30999c8d49bfe58ab66b34cb6fb6ee","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2016","AFMC/AAC","2016-08","2017-11","146","0.042","true","2016-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-5-2cee76e852c6030988c00f755ddf65e0210bcf9a","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
"2017","AFMC/AAC","2017-08","2018-11","145","0.043","true","2017-01","SS","FFP","","","c737eda1306422181a194712d6632307a6d1d517-6-4c2fcbb23f7fdcf0945cbe542582ec0829d79b13","c737eda1306422181a194712d6632307a6d1d517","root.record.ItemExhibitList.P5Item.CostElementCategoryList.AncillaryEquipment.Recurring.CostElementList.CostElement","c737eda1306422181a194712d6632307a6d1d517-1-c4a53b54a489eba86a97b5011861a59a84a0d5e2"
