"Date_val","Title_val","Description_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2013-07","Low-Rate Initial Production","Purchased four low-rate initial production units in FY 2013 that delivered in FY 2015.","476b757879b657f21d613882521fad43f99bb1cb-0-b3aa824d07360def4e634339917abce4c4e0bcdf","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup","476b757879b657f21d613882521fad43f99bb1cb-1-fefb3bb43d6f581842d68c98ee75c612483233a2"
"2011-02","Mission Processor System Integration/Testing","","476b757879b657f21d613882521fad43f99bb1cb-0-0a36ba3d57379819b72d92972cf2771897b9609c","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup","476b757879b657f21d613882521fad43f99bb1cb-2-48f269ebd91381d0e924b62e2f434a3440c8b126"
"2014-11","MS C","Milestone C","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-18d64687a6fbc0daabe8470b22a6088b94d0b14f","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-bffd95f08306bcbb6effbc0debdcd1850992f5a8"
"2016-06","FRP","Full Rate Production","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-1-6d27bd385c3912a14e939450b09704fff12a3a9e","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-bffd95f08306bcbb6effbc0debdcd1850992f5a8"
"2015-12","LHD-8 (USS MAKIN ISLAND)","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-89659bf5a45ce341002a63c875e478f8647fd377","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P3AModificationItemGroup","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a0c79f6aa609dd407f1f6c4df86fc202f4c1f23c"
"2011-09","Improved Sentinel","Undefinitized Contract Action (UCA) awarded. Contract definitized on 5/14/12.","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-1fdf31ad91e5a8779a05eb49ca048512c3b45c20","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2012-12","TPX-57 (Mode 5 IFF)","Contract award for Base year.","96e9013bf0cd887728561605fef05e1c28ff4e4e-1-68230fb47f8d2602740c19bc0dcec4959efbd041","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2015-03","Common Platform Upgrade","Integration began.","96e9013bf0cd887728561605fef05e1c28ff4e4e-2-5ac6556d2c376cffa56e5e781a9ff690f91164f8","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2017-01","North Finding Module","Contract award for Base year","96e9013bf0cd887728561605fef05e1c28ff4e4e-3-b595b13b0b5af63e4583d700f522f82b6cd434a1","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2018-01","Electronic Attack/Electronic Protect","Contract award for Base year","96e9013bf0cd887728561605fef05e1c28ff4e4e-4-a2824a2911846212cd9bef22b82915db8d1fdd10","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2018-01","Signal Data Processor","Contract award for Base year.","96e9013bf0cd887728561605fef05e1c28ff4e4e-5-eb9f19ce63589dc29b4bca7a36d659d8456981a4","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2021-01","Mode S","Contract award for Base year.","96e9013bf0cd887728561605fef05e1c28ff4e4e-6-d6f6632e236fa9fa3872facbb802fbfad4fefe0e","96e9013bf0cd887728561605fef05e1c28ff4e4e","root.record.ItemExhibitList.P3AModificationItemGroup","96e9013bf0cd887728561605fef05e1c28ff4e4e-0-4f7d3104e7b08cdfcf3e7e8cdb9b2ac707fd75e9"
"2011-04","Production IPR","","afd67fa2da5daa969d8e3153e88a6cb75725035b-0-c3883046d8dc84ece7ccfa13fcc1f6abac4b8f4c","afd67fa2da5daa969d8e3153e88a6cb75725035b","root.record.ItemExhibitList.P3AModificationItemGroup","afd67fa2da5daa969d8e3153e88a6cb75725035b-0-1cfdfbeeb9fc0f90944f75d8b2c209d45dd3a216"
"2012-08","None","N/A","d70878766715de85ad69ea99f5811aba91aa1473-0-d82c7193d7daefe1b661757bdbe732afd3c9db09","d70878766715de85ad69ea99f5811aba91aa1473","root.record.ItemExhibitList.P3AModificationItemGroup","d70878766715de85ad69ea99f5811aba91aa1473-0-d46cbefff9c001fd38c24d3cca76c5d976d98708"
"2014-09","LHD-8 (USS MAKIN ISLAND)","","10d01190b0a82c5d54464168aa70bd4314f10d98-0-0778989386340e9396484100dade2adcb9127e9b","10d01190b0a82c5d54464168aa70bd4314f10d98","root.record.ItemExhibitList.P3AModificationItemGroup","10d01190b0a82c5d54464168aa70bd4314f10d98-0-9f062d20fdae78d4fbd366387f9ffe3128949d60"
"2011-04","Production IPR","","40d365317c2695995273930668a57d384a824c91-0-f7fbd2b7b74026855989826327686ec23ac7a1ba","40d365317c2695995273930668a57d384a824c91","root.record.ItemExhibitList.P3AModificationItemGroup","40d365317c2695995273930668a57d384a824c91-0-012f3c4483cb2d642f272681cba0135243a3b5fa"
"2011-06","NRE Contract Award","","63280489ac978b2f311880c8e8237e31824e395c-0-299b01c950e3ad9328ebc86e287d2f5fc467d353","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2012-08","Critical Design Review","","63280489ac978b2f311880c8e8237e31824e395c-1-423736411da9d6ca7656f772a1eb33bb3d40a501","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2013-05","Low Rate Initial Production (MC-130H)","","63280489ac978b2f311880c8e8237e31824e395c-2-751ac9714683b787590181783033f0740b4b5122","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2013-05","Low Rate Initial Production (AC-130U)","","63280489ac978b2f311880c8e8237e31824e395c-3-63a8de22005f691d7f11c7c5ee239b9a8fca27c5","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2014-04","Full Rate Production Contract Award (MC-130H)","","63280489ac978b2f311880c8e8237e31824e395c-4-54078cb02aa730e52a68172d24203e3f2065b6cb","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2014-04","Full Rate Production Contract Award (AC-130U)","","63280489ac978b2f311880c8e8237e31824e395c-5-45485d18dee654baebcd2b56155f4650fc8f0cc3","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-0-92574820abe557995349529fba06c44cead70bfc"
"2013-02","Integration NRE Contract Award","","63280489ac978b2f311880c8e8237e31824e395c-0-fc86941aa5fa003972e134ab45cae14668687bef","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-1-795d7a19fa2c6b873930308e315f560adc7a6537"
"2013-02","Sensor Procurement and A/C Group A/B Kit Contract Award (3 sensors)","","63280489ac978b2f311880c8e8237e31824e395c-1-e39e02b4b7831eb6078171c4a089d35473754ed3","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-1-795d7a19fa2c6b873930308e315f560adc7a6537"
"2013-02","Sensor Procurement and A/C Group A/B Kit  Contract Award   (7 sensors)","","63280489ac978b2f311880c8e8237e31824e395c-2-e306dd77ce11aa86a43b7436d8b28a08cef9ace8","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-1-795d7a19fa2c6b873930308e315f560adc7a6537"
"2014-01","Sensor Procurement Contract Award (13 sensors – 10 sensor installs/3 spare sensors)","","63280489ac978b2f311880c8e8237e31824e395c-3-6b0b2883b73daae1ab53e3ef011e2cef60f2d795","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-1-795d7a19fa2c6b873930308e315f560adc7a6537"
"2012-04","NRE Contract Award","","63280489ac978b2f311880c8e8237e31824e395c-0-30a7d4f7b3321f99fe2790b2a92a3da076c0361c","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-2-4fc021bea0a5a5f871fe31457d7995c277f4d5f4"
"2013-08","Critical Design Review","","63280489ac978b2f311880c8e8237e31824e395c-1-c2bea79ea81c1d8f9e9a210904bb082c798d1179","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-2-4fc021bea0a5a5f871fe31457d7995c277f4d5f4"
"2014-03","C-130 TF/TA Radars Low Rate Initial Production (Qty 4)","","63280489ac978b2f311880c8e8237e31824e395c-2-ac9a6d3318fad386b7af4fd4506047652725c690","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-2-4fc021bea0a5a5f871fe31457d7995c277f4d5f4"
"2015-05","C-130 TF/TA Radars Full Rate Production","","63280489ac978b2f311880c8e8237e31824e395c-3-de2fc19a0b7c86ce7656329085fb1f71d1f417fd","63280489ac978b2f311880c8e8237e31824e395c","root.record.ItemExhibitList.P3AModificationItemGroup","63280489ac978b2f311880c8e8237e31824e395c-2-4fc021bea0a5a5f871fe31457d7995c277f4d5f4"
"2005-02","Milestone B Program Initiation","","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-0-c91f39319c3aa7a73570ac1c0fcde190c416bc41","94ab2faa4a56c35126b0b88f9746bcd3b0f96482","root.record.ItemExhibitList.P3AModificationItemGroup","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-0-d0a6965d90b33915284ea23a776705b21293b7bf"
"2007-08","Milestone C Production Decision","","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-1-dbe84f7e751569467990cba9aab058c5e0991618","94ab2faa4a56c35126b0b88f9746bcd3b0f96482","root.record.ItemExhibitList.P3AModificationItemGroup","94ab2faa4a56c35126b0b88f9746bcd3b0f96482-0-d0a6965d90b33915284ea23a776705b21293b7bf"
"2005-09","Milestone C Acquisition Decision Memorandum Signed","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-dab721700dde909cedfd048c1a101bb20c35d675","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-f4cfa1f84e042be4257b53b9db914301b3e6391d"
"2005-11","Low Rate Initial Production (LRIP) Contract Award","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-1-e09755ce4b2b4373de9e542cfe85354abfea3ff4","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-f4cfa1f84e042be4257b53b9db914301b3e6391d"
"2007-09","Initial Operational Test & Evaluation (IOT&E) Completed","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-d8c27a5da7103e7be466e6210ff2bb6774eee71d","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-f4cfa1f84e042be4257b53b9db914301b3e6391d"
"2008-04","Full Rate Production (FRP) Contract Award","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-3-84f958cee387453652196b846db1f4904b7d3851","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-f4cfa1f84e042be4257b53b9db914301b3e6391d"
"2010-02","Program Initiation","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-74bbbd5fb3770390e8ed35b730a3e8347625b1f7","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-1-f7d9f6da14fca8419b0f3a88f24a182a87fc4de5"
"2011-08","Production Decision","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-1-a0fa4c85abd7e4e3620aa0bd1c434ada1a0bd995","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-1-f7d9f6da14fca8419b0f3a88f24a182a87fc4de5"
"2012-11","Initiate Contract for Block 2.3 Systems Integration Qualification","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-af6ef08d6df6eced567b67d9d468d3e08e1ead12","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-8f3e3a5943953c93b120e1fbdb670076fad82fa0"
"2013-05","Deliver Systems Integration Qualification Aircraft","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-1-2de5966585dbb2cdc09b3a4d6e337c82678aa3ec","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-8f3e3a5943953c93b120e1fbdb670076fad82fa0"
"2013-11","Initiate Contract for Block 2.3 Production","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-fa537abe19e48b683d99ea1ea8a8bb97b6f381bb","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-8f3e3a5943953c93b120e1fbdb670076fad82fa0"
"2014-09","Deliver 1st Production Aircraft","","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-3-aaded812e4d9f2ad442fba565287297d78fdaa95","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-2-8f3e3a5943953c93b120e1fbdb670076fad82fa0"
"2010-02","Program Initiation","Begin Development Effort","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-b601f6e620f52ddb672346acdfda61b879486392","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-4-cba515670682fe8a1881d768e9e3f3b582e01bb3"
"2011-02","Mission Processor System Integration/Testing","GPPU Integrated Logistics Support","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-0-ef5e0758a2fedf2b063015e778791b769e1db10c","94afa63d93a9db193a29b4bb63cac496c5a3ea2a","root.record.ItemExhibitList.P3AModificationItemGroup","94afa63d93a9db193a29b4bb63cac496c5a3ea2a-5-b00323cd54bbbfbd3c5d7b90aeaf4efd74015b81"
"2011-09","Improved Sentinel","Undefinitized Contract Action (UCA) awarded. Contract definitized on 5/14/12.","98c645597320cbf33e3e351a55c9b94b0e174718-0-3a0171e0f157c22cd3886e9667e4d4fb6ee00671","98c645597320cbf33e3e351a55c9b94b0e174718","root.record.ItemExhibitList.P3AModificationItemGroup","98c645597320cbf33e3e351a55c9b94b0e174718-0-746a81fffbd485c263dea349b700555140b4f018"
"2012-12","TPX-57 (Mode 5 IFF)","Contract award for Base year.","98c645597320cbf33e3e351a55c9b94b0e174718-1-6dff121dbed11c8e1083094cf3e8c91a4361deaa","98c645597320cbf33e3e351a55c9b94b0e174718","root.record.ItemExhibitList.P3AModificationItemGroup","98c645597320cbf33e3e351a55c9b94b0e174718-0-746a81fffbd485c263dea349b700555140b4f018"
"2014-01","Common Platform Upgrade","Contract award for Base year.","98c645597320cbf33e3e351a55c9b94b0e174718-2-5e3e1a0562f3a0515818783ed0dbc18b51ae1696","98c645597320cbf33e3e351a55c9b94b0e174718","root.record.ItemExhibitList.P3AModificationItemGroup","98c645597320cbf33e3e351a55c9b94b0e174718-0-746a81fffbd485c263dea349b700555140b4f018"
"2016-01","Cross Domain Solution Network Interface","Contract award for Base year.","98c645597320cbf33e3e351a55c9b94b0e174718-3-043c1d414a8958fa6b10eb2dd5cf4f71224860db","98c645597320cbf33e3e351a55c9b94b0e174718","root.record.ItemExhibitList.P3AModificationItemGroup","98c645597320cbf33e3e351a55c9b94b0e174718-0-746a81fffbd485c263dea349b700555140b4f018"
"2016-01","Signal Data Processor/North Finding Module Upgrade","Contract award for Base year.","98c645597320cbf33e3e351a55c9b94b0e174718-4-4cdfcc895cfa3eefc1e10e7a8c7331b3712b6cf8","98c645597320cbf33e3e351a55c9b94b0e174718","root.record.ItemExhibitList.P3AModificationItemGroup","98c645597320cbf33e3e351a55c9b94b0e174718-0-746a81fffbd485c263dea349b700555140b4f018"
"2011-05","Final ARL C to M Conversion Delivered","Completed","a28d3b0ecb30864fdd84406a3124432a27995ab3-0-4ae6b39e91987ffd47c6633c52e9318edfcfd8a7","a28d3b0ecb30864fdd84406a3124432a27995ab3","root.record.ItemExhibitList.P3AModificationItemGroup","a28d3b0ecb30864fdd84406a3124432a27995ab3-0-a3ad2e20113d512c633f47e09f160d8f6b7de99f"
"2011-08","Production Verification Test","XM205 Tripod","a35f0933c320812a41fabcbb911cdcf8c5310362-0-48f85238b26ffb5bab259b07f67cc59483716c52","a35f0933c320812a41fabcbb911cdcf8c5310362","root.record.ItemExhibitList.P3AModificationItemGroup","a35f0933c320812a41fabcbb911cdcf8c5310362-0-d07b348b95eb07ffbe8311dec355246a92dc162a"
"2011-08","Operational Test","XM205 Tripod","a35f0933c320812a41fabcbb911cdcf8c5310362-1-cfa553b8d6b041b60abcb15239e25d31ed43a68c","a35f0933c320812a41fabcbb911cdcf8c5310362","root.record.ItemExhibitList.P3AModificationItemGroup","a35f0933c320812a41fabcbb911cdcf8c5310362-0-d07b348b95eb07ffbe8311dec355246a92dc162a"
"2012-08","Type Classification - Standard","M205 Tripod","a35f0933c320812a41fabcbb911cdcf8c5310362-2-ce561c0aa27e75bf712ae08ecfa605017c104520","a35f0933c320812a41fabcbb911cdcf8c5310362","root.record.ItemExhibitList.P3AModificationItemGroup","a35f0933c320812a41fabcbb911cdcf8c5310362-0-d07b348b95eb07ffbe8311dec355246a92dc162a"
