"Name_val","Name_@footnote","WhenRequiredInMonths_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_Total_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","QuantityPerAssembly_val","QuantityForBudgetYearList_QuantityForBudgetYear_BudgetYear_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearOne_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearTwo_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_Total_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearThree_val","QuantityForBudgetYearList_QuantityForBudgetYear_Cost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Airframe For FY 2016 EOQ/Long Lead","","0","9.768","85.828","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-3-808c2d6ca67e6b351f42ba11fd8d6c2db5490ffc","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CC/Avionics For FY 2013 EOQ/Long Lead","","0","59","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-4-25cb4eb986aa1274d9e5563e35161ebf1f88b4cf","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CC/Avionics For FY 2014 EOQ/Long Lead","","0","80.835","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-5-b588568a59906fab41bba747e8a5665fdda81247","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CC/Avionics For FY 2015 EOQ/Long Lead","","0","106.063","","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-6-deeba71a6c5a97235ec0e8374d8d69793f71d424","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CC/Avionics For FY 2016 EOQ/Long Lead","Cost Element for CC/Avionics For FY 2016 EOQ/Long Lead increase from the FY 2016 President's budget reflects funds reprogrammed into FY 2015 Advance Procurement to fully fund the Lockheed Martin MYP requirement for the FY 2016 production aircraft.","0","98.978","28.858","","","","","","","","","","","","","","","","0","","","","","","","c501430b1175b85b6e62d1be810a4090e94f5711-7-c79cd00ab674ec0201772e35d586f59f94fa4817","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"Airframe/Engines/Accessories: HC-130J Airframe Equipment","","12","48","","","","","","","48","","","","","","","","","","","","","","","","","e1901f109679ceea55120369cd96092eecbf4e1d-0-f975f6b06da68f8dd2c062604296bb854ce85fae","e1901f109679ceea55120369cd96092eecbf4e1d","root.record.ItemExhibitList.P5Item","e1901f109679ceea55120369cd96092eecbf4e1d-0-e850695d6ad8743fd6ecc6be7a56e94d294ebb93"
"AVIONICS","","0","37.969","0.000","0.000","0.000","0.000","0.000","0.000","37.969","0.000","0.000","","","","","","","","","","","","","","","4b51f1744801e2e2f19536fde3711c8a52e338d7-0-f3345db13be9dc0f9bfb13268e408bb26e986ad2","4b51f1744801e2e2f19536fde3711c8a52e338d7","root.record.ItemExhibitList.P5Item","4b51f1744801e2e2f19536fde3711c8a52e338d7-0-62f3e99334afcbcde541b7e25e9c26faea5afc2d"
"For FY 2016 EOQ/Long Lead","","0","","","","6.003","","","","","","","","","","","","","","0","","","","","","","62e3ce2af18baffa83f679d7875284ce463e069c-0-ed4fd1d246e341c4de568c47577f5346ce49ebc7","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 2017 EOQ/Long Lead","","0","","","","5.203","","","","","","","","","","","","","","0","","","","","","","62e3ce2af18baffa83f679d7875284ce463e069c-1-dabf9a9834b517595af71417f5f48ea6b2dc85ea","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 2018 EOQ/Long Lead","","0","","","","5.203","","","","","","","","","","","","","","0","","","","","","","62e3ce2af18baffa83f679d7875284ce463e069c-2-8fb52dddbf30b590b470cb6588fff6f411e1db0f","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 2019 EOQ/Long Lead","","0","","","","2.802","","","","","","","","","","","","","","0","","","","","","","62e3ce2af18baffa83f679d7875284ce463e069c-3-f1ca85bf2d6158d4e011d7e13f035b34e1ce272a","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"Equipment","","30","130","","92","","","","","222","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-710ef617a38a761d21d54c3003ed8353760f854e-0-13ad4697733202222eaea8681c05e66edb49816d","","","","","","","","710ef617a38a761d21d54c3003ed8353760f854e-0-f945c56a78634298c5fd0f5edff4a493f1c8b4f5","710ef617a38a761d21d54c3003ed8353760f854e","root.record.ItemExhibitList.P5Item","710ef617a38a761d21d54c3003ed8353760f854e-0-08d89d9fe6341ab23aec1918aa142f38ce3cb089"
"EOQ/Long Lead (Prior Years)","","0","364.235","","","","","","","","","","","","","","","","","0","","","","","","","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-1d66f9b1a975952fde2928193b19faa77b1a6735","7a99a0fb25b9c8f7e46000496a3051db1953b0ab","root.record.ItemExhibitList.P5Item","7a99a0fb25b9c8f7e46000496a3051db1953b0ab-0-1146d03046feeccadef10349b6239b989bb3ced9"
"Equipment","","12","0.000","","84","","","","","84","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-9bce669cb085deb46919d9a64da91bf99907b5fc-0-7b6968bb09d9046b32417b26d2d8cc2f19fd127c","","","","","","","","9bce669cb085deb46919d9a64da91bf99907b5fc-0-49a859c93ca5b53bc3e28534bb5c61d89488ca29","9bce669cb085deb46919d9a64da91bf99907b5fc","root.record.ItemExhibitList.P5Item","9bce669cb085deb46919d9a64da91bf99907b5fc-0-57ee6d1a3c45d4d79d6429e4b5b68dd4b28f48b8"
"EOQ","","0","","","20","","","","","","","","","","","","","","","0","","","","","","","c8929f601f33e088b069cfb397f2caf339239d4c-0-cb6257877cd498957f3a8424d0b3defb4c71d065","c8929f601f33e088b069cfb397f2caf339239d4c","root.record.ItemExhibitList.P5Item","c8929f601f33e088b069cfb397f2caf339239d4c-0-e7b4cb428c02e10e3f0b15175df4791fb0209e9f"
"Airframe For FY 2013 EOQ/Long Lead","","0","38.984","","","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-0-4c65aefa87e1ab18e9c6483d29b7c95d8e0f270f","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"Airframe For FY 2014 EOQ/Long Lead","","0","3.037","50.688","","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-1-e768746d03c68ac566ce59009f21b6af61f6d433","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"Airframe For FY 2015 EOQ/Long Lead","","0","1.961","4.047","80.734","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-2-ef0b495a200b837b386edd65d1eeb69883118691","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"Airframe For FY 2016 EOQ/Long Lead","","0","2.338","3.737","3.692","85.828","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-3-a387ba8200040708f1493819a524131f8c00d89d","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"CC/Avionics For FY 2013 EOQ/Long Lead","","0","59","","","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-4-f2e757f5409c695d9e5b0583786f3dc6547aeebb","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"CC/Avionics For FY 2014 EOQ/Long Lead","","0","55.586","25.249","","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-5-92f05b0770feb33b697e42c2b631e5f1c4e8290a","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"CC/Avionics For FY 2015 EOQ/Long Lead","","0","4.5","70.673","30.89","","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-6-ef9c8f188d4f4b64e41e6c8c132daf97cb2a60ea","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"CC/Avionics For FY 2016 EOQ/Long Lead","","0","4.5","2","92.479","20.858","","","","","","","","","","","","","","0","","","","","","","d06f776b3838b9690f014e7de05dcde9225f3675-7-8307cc3a7a8c31ad006f369be44e38e045c41c7d","d06f776b3838b9690f014e7de05dcde9225f3675","root.record.ItemExhibitList.P5Item","d06f776b3838b9690f014e7de05dcde9225f3675-0-e3fc7238fbf8a156c89001a57cce1a2ff3c30136"
"Equipment","","12","","","48","","","","","48","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-d32843718d71c1a25e1b3b3e9a420541746a559a-0-cd4d2d7e45e1d67171e012f2cf33d8e6b01f845b","","","","","","","","d32843718d71c1a25e1b3b3e9a420541746a559a-0-4afc64abb1aba487fbdd91368b2e641d7d7106fb","d32843718d71c1a25e1b3b3e9a420541746a559a","root.record.ItemExhibitList.P5Item","d32843718d71c1a25e1b3b3e9a420541746a559a-0-82e26fcb4f20dde1083fe9a9e67efcafda36c2f0"
"Equipment","","30","130","","92","","","","","222","","","Lockheed Martin","Marietta GA","0","0","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-e615c20672a354eae07583fce3fbefe766b6d6a9-0-4e022db7c9339bfef7c3dbae03bbc99b831ef7d2","","","","","","","","e615c20672a354eae07583fce3fbefe766b6d6a9-0-d6dbe2261b2b41e9d409095ef5a7a67d281feabe","e615c20672a354eae07583fce3fbefe766b6d6a9","root.record.ItemExhibitList.P5Item","e615c20672a354eae07583fce3fbefe766b6d6a9-0-fafb83de16c48dd4bfc4553f4fdd4f14ba6615af"
"AEGIS MYP FY18","","0","","","","48.411","23.485","","","71.896","","","Raytheon","Tucson, AZ","24","24","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-175397800b511b530a13e7475895e0646537d7c2-0-f7bbafa0b0154ce8c1d22f237bcfd09411ddd3cc","1","2018","48.411","23.485","71.896","","","175397800b511b530a13e7475895e0646537d7c2-0-9e9a061de2933f5de87735f70c48cb90cdae6d9d","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"AEGIS MYP FY19","","0","","","","38.307","28.231","20.752","","87.29","","","Raytheon","Tucson, AZ","24","24","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-175397800b511b530a13e7475895e0646537d7c2-1-c76f057fab6c8173d18b84df047e6101cda9e4e2","1","2019","38.307","28.231","87.29","20.752","","175397800b511b530a13e7475895e0646537d7c2-1-73c8900dbfb11e22b6ac3292bb079acc33028f20","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"AEGIS MYP FY21","","0","","","","0","","","","77.445","77.445","","","","","","","","","1","2021","","","77.445","","77.445","175397800b511b530a13e7475895e0646537d7c2-2-4bb859a93d202e9b591f613355c8cbf468b90733","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"AEGIS MYP FY22","","0","","","","0","","","","85.696","85.696","","","","","","","","","1","2022","","","85.696","","85.696","175397800b511b530a13e7475895e0646537d7c2-3-3f61c14e5fb6bc1c9c59c0de6eb55682d58b4417","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"AEGIS MYP FY23","","0","","","","0","","","","35.097","35.097","","","","","","","","","1","2023","","","35.097","","35.097","175397800b511b530a13e7475895e0646537d7c2-4-05fa371df2c0a57ac6e299ede080efa6cc1f747d","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"AEGIS MYP FY17","","0","","","","61.047","","","","61.047","","","Raytheon","Tucson, AZ","24","24","0","0","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.EOQ.APCostElement.ManufacturerList.Manufacturer.HistoryPlanningList-175397800b511b530a13e7475895e0646537d7c2-5-f09f91026ff7135b59e04374b68e7fce864014b9","1","2017","61.047","","61.047","","","175397800b511b530a13e7475895e0646537d7c2-5-1bf7d2d7b96117a4c9150e6fdd967fcf5f75137e","175397800b511b530a13e7475895e0646537d7c2","root.record.ItemExhibitList.P5Item","175397800b511b530a13e7475895e0646537d7c2-0-28a036af5db47b0192f40d5945f2116d95e6c724"
"EOQ","","0","","20","","","","","","","","","","","","","","","","0","","","","","","","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-dbef0074802cbaaf6ff3bfe5b2b7891f8c4134ec","20b10a74b043506ebbab9e1d83b2b4a221106b47","root.record.ItemExhibitList.P5Item","20b10a74b043506ebbab9e1d83b2b4a221106b47-0-ea3e070cedd710ef860ff2679985fe2b2a85a522"
"Airframe/Engines/Accessories: HC-130J Airframe Equipment","","12","0","48","","","","","","48","","","","","","","","","","","","","","","","","33e7e68143013d105037d891ed0134bb701ab456-0-71d14a9be6b1167c2e9884f836b30a9295edc118","33e7e68143013d105037d891ed0134bb701ab456","root.record.ItemExhibitList.P5Item","33e7e68143013d105037d891ed0134bb701ab456-0-b2b13f89e3f324ac4783e4e13cdc428e886e3046"
"Airframe: C-130J Airframe Equipment","","12","0","92","","","","","","92","","","","","","","","","","","","","","","","","4bc32dd1001089379f4d1aba36ef6fbe8990c574-0-72ae74ce767c88eb69218e41407b9753bebfe876","4bc32dd1001089379f4d1aba36ef6fbe8990c574","root.record.ItemExhibitList.P5Item","4bc32dd1001089379f4d1aba36ef6fbe8990c574-0-3b66589dc5b393cab05d93c51578ce72f553b5ef"
"For FY 2016 EOQ/Long Lead","","0","","","6.688","","","","","","","","","","","","","","","0","","","","","","","529acbed71b6d4ab65e5671cc99f85bb79ee328e-0-31d50b36a082ccff134013426f58b952cbb20d8c","529acbed71b6d4ab65e5671cc99f85bb79ee328e","root.record.ItemExhibitList.P5Item","529acbed71b6d4ab65e5671cc99f85bb79ee328e-0-29147839c1bc71de90181cf9b7025d317929f0ed"
"For FY 2017 EOQ/Long Lead","","0","","","5.203","6.993","","","","","","","","","","","","","","0","","","","","","","529acbed71b6d4ab65e5671cc99f85bb79ee328e-1-4f430cbffd977cae461fc0948a71a2a5c467a599","529acbed71b6d4ab65e5671cc99f85bb79ee328e","root.record.ItemExhibitList.P5Item","529acbed71b6d4ab65e5671cc99f85bb79ee328e-0-29147839c1bc71de90181cf9b7025d317929f0ed"
"For FY 2018 EOQ/Long Lead","","0","","","5.203","6.993","","","","","","","","","","","","","","0","","","","","","","529acbed71b6d4ab65e5671cc99f85bb79ee328e-2-5c96fa48ab793849af2d3f8fb327f4c8333de40e","529acbed71b6d4ab65e5671cc99f85bb79ee328e","root.record.ItemExhibitList.P5Item","529acbed71b6d4ab65e5671cc99f85bb79ee328e-0-29147839c1bc71de90181cf9b7025d317929f0ed"
"For FY 2019 EOQ/Long Lead","","0","","","2.802","4.079","","","","","","","","","","","","","","0","","","","","","","529acbed71b6d4ab65e5671cc99f85bb79ee328e-3-8eafc60684984553639e54803569eaed2ab9c445","529acbed71b6d4ab65e5671cc99f85bb79ee328e","root.record.ItemExhibitList.P5Item","529acbed71b6d4ab65e5671cc99f85bb79ee328e-0-29147839c1bc71de90181cf9b7025d317929f0ed"
"Airframe/Engines/Accessories: MC-130J Airframe Equipment","","12","","84","","","","","","84","","","","","","","","","","","","","","","","","cd6fd205ef9862f459ef8178a198b26aaedf652a-0-e9dd26f6f74607451f6e68b75f4ab8a0393cedeb","cd6fd205ef9862f459ef8178a198b26aaedf652a","root.record.ItemExhibitList.P5Item","cd6fd205ef9862f459ef8178a198b26aaedf652a-0-b38944e5ff4dc109e16e663052d29c66ade9f775"
"Airframe For FY 2013 EOQ/Long Lead","","0","38.984","","","","","","","","","","","","","","","","","0","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-2585f0494cc61b3b0c6ea3800e7f451d4952478f","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-a0776f917f94eb6a512f7379720c00ac554ed43e"
"Airframe For FY 2014 EOQ/Long Lead","","0","53.858","","","","","","","","","","","","","","","","","0","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-1-c3e3c37a90e5ad6d09a908a4363c14859a4f0f07","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-a0776f917f94eb6a512f7379720c00ac554ed43e"
"Airframe For FY 2015 EOQ/Long Lead","","0","6.008","80.734","","","","","","","","","","","","","","","","0","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-2-09a2060a050a687b2c535687bd2491b4ba34946f","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-a0776f917f94eb6a512f7379720c00ac554ed43e"
"Airframe For FY 2016 EOQ/Long Lead","","0","6.075","3.693","85.828","","","","","","","","","","","","","","","0","","","","","","","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-3-7eaba4aa893e89957e0a9ed5e8de5bbdf6822d08","fb836cf9fb1059f9b9e962ba2833969a13ccc43b","root.record.ItemExhibitList.P5Item","fb836cf9fb1059f9b9e962ba2833969a13ccc43b-0-a0776f917f94eb6a512f7379720c00ac554ed43e"
