"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_AllPriorYears_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearFour_TotalCost_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_Quantity_val","Cost_Total_UnitCost_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_BudgetYearFive_TotalCost_val","ManufacturerList_Manufacturer","IdCode_val","AllPriorYearsDeliveries_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"JSAM FW - JSAM RW - Configuration Management / Tech Manuals","0","0.749","0","0.072","","0.072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-68367fad115ef55790a02e84cf77c131d5edd4b0","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM TA Mask - Initial Spares/ Support Equipment","0","0","1.585","2.083","","2.083","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-a8cf22be8e806e7c12806979b74c415ff56ea4a8","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM TA Mask - Net Training/ Training Equipment","0","0","0.113","0.438","","0.438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-2-e3dec40290877fae52ce11fde676fd8890ed8b42","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM SA MM53- Training and Support Equipment","0","0","0","1.657","","1.657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-12a92968f0deabd971c61e6831e39918f7e2ec54","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM RW MPU-5 - NET Training / Training Equipment","0","0.2","0.679","0.504","","0.504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-4-0abdb166561edc27f9192410e9203b50940646e2","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM RW MPU-5 - Tooling","0","1.406","0.02","0.829","","0.829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-5-1eee43696dace0fcdf1f1cd7f316a8778137cd9e","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM RW MPU-5 - Initial Spares/Fielding Components","0","0.474","1.173","2.419","","2.419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-6-210913806dcc0bdc0f00ab584b28bad6ba5f81a9","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM SA MM53 - NET Training","0","0","0.325","0.893","","0.893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-7-34975840eb1562203b39a77b22c94d08ace8bc3c","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"JSAM SA MM53 - Initial Spares/Components","0","0","0.686","1.277","","1.277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-8-74456e7483a2e51072795b62220e04658d7f97b6","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ec8c86a4d8a537d620605a6ffc92dfc0bb51d080"
"Spares","0","0.084","0.04","0.072","","0.072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-7b8e45546ecf8eec6523f91054cceee0f7aa4dd1","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-7afcb80dc4811ac30f600753bd0d35f53aa5c38c"
"Technical Data","0","0.001","0.001","0.001","","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-7b83eb6ffadf9205b73fd74f13248c34437ef7c0","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-3-7afcb80dc4811ac30f600753bd0d35f53aa5c38c"
"Care of Supplies in Storage","0","2.031","5.027","3.935","","3.935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-06396a57bb51d31f423e9b75abea0c3b56254ef5","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-4-5f148ae2b0abbac392904946167225cfb82b42aa"
"New Equipment Training","0","0.141","1.368","1.409","","1.409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-d31c4d164657e34e1de7ce3366ea782aea1b3f1f","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item","7decf4224a630959b1809fe5ae8cec39ef0c991f-4-5f148ae2b0abbac392904946167225cfb82b42aa"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","4.652","2.618","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800358cce08c70301c928d86ed1303427af1be6d-0-29b6a975642231b72f58182ee3181e5b59b94a71","800358cce08c70301c928d86ed1303427af1be6d","root.record.ItemExhibitList.P5Item","800358cce08c70301c928d86ed1303427af1be6d-0-cbb49730e9b5b6baa7bef4cb88b685637b08a4e0"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","2.489","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800358cce08c70301c928d86ed1303427af1be6d-1-50168ca0839668f8cd9b5c056459cd508bf2eb62","800358cce08c70301c928d86ed1303427af1be6d","root.record.ItemExhibitList.P5Item","800358cce08c70301c928d86ed1303427af1be6d-0-cbb49730e9b5b6baa7bef4cb88b685637b08a4e0"
"SLRS ENTERPRISE SYSTEMS ENGINEERING AND INTEGRATION","35.646","21.967","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800358cce08c70301c928d86ed1303427af1be6d-2-e845190a2c3577d60149d5dcb99199cc0f7dac7c","800358cce08c70301c928d86ed1303427af1be6d","root.record.ItemExhibitList.P5Item","800358cce08c70301c928d86ed1303427af1be6d-0-cbb49730e9b5b6baa7bef4cb88b685637b08a4e0"
"TECHNICAL MISSION ANALYSIS","7.818","2.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800358cce08c70301c928d86ed1303427af1be6d-3-95a1a8f2f4b902deaadb0a4d2928a82f63a320e3","800358cce08c70301c928d86ed1303427af1be6d","root.record.ItemExhibitList.P5Item","800358cce08c70301c928d86ed1303427af1be6d-0-cbb49730e9b5b6baa7bef4cb88b685637b08a4e0"
"TEST & EVALUATION (WS)","4.4","3.605","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","800358cce08c70301c928d86ed1303427af1be6d-4-2d04d9c343003c5829f508e50222a6effff0af7e","800358cce08c70301c928d86ed1303427af1be6d","root.record.ItemExhibitList.P5Item","800358cce08c70301c928d86ed1303427af1be6d-0-cbb49730e9b5b6baa7bef4cb88b685637b08a4e0"
"INTERIM SUPPLY SUPPORT MATERIAL (PARTS/SUPPLIES)","","","4.87","4.059","","4.059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-aadaef4f080483acf6ba08db7d1d7c33f767b894","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"INTERIM SUPPLY SUPPORT SERVICES/LABOR","","","2.5","1.675","","1.675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-1-bf1f5eddb7adabed977cfe2a1de029513ccba124","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"SLRS ENTERPRISE SYSTEMS ENGINEERING AND INTEGRATION","","","7.9","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-2-261607405a0b25e495c3724c5881181e957e0f68","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"TECHNICAL MISSION ANALYSIS","","","2.462","2.536","","2.536","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-3-e749970f0533a6daa367f3026446b049de4f9066","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"TEST & EVALUATION (WS)","","","1.49","1.24","","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-4-b88945d693f6ab712ceb62ccd43bd145f9d24749","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"RN ENTERPRISE SYSTEMS ENGINEERING AND INTEGRATION","","","14.954","18.852","","18.852","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80ea4f28f4e8c40e53b4073df00452953d577a4a-5-c898f415c3f471cb5271e15977441b5f9415e731","80ea4f28f4e8c40e53b4073df00452953d577a4a","root.record.ItemExhibitList.P5Item","80ea4f28f4e8c40e53b4073df00452953d577a4a-0-47370e4387abfa1e04ecaed32995ad22b2d4d991"
"Logistics Services/Support","","0.563","0.575","0.587","","0.587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-3fc88e8081d10e49725304e56a44dfb35db47a5a","83d015706c30c0fd0fb46f441460f7bb6012acc9","root.record.ItemExhibitList.P5Item","83d015706c30c0fd0fb46f441460f7bb6012acc9-0-1e60606c19faf084a7aaccb8c53b2d5d7f1068a8"
"Training","","0.304","0.35","0.446","","0.446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87689c319860cb39ae8048202a86c5df39e4d7b9-0-5efed37cec1cdd81270fe9d298998bc1804d35d7","87689c319860cb39ae8048202a86c5df39e4d7b9","root.record.ItemExhibitList.P5Item","87689c319860cb39ae8048202a86c5df39e4d7b9-1-a4402341df2fc13e30a0a2bad9a4fa1fffa49b93"
"Fielding","","0.292","0.682","0.302","","0.302","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87689c319860cb39ae8048202a86c5df39e4d7b9-1-c06da6309c143a410649d59582bcb80db4934a2c","87689c319860cb39ae8048202a86c5df39e4d7b9","root.record.ItemExhibitList.P5Item","87689c319860cb39ae8048202a86c5df39e4d7b9-1-a4402341df2fc13e30a0a2bad9a4fa1fffa49b93"
"Stockpile Systems (Nuclear Planning & Execution System)","1.633","0.261","0.267","0.674","","0.674","0.674","0.687","0.701","","","0.715","true","1","1","1","1","","","","","","0.261","0.267","0.674","0.674","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-2e84d7dbbfbb287a0dbd03e112e3bd529778b0b1","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-6683f43497e8de4eb11efb644ce662afea4219e9","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-8c611de655f0794a1194885ee5b8833e2875538b"
"NACT Radionuclide Recapitalization","1.934","1.989","1.857","2.479","","2.479","2.479","2.521","2.571","","","2.622","true","1","1","1","1","","","","","","1.989","1.857","2.479","2.479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-be273beccaf8d2a365ec31133a3746470b6c0bcc","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-a2c7a0a3f5469599489f6ac401d508c5d84ed693","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-8c611de655f0794a1194885ee5b8833e2875538b"
"Nimble Elder Chemical Biological (CB) Analytical Equipment","","","","0.517","","0.517","0.517","0.526","0.537","","","0.548","true","","","1","1","","","","","","","","0.517","0.517","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-760e2039ab878a2d2a9a5c22982bfa3ecd2ad3b5","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-8c1e0adda06dfec12ce3682a5b3558839cd232e7","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-8c611de655f0794a1194885ee5b8833e2875538b"
"IA Situational Awareness/Command & Control","1","0","0","0","","0","0","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-3-5c9a58f42df4106a064cbdd96c262d3fe0d318ae","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-8c611de655f0794a1194885ee5b8833e2875538b"
"Nimble Elder Tactical/Communication Vehicles","1","0.5","0.509","","","","","","","","","","","1","1","","","","","","","","0.5","0.509","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-1d5a73536fedc520b0f48fe9da0217e18bf81f97","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-f79806a743ea622144952cb3ce1f0beff6f1232e","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-1-7a58a10669d8d29bf0654ffe61ee1eb24cee6668"
"Reachback Computational Servers/Data Storage","1.154","0.943","1.05","","","","","","","","","","","1","1","","","","","","","","0.943","1.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList-94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-7e2fd02803a0aca986406579eee266c384856633","","","94b01fd8332e4c8aa69a0b500d1932723638fdcb-0-376abadde0f6c1bbbe6c7e63ffff019bab481ff4","94b01fd8332e4c8aa69a0b500d1932723638fdcb","root.record.ItemExhibitList.P5Item","94b01fd8332e4c8aa69a0b500d1932723638fdcb-2-dbb4527be8f4dcec84cca19c413e738664c6cdc8"
