"Name_val","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_Quantity_PriorYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_Total_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer_Name_val","ManufacturerList_Manufacturer_Location_val","ManufacturerList_Manufacturer_MinimumSustainingRate_val","ManufacturerList_Manufacturer_MaximumProductionRate_val","ManufacturerList_Manufacturer_Rate185_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","ManufacturerList_Manufacturer_HistoryPlanningList_HistoryPlanning","IdCode_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"GEO 5-6 Satellites Debit","-3359.826","","0","-3359.826","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-7-f64f7c1be30c525203b9565b81d29de1a19bbb93","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"GEO 5-6 Systems Engineering & Integration (SE&I)","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-8-b0225d438bee0e7e15ac898c9d9ab6e3c66ccbe0","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"Technical Mission Analysis","","12.275","0","12.275","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-9-987d8304e8757cc7aa2b3820f865f202cc4ec3cb","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-1-f4701c7f296d1f1ee06b80cc11b8bb62f180984a"
"HEO 3-4 Hardware","351.24","","0","351.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-0ce6f741aa8d94b92b470224459fff425917cc5a","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Integration and Assembly","199.338","","0","199.338","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-17b5ffd5d62b40776157678d5d9107cd3b151948","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Enterprise Systems Engineering & Integration (SE&I)","17.487","6.827","0","24.314","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-2a344313b02e08c9682fae7b1420297ceb7b72fd","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Payloads","1149.269","","0","1149.269","","","","","","","","","2","2","","","","","","","","","","574.635","574.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Lockheed Martin Space Systems","Sunnyvale, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-01cb48bdd8dbef542f320b0ec82544b015318621-3-506223a7ed5094ce8e6589e0d31f16a892b56e5c","","01cb48bdd8dbef542f320b0ec82544b015318621-3-541103f2e01d9c96a48b3afc1ab8644d21539eec","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"HEO 3-4 Payloads Debit","-1149.269","","0","-1149.269","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-4-f27236c05a07db57976a0759824c9f136fabeecd","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item","01cb48bdd8dbef542f320b0ec82544b015318621-2-1a2ec7ae9d734715893a95a26c15e510ea8dcb24"
"WGS SV 1-3","533.673","","0","533.673","","","","","","","","","3","3","","","","","","","","","","177.891","177.891","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-c02b7c434d3d5dd6f9333a3bf39f6a7d033e0637","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"WGS SV 4","376.463","","0","376.463","","","","","","","","","1","1","","","","","","","","","","376.463","376.463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-caff40a9f47b32c0cfb2a5af380f90f64307bb44","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"WGS SV 5","338.319","","0","338.319","","","","","","","","","1","1","","","","","","","","","","338.319","338.319","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-2-7f37d5124914033d9a9fd8a1db49589ab4b240ea","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-daf529daad976ae3aae64218fb0f0c2c6c517c7a"
"WGS SV 7","443.532","","0","443.532","","","","","","","","","1","1","","","","","","","","","","443.532","443.532","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0c9c39a029d1aef8067fd70604b5ab193280a35a-0-afe50871918fde9c341c15d92ae5bd1cf229bdb1","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"WGS SV 8","353.925","","0","353.925","","","","","","","","","1","1","","","","","","","","","","353.925","353.925","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0c9c39a029d1aef8067fd70604b5ab193280a35a-1-5c570eacfef57270de2f55809354b7a3f443de2c","","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-bbb4f6d04041e4671a932bdf744b868a0e4d99ff","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"WGS SV 10 (Congressional add)","338.7","","0","338.7","","","","","","","","","1","1","","","","","","","","","","338.7","338.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","Boeing Satellite Systems","El Segundo, CA","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0c9c39a029d1aef8067fd70604b5ab193280a35a-2-41adef1038d73d3eb1ecbcbb75d3e7063a6e2dd9","","0c9c39a029d1aef8067fd70604b5ab193280a35a-2-c7767158875f0fb055e1c4fc4518666946b09be7","0c9c39a029d1aef8067fd70604b5ab193280a35a","root.record.ItemExhibitList.P5Item","0c9c39a029d1aef8067fd70604b5ab193280a35a-1-7f519268af7d58251db540207d76ce37ef9d7322"
"WGS SV 7","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-6011288a2654d9ceec6ecc0af7511b5e90112b05","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"WGS SV 8","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-1-642f856479b24fde16692475ca16647833c1b4b4","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"WGS SV 10 (Congressional add)","0","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-2-56fe84fcef51b8b1e6e51be4a27cabf3888b60be","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe","root.record.ItemExhibitList.P5Item","1def17fdf8f432d0fe0c54bb1c89a7d790ae9ffe-0-69ed349bfab321d31bf19827f1ed5055fb6880d8"
"GPS III SV 03-10","0","0","0","233.763","232.62","1.143","0","1.143","","","","","","1","1","","","","","","","","","","233.763","232.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Lockheed Martin","Denver, CO","0.00","0.00","0.00","0","0","0","0","0","6","66","72","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-4ca221f8a10dcd4e604a42309a14b3ccca45959d","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-8958b4eba2dba100aad7830c83d730d6bc0d1ec2","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"GPS III SV11+","","","2691.281","4652.52","","","","","491.082","558.396","489.461","422.3","","22","","2","3","3","2","12","","","","","211.478","","245.541","186.132","163.154","211.15","224.273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TBD","TBD","0.00","0.00","0.00","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.SpaceVehicle.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-b7e7729ac0b0ec9f1f2d9d97595962cdf7659f7d","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-1-e4bd1d79022caf2b398f680649135e395f5eae4f","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"GPS III SV 03-10 Enterprise SE&I","","","0.408","4.297","1.098","2.272","","2.272","0.124","0.128","0.131","0.136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-2-fd84dd496e382c9977ea06c85535d3fdf94c6a45","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"GPS III SV11+ Enterprise SE&I","","","22.283","34.717","","","","","2.972","3.061","3.153","3.248","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-3-640e32f41003d2efe67f046a2e9661de99ec6be8","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
