"ProgramElementNumber_val","ProgramElementFunding_Quantity_AllPriorYears_val","ProgramElementFunding_Quantity_Total_val","ProgramElementFunding_Quantity_PriorYear_val","ProgramElementFunding_Quantity_CurrentYear_val","ProgramElementFunding_Quantity_BudgetYearOneBase_val","ProgramElementFunding_Quantity_BudgetYearOne_val","ProgramElementFunding_Quantity_BudgetYearTwo_val","ProgramElementFunding_Quantity_BudgetYearThree_val","ProgramElementFunding_Quantity_BudgetYearFour_val","ProgramElementFunding_Quantity_BudgetYearFive_val","ProgramElementFunding_Quantity_ToComplete_val","ProgramElementFunding_TotalCost_AllPriorYears_val","ProgramElementFunding_TotalCost_PriorYear_val","ProgramElementFunding_TotalCost_CurrentYear_val","ProgramElementFunding_TotalCost_BudgetYearOneBase_val","ProgramElementFunding_TotalCost_BudgetYearOne_val","ProgramElementFunding_TotalCost_BudgetYearTwo_val","ProgramElementFunding_TotalCost_BudgetYearThree_val","ProgramElementFunding_TotalCost_Total_val","ProgramElementFunding_TotalCost_BudgetYearFour_val","ProgramElementFunding_TotalCost_BudgetYearFive_val","ProgramElementFunding_TotalCost_ToComplete_val","ProgramElementFunding_TotalCost_BudgetYearOneOCO_val","ProgramElementFunding_AllPriorYears_Quantity_val","ProgramElementFunding_AllPriorYears_TotalCost_val","ProgramElementFunding_PriorYear_Quantity_val","ProgramElementFunding_PriorYear_TotalCost_val","ProgramElementFunding_CurrentYear_Quantity_val","ProgramElementFunding_CurrentYear_TotalCost_val","ProgramElementFunding_BudgetYearOneBase_Quantity_val","ProgramElementFunding_BudgetYearOneBase_TotalCost_val","ProgramElementFunding_BudgetYearOneOCO_Quantity_val","ProgramElementFunding_BudgetYearOneOCO_TotalCost_val","ProgramElementFunding_BudgetYearOne_Quantity_val","ProgramElementFunding_BudgetYearOne_TotalCost_val","ProgramElementFunding_BudgetYearTwo_Quantity_val","ProgramElementFunding_BudgetYearTwo_TotalCost_val","ProgramElementFunding_BudgetYearThree_Quantity_val","ProgramElementFunding_BudgetYearThree_TotalCost_val","ProgramElementFunding_BudgetYearFour_Quantity_val","ProgramElementFunding_BudgetYearFour_TotalCost_val","ProgramElementFunding_BudgetYearFive_Quantity_val","ProgramElementFunding_BudgetYearFive_TotalCost_val","ProgramElementFunding_ToComplete_Quantity_val","ProgramElementFunding_ToComplete_TotalCost_val","ProgramElementFunding_Total_Quantity_val","ProgramElementFunding_Total_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"0205219F","","","","","","","","","","","","817.828","141.528","122.731","151.373","151.373","156.708","153.047","1873.079","163.482","166.382","","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-6585ed20a83f70a46ed37256e6e7b4dbee9fd11c","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-db8a53e3a980303cd5227c2522eb3ebbf95b10d7"
"0205219F","","","","","","","","","","","","","141.528","141.528","122.731","274.104","156.638","152.991","1030.271","163.482","","","151.373","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-5c401549f2ded449b13e426e40a773e92085acd4","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-eb25c2b2a40ea30489ef08f5de8a386b9fe47843"
"0205219F","","","","","","","","","","","","817.828","141.528","122.731","151.373","151.373","156.708","153.047","1873.079","163.482","166.382","","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-1d5cbfaaf7a359fe7fcb95cbc80881817d4b49eb","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-cc244a6a2f23a3392d13c31cf4d2a81feabb6c29"
"0205219F","","","","","","","","","","","","817.828","141.528","122.731","151.373","151.373","156.708","153.047","1873.079","163.482","166.382","","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-95ddb086a7bbfde2a6d7d67fd02f693affbfe0bb","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-27ef6de081b1581c9c18bd6dd5499383228cd43a"
"0205219F","","","","","","","","","","","","817.828","141.528","122.731","151.373","151.373","156.798","153.047","1873.169","163.482","166.382","","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-64b06c786cc669d252ad64174ccaee9dc139d173","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-dc7ebccc7d031a34f13d77548cb387338c6f73f8"
"0205219F","","","","","","","","","","","","","","","151.373","151.373","156.708","153.047","790.992","163.482","166.382","","","","","","","","","","","","","","","","","","","","","","","","","","","40be3a38a9f591087d03d78218ff07382943c389-0-8252f7b9180b1c511163c576da4e8678d5fb523e","40be3a38a9f591087d03d78218ff07382943c389","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","40be3a38a9f591087d03d78218ff07382943c389-0-bc2c9ed1891ad0c22f6bea1d896215bc46931c4f"
"1160403BB","","","","","","","","","","","","255.268","12.412","","","","","1.984","277.695","8.031","","","","","","","","","","","","","","","","","","","","","","","","","","","","476b757879b657f21d613882521fad43f99bb1cb-0-409c7928037de992d0f8bed406eddec7bd909032","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","476b757879b657f21d613882521fad43f99bb1cb-0-b4c3619b97fed3c4a8b24fa57026d8836b0b0600"
"1160403BB","","","","","","","","","","","","","","0.232","1.074","1.074","5.087","3.593","12.953","1.469","1.498","","","","","","","","","","","","","","","","","","","","","","","","","","","476b757879b657f21d613882521fad43f99bb1cb-0-3e75c78dc8a378ed7a72920654d170f5e1a10d5d","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","476b757879b657f21d613882521fad43f99bb1cb-0-cf44ff011e68320108ccbee727dd065a02442586"
"1160403BB","","","","","","","","","","","","0.173","2.413","3.45","2.498","2.498","2.277","4.308","17.619","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","476b757879b657f21d613882521fad43f99bb1cb-0-e388cc04b1f07c15504df8b94291e9a0ba1a0b42","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","476b757879b657f21d613882521fad43f99bb1cb-0-71b79d76c9571e8568454c64c3ca0d5da53d5c8e"
"1160403BB","","","","","","","","","","","","","12.443","11.966","0.677","0.677","3.479","3.573","37.853","2.829","2.886","","","","","","","","","","","","","","","","","","","","","","","","","","","476b757879b657f21d613882521fad43f99bb1cb-0-0a08da2e0e45a6987ddc10d4d3935def8779baf7","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","476b757879b657f21d613882521fad43f99bb1cb-0-e2608c3c1983b40fc2b41bd6fd78087191fdd264"
"1160403BB","","","","","","","","","","","","11.85","16.426","13.465","9.462","9.462","","","51.203","","","","","","","","","","","","","","","","","","","","","","","","","","","","","476b757879b657f21d613882521fad43f99bb1cb-0-11b7beda4e14fcd29b873d014d8e7decd011ca23","476b757879b657f21d613882521fad43f99bb1cb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","476b757879b657f21d613882521fad43f99bb1cb-0-f91a5e017e4282d33b725f5c27bd4042d0155a4b"
"0207134F","","","","","","","","","","","","380.013","","","","","","","380.013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4c39cbe51415af7429d290b3dacf74a30465f591-0-92ca8e9a81b80be7068977656eb00f4b59801325","4c39cbe51415af7429d290b3dacf74a30465f591","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4c39cbe51415af7429d290b3dacf74a30465f591-0-862e55b33a99ad2973ea8c4e4411c9f166a27f44"
"0401119F","","2","","2","","","","","","","","59.537","31.772","7.403","11.837","11.837","","","110.549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-9d9c9a154f14b7f054877b1441e5e52c7882262f","58dffbdaecf7fab4d12e5aabbdad930b930d60b9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","58dffbdaecf7fab4d12e5aabbdad930b930d60b9-0-a0738d5076c73cc53db5fa1f3a5eea99518d4916"
"1160429BB","","","","","","","","","","","","26.105","","","","","","","26.105","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-32b5e5778e1cc13c6b7e7623f3654465d05a363a","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-b4df6c9f8506827ef8ec62e995ae40a57d9d09e6"
"1160403BB","","","","","","","","","","","","5.412","2.183","6.118","7.556","7.556","8.235","12.605","119.644","24.127","53.408","","","","","","","","","","","","","","","","","","","","","","","","","","","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-1-d7364d5f95332cf3ad8cf4ab38c52c36e3b35449","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-b4df6c9f8506827ef8ec62e995ae40a57d9d09e6"
"1160429BB","","","","","","","","","","","","17.191","","","","","","","17.191","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-54dc6c7cf5ae1f68b1c73a6796e99f259303dffc","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-b74f19c281181275f71c2191519102c253f06cbe"
"1160403BB","","","","","","","","","","","","7.744","1.041","0.575","0.408","0.408","0.415","","10.183","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-1-d0cca8ecf249eea76346e6daa5647c3f884ef1a9","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","5be2864b6b5f68f4d5f2d0c8aa4fd636db1fb943-0-b74f19c281181275f71c2191519102c253f06cbe"
"0101213F","","12","12","","","","","","","","","","39.589","32.845","","","","","72.434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-575dd2c2d1b820337096e633bbd318ef5ec07acf","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6285ef83e6275905a019f8f2cac679326cd16eb9-0-6442fe0edc08a71f837f3d97697a901a959eafb8"
"0101213F","","8","","3","4","4","","1","","","","","15.885","28.484","16.94","16.94","13.942","10.027","85.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6285ef83e6275905a019f8f2cac679326cd16eb9-0-bcef51c21a21ba4cb06ae7297ee88277aa652aa0","6285ef83e6275905a019f8f2cac679326cd16eb9","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","6285ef83e6275905a019f8f2cac679326cd16eb9-0-30b283009b772ec1a7ad206a82a73ee0683366ca"
"0101127F","","5","3","2","","","","","","","","66.357","40.273","39.683","44.832","44.832","","","191.145","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-4f8e42c3a1b80c56ad581a880197e1539cb1967b","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","67030172280356a644417b388163caafa063f633-0-9cdb41cbb1dea807b91078e3b98ec99476e0fd67"
"0101127F","","4","1","3","0","0","","","","","","19.254","48.273","42.07","16.709","16.709","","","126.306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67030172280356a644417b388163caafa063f633-0-a8b100968eb7ab61f028961b528d8fbb4341711b","67030172280356a644417b388163caafa063f633","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","67030172280356a644417b388163caafa063f633-0-85bfc1eccf92c6b3af17e7b9c8b87089a539dc96"
"0207224F","","","","","","","","","","","","0.69","","","","","","","0.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93d26bf0eee9cd63df2611427ac947cf884264d0-0-784dd7a906266a93f2de7584eba370da2899be61","93d26bf0eee9cd63df2611427ac947cf884264d0","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","93d26bf0eee9cd63df2611427ac947cf884264d0-0-3ba4c4f6f7724692cf31cd44f6a67d166b3b81e0"
"0302015F","","1","1","","","","","","","","","","24.173","55.4","17.794","17.794","8.64","0","106.007","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","aa449b613f5476c10686c3d71af2e817f2bd33fb-0-b3c5b7cc82152f8a3c9cbb36bff4a257fd817558","aa449b613f5476c10686c3d71af2e817f2bd33fb","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","aa449b613f5476c10686c3d71af2e817f2bd33fb-0-5d61fdb561071e6978784a7691aa492be45d62c1"
"0207138F","","","","","","","","","","","","617.559","163.877","140.64","70.29","70.29","","","992.366","","","","","","","","","","","","","","","","","","","","","","","","","","","","","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-087bd4e1312c5f269af8926b8e6a36f30dd8d6ba","b2c26ce1e78ba44a52067554392835ac6c994ee5","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","b2c26ce1e78ba44a52067554392835ac6c994ee5-0-3137cfd089b8d77542ba5a3fbef2a51f9ec70229"
"0207133F","","2","0","2","","","","","","","","41.662","11.776","2.83","","","","","56.268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-2eb1d55ff3913995605f5c410835ae7b948846c3","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-ccd1d29c1e2047214b0e03308bcb2ad1f04c780a"
"0207133F","","","","","","","","","","","","","","40","","","","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-01a025350630a63e8f76183e77fe31dac19f3e27","c0aaa97b08909bc7881106bbccc837671dcb56a8","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","c0aaa97b08909bc7881106bbccc837671dcb56a8-0-e630b7ba0640e455a35380d2d497851fe81164dc"
"1160403BB","","","","","","","","","","","","","1.366","2.375","","","","1.189","7.38","1.213","1.237","","","","","","","","","","","","","","","","","","","","","","","","","","","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e-0-72cc84af778202f558bbda417f79b38b9bb8fd0e","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d1ca2517faf94ce9efcae2f77bb4e50d14a9bd1e-0-72ea6b138095876d7ac0685ba43e0f3bf8c302de"
"0101126F","","","","","","","","","","","","162.988","","","","","","","162.988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d43470908c90f8cda72aca5cda538277e5eb740c-0-ae02c6ec7a09ad69b635ae7951b6db86c4079245","d43470908c90f8cda72aca5cda538277e5eb740c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d43470908c90f8cda72aca5cda538277e5eb740c-0-380b95ab2c1d2f83a563d864f42ff02d2008f946"
"0101126F","","","","","","","","","","","","49.635","","","","","","","49.635","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d43470908c90f8cda72aca5cda538277e5eb740c-0-1f23fd4083be1751fe268bdc82cf7c90db1e8058","d43470908c90f8cda72aca5cda538277e5eb740c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d43470908c90f8cda72aca5cda538277e5eb740c-0-b92e31163672432155745017f09be5c506b7895b"
"0101126F","","","","","","","","","","","","166.669","","","","","","","166.669","","","","","","","","","","","","","","","","","","","","","","","","","","","","","d43470908c90f8cda72aca5cda538277e5eb740c-0-97f14de16c0d34d8b87c0e4e0818c222e6e99463","d43470908c90f8cda72aca5cda538277e5eb740c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","d43470908c90f8cda72aca5cda538277e5eb740c-0-8acb8979978d2b225ae7419de8bb09836d0f48d1"
"0305202F","","","","","","","","","","","","35.37","5.511","34.471","17.414","17.414","6.942","1.487","101.195","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","f8dba572a747a3eef0598831a37cab54eaa9ff87-0-5c36f186586a0cc062da95a571002fb3b6da0a06","f8dba572a747a3eef0598831a37cab54eaa9ff87","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","f8dba572a747a3eef0598831a37cab54eaa9ff87-0-5dd6d0462de7342e56be5d55f8f2dc67f3f66006"
"0401115F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","5","0","0.4","0","0.000","0","0.4","2","66.1","2","69.8","0","11.8","0","3.5","0","0.000","4","156.6","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-c069d742c54f7610c90b771184c27e06cbe1df51","4bbc89d7eaf8aacc114b630658dc50ad13ce884c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","4bbc89d7eaf8aacc114b630658dc50ad13ce884c-0-9e759ddcbc9ac07bc4ca98854d32aa9bd2227586"
"0305202F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","0.000","0","23.644","0","18.7","0","0.000","0","18.7","0","11.3","0","12.1","0","8.6","0","8.755","0","0.000","0","83.099","623b26c75395e99c34d94c512302e43728d68e67-0-9fec1ad0c92dc11d07b2a68ed8c16fea6f47239e","623b26c75395e99c34d94c512302e43728d68e67","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","623b26c75395e99c34d94c512302e43728d68e67-0-48392706e5eeb2e62bf2ed51dbb2a07973c1e311"
"0305207F","","","","","","","","","","","","","","","","","","","","","","","","0","0.000","0","13.049","0","13.316","0","13.491","0","0.000","0","13.491","0","13.685","0","13.926","0","14.177","0","14.432","0","0.000","0","96.076","ca16302675076d2663282e9f2cfbe844250f4edc-0-09a5e1503101e0f2eacdd13cf26f734ca4e4b43f","ca16302675076d2663282e9f2cfbe844250f4edc","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","ca16302675076d2663282e9f2cfbe844250f4edc-0-5b9a0c9bafde8ef5b259d7cfa82e4da699d1764c"
"0101127F","","","","","","","","","","","","","","","","","","","","","","","","0","425.261","1","38.952","0","6.336","0","0.000","","","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","0","0.000","1","470.549","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-274cf1a46f1f521a25ee3b14f48dbc9af10c57ce","008176b99bc3e2318c128fb469e6c0ccb2a1cb76","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem","008176b99bc3e2318c128fb469e6c0ccb2a1cb76-0-bbcc9c4c958efe12f7808af05324c5913251262e"
