"ServiceAgencyName_val","ProcQuantity_val","MonthlyDeliveryList_MonthlyDelivery","Name_val","AcceptedBeforeOct1_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Navy","1274","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-d025c7352c460604a706633ab77c92583500482f","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-88a848d7d7625dd7e76ffc9e7039de476606bf64","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-b2efb1526cde2b36265f610823407dc8e3bbf32c"
"Air Force","5150","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-17491a6889eb907eb3556fb13fc367a114660fe5","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-84284c97d1c922df4a9d79917ea2bcae2d84b6e4","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-9a2d8fbc896dfae693ece4ac9784d0e282e063a7"
"Air Force","262","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-ea7fc9dcc8f46b2a7d54fb84582068a6865ac5f6","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-52fc18d1e9ef556434ec95abe05397e3affd22c0","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-436a7d935c28d13e97198b71c25f1260ff4afc69"
"Navy","240","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-9835e536d76370a788c2e8d4f38313a2b9c2738d","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-1b8495a967d8062212dcf785f3bf0bc2f8dc8b9c","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-436a7d935c28d13e97198b71c25f1260ff4afc69"
"Air Force","488","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a8ef187bb77fca2f668d60d476d08e61c2372b97","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-80a542c970deba36a5ba871c2cfb2b7ae0ae9572","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-23266a603734ea7cb376c428123f2f6f9f581753"
"Navy","448","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-1-4388bbc3903254b36c4c80c8be0e268320bf2b82","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-1-d150d01c7b6f7a89b67afab117bc4c30ad2f6ee7","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-23266a603734ea7cb376c428123f2f6f9f581753"
"Army","160000","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-5da4169000a1a87f8e1448f6d6c7d7fad9c20853","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-533796cbe966aa4399de434854c06f2e51699b30","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-00c860ff33dd3b7c2ebef89e60ef3e724583968d"
"Army","142399","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-d2c0375afea4bde23b3b8b8ac9ef9795c51dda0d","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-e4ba021518ca8971ef3626f710a67f156c44f0a2","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-2bb34137dd38d4e3f0257cd6c4545a5c781cdf96"
"Army","131233","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-3352b7df3862e757a210f22638caeb36eece4ec8","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-17150021a534f2d3b2ed3b1be75b0b2273883919","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a162cb68c11ed3cdec5f324714e8197648bf977a"
"Army","6200","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-3721a33a15d0a8e99f8bb12b7bc8b680da3f43bd","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-6b0e766f98a19fa4a940c584d0381e027c7c2b7c","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-c9dcf7e6446023572440c1b2e957c1998fd03554"
"United States Special Operations Command","12576","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-4765d34365e7b3f3eb0e9b5b017fb0716c69dac1","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-e60dba4b23ae399c5b9530a2861dc699ce9f71d5","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-7403ff50f563916a3457d219981dd1bcb42685cf"
"United States Special Operations Command","17123","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-047ba694a1ab85c89d11a2ceb5f03f67dfaf02a4","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-436021c8482c1a8c12a35fa39247556f56f00279","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-c88b8426f0b8fef7d2c1cca39c2ac8bfe412bbce"
"United States Special Operations Command","21551","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-76432c5e22ae7c4a2214030041546912f71f2946","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-14d05107f690c56c564cecc43cece4e5037e330c","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-d377d1725fdd010d1dc7a37790fc3b023ebe26d9"
"Air Force","10","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-2606aac2143665c63bd0346600c3e2962bcabb4f","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-bd2abc78cbcfdc2c8bc4951f9b356b31ef8e9c17","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-43eaaacebbd9d688d9cb043272ff927d366fe854"
"Air Force","10","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-a47d4d7b4b11f6ead9184cc036f6c360efe05b8b","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-749c2d92e3de69374df2d101e9e8d32778c15c49","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-603b98fc017b93dc34868d9641096670c6448b32"
"Army","18","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-055a96ed035361103011293796f1b87eb0a2655c","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-e7d12f5fa7966d4495ef4c2d14b5ea7796ead87f","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-f6f7e266981908e77787514ecc28892862b87a78"
"Army","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-e86e6bf26f8172cd7c0ad6a47e2d16407f693b24","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-2afabdf1bceaece6e22739af1e5711104ab54b9a","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-f01d5efae675f098aea72432a44e3a5440db301f"
"Army","7","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.ComponentMonthlyDeliveryScheduleList.ComponentMonthlyDeliverySchedule.MonthlyDeliveryList-7decf4224a630959b1809fe5ae8cec39ef0c991f-0-4ecd966399184145a53500610ed71f692dcf77e1","","","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-d77ad65862a878fcb3348642e3232c919cbb232e","7decf4224a630959b1809fe5ae8cec39ef0c991f","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule","7decf4224a630959b1809fe5ae8cec39ef0c991f-0-31fcd9b812e93559222df54b397b13b1f5917eda"
