"Name_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Air Force Reserve","0","","","","","","","","0.832","","","","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-2-af08bd32384fe27528c709ef0d528e2bd7a451fd","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-378a3c4e225fa34d9fc8a4161f6101c85a5be264"
"Air Force Active","0","","","","","","","","0.385","","","","","","","","287cfe335b97c43b198f0d680705134c5536e8a2-0-00910149fd61f438ffbfde8eaf77eeb2cefdcb24","287cfe335b97c43b198f0d680705134c5536e8a2","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","287cfe335b97c43b198f0d680705134c5536e8a2-0-4fe62abca95585f4eacd716ec157043cb690cc29"
"Air Force Active","20","31","12","12","","","","","0.98","1.922","0.756","0.756","","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-0-32f746e5e1c89f0bd496f30769545e4862286950","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air National Guard","","2","","","","","","","","0.124","","","","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-1-3110008a36a2e0e29f47fe98ed9d5d4520a10643","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Reserve","","6","3","3","","","","","","0.372","0.189","0.189","","","","","2eec920b80ceae7e9897fe687155bf36efdde32b-2-70ed5842341e5e8eaae468012db81853ed330919","2eec920b80ceae7e9897fe687155bf36efdde32b","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","2eec920b80ceae7e9897fe687155bf36efdde32b-0-5ee1aea2e7a7706f7164d73653f5bf1c79ac69b7"
"Air Force Active","","","","","35","36","","","","","","","9.5","12.285","","","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3-0-0da8cb4042885d8c0d68f1c493a98645efb9e352","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","44cfc7410d5aa83e42c0e16dc81c1bbb836b2fb3-0-e5dcdc0c6e51982e133b3b7262310ac78418b805"
"Air Force Active","1","1","2","2","","","","","2.557","2.716","5.534","5.534","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-59258c6f073118fbffd9f17fdf85b593e9c1ae05","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-c261f200a56da035c674564753df40b13d20c83d"
"Air Force Active","4","2","","","","","","","10.585","6.045","","","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-c523f234193d86d26d5c646f4b4361fa8c151e05","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-48d7a7a594be2590cd7bfb1ad529e8b6f31ae905"
"Air Force Active","1","1","1","1","","","","","2.6","2.6","2.6","2.6","","","","","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-7dee71fb133e3cdd3a021473a58c83792e064666","662ecfd7c8e7953a926545f6153c3d5094fdf462","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","662ecfd7c8e7953a926545f6153c3d5094fdf462-0-eeafd563a50f89810841ad350d363b6d62389da6"
"Air Force Active","","","0","0","0","0","2","3","","","4.975","4.975","0.000","0.000","12.483","0.000","789cdf19fd0b4da61a331bbc1ceed5bb917c591c-0-f165cafc35122adea58404e4fd4e6d95ff08773e","789cdf19fd0b4da61a331bbc1ceed5bb917c591c","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","789cdf19fd0b4da61a331bbc1ceed5bb917c591c-0-c9091ede2117d1287751cffd2377444e3aa4cb8f"
"Air Force Active","","","12","12","","","","","","","0.32","0.32","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-09eae83cc74973df9684ccf8abc7bb7094eb4ad1","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-37f6631280edf4b6212a5c23f99dba8493655cca"
"Air Force Reserve","","","3","3","","","","","","","0.08","0.08","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-2ec2a2411141fb8d83cc74e0b0954e84cb2c4ff3","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-37f6631280edf4b6212a5c23f99dba8493655cca"
"Air Force Active","1","2","9","9","","","","","0.000","4.75","14.796","14.796","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-20bf681e422da52eec0f062c7f0619f144f44aa4","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fd31fc51d17e207ed9637cff1e136ed31fe196ab"
"Air Force Reserve","","","1","1","","","","","","","1.644","1.644","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-1-a4143019ec7c1f92136e97362f9a453c5043dbad","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-fd31fc51d17e207ed9637cff1e136ed31fe196ab"
"Air Force Active","","","6","6","","","","","","","1.961","1.961","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-ded589495a2f3c1120bea2ea01e26d0fcccbc559","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-0c84465e89f81828314b9f85aeb5b6c28b3156f7"
"Air Force Active","","","12","12","","","","","","","2.351","2.351","","","","","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-048ce77400b83f97f16d053f6807b384f9354dd7","968e3fc86a5aec93a38d2f8e0380880f966417d4","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","968e3fc86a5aec93a38d2f8e0380880f966417d4-0-2d733e7eee5a72e28f5093b81f8b2774b03f797b"
"Air Force Active","10","28","22","22","","","28","1","1.496","3.007","4.975","4.975","","","5.787","0.213","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-96a47379f142d66a71b0c807bd2ec2d525ae9c0a","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air National Guard","5","1","3","3","","","","13","0.748","0.107","0.678","0.678","","","","2.767","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-ad07d27d13aef886ca2965b04eff83829c1e6168","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Reserve","","1","4","4","","","1","3","","0.108","0.906","0.906","","","0.207","0.638","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-b36dbdd543ac359bf7bb1cee384e37240b814066","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-913cba05582ef5a021532686f0e6caaf41cf63f8"
"Air Force Active","144","79","30","30","","","","","90.713","8.449","9.615","9.615","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-81dbc93b129d9a1e5b9da9d5f747df800973bdc4","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air National Guard","14","55","51","51","","","","","9.833","10.044","16.898","16.898","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-64b540f07439031e66d52a9e342e388c6ea66c93","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air Force Reserve","12","21","58","58","","","","","8.429","3.653","18.589","18.589","","","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-f371c8320b6a8b20330a412ddcde7806e3c6927b","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-e54602ac5e4471c4b4a27f44f99b7b78c25437bd"
"Air Force Active","2","38","33","33","33","6","33","33","1.771","1.447","2.95","2.95","5.91","1.105","3.04","5.25","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-d2be750ecb0328d64bcef416aae84c635e81951c","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air National Guard","","","","","","26","","","","","","","","4.79","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-1-9dd955982f19c8f231a4ad9ca0ffe71f0e49dc38","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air Force Reserve","","","","","","1","","","","","","","","0.184","","","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-2-01ae6651c24dac7f5148b586453cffa7eff7c01e","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-c38f57ab5ff7d5d71eb2a59df00b15faef129ad6"
"Air Force Active","","","","","52","","2","52","","","","","2.027","","3.47","1.37","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-3160950e642a82ec99358d65a8711599a6e9b6a8","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-acace73f1e956e8854b8317f495a8a7c098ec11f"
"Air Force Active","","","","","52","13","","54","","","","","0.000","0.000","","0.000","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-2abad50f630636a5ef44c9f7d0319924e4a499f8","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-2b389786a5fdd5c5deb096423b4ef76154802d15"
"Air Force Active","","2","2","2","4","4","2","3","","5.474","5.497","5.497","13.65","13.328","5.53","10.003","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-69994ea757eb2f7eb3fa4a012a07d8e72a1ca4b0","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-13d581e0a154b2ae763267c6ff75f96650e3151b"
"Air Force Active","2","38","160","160","34","","54","83","0.000","0.000","1.588","1.588","0.718","","0.801","1.092","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-b962009ff47640b8d66890d780898027206cc98e","98195f8e3978cb76b96b9a3ba72fcfe4a0038878","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","98195f8e3978cb76b96b9a3ba72fcfe4a0038878-0-4e3f2a9fd91a1281cfaf19253946d99083b8494a"
"Air Force Active","1","4","8","8","","","","","1.132","4.728","6.718","6.718","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-40be1e089d28058db38b4765a6e60590a3109367","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-7b52469e69d4a902a987e9d117b67a37c88ca768"
"Air Force Active","","2","2","2","","","","","","0.675","0.66","0.66","","","","","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-0-e33a122a9aac5a8a615384597398d4d671b93b79","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","bf9c1f84cf43b78b975c1ea4a267a8a15daa1fbf-1-4ab938c9f214fd25b61c0bff1473b9719fce830c"
"Air Force Active","23","27","30","30","","","13","","7.511","12.333","12.4","12.4","","","5.06","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-032357d80ad1a15f6f8a6fbda5dcab4ad07e47d5","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-e1ab5f6fa0583efc6c251483a8bef0b974314263"
"Air National Guard","","","","","","","11","9","","","","","","","4.281","4.179","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-49508e333d55d21613b5d3053c35aa07d6cf3f10","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-e1ab5f6fa0583efc6c251483a8bef0b974314263"
"Air Force Active","","","248","248","189","189","190","221","","","16.145","16.145","7.778","6.824","7.778","7.778","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-939769100de7c9dfd4cabbdfd920a9ada6fefb24","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-f44373b597516310e15d61ce3a581b4d24449405"
"Air Force Active","442","1733","993","993","757","757","758","883","59.508","44.927","34.608","34.608","29.85","26.105","35.705","29.53","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-ab80e129a50e81c8e66f39b1aac643723cf6fdd4","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air National Guard","59","324","197","197","14","14","86","34","2.6","10.335","5.028","5.028","6.863","6.047","6.863","6.863","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-8abdf94e959c6e12c84e2ea0a16789450b772ded","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-fca085bdf6a6b791641a76ea7fabcc2fe58cc1ec"
"Air Force Active","","","234","234","172","196","275","213","","","0.571","0.571","0.337","0.027","0.318","0.335","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-b79069f2c95568ae031bf980cabc33714f26062a","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-6377be9d8cc79d026c7cf0e296b595717af376e9"
"Air Force Active","352","100","938","938","737","782","1100","851","1.142","4.667","2.282","2.282","6.347","5.109","1.27","7.462","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-25f29af0c3f9cc6e35c906d8743c360692e973db","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air National Guard","38","96","104","104","99","106","149","116","0.124","0.069","0.31","0.31","0.183","0.015","0.173","0.866","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-ab9e19de5e1e1eb5a27bc58cc9ab6398bbd441dc","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-006d3c118fae97417a9ce1e9a038b5ba2492e38e"
"Air Force Active","15","15","25","25","8","","21","21","48.614","16.341","30.032","30.032","8.4","","27.369","33.469","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-a873218027ec2527850df3acdb9eab0e8b44bcd3","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3391076311372087e46245f853488cecc5bb6f71"
"Air National Guard","2","3","","","7","13","","","1.68","5.727","","","9.602","6.339","","","d134a540fa3fd220d7cf3d1675eccc495774b4a6-1-a7b148e1e0e32f8ef52e9542aa637704468e0f22","d134a540fa3fd220d7cf3d1675eccc495774b4a6","root.record.ItemExhibitList.P3AModificationItemGroup.ModificationItemList.ModificationItem.Installation.ImplementationMethodList.ImplementationMethod","d134a540fa3fd220d7cf3d1675eccc495774b4a6-0-3391076311372087e46245f853488cecc5bb6f71"
