"Name_val","Recurring_CostElementList_CostElement","Recurring_CategorySubtotal_TotalCost_AllPriorYears_val","Recurring_CategorySubtotal_TotalCost_PriorYear_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","Recurring_CategorySubtotal_TotalCost_BudgetYearOne_val","Recurring_CategorySubtotal_TotalCost_CurrentYear_val","Recurring_CategorySubtotal_TotalCost_Total_val","Recurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","Recurring_CategorySubtotal_TotalCost_BudgetYearThree_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFour_val","Recurring_CategorySubtotal_TotalCost_BudgetYearFive_val","Recurring_CategorySubtotal_TotalCost_Continuing_val","Recurring_CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_AllPriorYears_val","CategorySubtotal_TotalCost_PriorYear_val","CategorySubtotal_TotalCost_BudgetYearOneBase_val","CategorySubtotal_TotalCost_BudgetYearOneOCO_val","CategorySubtotal_TotalCost_BudgetYearOne_val","CategorySubtotal_TotalCost_CurrentYear_val","CategorySubtotal_TotalCost_ToComplete_val","CategorySubtotal_TotalCost_Total_val","CategorySubtotal_TotalCost_BudgetYearTwo_val","CategorySubtotal_TotalCost_BudgetYearThree_val","CategorySubtotal_TotalCost_BudgetYearFour_val","CategorySubtotal_TotalCost_BudgetYearFive_val","CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CostElementList_CostElement","NonRecurring_CategorySubtotal_TotalCost_CurrentYear_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneBase_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOne_val","NonRecurring_CategorySubtotal_TotalCost_PriorYear_val","NonRecurring_CategorySubtotal_TotalCost_AllPriorYears_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearOneOCO_val","NonRecurring_CategorySubtotal_TotalCost_ToComplete_val","NonRecurring_CategorySubtotal_TotalCost_Total_val","NonRecurring_CategorySubtotal_TotalCost_Continuing_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearTwo_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearThree_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFour_val","NonRecurring_CategorySubtotal_TotalCost_BudgetYearFive_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-ea303a612c4ca3fde2efafcf143fa90f0b202e9c","5.685","4.212","3.614","","3.614","3.715","","","","","","","","5.685","4.212","3.614","","3.614","3.715","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-95b9c8beab7ec86573ba7f10a98561e5e8baff98","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-6675a19833ac40597fae76707fa126c89571eec1"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-9c613405438c6bc0e45f11531ad12ea5ca9f01b3","360.355","18.603","14.606","","14.606","14.133","","","","","","","","360.355","18.603","14.606","","14.606","14.133","","","","","","","","","","","","","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-e5eb820192ee0241cf00a41002eadb665132e8e7","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-1-162c559a7efd38f078ac88d652e0d25ffab2d54d"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-4e7dfb4faef86f61aa0a13658e7777666de04575","","35.335","38.192","","38.192","34.64","","","","","","","","","37.089","40.343","","40.343","34.64","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-3540b5a523188a364e838ea5f25f252a6dff41f6","","2.151","2.151","1.754","","","","","","","","","","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-0-8321d3a50ba30813db6107efea4017e319ecccbd","07dc99995f7ad9dc25cf3f0335d23daf034a0d38","root.record.ItemExhibitList.P5Item","07dc99995f7ad9dc25cf3f0335d23daf034a0d38-4-a21ced491b3b2a27b2aff8c196fe11eea90f22f2"
"","","","","","","","","","","","","","","","1.05","0","0","0","0","0","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-0856e8d1049ce4094573476f378103b2d0c7c16f-0-6b2cffbbea277642b9a489b89d8522a318f47d31","0","0","0","0","1.05","0","","","","","","","","0856e8d1049ce4094573476f378103b2d0c7c16f-0-1a8337e6abda0a3a0da283ecf900f543f526676b","0856e8d1049ce4094573476f378103b2d0c7c16f","root.record.ItemExhibitList.P5Item","0856e8d1049ce4094573476f378103b2d0c7c16f-0-0def1e7f71609fb050995345800f3bd89e9927ad"
"B542-CTG, 40MM HEDP LNKD M430","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-08c99788914618110a36f5ab4ca27fe1253aedb8-0-abc2a52094fc249cf14dd0fec5243ae657d688db","148.172","6.688","","","","","","","","","","","","148.172","6.688","","","","","","","","","","","","","","","","","","","","","","","","","","08c99788914618110a36f5ab4ca27fe1253aedb8-0-0de296fc0bb06f495bf2fcc32e1781355f01a47a","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item","08c99788914618110a36f5ab4ca27fe1253aedb8-0-e4c6adfe41cdb9efa82806d96e300ae69265a17e"
"BA21-CTG, 40MM PRACTICE DAY/NIGHT MK281 MOD 3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-08c99788914618110a36f5ab4ca27fe1253aedb8-1-42cc9caf002121fc2c25ee2d00467c5dfb890429","40.356","","14.758","0.539","15.297","","","","","","","","","40.356","","14.758","0.539","15.297","","","","","","","","","","","","","","","","","","","","","","","08c99788914618110a36f5ab4ca27fe1253aedb8-1-292f3aa1a133d5249c2b657916bdd26d251f52b3","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item","08c99788914618110a36f5ab4ca27fe1253aedb8-0-e4c6adfe41cdb9efa82806d96e300ae69265a17e"
"BA35-CTG 40MM PRACTICE DAY/NIGHT M1110","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-08c99788914618110a36f5ab4ca27fe1253aedb8-2-58c734a095c8b565d17a2a519068e97d10ad7cd2","36.408","7.375","","","","","","","","","","","","36.408","7.375","","","","","","","","","","","","","","","","","","","","","","","","","","08c99788914618110a36f5ab4ca27fe1253aedb8-2-a638f618c235ac86754e928d6861c623a8ca660e","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item","08c99788914618110a36f5ab4ca27fe1253aedb8-0-e4c6adfe41cdb9efa82806d96e300ae69265a17e"
"PRIOR YEAR CUMULATIVE FUNDING","","","","","","","","","","","","","","","122.007","","","","","","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-08c99788914618110a36f5ab4ca27fe1253aedb8-3-73e329b1f9cff9f887dcc0a5eee0366876cd232b","","","","","122.007","","","","","","","","","08c99788914618110a36f5ab4ca27fe1253aedb8-3-6182a5a511060a1f0f4a51047163b248cdb486d1","08c99788914618110a36f5ab4ca27fe1253aedb8","root.record.ItemExhibitList.P5Item","08c99788914618110a36f5ab4ca27fe1253aedb8-0-e4c6adfe41cdb9efa82806d96e300ae69265a17e"
"MINIATURE AIR LAUNCHED DECOY","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-999e836edf6312e7ad4f0ddbb9c9425aee94223d","","88.475","97.212","","97.212","152.038","","","","","","","","","88.475","97.212","","97.212","152.038","","","","","","","","","","","","","","","","","","","","","","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-330a11cd80e256c126dada926183157a7742c5bd","0ce061608e991ea9bb4f145a14edfb9c37fd42f8","root.record.ItemExhibitList.P5Item","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-7322c9be46b540ccdad7503ca5cf386c79ccce87"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0d4377f9ab964d53dc0d9413bc4abff231d61463-0-98eaac0baa8175b25bcc190e91f8ac422d730f30","78.179","0.072","","","","","78.251","","","","","","","103.015","0.072","","","","","0","103.087","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-0d4377f9ab964d53dc0d9413bc4abff231d61463-0-3eacfc103b34cbc2bc2a456ca6a4f24d710fa5a2","","","","","24.836","","0","24.836","","","","","","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-bf82682211a3e4e83bb55cd06be3f7f5685aea11","0d4377f9ab964d53dc0d9413bc4abff231d61463","root.record.ItemExhibitList.P5Item","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-9c09bae81eed83be0af2a779183f71511d0beb45"
"","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0d4377f9ab964d53dc0d9413bc4abff231d61463-0-00b0adb9ff096c426246dfcff0d6f31d5ae940d0","","","10.773","","10.773","","","20.462","28.196","30.925","30.945","true","","","","10.773","","10.773","","","","20.462","28.196","30.925","30.945","true","","","","","","","","","","","","","","","0d4377f9ab964d53dc0d9413bc4abff231d61463-0-9f03005c567621e90939632a62e10a4a3e78127a","0d4377f9ab964d53dc0d9413bc4abff231d61463","root.record.ItemExhibitList.P5Item","0d4377f9ab964d53dc0d9413bc4abff231d61463-1-8a4ade959a865e872db6f03aa57fff16eb48fe3c"
"","","","","","","","","","","","","","","","62.683","65.252","58.614","","58.614","62.319","","","","","","","","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.NonRecurring.CostElementList-0eeb201d434d2955fb31a40759d2911ddc6973e2-0-ea8d7e62d8ffa6ada76be8df880893385d37bea1","62.319","58.614","58.614","65.252","62.683","","","","","","","","","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-053f052d245bf47b33686f9d68f88fb481663cad","0eeb201d434d2955fb31a40759d2911ddc6973e2","root.record.ItemExhibitList.P5Item","0eeb201d434d2955fb31a40759d2911ddc6973e2-0-5597143a17684c49632d3c16d55851df854f2d6a"
"(SE010) EAF Surfacing Equipment","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-8eb9298127d372c7ef7ed21391921c6bde06f12e","0","2.918","3.297","0","3.297","3.184","","","","","","","","0","2.918","3.297","0","3.297","3.184","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-36686e374a509e47add81cc0319d84210f91804b","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
"(SE860) Acceptance Testing and Evaluation - Surfacing","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList-0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-f058040cb1264a4d82b726b4730a2727ed7a6d93","0","0.156","0.712","0","0.712","0.314","","","","","","","","0","0.156","0.712","0","0.712","0.314","","","","","","","","","","","","","","","","","","","","","","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-1-b7da3dfca68198ae7c48a489e948c8d0142c02a0","0f3b5b23d44d4ecc35d109c2c574b63a84c12160","root.record.ItemExhibitList.P5Item","0f3b5b23d44d4ecc35d109c2c574b63a84c12160-0-058d3a6802918c055d9db6d074907243b20207ae"
