"Name_val","Name_@footnote","Location_val","MinimumSustainingRate_val","MaximumProductionRate_val","Rate185_val","InitialQuantity_AdminLeadTimeBeforeOct1InMonths_val","InitialQuantity_AdminLeadTimeAfterOct1InMonths_val","InitialQuantity_ProductionLeadTimeAfterOct1InMonths_val","InitialQuantity_TotalLeadTimeAfterOct1InMonths_val","ReorderQuantity_AdminLeadTimeBeforeOct1InMonths_val","ReorderQuantity_AdminLeadTimeAfterOct1InMonths_val","ReorderQuantity_ProductionLeadTimeAfterOct1InMonths_val","ReorderQuantity_TotalLeadTimeAfterOct1InMonths_val","HistoryPlanningList_HistoryPlanning","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-48da7b22f47112f62526b4360961a64d0c08278a","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-8f0679abc4abf585a45c40d98732444c1b7e45e8","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-2-db93b558bec424ebbe553721560b800afd0391e7"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-b4251fafc4831c24553360a2e38094a7f464f0a4","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-b36c365211683b2ab8aedf50b210ea12cb18cf1f","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-3-9805f153f9c5742d0c9347cd7828634f157cdf40"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-b3f425c78c93044e02ad35f7f5101b2f6eaa3ea9","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-4ad475c0d01f51bc670ae669ceccaaf68047961a","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-4-cfec024a8e0a1edeaf7ec703ed1bb856657662ab"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-41d8a7a3636dfd16692677d625a04fc060cf3a15","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-f3cea6650048c6f489af1edb8d14a7b74a892e34","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-5-ec346f510aed5a7efc158d5d66d815ecd771049e"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-7f261f5ff933785418209ac1bc3a61c56786b82a","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-b735c70eae49b129376fb1a9d40956c27b81e355","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-6-ec322434d520a87266709eac33be7fd285a130b2"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-6a52fd7fc0517a3d8b602c09e2dcd462ebe8d0cf","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-1c7e83096608d454ee0706e4838aadefce5e902a","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-7-d75c91ec4c60407bea9875bee092e00ee1e3dab6"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-23df02d4ab23877403505b849e9e30785e0b3e90","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-969b7a9c404dd9c755df7c639312e58076a82666","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-8-304bb14bbf274de6ce6b92002967cc5c7d1eb83c"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-e2bfb022cc083d42c8fbd0c450adc4384aaf9898","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-912184b6c2780a32fccfda8121e882517bd595b1","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-9-94bf239c6b790bd06ab0c7d70e3defd7abf7e43c"
"Griffon Aerospace Inc.","","Madison, AL","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-249e46d48b74f71c2d66375a15c9723f19a226c0","05f3d20bf97cf889b04bf11a72c518aef82e92a4-0-44bd5d668f94446f6fa922374105c18c5ac57162","05f3d20bf97cf889b04bf11a72c518aef82e92a4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","05f3d20bf97cf889b04bf11a72c518aef82e92a4-10-e7deb2039be2fc30ed3e971a29f071cfd724c64f"
"General Dynamics4","","Phoenix, AZ - TGS(DECGS)","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-10fdb9221acd0c40596f1d61980189fd64007ac9","0741a57148a7370e69404170cd88e66b1f8cdc97-0-4a313b00c58d76d4fd18abf506277fd64035f970","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-0-82d9bfdff36a6dd96f2da1b2ab7209cf3727a954"
"General Dynamics6","","Taunton, MA - (IPC V1)","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-0bc1f13648ae59c1a07471858906bbf414295858","0741a57148a7370e69404170cd88e66b1f8cdc97-0-b5202ba3b67d9d49fd657210543b553b5a6acc13","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-2-07551a17ec63cc26ba7cc75dbbce77c06ccd51a3"
"CACI","","Elkridge, NJ (OGS)","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-c9b3098ea361a8aa78c3d25a716ef6128fece73b","0741a57148a7370e69404170cd88e66b1f8cdc97-0-099310d176d2a8d0c3b915d76b9c403718b1e4cb","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-3-5d39d84feafc62d03725349beb4d97c619cf911b"
"General Dynamics2","","Taunton, MA -  (IPC V2)","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-c2a0a0f17f946a86f29212814b30a925082d27a8","0741a57148a7370e69404170cd88e66b1f8cdc97-0-4ab12931f4ef64f822997d1d122ce0219b99bb22","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-6-3e165dbf2bc4211e0891718be054c472217314f6"
"General Dynamics5","","Taunton, MA - MFWS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-5bbddf1fd0a059b36bc7977839f5ce6a070c07ef","0741a57148a7370e69404170cd88e66b1f8cdc97-0-baf620f943c5dace256f2fef8f847bfa3c328ce9","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-7-05eaedf115ffe67677ffb9b865c63e2310fe89a2"
"General Dynamics1","","Taunton, MA - GWS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-9d94e85c988ded349ee5b19e25ebfdb2d2b78107","0741a57148a7370e69404170cd88e66b1f8cdc97-0-072eaa04bcb310cecc48b685118356bf08ada1a4","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-8-eb455060499553adad3c9cd3c44d26c3ff07426a"
"General Dynamics5","","Taunton, MA - MFWS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-c2d6fbe46ecc77ca212326b4aa5367e417480061","0741a57148a7370e69404170cd88e66b1f8cdc97-0-2ca733fbbb1f5f233bca4ca7b998214c602af8e4","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-10-6d5ca4c9b012c08dced2886dea8b48374df1a78f"
"General Dynamics2","","Taunton, MA - IFS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-66dda2cc6d42f26782014ce432c5a99a6df37b94","0741a57148a7370e69404170cd88e66b1f8cdc97-0-15585cafb71d4f963aa6cccbf113aeb721a6ef1f","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-11-3274cc9dc2b08668f0110ead89a465d8faa61706"
"General Dynamics5","","Taunton, MA - MFWS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-55ca9688134ae360163c237d1acb3c02dbae0be9","0741a57148a7370e69404170cd88e66b1f8cdc97-0-9005399c46e23bd2c0f3939e9375e0b4b23d4556","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-12-9e52cab4ea5c5bb5190cb3432097624212f8d330"
"General Dynamics5","","Taunton, MA - MFWS","","","","0","0","0","0","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0741a57148a7370e69404170cd88e66b1f8cdc97-0-9cf5ff29187c35abf54500a1358ea6d140270daa","0741a57148a7370e69404170cd88e66b1f8cdc97-0-d00fbd671155bbbd5c8ac64b1fee8501f0b5c8e6","0741a57148a7370e69404170cd88e66b1f8cdc97","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0741a57148a7370e69404170cd88e66b1f8cdc97-13-16351cb7dca5d685ed81673d0defe3c9d09440da"
"BEECHCRAFT DEFENSE COMPANY, LLC","","HBC","24","96","82","0","0","0","0","0","6","11","17","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0768f43221782b7e463bf0c1de2bf2208b7a674b-0-05ada3a1f282a58f06ec23ecfcba216d5af60510","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-1b64d07c24b71643441ef347a21c1dc5c11070f2","0768f43221782b7e463bf0c1de2bf2208b7a674b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0768f43221782b7e463bf0c1de2bf2208b7a674b-0-458516d71d021894a7e9a90664124f0ef090fc40"
"Bell Boeing","","Ridley Park PA, Ft. Worth TX and Amarillo TX","16.00","44.00","25.00","0","0","0","0","0","9","40","49","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-093acf038559e24184a8c8ac7cc477f3c62c43af-0-0404687bead3979b721fd8eb287b1147b9c9dbb8","093acf038559e24184a8c8ac7cc477f3c62c43af-0-3d7741bcc404c73b31c60e6cffb43a566ae21a0b","093acf038559e24184a8c8ac7cc477f3c62c43af","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","093acf038559e24184a8c8ac7cc477f3c62c43af-0-e79b21b5dd2012857ec99acad6c565327ae68c8f"
"TBD","","TBD","1","10","10","0","6","3","9","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-09a0162a088a60586f34136f2aaba9651da27f67-0-1cde73d85d243b3b77294aa165a0dec251e0f97f","09a0162a088a60586f34136f2aaba9651da27f67-0-58c6c78fe5dc8b4cf80a82aafc671bb4a090d77f","09a0162a088a60586f34136f2aaba9651da27f67","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","09a0162a088a60586f34136f2aaba9651da27f67-9-10494f4495203561bae36db3c14b59b42aa1603c"
"TBS","","TBS","1","25","15","0","1","3","4","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b019e9859b658925f8cc253738f656dc7f9a9ee-0-97a4536ebb444bff9912db28444b67d2d9ec1374","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-9eebfcb044d76eb29f1d2d9fd5839c798dc1f8f1","0b019e9859b658925f8cc253738f656dc7f9a9ee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-fc09ce1b1b1af17f038c5f50a2cc234757d5f285"
"TBS","","TBS","10","750","500","0","5","5","10","0","0","0","0","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b019e9859b658925f8cc253738f656dc7f9a9ee-0-cf696a5fa1749ae25888bf57f946f49df2ebadfa","0b019e9859b658925f8cc253738f656dc7f9a9ee-0-77f87303212f116249f9a163462c714850ebb4ea","0b019e9859b658925f8cc253738f656dc7f9a9ee","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0b019e9859b658925f8cc253738f656dc7f9a9ee-1-7b579014192b9d10719cb4d112d725b86d185e71"
"Smiths Detection","","Edgewood","2","18","5","0","0","0","0","0","2","11","13","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-4e920ca497276bc8c498d5897df1a43cbc996de8","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-3334c62a91da4a0ac8def4846c40376398b935db","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-468e1a210c63633f10d9cec1388c908967b2e907"
"Pine Bluff Arsenal","","Pine Bluff, AR","1","5","5","0","4","10","14","0","2","8","10","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList-0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-7b6f00531fd2d363560c6bb8992c405a01ed01af","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-1-6ccef68f36b5879d28b4acd78133733ccd1b3fa8","0b89057bc4c074ca43d800323dbfe9fbbffd59f3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Flyaway.Recurring.CostElementList.CostElement","0b89057bc4c074ca43d800323dbfe9fbbffd59f3-0-468e1a210c63633f10d9cec1388c908967b2e907"
