"FiscalYear_val","FiscalYear_@footnote","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","FundingVehicle_val","ContractMethod_val","ContractType_val","RFPIssueDate_val","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2013","","DTRA","2013-09","2013-11","1","0.749","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-11584dacc15c2cbf01a9f36ff1fb60c6a45f55b2","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-e1f7f87266603dd6671762dbb12a3c79cececc64"
"2014","","DTRA","2014-03","2014-05","1","3.350","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-8f1af881c50f609f92323b2dcf185f600c9aaeff","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-9afc48dc15548587518f78c0a6ed7feac458d8e6"
"2013","","DTRA","2013-03","2013-05","1","4.928","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-a2d46e5efb3116aeafa6e3b0a9e65aacb45ba7ac","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-9afc48dc15548587518f78c0a6ed7feac458d8e6"
"2014","","DTRA","2014-06","2014-07","1","0.196","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-6cfd2c030e4dda14f3e0b5fe61b3fba2221dc3ec","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-93f78e093671ddc3100815b86eeecb0c2b0bf9bd"
"2013","","DTRA","2013-06","2013-07","1","0.050","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-cdbc5094ef8db7461cfabce3ffb2c51cf3d3d0b3","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-93f78e093671ddc3100815b86eeecb0c2b0bf9bd"
"2014","","DTRA","2014-03","2014-05","1","0.222","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-80ce16710a74936c8fe2737009c6440711884358","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-89e4be5fee8d7a95f609b261fbe7eb4f90951390"
"2013","","DTRA","2013-08","2013-09","1","0.500","false","","C","Various","","","22fbfba3006f3424a4d8436320a36bedf4eb643c-1-9ebdbbb082a20f8771acc3cc96c8da615ab8af33","22fbfba3006f3424a4d8436320a36bedf4eb643c","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","22fbfba3006f3424a4d8436320a36bedf4eb643c-0-89e4be5fee8d7a95f609b261fbe7eb4f90951390"
"2012","","AFMC/AFLCMC","2011-11","2012-11","5","0.863","true","","C","FFP","2010-12","","312b2c88d247f5d7320c92f47afa70e1f171872d-0-08b00a63cbfa5d4d415c80f662965f50d8f5ef3f","312b2c88d247f5d7320c92f47afa70e1f171872d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","312b2c88d247f5d7320c92f47afa70e1f171872d-0-c5f08fbcd3400d302359528275daf1fd0311d89f"
"2013","","AFMC/AFLCMC","2012-10","2013-10","4","0.119","true","","C","FFP","2011-11","","312b2c88d247f5d7320c92f47afa70e1f171872d-1-24ab1b3e6c4169d6aea51dadc191f1bc619ae8ed","312b2c88d247f5d7320c92f47afa70e1f171872d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","312b2c88d247f5d7320c92f47afa70e1f171872d-0-c5f08fbcd3400d302359528275daf1fd0311d89f"
"2014","","AFMC/AFLCMC","2014-03","2015-10","3","0.172","true","","C","FFP","2013-04","","312b2c88d247f5d7320c92f47afa70e1f171872d-2-d9e805edafcf470df0ed18dc5eea60df91b28485","312b2c88d247f5d7320c92f47afa70e1f171872d","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","312b2c88d247f5d7320c92f47afa70e1f171872d-0-c5f08fbcd3400d302359528275daf1fd0311d89f"
"2015","","DTRA","2015-05","2015-06","1.000","0.261","false","PO","","","","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-30c2d35398a47bf10f90ac1a942d4b0455affba2","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-a09dded21360c7f956ff15d28a2d406d7730e103"
"2014","","DTRA","2014-05","2014-07","1.000","0.684","false","PO","","","","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-1-daf99d65bfdd98f56b4ac080af9283df0bf3ee43","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-a09dded21360c7f956ff15d28a2d406d7730e103"
"2013","","DTRA","2014-05","2014-07","1.000","0.235","false","PO","","","","","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-2-872859bea5b2645272386c52bdbd74a755200327","6d9868edf3ffbf4d6733bce623e4af00ee6d91be","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Logistics.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","6d9868edf3ffbf4d6733bce623e4af00ee6d91be-0-a09dded21360c7f956ff15d28a2d406d7730e103"
