"@projectCategoryName","Cost_PriorYear_TotalCost_val","Cost_CurrentYear_TotalCost_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOne_TotalCost_val","Number_val","Title_val","CostElementList_Construction_PriorYear_TotalCost_val","CostElementList_Construction_CurrentYear_TotalCost_val","CostElementList_Construction_BudgetYearOneBase_TotalCost_val","CostElementList_Construction_BudgetYearOne_TotalCost_val","CostElementList_Construction_BudgetYearOneOCO_TotalCost_val","CostElementList_Equipment_PriorYear_TotalCost_val","CostElementList_Equipment_CurrentYear_TotalCost_val","CostElementList_Equipment_BudgetYearOneBase_TotalCost_val","CostElementList_Equipment_BudgetYearOne_TotalCost_val","CostElementList_Equipment_BudgetYearOneOCO_TotalCost_val","CostElementList_EquipmentInstallation_PriorYear_TotalCost_val","CostElementList_EquipmentInstallation_CurrentYear_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneBase_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOne_TotalCost_val","CostElementList_EquipmentInstallation_BudgetYearOneOCO_TotalCost_val","CostElementList_ContractorSupport_PriorYear_TotalCost_val","CostElementList_ContractorSupport_CurrentYear_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneBase_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOne_TotalCost_val","CostElementList_ContractorSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_Other_BudgetYearOneBase_TotalCost_val","CostElementList_Other_BudgetYearOne_TotalCost_val","CostElementList_Other_CurrentYear_TotalCost_val","CostElementList_Other_PriorYear_TotalCost_val","CostElementList_Other_BudgetYearOneOCO_TotalCost_val","CostElementList_OtherInHouseSupport_CurrentYear_TotalCost_val","CostElementList_OtherInHouseSupport_PriorYear_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneBase_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOne_TotalCost_val","CostElementList_OtherInHouseSupport_BudgetYearOneOCO_TotalCost_val","CostElementList_CorpsOfEngineersSupport_PriorYear_TotalCost_val","CostElementList_CorpsOfEngineersSupport_CurrentYear_TotalCost_val","EndItemSupportedModel_val","MilestoneList_InitialProjectAward_val","MilestoneList_FinalProjectAward_val","MilestoneList_ConstructionComplete_val","MilestoneList_EquipmentInstallationComplete_val","MilestoneList_ProveOutBegins_val","MilestoneList_ProveOutComplete_val","MilestoneList_FinalDesignComplete_val","MilestoneList_ConceptDesignComplete_val","NarrativeExplanation_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Production Support","5.434","","","","5123297","Process Tank Replacements","2.123","","","","","2.038","","","","","0.266","","","","","0.433","","","","","","","","0.574","","","","","","","","","Research & Development Explosives (RDX)/High Melt Explosives (HMX)","2013-03","2013-03","2015-08","2015-08","2015-08","2015-09","2013-06","","Procurement dollars in the amount of $5.434 million support the replacement of the process tanks at Holston Army Ammunition Plant.  The existing tanks have been in service for over 30 years; tank failures create safety hazards and cause extensive equipment damage and production interruptions.  Implementation of new process tanks and mixing technology will significantly reduce the risk of catastrophic tank/equipment failure related to the age and degradation of the tanks.  It will also lead to decreased downtime and efficient maintenance repair techniques.  Energy savings will be achieved through improved insulation techniques on the tanks and upgrades to the steam systems that supply heat to the process tanks.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-f1f48293346deb6f48692af28bd4af9c359b881f","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","1.41","","","5133563","Dinitroanisole (DNAN) & Nitrotriazalone (NTO) Wastewater Treatment Removal","","0.254","","","","","0.888","","","","","","","","","","0.06","","","","","","0.182","","","0.026","","","","","","","2, 4-Dinitroanisole (DNAN); 3-Nitro-1, 2, 4-Triazol-5-One (NTO)","2013-06","2013-06","","2014-09","2014-10","2014-12","2014-03","","FY 2013 Base procurement dollars in the amount of $1.410 million support design and installation of a pilot unit to treat Dinitroanisole (DNAN) and Nitrotriazalone (NTO) wastewater treatment at Holston Army Ammunition Plant.  This project will provide the data to purchase and install equipment for pilot scale testing.  DNAN and NTO nitration produces waste that requires additional treatment.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-04326250d42b1d785222b7768c130b2184e2b983","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","1.095","","","5133578","Mitigate High Melt Explosives (HMX), Pump Grinding Technology (Predesign)","","","","","","","","","","","","","","","","","","","","","","","1.095","","","","","","","","","","CXM-11, CXM-9, CXM-10, TYII, LX-14, PAX-2A, PAX-3, PAX-48, PBX9501, PBXN-9","2013-08","2013-08","","","","","","","FY 2013 Base procurement dollars in the amount of $1.095 million support preliminary design of pump grinding technologies for production of High Melt Explosives (HMX) B/2 and HMX B/5 while improving safety, quality and capability for these growing products.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-b393f1698791c7835fe09bc1817a0f87bbd48e9c","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","0.697","","","5133579","Holston Landfill Expansion (Design)","","","","","","","","","","","","","","","","","","","","","","","0.697","","","","","","","","","","Research & Development Expl(RDX), High Melt Expl(HMX), Insensitive Mun(IM)","2013-03","2013-03","","","","","2013-03","","FY 2013 Base procurement dollars in the amount of $0.697 million support design of expanding the existing landfill site at Holston Army Ammunition Plant (AAP).  Due to extensive disposal and demolition efforts at Holston AAP, the current landfill site will meet its full capacity by Fiscal Year 2017 if the landfill area is not expanded.  In addition, the landfill is required to comply with state environmental regulations for the disposal of coal combustion residues and non-hazardous materials.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-8-08d7e7ea55cd1e41d13f444e71a4315721fef83b","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","0.537","","","5133581","National Emission Standards, Hazardous Air Pollutants (NESHAP) Requirements","","","","","","","","","","","","","","","","","","","","","","","0.537","","","","","","","","","","Research & Development Explosives (RDX)/High Melt Explosives (HMX), IM","2013-04","2013-04","","","","","2014-04","","FY 2013 Base procurement dollars in the amount of $0.537 million support the identification, selection and design of future pollution controls for the coal-fired steam plant at Holston Army Ammunition Plant (AAP).  The Environmental Protection Agency (EPA) has amended its current emission standards, adding new regulated substances to the list of emissions that must be controlled.  The effort will ensure Holston AAP complies with EPA regulations.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-9-03aac423720630ea8f0d174831b0eee8cb14b3f1","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","","4.042","","","51X3673","Insensitive Munitions (IM) Weak Nitric Acid Recovery (NAC/SAC)","","","","","","","","","","","","","","","","","","","","","","","4.042","","","","","","","","","","IM Explosives (IMX)-101, IMX-104, Picatinny Arsenal Expl (PAX)","2013-06","2013-06","","","","","2013-06","","Base procurement dollars in the amount of $4.042 million support the design for a Nitric Acid Concentration/Sulfuric Acid Concentration facility at Holston Army Ammunition Plant (AAP).  This facility will recover the spent acid used in IMX-101, IMX-104 and other dinitroanisole (DNAN) and nitrotriazalone (NTO) Insensitive Munitions explosives bases.  This project will provide Holston AAP with the capability to re-concentrate spent Nitric Acid to avoid hazards and increased costs related to Ammonia Nitrate Solution waste disposal.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-10-27634f42b7de9b311a58dfbc1aa98ed61ddfd387","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","0.584","","","","5123679","Bridge No. 29, Testing and Analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","0.584","","","","","","All DNAN, NTO, HMX, and RDX Products","2012-04","2012-04","","","","","","","Procurement dollars in the amount of $0.584 million support ultrasonic testing of Bridge 29 pins and eyebars and perform analysis to determine the current bridge safe load capacity.  A routine bridge inspection performed by the US Army Corps of Engineers, Rock Island District, in June 2011, required ultrasonic testing and load analysis.  This effort will avoid production interruption and ensure operational safety.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-11-acc31b49f167130fbd53288c20c061c6d4db0fd5","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-eb8b9ccc242e90d80b8338d999a7694673313b4f"
"Production Support","1.2","","","","5123393","Primary Electrical Distribution System Upgrade","1","","","","","","","","","","0.143","","","","","0.057","","","","","","","","","","","","","","","","","155mm Artillery, 120mm Tank, Modular Artillery Charge System (MACS)","2012-10","2012-10","2014-09","","","","","","Procurement dollars in the amount of $1.200 million support modernization upgrades to the current primary electrical distribution system at Iowa Army Ammunition Plant.  Power outages and fluctuations generate surges that damage computer-controlled machinery on production and support equipment.  The existing primary electrical system requires frequent repairs and poses safety hazards to operational and maintenance personnel.  This project will provide continued, uninterruptable electrical service throughout the installation.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-0-1907fbce52ff67966803f7b99e0f826ca951492e","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","","0.571","0.571","5143630","Rebuild Restrooms and Break Rooms, Line 3A Production Area","","","0.464","0.464","","","","","","","","","","","","","","0.027","0.027","","0.08","0.08","","","","","","","","","","","105mm, 155mm, and 75mm Artillery","2013-12","2013-12","2015-06","","","","2014-01","","FY 2014 Base procurement dollars in the amount of $0.571 million support this effort to rebuild nine restrooms, enhance functionality of five break rooms, and miscellaneous work related to the production workers' quality of life improvements, morale and sanitation improvements.  This effort will improve the quality of work environment at Iowa Army Ammunition Plant.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-c57a982fb45ddef56ee4e46235aaffae10cda2b1","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","","0.414","0.414","5143632","Upgrade Restrooms, Line 3 Production Area","","","0.322","0.322","","","","","","","","","","","","","","0.019","0.019","","0.073","0.073","","","","","","","","","","","105mm Artillery, 155mm Artillery, 75mm Artillery","2013-12","2013-12","2015-06","","","","2014-01","","FY 2014 Base procurement dollars in the amount of $0.414 million support this effort to upgrade restrooms in the active production areas of Line 3.  This effort will improve the production workers' quality of life, morale and sanitation requirements.  This effort will improve the quality of work environment at Iowa Army Ammunition Plant.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-2-736fb437961329e9e973cf3375f740e2d5074b7b","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","","3.116","3.116","5143687","Line 3A Melt Pour Loader","","","","","","","","2.443","2.443","","","","0.477","0.477","","","","0.038","0.038","","0.158","0.158","","","","","","","","","","","Artillery, Mortars","2013-12","2013-12","","2015-06","2015-07","2015-07","2014-01","","FY 2014 Base procurement dollars in the amount of $3.116 million support effort to provide a new melt pouring loader on Line 3A at Iowa Army Ammunition Plant that support explosive materials to include trinitrotoluene, Composition B, and newer insensitive formulations.  This new system will reduce scrap volume and improve cast quality.  It will also decrease downtime, cleanup time and costs.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-3-09fc16179ae5769ba1b248d886c48ddf98ea1ce7","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","","1.703","1.703","5143688","Projectile Preheat Oven, Building 3A-04","","","","","","","","1.073","1.073","","","","0.168","0.168","","","","0.036","0.036","","0.426","0.426","","","","","","","","","","","High Explosive (HE) Artillery, Mortars","2014-01","2014-01","","2014-09","2016-01","2016-01","2014-01","","FY 2014 Base procurement dollars in the amount of $1.703 million support this effort to provide a new projectile preheat oven in building 3A-04 at Iowa Army Ammunition Plant.  Projectiles filled with Insensitive Munitions Explosives-101 (IMX-101) require a higher temperature preheat than with trinitrotoluene-based material.  The current oven configuration will not allow complete uniform projectile preheat or the ability to preheat IMX-101-filled projectiles.  The new oven will be capable of supporting both current and future production on Line 3A and reduce the preheat time of projectiles.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-4-5dccf47f2975bd00d9e9ec18b49df03e3138f4b5","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","5.346","","","5133573","Natural Gas Service, Main Heat Plant & Boiler, Building 1-62","","2.9","","","","","1.127","","","","","0.491","","","","","0.201","","","","","","0.627","","","","","","","","","","105mm/155mm Artillery, Primers, Tank Ammunition, FASCAM","2012-11","2012-11","2015-02","2015-02","","","","","FY 2013 Base procurement dollars in the amount of $5.346 million support modernization improvements to the natural gas steam plant at Iowa Army Ammunition Plant.  The auxiliary steam plant provides high pressure steam for process requirements and space heating throughout the installation.  This effort will also modernize the legacy coal handling system for the main coal fired steam plant.  These upgrades will reduce the risk of freeze damage during winter months.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-5-2c50a66b9aa0b2b8d516a06369f96ac758eac7aa","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","9.818","","","5133574","Upgrade Main Heating Plant","","0.558","","","","","2.603","","","","","5.431","","","","","0.343","","","","","","0.883","","","","","","","","","","105/155mm Artillery, Primers, 120mm Tank Ammunition, FASCAM","2012-11","2012-11","2015-02","2015-02","","","","","FY 2013 Base procurement dollars in the amount of $9.818 million support the modernization of the main heating plant at Iowa Army Ammunition Plant.  This project will maintain continuous production of steam for process and space heating.  Modernization efforts also include the construction of a natural gas pipeline to support the installation of dual fuel burners at the main heating plant.  These upgrades will allow the heating plant to meet Environmental Protection Agency and State Department of Environmental Quality emissions compliance.  Additionally, this project will improve operator safety by eliminating the manual process of igniting the coal fired boiler and exposing the operator to a flash flame.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-6-836116fce6b1304e2c35388cabe9b87efab4d998","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
"Production Support","","","1.713","1.713","5143583","Rehabilitate Road F North and Line 3 Roads","","","1.551","1.551","","","","","","","","","","","","","","0.082","0.082","","0.08","0.08","","","","","","","","","","","Modular Artillery Charging Sys(MACS),105mm/120mm Tank,105mm/155mm Artillery","2013-12","2013-12","2015-06","","","","2014-01","","FY 2014 Base procurement dollars in the amount of $1.713 million support rehabilitation of Road F, which is a major thoroughfare serving production lines 2, 3, 3A and yards L, G, K, and M at Iowa Army Ammunition Plant.  Without major renovation, the road surface and base will continue to decay, increasing the hazards of transporting explosives and the cost of maintenance.  This is a new start for FY 2014.","db03939b42bd4866e2ea87cc7d70302ff577f5e6-7-f441bb2d2056ed3cfa7f1f6b566318e761bc2dec","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root.record.FacilityList.ProductionSupportFacility","db03939b42bd4866e2ea87cc7d70302ff577f5e6-1-a0351e94fdd40a9dad82af3f4ed6b29484848229"
