"Name_val","Location_val","Type_val","FacilityProjectList_FacilityProject_Type_val","FacilityProjectList_FacilityProject_Contractor_val","FacilityProjectList_FacilityProject_Description_val","FacilityProjectList_FacilityProject_CostList_Maintenance_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Maintenance_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Total_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Recurring_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_PriorYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_CurrentYear_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOneBase_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Environmental_BudgetYearOne_TotalCost_val","FacilityProjectList_FacilityProject_CostList_Other_PriorYear_TotalCost_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2014 Base procurement dollars in the amount of $2.918 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","0.653","1.984","1.984","0.38","1.306","2.918","2.918","0.38","","","","","","0.653","0.934","0.934","","db03939b42bd4866e2ea87cc7d70302ff577f5e6-10-31db93715d952faf64ca0d186317e03906917801","db03939b42bd4866e2ea87cc7d70302ff577f5e6","root","db03939b42bd4866e2ea87cc7d70302ff577f5e6-c7a2ef886ca440bc7d8cd429c1a45dd3e22f426c"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.309 million support the care and maintenance of laid-away ammunition industrial facilities and equipment at Crane Army Ammunition Activity.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.336","0.309","0.309","0.313","0.336","0.309","0.309","0.313","","","","","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-0-f8a42881f838b310cffeb08c5abadd0d90aec1ef","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2015 Base procurement dollars in the amount of $0.097 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.054","0.097","0.097","0.068","0.054","0.097","0.097","0.068","","","","","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-1-cc54baa8b770043e863edf8badb8e3fe2fe892cb","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2015 Base procurement dollars in the amount of $0.052 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.107","0.052","0.052","0.017","0.107","0.052","0.052","0.017","","","","","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-2-042fd4513af9509b2df0b813ecf2c0b09961caef","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2015 Base procurement dollars in the amount of $0.458 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.  These efforts also provide for well monitoring at the inert landfill, trench 5, in order to comply with a signed consent agreement between the plant, State of Iowa and United States Environmental Protection Agency.","0.099","0.147","0.147","0.094","0.308","0.458","0.458","0.292","0.131","0.138","0.206","0.206","0.067","0.071","0.105","0.105","","fc8a91254bf10ee57809906eaedb4fccfba99546-3-b217f2db8e211ed23074bb73024e60aa97c8a926","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.158 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.086","0.083","0.083","0.106","0.166","0.158","0.158","0.204","0.098","0.08","0.075","0.075","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-4-2aa6d4750a81bf01e3f26c116ba24e91c7ea60f6","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2015 Base procurement dollars in the amount of $0.165 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.081","0.083","0.083","0.048","0.162","0.165","0.165","0.096","0.019","0.032","0.033","0.033","0.029","0.049","0.049","0.049","","fc8a91254bf10ee57809906eaedb4fccfba99546-5-b78221380779c52bc99bd17bacca739090e64ad7","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2015 Base procurement dollars in the amount of $0.313 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.173","0.163","0.163","0.17","0.333","0.313","0.313","0.327","0.157","0.16","0.15","0.15","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-6-b6ba4484e914167c895f02e679f480c8fff1ad2f","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Norris Industries","FY 2015 Base procurement dollars in the amount of $0.509 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, and minimum maintenance of specialized production equipment.","0.5","0.509","0.509","","0.5","0.509","0.509","","","","","","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-7-ce6833612c8e41a29d4b50fa9c02577f68e5a479","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2015 Base procurement dollars in the amount of $0.429 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.125","0.129","0.129","0.045","0.414","0.429","0.429","0.15","0.09","0.248","0.257","0.257","0.015","0.041","0.043","0.043","","fc8a91254bf10ee57809906eaedb4fccfba99546-8-eed5836e96db24fc73ee98653520494bb477bfbd","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2015 Base procurement dollars in the amount of $0.052 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment.","0.051","0.052","0.052","","0.051","0.052","0.052","","","","","","","","","","","fc8a91254bf10ee57809906eaedb4fccfba99546-9-b5f0050c3e646a5e30ffed1cf33a4e36abce64c3","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Various","Various","GOCO","Inactive Lines at Active Plants","Various","FY 2015 Base procurement dollars in the amount of $1.376 million support the maintenance and long-term storage of reserved unique production equipment at various facilities.","1.684","0.728","0.728","0.531","3.368","1.376","1.376","1.061","","","","","0.53","1.684","0.648","0.648","","fc8a91254bf10ee57809906eaedb4fccfba99546-10-5782540c1aae8a8395bfa78366d761510eb4df65","fc8a91254bf10ee57809906eaedb4fccfba99546","root","fc8a91254bf10ee57809906eaedb4fccfba99546-c85178b94ed4f031c02c3f2c748535c5e3adfe67"
"Crane Army Ammunition Activity","Crane, Indiana","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.310 million support the care and maintenance of laid-away ammunition industrial facilities and equipment at Crane Army Ammunition Activity.  This effort includes non-severable equipment, plant equipment, special tooling, and special test equipment being retained as part of approved plant equipment packages, which are required to support future replenishment requirements.","0.309","0.31","0.31","0.307","0.309","0.31","0.31","0.307","","","","","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-0-977dccceffc4398624a90f2a38de49d79f0ac378","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Hawthorne Army Depot","Hawthorne, Nevada","GOCO","Inactive Lines at Active Plants","Day & Zimmerman","FY 2016 Base procurement dollars in the amount of $0.099 million support the maintenance and long-term storage of reserved unique production equipment with long replacement lead times at Hawthorne Army Depot.","0.097","0.099","0.099","0.054","0.097","0.099","0.099","0.054","","","","","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-1-4ce4393461da819c4a1302c3767af70a57289404","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Holston Army Ammunition Plant","Kingsport, Tennessee","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2016 Base procurement dollars in the amount of $0.053 million support the care and maintenance of laid-away critical production facilities at Holston Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.","0.052","0.053","0.053","0.019","0.052","0.053","0.053","0.019","","","","","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-2-fd6a1d637c05322ca548d275737376a36f99a02a","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Iowa Army Ammunition Plant","Middletown, Iowa","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2016 Base procurement dollars in the amount of $0.735 million support the care and maintenance of laid-away critical production facilities at Iowa Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation touchup, asbestos management, and minimum maintenance of specialized production equipment.  These efforts are responsible for associated MIF costs and provide for monitoring of excess facilities until they can be disposed.","0.147","0.25","0.25","0.099","0.458","0.735","0.735","0.302","0.132","0.206","0.3","0.3","0.071","0.105","0.185","0.185","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-3-26295f7987890daff5d2884d5935d997cf6514d5","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"McAlester Army Ammunition Plant","McAlester, Oklahama","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.161 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling, and special test equipment being retained to support potential future requirements at McAlester Army Ammunition Plant.  This effort also includes associated maintenance of inactive facilities costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.083","0.085","0.085","0.08","0.158","0.161","0.161","0.155","0.075","0.075","0.076","0.076","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-4-3dde8983e0da1949df4456983fee3ee649084615","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Milan Army Ammunition Plant","Milan, Tennessee","GOCO","Inactive Lines at Active Plants","American Ordnance","FY 2016 Base procurement dollars in the amount of $0.168 million support the care and maintenance of laid-away critical production facilities at Milan Army Ammunition Plant.  These activities include periodic inspections of equipment and buildings, corrective maintenance, preservation efforts, plant equipment, special tooling, and special test equipment being retained to support potential future requirements.  This effort includes asbestos management, minimum maintenance of specialized production equipment and associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.083","0.083","0.083","0.116","0.165","0.168","0.168","0.197","0.032","0.033","0.036","0.036","0.049","0.049","0.049","0.049","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-5-2b955c117c5de22a23632bbd408afd17cb8f6450","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Pine Bluff Arsenal","Pine Bluff, Arkansas","GOGO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.313 million support the care and maintenance of laid-away ammunition industrial facilities to include utilities, buildings, non-severable equipment, plant equipment, special tooling and special test equipment being retained to support potential future requirements at Pine Bluff Arsenal.  These funds also support associated MIF costs such as grounds maintenance, fire protection, equipment security, and administrative support.","0.163","0.16","0.16","0.173","0.313","0.313","0.313","0.333","0.16","0.15","0.153","0.153","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-6-46963744cdaa49eb06e6a77457ba6d049e20f48a","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Quad City Cartridge Case Facility","Rock Island, Illinois","GOCO","Inactive Lines at Active Plants","Not Applicable","FY 2016 Base procurement dollars in the amount of $0.425 million support the care and maintenance of laid-away deep draw cartridge case production line located at the Quad City Cartridge Case Facility in Rock Island, IL.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, utilities, preservation efforts, and minimum maintenance of specialized production equipment.","0.259","0.4","0.4","","0.283","0.425","0.425","0.006","0.006","0.024","0.025","0.025","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-7-da588dcf08b518e17c61bedb1b8b0a696cc92dcb","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Radford Army Ammunition Plant","Radford, Virginia","GOCO","Inactive Lines at Active Plants","BAE Systems Ordnance","FY 2016 Base procurement dollars in the amount of $0.437 million support the care and maintenance of laid-away critical production facilities at Radford Army Ammunition Plant.  They include periodic inspections of equipment and buildings, corrective maintenance to maintain weather-tightness of buildings, preservation efforts, asbestos management, and minimum maintenance of specialized production equipment.  These efforts support associated MIF costs and provide monitoring of excess facilities.","0.129","0.134","0.134","0.075","0.429","0.437","0.437","0.219","0.111","0.257","0.258","0.258","0.033","0.043","0.045","0.045","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-8-2a5eb23347a2129137fbcd65259aa2929e7ad4b6","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
"Scranton Army Ammunition Plant","Scranton, Pennsylvania","GOCO","Inactive Lines at Active Plants","General Dynamics Ordnance and Tactical System (GD-OTS)","FY 2016 Base procurement dollars in the amount of $0.053 million support the care and maintenance of large caliber metal parts equipment at Scranton Army Ammunition Plant.  This effort includes periodic inspections of equipment and buildings, corrective maintenance, preservation efforts and minimum maintenance of specialized production equipment and associated storage costs.","0.052","0.053","0.053","","0.052","0.053","0.053","","","","","","","","","","","e4c7f4c038a61d32e0461f1db9af36aa1b024169-9-8f94145390ba03f38d3dfa54df74aae2ddf98d92","e4c7f4c038a61d32e0461f1db9af36aa1b024169","root","e4c7f4c038a61d32e0461f1db9af36aa1b024169-47d645c41e0ab89659c77fcce600800102648b52"
