"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_@footnote","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleTotal_ProcQuantity_val","MonthlyDeliveryScheduleTotal_MonthlyDeliveryList_MonthlyDelivery","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2019","SMC, LA AFB, CA","2018-10","2018-10","1","486.569","true","2012-03","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-09581a5e66bfe5c3abe09647cc4f8454f7ac68dc","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-1-dbfa595134bc4ae8acb7acf8130b1ded7921f2d9"
"2020","SMC, LA AFB, CA","2019-10","2019-10","1","495.269","true","2018-10","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-0-1fef4baf9e4fd67b8f0d75863ed960b7b964b5e2","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-2-b0f7373bb713a6c6a75cdf88ff3bb14b8631a117"
"2021","SMC, LA AFB, CA","2020-10","2020-10","1","504.183","true","2019-10","","","Various","","","","","","","","9f9071d48e36bd716928d6b808db197f73a8dcb4-1-b29a5c7134d7c1fe1e93813ef9741189d8b36ec2","9f9071d48e36bd716928d6b808db197f73a8dcb4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","9f9071d48e36bd716928d6b808db197f73a8dcb4-2-b0f7373bb713a6c6a75cdf88ff3bb14b8631a117"
"2012","SMC, LA AFB, CA","2012-01","2014-01","5","138.267","true","2010-01","SS","FFP","","Air Force","Prior Year contracts with undelivered assets have all deliveries occurring before Oct 2014 loaded in the month of first delivery.","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-eb36c8d36a31d5459df8a258bbee9d2b88c73dc2","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-3bb5399e08a9ca677de6edbf371479a1e25e0dec","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-03a8d77623a0174cb1de425ab2bd99a4ed51d9b7","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-8268cdacbf4475a5880b3a0fe1206e3574e89c98"
"2013","SMC, LA AFB, CA","2012-10","2014-10","4","143.833","true","2012-01","SS","FFP","","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-4c0d19a5eb615ccbeb13a6076e96d4767cc4f219","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-9d1cc368ebb5b8e414a47d24f1ccad696f19e70c","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-4f61fe761376b0fe6b3e7bd29374f1db97ae1cff","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b42ea41376af149fde0a56a4fda0978d60b49b-1-d3a37ac9e0e897c98be77086afcb9427e31c9fbe"
"2014","SMC, LA AFB, CA","2013-12","2015-12","5","149.923","true","2012-03","SS","Various","","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-5a922886470d9b8951e5796ced06fdee261aad05","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-993dd3b93ae2078c90e30bd98efea38795cb6594","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-b5ceda9d44f0ad8ff4a6634bb7cac339657c733a","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b42ea41376af149fde0a56a4fda0978d60b49b-2-c15ec8ee6afbe24841fb3250dda2b6071c9b820f"
"2015","SMC, LA AFB, CA","2015-01","2017-01","4","143.335","true","2012-03","","","Various","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-9e91cc3f6e25975ca1fe8c5c5e08458e965ef87f","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleTotal.MonthlyDeliveryList-a4b42ea41376af149fde0a56a4fda0978d60b49b-0-88051be30f4734931c9c1d27b61453a5506a0d9e","a4b42ea41376af149fde0a56a4fda0978d60b49b-0-26d49daa229e246e900cdff1f245b6821c95ee3f","a4b42ea41376af149fde0a56a4fda0978d60b49b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","a4b42ea41376af149fde0a56a4fda0978d60b49b-3-9a6fd9dcd491becf22400d809639a4480b003d70"
"2008","SMC, LA AFB, CA","2007-10","2013-03","4","0","true","1998-01","C","FFP","","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-891c6e3d1b7d63778499f0543b11311f354f7e13","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-347db3853d752a11f3ca86d1dbc6f6884f55fd30","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2009","SMC, LA AFB, CA","2008-10","2014-02","2","0","true","2008-01","SS","FFP","","Air Force","","2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-80b6a8d6e88a20e187c2ff0374de1e5656d34eb3","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-1620192dc8e42949d39df9f2db3913e2bc0e07e0","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2010","SMC, LA AFB, CA","2009-11","2012-01","3","0","true","2009-01","SS","FFP","","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-033424aa2ac47a64519a349c4670bb1e7397b248","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-878fe5415fd61883e69007f81d0de882fe5f0fe7","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2011","SMC, LA AFB, CA","2010-11","2014-03","3","0","true","2010-01","SS","FFP","","Air Force","","3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-3-7724f470562b04d9fae97b54459ff0f36cdcf22d","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-3-5a2ca1e738276d2b2e9b3e35dd4bafba546a0b09","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2013","SMC, LA AFB, CA","2012-10","2014-10","4","0","true","2012-03","SS","FFP","","Air Force","","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-4-417d9ef5e3a146a7a2c14582a1a74cd1fe607d65","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-4-c2f5987a407632e9e37e224be8fd4a4a6cfb6f59","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2014","SMC, LA AFB, CA","2013-10","2015-10","5","0","true","2012-03","SS","FFP","","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-5-297b331c67137d47de39d2677ef624678b9dbc4c","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-5-36637c7a79da5091e9ba086f239bea72770deab4","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f5aef21971a1cf71179fefa74c0a2cf0f48a02a3"
"2012","SMC, LA AFB, CA","2012-01","2014-01","5","0","true","2012-01","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-bbce0774456db935a52166153741c931ecef7235","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-f2ebdee11eed1dce89dacbd0a2eefd895887188b","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-41e8bd1a91c22bb94797cf4d199befb8dc9db094"
"2015","SMC, LA AFB, CA","2014-10","2016-10","5","0","true","2012-03","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-3ad96e0ba0a6cfeb483d9efd404eb23e0f7806fd","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-c6e40cc12ec9e60b4d923ed4ae796a0954659b3a","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-223437a037d2393e34847d13a7798cbbcc31ae45"
"2016","SMC, LA AFB, CA","2015-10","2017-10","5","0","true","2012-03","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-1780c62fbeeab9036ee03369a6adf384e70bfeb1","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-1-98cb6cfbf86031db439a25555e48eb9567e98d2b","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-223437a037d2393e34847d13a7798cbbcc31ae45"
"2017","SMC, LA AFB, CA","2016-10","2018-10","5","0","true","2012-03","","","Various","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-557700406e235d87d23e5c0a569d91145f071217","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-a738e8b20dcbb1c1960636361a50d206683c6f86","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-2-223437a037d2393e34847d13a7798cbbcc31ae45"
"2018","SMC, LA AFB, CA","2017-10","2019-10","5","0","true","2016-12","C","TBD","","Air Force","","5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-08775ce1da12c596b1b852c7e55131a1e21c618a","0","","","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-0-8e82cc77894d0961d692f5a18f44625026670e20","1c70f7098db2472d4ed799a7a4a3655d2b80feb2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Launch.Recurring.CostElementList.CostElement.ManufacturerList.Manufacturer","1c70f7098db2472d4ed799a7a4a3655d2b80feb2-3-8f16ab7e750a4b7b83ff35275464baaaf99242b2"
