"Name_val","Name_@footnote","WhenRequiredInMonths_val","Cost_AllPriorYears_val","Cost_PriorYear_val","Cost_CurrentYear_val","Cost_BudgetYearOne_val","Cost_BudgetYearTwo_val","Cost_BudgetYearThree_val","Cost_BudgetYearFour_val","Cost_Total_val","Cost_BudgetYearFive_val","Cost_ToComplete_val","Cost_Continuing_val","ManufacturerList_Manufacturer","QuantityPerAssembly_val","ForFY_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"FY17 EOQ","","0","14.87","","","","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-9-dd6d541ccc3eeea1db56a1ff0524b7f0e0191d7c","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-0-a698a39fa0604a33fa5c2a296af85910f086343e"
"FY18 Long Lead","","0","","","","15.674","","","","","","","","","0","","22280713174a76e0cb7141642ef20990b40d4483-0-55161fb7a92e6a010b9278a5a41b3fa2d688f5eb","22280713174a76e0cb7141642ef20990b40d4483","root.record.ItemExhibitList.P5Item","22280713174a76e0cb7141642ef20990b40d4483-1-9ac248b97987ce7cc20cb45fcc76bddd35c0b3c2"
"Dynamic Component Parts (mast assembly, rod end assembly, plys raw material, etc)","","8","20.353","3.068","","","","","","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-2e1e6074e7f761005c59957a9b1c323d09359d95-0-99a6f785e135f87b31de82ae2c645d98f93e0bcd","0","","2e1e6074e7f761005c59957a9b1c323d09359d95-0-c746252e7948ff4f120a9b0703cdcaf065e39cfc","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-0-58f2eea865136868dfade61c0981432d556ea956"
"UH-1Y Cabin Materials","","7","121.638","17.533","","","","","","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-2e1e6074e7f761005c59957a9b1c323d09359d95-1-da2009f4d907183fcbc2c59a4b4f48451411056a","0","","2e1e6074e7f761005c59957a9b1c323d09359d95-1-0c90cfdcee5f24805484114e489dc5f3ea38a3f5","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-0-58f2eea865136868dfade61c0981432d556ea956"
"Other (forgings, bearings, shafts, castings, bolts, pins, etc.)","","13","43.372","6.551","","","","","","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-2e1e6074e7f761005c59957a9b1c323d09359d95-2-87eeb1e4bf792ab81e7f4e4ad6cae73f9a07b42e","0","","2e1e6074e7f761005c59957a9b1c323d09359d95-2-39ff6a22bec2d55f388e70e38d5f0bca5ba992f9","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-0-58f2eea865136868dfade61c0981432d556ea956"
"AH-1Z Cabin Materials","","7","67.365","23.379","36.272","36.958","","","","","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-2e1e6074e7f761005c59957a9b1c323d09359d95-0-e6c65ae97165e9c1845fd44bd7ddfded1809ba44","0","","2e1e6074e7f761005c59957a9b1c323d09359d95-0-55c59ca2b91667c94eeabb863904cd03dcd7b022","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-1-ef1348de574fa2a6c7238d4b22063d3f13c50a94"
"Dynamic Component Parts Dynamic Component Parts (mast assembly, rod end assembly, plys raw material,","","8","11.785","4.09","6.345","6.466","","","","","","","","","1","","2e1e6074e7f761005c59957a9b1c323d09359d95-1-51526659c7335b0f57e191f76d009d7b77e5df81","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-1-ef1348de574fa2a6c7238d4b22063d3f13c50a94"
"Other (forgings, bearings, shafts, castings, bolts, pins, etc.)","","13","25.167","8.733","13.551","13.808","","","","","","","","","0","","2e1e6074e7f761005c59957a9b1c323d09359d95-2-d5853e93c22c9e8ebf6338963f5d6902312b29de","2e1e6074e7f761005c59957a9b1c323d09359d95","root.record.ItemExhibitList.P5Item","2e1e6074e7f761005c59957a9b1c323d09359d95-1-ef1348de574fa2a6c7238d4b22063d3f13c50a94"
"GPS III SV 03-10","","0","","87","","","","","","87","","","","","","","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-8cba34d38bd4715bb332ef1da4b78f3d362e76f3","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb","root.record.ItemExhibitList.P5Item","34c440dacc2dca78fa1bfbb714b95f5c8dcacbfb-0-40984a66457f60eb0b68a5171cd9a47879c73f52"
"CFE - Airframe T.L.","","0","","67.67","54.577","55.652","","","","","","","","","0","","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-c27bd30e147b852df5fb15ce74897de23ff3efff","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9","root.record.ItemExhibitList.P5Item","48cc11bb8b24df6f1b5d3f3108254a6680ce8eb9-0-79e54884d7574dc855bd634fb7847622ccc7ca50"
"CFE - Airframe T.L.","","0","227.199","0","20","20.312","","","","","","","","","0","","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-56fc1d33fc84d48bc18ae4ee023930a618bea4f0","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0","root.record.ItemExhibitList.P5Item","4f95c30a7a42b871c7d0d8f058ec4f041a03e1c0-0-291f11fdab5419b3966d979835a49e1308bd97ba"
"Airframe","","12","835.065","140","50","0","","","","1025.065","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-5b3fe1a3045586dd9b2a824d8135d062777ea274-0-4675bfe38720bbb5f5c8c11659ec7caf88ee4b28","","","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-ada05cae3ab1b2c832dbfe378cb4ed8f65b6fec4","5b3fe1a3045586dd9b2a824d8135d062777ea274","root.record.ItemExhibitList.P5Item","5b3fe1a3045586dd9b2a824d8135d062777ea274-0-d54a5670967b6c6f759dfa53fb42e4c8add8c6a6"
"CFE - Airframe T.L.","The P-8A Multi-mission Maritime Aircraft (MMA) program provides the replacement systems for the aging P-3 aircraft. The Advanced Procurement funds the long lead time items required for production of the aircraft.  PLT reflects the production of the aircraft as reflected on P-21 of the APN Regular Procurement budget.   Advanced procurement (AP) funding is required in FY 2017 for long lead requirements associated with the procurement of 6 aircraft in FY 2018.   The Advance Procurement (AP) funding will be used to procure long lead CFE items such as basic commerial aircraft long lead requirements (35 months); mission/weapons systems components and P-8A unique airframe components (24 months or greater production lead time). All of these long lead items are essential to maintaining the current schedule in support of the US Navy Fleet Martime Patrol and Reconaissance (MPRA) force transition from P-3C to P-8A.  Unit costs reflect prime vendor only and do not include GFE production costs.","0","979.441","0","0","0","","","","","","","","","0","","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-0151052ee8fbe4ed35f446604118dba57406aee0","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 15 CFE - Airframe TL","","0","152.044","","","","","","","","","","","","0","","5c53766253032ebe940da7fe2e9719bfbad8ca56-1-deaf0859af2fd21d7f8f8350195caae91ba987f1","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 16 CFE - Airframe TL","","0","161.116","31.96","","","","","","","","","","","0","","5c53766253032ebe940da7fe2e9719bfbad8ca56-2-c3d6d4b8327cfe4ae26bc3026e0326cccbe30679","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 17 CFE - Airframe TL","","0","","","235.274","","","","","","","","","","0","","5c53766253032ebe940da7fe2e9719bfbad8ca56-3-dbf682cce33091288ae40d0173181d63581e61aa","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"For FY 18 CFE - Airframe TL","","0","","","","123.14","","","","","","","","","0","","5c53766253032ebe940da7fe2e9719bfbad8ca56-4-b3e2cebef016dedc1780a588a39c95d23ff29a15","5c53766253032ebe940da7fe2e9719bfbad8ca56","root.record.ItemExhibitList.P5Item","5c53766253032ebe940da7fe2e9719bfbad8ca56-0-478cf92af26ddde38422c67b522657187d45eacb"
"FY17 EOQ","","0","","","54.462","","","","","","","","","","0","","6e49c57506ef515ce53a387aa12ce623635e4640-0-401385695a6daca651f028618c7a95c56e4e2b2a","6e49c57506ef515ce53a387aa12ce623635e4640","root.record.ItemExhibitList.P5Item","6e49c57506ef515ce53a387aa12ce623635e4640-0-16b1b815d414df53598900b3d7c52b0b2263a937"
"Airframe/CFE: Long Lead Material","","18","1992.042","326.726","359.003","315.51","523.585","317.265","330.899","18107.117","330.899","13611.188","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-6158fc4ba89384592b2b80a24c181ff1ea17ee60","1","","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-522dfd4f707642aed6e04ce3ebfc1ec8f54834dd","790a190d186bbe24493dfb9f94e07f9db4ea0ac7","root.record.ItemExhibitList.P5Item","790a190d186bbe24493dfb9f94e07f9db4ea0ac7-0-bcc2e9db6a72377b6e4ad7bbd84f9ee5c441599c"
"CFE - Airframe T.L.","","0","761.495","","","","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-2791ecc33dc0449c38d5374443ea517ca61ba16e","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"Prior Years EOQ/Long Lead","","0","538.598","","","","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-1-2d73f98ce82e32b905b4579b0c524373f4f87ab1","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"For FY 2015 EOQ/Long Lead","","0","125.5","","","","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-2-076d21b27e4a533b82e26984340c3cb6baf68934","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"For FY 2016 EOQ/Long Lead","","0","51.007","124.17","","","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-3-aa48850bc1a8f2df6fe44ac2e6a5624ffafa3908","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"For FY 2017 EOQ/Long Lead","","0","44.108","50.797","143.181","","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-4-35920bcfc686600931518e7bb8807f3625dba59b","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"For FY 2018 EOQ/Long Lead","","0","43.008","50.798","52.155","125.042","","","","","","","","","1","","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-5-91d37b6f6a4fb70f97c6632592eb458cc1e95541","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01","root.record.ItemExhibitList.P5Item","8f197b07ce7b949e7fe3317b9f68bdd0917e8b01-0-78e7c5fe40e983d368ae3e111af3a16c62e1e481"
"GPS III SV 03-10","","0","290.168","","","","","","","290.168","","","","","","","a69036802b162f2edfb4e702e24f4ed65e383d2b-0-7762c4fadae85a38ebe460e4a59f39e20ee4e2b8","a69036802b162f2edfb4e702e24f4ed65e383d2b","root.record.ItemExhibitList.P5Item","a69036802b162f2edfb4e702e24f4ed65e383d2b-0-52cc4c20628fffcd376f0aec140cd434ffe800bc"
"FY17 Long Lead","","0","","","29.995","","","","","","","","","","0","","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-0-bfbe6311b27cc99a98afa494c6ce5dc9cc1fe76b","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66","root.record.ItemExhibitList.P5Item","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-0-b38d746042172bef15e99cc02dd1732b4ad2c012"
"FY18 Long Lead","","0","","","","65.31","","","","","","","","","0","","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-1-f59892ac630518901c14af7af1059366e3918208","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66","root.record.ItemExhibitList.P5Item","ba5045eb59e59ca16b29fc415a8e07dfd1fe3e66-0-b38d746042172bef15e99cc02dd1732b4ad2c012"
"CFE-Airframe Termination Liability","","0","702.782","106.455","151.765","172.9","","","","","","","","","1","","c1f9dd87793e9ec1b75e045685091b2588f96be6-0-7d743ffa61370a1a73efeca03af12fcbdf5f66d2","c1f9dd87793e9ec1b75e045685091b2588f96be6","root.record.ItemExhibitList.P5Item","c1f9dd87793e9ec1b75e045685091b2588f96be6-0-d3eeb2e4108658b7d9f8a62fce114edf902faded"
"CFE - Airframe T.L.","","0","376.326","","","","","","","","","","","","1","","c501430b1175b85b6e62d1be810a4090e94f5711-0-596b053c0e36344c18b7a8c5ae18e21dd3a69a09","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CC/Avionics - T.L./Other","","0","554.46","","","","","","","","","","","","1","","c501430b1175b85b6e62d1be810a4090e94f5711-1-9ea9ac69a5802917839f768b44e513d4e420bade","c501430b1175b85b6e62d1be810a4090e94f5711","root.record.ItemExhibitList.P5Item","c501430b1175b85b6e62d1be810a4090e94f5711-0-c903fc4b8a2ecadac46dea3a601fd88fbc67d6cd"
"CFE- Airframe Termination Liability","","0","1234.996","27.04","43.509","72.008","","","","","","","","","1","","cc98329984138360a3338947d846c280bd314fd6-0-f2bfbdce3ae26507dd8d4ecc7d1075546114d3a3","cc98329984138360a3338947d846c280bd314fd6","root.record.ItemExhibitList.P5Item","cc98329984138360a3338947d846c280bd314fd6-0-348aab94b92fb5b5f64e5dc86c63a3955e0846e1"
"Airframe/Engines/Accessories: HC-130J Airframe Equipment","","12","79.877","50","30","20","","","","179.877","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-e1901f109679ceea55120369cd96092eecbf4e1d-0-65488c9d4ff8387841c61f0e21f841b4e31cc0e8","","","e1901f109679ceea55120369cd96092eecbf4e1d-0-0683465e49b22c308bab58427a9a1cca30feb29b","e1901f109679ceea55120369cd96092eecbf4e1d","root.record.ItemExhibitList.P5Item","e1901f109679ceea55120369cd96092eecbf4e1d-0-e850695d6ad8743fd6ecc6be7a56e94d294ebb93"
"Airframe T.L.","","0","187.115","31.391","","","","","","","","","","","1","","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-0-94eb87abf86bcd7850a1f5d7bf7aac92bf7f0fa9","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0","root.record.ItemExhibitList.P5Item","1fe635155a7d2dd4e7c38fc0f478cf045aa986a0-0-358c031d46a637379eb9858f15b94ef2c6e35cbf"
"CFE- Airframe Termination Liability","","0","1137.987","27.47","69.539","27.04","","","","","","","","","1","","2dec8160a408f6353e326ca9e075724853540cae-0-db48d4f72090023b99fa434834b4c04e614fc202","2dec8160a408f6353e326ca9e075724853540cae","root.record.ItemExhibitList.P5Item","2dec8160a408f6353e326ca9e075724853540cae-0-674f30945d6b156935389727df229e1af8997c59"
"CFE - Airframe T.L.","","0","341.028","","","","","","","","","","","","1","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-b0527865d6d4956f045446133c24c53aff2b643e","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Airframe for FY13 EOQ/Long Lead","","0","24.053","","","","","","","","","","","","1","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-1-01552ce7a638e4851d91e6e1f935392e6f996858","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Airframe for FY14 EOQ/Long Lead","","0","2.207","24.505","","","","","","","","","","","1","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-2-56f37b843e646bc5ca9efd336f9388a445556ee1","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"Airframe for FY15 EOQ/Long Lead","","0","0.981","0.865","11.157","","","","","","","","","","1","","32a83de6520ebf7bb174f8229a01eedb1e029d2d-3-83c36508badf4bf86aa23ebfb6b14d1d3f5837be","32a83de6520ebf7bb174f8229a01eedb1e029d2d","root.record.ItemExhibitList.P5Item","32a83de6520ebf7bb174f8229a01eedb1e029d2d-0-3b4b7114e13a3fa732f55767ccc6a8d69832a8da"
"AVIONICS","","12","137.656","15","0.000","0.000","0.000","0.000","0.000","152.656","0.000","0.000","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-4b51f1744801e2e2f19536fde3711c8a52e338d7-0-db06ccbdda0a599a39213781231dfcfeb95e7482","","","4b51f1744801e2e2f19536fde3711c8a52e338d7-0-6645b985c6d3cbebbc74c829d42f77d29ddd6848","4b51f1744801e2e2f19536fde3711c8a52e338d7","root.record.ItemExhibitList.P5Item","4b51f1744801e2e2f19536fde3711c8a52e338d7-0-62f3e99334afcbcde541b7e25e9c26faea5afc2d"
"Advance Procurement","","12","29.877","50","","","","","","79.877","","","","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.CFE.APCostElement.ManufacturerList-4cf53dcae6273ee231e9dd2d3039fbb094062b78-0-6582decf1f4fa2ab7c8c9dacff29364d4e1335f9","","","4cf53dcae6273ee231e9dd2d3039fbb094062b78-0-429d8721ad09cb594b2842e3b6d7d70df9e84f5c","4cf53dcae6273ee231e9dd2d3039fbb094062b78","root.record.ItemExhibitList.P5Item","4cf53dcae6273ee231e9dd2d3039fbb094062b78-0-07093ab53b733b2bfe4f154f3da73a4c23d159e5"
"CFE - Airframe T.L.","The P-8A Multi-mission Maritime Aircraft (MMA) program provides the replacement systems for the aging P-3 aircraft. The Advanced Procurement funds the long lead time items required for production of the aircraft.  PLT reflects the production of the aircraft as reflected on P-21.  Advanced procurement (AP) funding is required in FY 2015 for long lead requirements associated with the procurement of 15 aircraft in FY 2016.  FY15 requests Advanced Procurement (AP) to combine with previously appropriated FY14 AP and FY16 Regular Aircraft Procurement funds to execute long lead requirements associated with the procurement of 15 aircraft in FY 2016.  The Advance Procurement (AP) funding will be used to procure long lead CFE items such as basic commerial aircraft long lead requirements (35 months); mission/weapons systems components and P-8A unique airframe components (24 months or greater production lead time). All of these long lead items are essential to maintaining the current schedule in support of the US Navy Fleet Martime Patrol and Reconaissance (MPRA) force transition from P-3C to P-8A.","0","678.763","0","0","0","","","","","","","","","0","","62e3ce2af18baffa83f679d7875284ce463e069c-0-28e4fdb39b29a2ce46f6ce5f33fdbebbcb33e11c","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 14 CFE - Airframe TL","","0","","300.679","","","","","","","","","","","0","","62e3ce2af18baffa83f679d7875284ce463e069c-1-a6f62e218d122fbf0692a603e444a8c5ac3d3338","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 15 CFE - Airframe TL","","0","","","156.028","","","","","","","","","","0","","62e3ce2af18baffa83f679d7875284ce463e069c-2-2a4e70132da8d9fa50980a4470eb48789a5b7b3f","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"For FY 16 CFE - Airframe TL","","0","","","150","15.619","","","","","","","","","0","","62e3ce2af18baffa83f679d7875284ce463e069c-3-147392737ee46cf4bee28c45463ae20605f4b647","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"GFE - Mission/Weapons Systems T.L.","AP funding will be used to procure long lead mission/weapons systems GFE components due to the change in acquisition strategy as part of the program's overall Should Cost Plan to reduce costs per the DoD's Better Buying Power initiative. FY15-FY18 procures EOQ items for the GFE APY10 Radar Multi-year Procurement. All of these long lead items are essential to maintaining the current schedule in support of the US Navy Fleet Martime Patrol and Reconaissance (MPRA) force transition from P-3C to P-8A.","0","","","7.132","13.627","","","","","","","","","0","","62e3ce2af18baffa83f679d7875284ce463e069c-4-d559ed6f5c09b510f4bd595e41c8ba42dca28fe0","62e3ce2af18baffa83f679d7875284ce463e069c","root.record.ItemExhibitList.P5Item","62e3ce2af18baffa83f679d7875284ce463e069c-0-465239fa23d8fc3a76f55ce27ff52dd4c29eb8e0"
"CFE - Airframe T.L.","","0","638.479","123.016","","","","","","","","","","","1","","698308f0d687528965ab4f756c615cb9a9226be8-0-537a4dd9a06a76706026f80920b03cf51769cc1e","698308f0d687528965ab4f756c615cb9a9226be8","root.record.ItemExhibitList.P5Item","698308f0d687528965ab4f756c615cb9a9226be8-0-fb3fe214be6258a4abb14610de178fea587d2649"
"Prior Years EOQ/Long Lead","","0","538.598","","","","","","","","","","","","1","","698308f0d687528965ab4f756c615cb9a9226be8-1-93c7b185e8ad64ca3689cb0cca3ff5b6c90d626a","698308f0d687528965ab4f756c615cb9a9226be8","root.record.ItemExhibitList.P5Item","698308f0d687528965ab4f756c615cb9a9226be8-0-fb3fe214be6258a4abb14610de178fea587d2649"
