"Name_val","Name_@footnote","Cost_TotalCost_AllPriorYears_val","Cost_TotalCost_PriorYear_val","Cost_TotalCost_CurrentYear_val","Cost_TotalCost_BudgetYearOneBase_val","Cost_TotalCost_BudgetYearOne_val","Cost_TotalCost_BudgetYearOneOCO_val","Cost_TotalCost_ToComplete_val","Cost_TotalCost_Total_val","Cost_TotalCost_BudgetYearTwo_val","Cost_TotalCost_BudgetYearThree_val","Cost_TotalCost_BudgetYearFour_val","Cost_TotalCost_BudgetYearFive_val","Cost_TotalCost_Continuing_val","Cost_Quantity_AllPriorYears_val","Cost_Quantity_Total_val","Cost_Quantity_PriorYear_val","Cost_Quantity_CurrentYear_val","Cost_Quantity_BudgetYearOneBase_val","Cost_Quantity_BudgetYearOne_val","Cost_Quantity_BudgetYearTwo_val","Cost_Quantity_BudgetYearThree_val","Cost_Quantity_BudgetYearFour_val","Cost_Quantity_BudgetYearFive_val","Cost_Quantity_ToComplete_val","Cost_UnitCost_AllPriorYears_val","Cost_UnitCost_Total_val","Cost_UnitCost_PriorYear_val","Cost_UnitCost_CurrentYear_val","Cost_UnitCost_BudgetYearOneBase_val","Cost_UnitCost_BudgetYearOne_val","Cost_UnitCost_BudgetYearTwo_val","Cost_UnitCost_BudgetYearThree_val","Cost_UnitCost_BudgetYearFour_val","Cost_UnitCost_BudgetYearFive_val","Cost_UnitCost_ToComplete_val","Cost_BudgetYearOneBase_TotalCost_val","Cost_BudgetYearOneBase_UnitCost_val","Cost_BudgetYearOneBase_Quantity_val","Cost_BudgetYearOne_TotalCost_val","Cost_BudgetYearOne_UnitCost_val","Cost_BudgetYearOne_Quantity_val","Cost_AllPriorYears_TotalCost_val","Cost_AllPriorYears_UnitCost_val","Cost_AllPriorYears_Quantity_val","Cost_PriorYear_TotalCost_val","Cost_PriorYear_UnitCost_val","Cost_PriorYear_Quantity_val","Cost_CurrentYear_TotalCost_val","Cost_CurrentYear_UnitCost_val","Cost_CurrentYear_Quantity_val","Cost_BudgetYearOneOCO_TotalCost_val","Cost_BudgetYearOneOCO_UnitCost_val","Cost_BudgetYearOneOCO_Quantity_val","Cost_ToComplete_TotalCost_val","Cost_ToComplete_UnitCost_val","Cost_ToComplete_Quantity_val","Cost_Total_TotalCost_val","Cost_Total_UnitCost_val","Cost_Total_Quantity_val","Cost_BudgetYearTwo_TotalCost_val","Cost_BudgetYearTwo_UnitCost_val","Cost_BudgetYearTwo_Quantity_val","Cost_BudgetYearThree_TotalCost_val","Cost_BudgetYearThree_UnitCost_val","Cost_BudgetYearThree_Quantity_val","Cost_BudgetYearFour_TotalCost_val","Cost_BudgetYearFour_UnitCost_val","Cost_BudgetYearFour_Quantity_val","Cost_BudgetYearFive_TotalCost_val","Cost_BudgetYearFive_UnitCost_val","Cost_BudgetYearFive_Quantity_val","Cost_Continuing_val","Cost_Continuing_@footnote","AllPriorYearsDeliveries_val","ManufacturerList_Manufacturer","SubCostElementList_SubCostElement","Remarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"8.3) Q2893 Renovation Components","","1.044","0.223","0.227","0.23","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-2-fd5b2d5eb7ce44cdbe42c4a4cb0e98c003d6596f","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-2-802b178dcd1f3f781b918c0ac75ec358de711db6"
"8.4) Q2894 Gaging","","1.082","0.254","0.259","0.264","0.264","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01a66471d57444735bcfe046df410bd9488b9810-3-f89c304586e18f2f9ee8294a0d1a738dbe9c0024","01a66471d57444735bcfe046df410bd9488b9810","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01a66471d57444735bcfe046df410bd9488b9810-2-802b178dcd1f3f781b918c0ac75ec358de711db6"
"Other Support","","23.506","1.242","","","","","0","24.748","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-b82201f21ca194423f8149f11526ac98856ea50e","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-64ffb202d940bc4b24a880558c6e78ae3f4e0140"
"FFRDC","","56.842","","","","","","0","56.842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-229a0526f3541ba24538aca3aba09a08ba4269a6","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-64ffb202d940bc4b24a880558c6e78ae3f4e0140"
"A&AS","","57.056","8.582","","","","","0","65.638","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-82720348e01098a5e913f62e1dd6847448625b7c","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-64ffb202d940bc4b24a880558c6e78ae3f4e0140"
"Other Support","","16.789","7.756","","","","","0","24.545","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-00e0f71d2423b11e3da849f47e76eef9c2513ff7","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-9ec6e7fcb2ea65799f752dba0fd70f70fa50f063"
"FFRDC","","41.517","21.635","","","","","0","63.152","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-8dbf5a6f43ac99e2a64737807a5e403f3db1fb74","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-9ec6e7fcb2ea65799f752dba0fd70f70fa50f063"
"A&AS","","0.03","0.75","","","","","0","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-c0ee0e84a68e898c6378804409c132a7001caef6","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-9ec6e7fcb2ea65799f752dba0fd70f70fa50f063"
"Other Support","","10.778","1.076","","","","","0","11.854","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-0-615127a22b2c4a4d43bad309c350f48aa744c573","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-f1ed50fa8f5ca27498df8b0dae312b895a6aadf9"
"FFRDC","","25.179","","","","","","0","25.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-1-6982f09fb07c1c8b1bd2dbac590a8bb11956e310","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-f1ed50fa8f5ca27498df8b0dae312b895a6aadf9"
"A&AS","","32.47","11.926","","","","","0","44.396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01cb48bdd8dbef542f320b0ec82544b015318621-2-758fc5b8bf9ef6d248b373c026919abd13997af0","01cb48bdd8dbef542f320b0ec82544b015318621","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","01cb48bdd8dbef542f320b0ec82544b015318621-0-f1ed50fa8f5ca27498df8b0dae312b895a6aadf9"
"Airframe Peculiar Ground Support Equipment (PGSE)","","13.106","2.367","4.869","3.759","3.759","","3.93","41.58","3.225","2.656","3.418","4.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-8829ba107ef6c6c0dc77970ebecd07fc0d1ed4ce","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Peculiar Training Equipment","","54.928","1.9","125.993","60.965","60.965","","11.49","273.091","4.322","4.418","4.496","4.579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-1-7d7839f7d3a5c520d908931e4fdbcbbf96e98856","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Publications/Technical Data","","7.721","3.75","4","4","4","","22.395","58.601","4","4.12","4.244","4.371","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-2-dea7b1e2fa0b1c9258618f5c2919d1caad3e1e2b","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Diminshing Manufacturing Sources","","22.471","4.5","12","9","9","","22.5","97.471","7.5","4.5","9","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-3-c45fdb829e7e4de0099af0b7665dc8105a0d81bf","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Interim Contractor Support (ICS)","","28.613","4.5","4.5","1","1","","28.125","67.738","1","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-4-4b69ab753fd415b7eef24246999b57467b5b9aee","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Interim Supply Support (ISS)","","188.03","67.47","128.701","67.694","67.694","","232.909","964.526","72.989","53.668","72.308","80.757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-5-d2a93c68e7cf7720634d7144ae061d1b9c6c2dd9","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Post Delivery Support","","6.141","3","3","3","3","","11.355","39.047","3","3.09","3.183","3.278","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-6-6d5165294282ae705c6a7ebfb6e0e32c8f8beb3f","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"PMA Contrator Services","","6.708","0.931","0.94","0.95","0.95","","13.275","29.635","0.959","1.938","1.957","1.977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-7-a857e525e487617caf6be36d9f85108d5261c857","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"PMA Goverment Services","","0.172","0.15","0.307","0.339","0.339","","2.07","4.573","0.367","0.378","0.389","0.401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-8-ca70cb7ba212124f189570b71ddc2e27bc7a7253","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Other Government Costs","","4.028","0.641","1.315","1.451","1.451","","8.865","24.367","1.569","1.616","2.351","2.531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-9-106f58a8e28b11138d3ab5ee614bc388ac85c05b","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"Withhold","","","7.15","","","","","0","7.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","051c46b7b10d7990f42aa21568cfd38fc10dc009-10-1f2b94243d5670507b2b67038ddc055909a1d77e","051c46b7b10d7990f42aa21568cfd38fc10dc009","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","051c46b7b10d7990f42aa21568cfd38fc10dc009-0-a9cd4e5ffcb8423d08ca554747f9edd41fa70fa8"
"3.1) Acquisition Workforce Fund - 2009","","0.378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-bf999a395573bc3a8baefb62578ddfe8664414e2","05bac2dd8b3a3269236e0f9144fd90cb786c8252","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","05bac2dd8b3a3269236e0f9144fd90cb786c8252-0-0df1d28211093d5d2097f0e545267011e3558289"
"Production Engineering","","1.094","0.024","0.017","0.033","0.033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-1019dea2a2a1d163a61c264e0a160a35010df1cd","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-c6210efa6e84dfaa0bfb0a6e5468f14f1a0655ed"
"Quality Assurance","","","0.004","0.004","0.001","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-f6d4a903c5009ae74513158adaf3987a3dffa467","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-1-2cca1709ace8369f769f6374e8493a395bf49362"
