"Name_val","Name_@footnote","CategoryList_Category","TotalCost_TotalCost_AllPriorYears_val","TotalCost_TotalCost_PriorYear_val","TotalCost_TotalCost_CurrentYear_val","TotalCost_TotalCost_BudgetYearOneBase_val","TotalCost_TotalCost_BudgetYearOneBase_@footnote","TotalCost_TotalCost_BudgetYearOneOCO_val","TotalCost_TotalCost_BudgetYearOne_val","TotalCost_TotalCost_BudgetYearTwo_val","TotalCost_TotalCost_BudgetYearThree_val","TotalCost_TotalCost_BudgetYearFour_val","TotalCost_TotalCost_BudgetYearFive_val","TotalCost_TotalCost_ToComplete_val","TotalCost_TotalCost_Total_val","TotalCost_TotalCost_Continuing_val","ModificationItemsIndicator_val","Remarks_val","OverallHistoryPlanningRemarks_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"Engineering and Installation - Air Force","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-6-28878db5bd084e3c89b7f88a9da5b4b02aeb60d8","","36.884","15.574","0","","0","0","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-6-1f0736e9e9b799cc09ac61e748de43d35aff8caa","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - Tactical Air Forces","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-7-39f4a4ecd463fd93931278df8c5fd913cc56eb0f","","12.702","18.374","36.578","","0","36.578","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-7-aec963f7f8bbf2265ceafdef0b2f1bdebb3b73d1","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Long-Haul Communications - DCS","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-8-7f2997b82cf2f7cf8f14cf1ae29bb762b723e905","","0.648","0.077","0","","0","0","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-8-1286e03d1d7bb5bdce11c168902eb1df866fb7d7","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Theater Nuclear Weapon Storage & Security System","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-9-9bfa582f40da5800aa9cf96e41ef757c4d5baa4c","","0","7.163","6.159","","0","6.159","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-9-f2c9130948d83b88b472b5a7d409a846f6b0567b","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - Other","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-10-108c602c32d4459c599258119899fe75c87cdc40","","14.59","23.297","3.082","","0","3.082","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-10-de62998496a89ae6286cd5da7baf326c241d9a5a","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - Mobility Air Forces","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-11-a8b042dc184d268deecfe70c18e22ec1d113d254","","0.853","0.638","0.738","","0","0.738","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-11-e9e1ad3db8b1b5ebe75174176ab29b479de18298","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - AFR","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-12-6ac0898e0babe4e22adec3474865a36a5c94b87b","","0.319","0.282","0.327","","0","0.327","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-12-8792936cfa5684a6bff5199bffe1c0e6becf6fa4","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - ANG","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-13-29f9d366207b845af833f5ef7fbff7ea64fa7407","","23.129","1.993","10.781","","0","10.781","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-13-19b2b116fd2df59af09f8a2f61f2685b09eff111","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - Logistics","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-14-29d396c1bbd363a9315b80144cfe1c7613cfc85a","","2.263","1.54","1.785","","0","1.785","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-14-dc3d6dc5de7ca0b6d0da77b03e0bb8fa60f1c1c1","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"Information Technology Services Management - Training","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03b29a7857f1e54db06f9825b28d4eed204735b6-15-9a309d04fac5d8d3b75db7a445ab6154cdb6949d","","2.453","0.66","1.165","","0","1.165","","","","","","","","","","","03b29a7857f1e54db06f9825b28d4eed204735b6-15-ab386e514c787addf9a4adab400c60f4f7df08d8","03b29a7857f1e54db06f9825b28d4eed204735b6","root","03b29a7857f1e54db06f9825b28d4eed204735b6-aa1c45d386e5dc75a1031785089f1a03559908dc"
"F-35 Modifications","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-53b13aba5bfc3cb352a88b4b003ccb5cb59b3300","11.093","0.861","6.79","0.006","","0","0.006","0.596","2.005","130.271","134.544","0","286.166","","true","","","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-0-d5de5dea4fb0aff24c7ccacfc4022afaf1e85e88","03f8e8bfc7d123974bf811b66730b57a76e0a8f4","root","03f8e8bfc7d123974bf811b66730b57a76e0a8f4-98b5869479309f51546660417725f19e06e9eb57"
"Commercial Mission Support Vehicles","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-04c96860ad14227b344c6404d1082f7d57a1ff96-0-6c5ed1fe319bb5cbdbc1162b3cd6f9cea0388a8a","1.717","0.05","0.1","0.2","","0","0.2","0.204","0.207","0.211","0.215","","","true","","","","04c96860ad14227b344c6404d1082f7d57a1ff96-0-1fd7ea3af872ea3e515718f5143858d180ecb5e2","04c96860ad14227b344c6404d1082f7d57a1ff96","root","04c96860ad14227b344c6404d1082f7d57a1ff96-dbf18aa03808d27782f6375066c6b0fb8b041e79"
"","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-13cbdc5582c90b8f1d985aea0191d603d165d7cb","111.881","5.744","5.681","8.113","","","8.113","","","","","","","","","","","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-0-258122294930abeadce20728b0bc0d57799e1f49","06ad1fef6d8654fde1dfe4444bd06c21514eaab3","root","06ad1fef6d8654fde1dfe4444bd06c21514eaab3-76016a64fb763b5108c756a8dc7b5b6628fff523"
"Physical Security Vehicles","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-074cdab7d36ef8235bf9295346660947bc5b4af8-0-c7426d9c0998ad63fe622b0421a129b15bf2e139","0","1.177","1.186","1.095","","","1.095","","","","","","","","","","","074cdab7d36ef8235bf9295346660947bc5b4af8-0-0433be5dc120e7b3404c7c85f5dd3a68a1243af3","074cdab7d36ef8235bf9295346660947bc5b4af8","root","074cdab7d36ef8235bf9295346660947bc5b4af8-b045e52e98f29bd3083463fd06fc4cf5f3c5ae5f"
"T-38","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-6785a5de94df2d450d8215f70ae1b4d2ac947ca7","164.661","0.769","0.011","0.011","","0","0.011","0.011","0.011","0.011","0.011","0","165.496","","true","","","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-0-2d4f1bc0d9e216d56dc9edb559180bef20ee796c","0824eb2f9c768f84c2fdc42ec0a431221a4d6249","root","0824eb2f9c768f84c2fdc42ec0a431221a4d6249-ecc2e03ad9387c1c61d07219ee9c216486a815e4"
"CV-22 Post Production Support","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-08fc6122e52280452817136a8e3b1c9f34085ae5-0-e48c73e91641938437b9765390c470c8e3f4798b","","16.931","3.353","0","","0","0","","","","","","","","","","","08fc6122e52280452817136a8e3b1c9f34085ae5-0-5e747442229430e75c15695be434998a04f39872","08fc6122e52280452817136a8e3b1c9f34085ae5","root","08fc6122e52280452817136a8e3b1c9f34085ae5-8a4ec61b21b0326fe9d6a717d98287a1d90240be"
"Other Navigation Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-3bcff65ad556d1d0bd2739e2973e5d377146d96a","166.531","34.605","56.432","37.03","","","37.03","","","","","","","","","","","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-0-ec7e6fc79a16e9cc96e0a96be8b8709aa27853c8","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5","root","0986980bc1f0cd4cc22b2eb8bb49a83cf0b889f5-d56f8893c40b1372f0271f1c8414ba4ea60c39a6"
"C-17A","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0989a56b20ac2bbaec61f72a12dd4289276b0790-0-f9be3ad2a3a70cc15b38290dcb94efeacc0ca01c","2468.403","44.35","12.263","3.645","","0","3.645","26.701","52.358","48.558","50.332","139.861","2846.471","","true","","","0989a56b20ac2bbaec61f72a12dd4289276b0790-0-d1f5da248ed087d25813bf894ce53d4289fdc8b8","0989a56b20ac2bbaec61f72a12dd4289276b0790","root","0989a56b20ac2bbaec61f72a12dd4289276b0790-7137d152d0bb9a55ce8c628c7c12c89e62656622"
"Education Support Equipment","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-dfebd16dd94cc8776086f6a5d5d4315c792529c4","2.248","0.874","3.18","","","","","","","","","","","","","","","0a4c534a58d1236be0fa742e4dd399dc1ad46767-0-b188c8dc716cd9b4504e8df3eda533826db666ba","0a4c534a58d1236be0fa742e4dd399dc1ad46767","root","0a4c534a58d1236be0fa742e4dd399dc1ad46767-c6f1f288d79a5ea77e92cd85f62ba87eeab1fc65"
"DCAA Major Equipment, items less than $5 million","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0abc7360a396ccafa71435b2a4d71cc0fba103f9-0-37199684ca7f055beea306f13ada084ed28493f6","","1.594","1.488","2.964","","","2.964","1.475","1.475","1.475","1.475","","11.946","","","","","0abc7360a396ccafa71435b2a4d71cc0fba103f9-0-febba8d26dc7bc288c335a26bdb0056706767c5a","0abc7360a396ccafa71435b2a4d71cc0fba103f9","root","0abc7360a396ccafa71435b2a4d71cc0fba103f9-2649cd084a27fa509ca4f4cf95fb7cd67e4f5934"
"Information Systems Security Program","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0c7706780b04655dba8b2c3cd1b6151cff6c31a8-0-5a53ffa7d7c683a245cdd5abeb24cd0dc98e13db","61.09","10.48","15.08","21.347","","","21.347","8.11","8.115","9.189","30.215","","","true","","","","0c7706780b04655dba8b2c3cd1b6151cff6c31a8-0-4f94c833e92c5585059683147151b87da3d5a4cf","0c7706780b04655dba8b2c3cd1b6151cff6c31a8","root","0c7706780b04655dba8b2c3cd1b6151cff6c31a8-8631eb0a5b22db6b35570536a73e10a2fc113d97"
"C-130","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-0cb0a6d9a687d304896e3b5a2c725cda1580402d","1991.544","145.619","136.162","4.028","","0","4.028","61.307","56.801","121.757","181.627","1399.898","4098.743","","true","","","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-0-2e194f34531d28d610975dffb040814e0ca052cf","0cd9720f137a1629fede2ebdfb2dc4fe3d702152","root","0cd9720f137a1629fede2ebdfb2dc4fe3d702152-e7d4116a6a88233dabdb8a4f4621dcfdaa6f0251"
"ITEMS LESS THAN $5,000,000","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-f0fe89dca1d75ef3c6b060cc19aef61cdeb2af77","","11.012","4.427","4.46","","","4.46","","","","","","","","","RATO procurement costs account for First Article Testing of new assets, transportation costs, inert motors for training, and travel costs","","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-0-8d279f427a4e7d58b870b3e407d130d19992c20c","0ce061608e991ea9bb4f145a14edfb9c37fd42f8","root","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-4800525ebc246bd5f04da761fb7510e8a358d0e9"
"War Consumables","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0ce061608e991ea9bb4f145a14edfb9c37fd42f8-1-9105937736133d0d2300d4d1d6da804c3fadebb2","","0","0","18.364","","0","18.364","","","","","","","","","","","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-1-b4b1fd7ccd8dd7c4732545904f303f30e1b9aa36","0ce061608e991ea9bb4f145a14edfb9c37fd42f8","root","0ce061608e991ea9bb4f145a14edfb9c37fd42f8-4800525ebc246bd5f04da761fb7510e8a358d0e9"
"Distributed Common Ground/Surface System","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0d00252784fca8e1eff17455dca089d9f4f6700b-0-3d406d50a5f154cdffe4caf31be891cba715aed6","53.224","17.323","14.964","13.432","","","13.432","11.529","13.461","14.011","12.435","","","true","","","","0d00252784fca8e1eff17455dca089d9f4f6700b-0-8dc6c1cb822011512880fd8b4b7591511bf30de3","0d00252784fca8e1eff17455dca089d9f4f6700b","root","0d00252784fca8e1eff17455dca089d9f4f6700b-3e4767ed6c11e3334e38cb7cfe447e340fa7d189"
"COCOM Mobile Command and Control Centers (MCCCs)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0f261a6fd7b3518fdcc369133607071628fa1c40-0-e26effde4f571e316b4b8bf3a061213a6b0b269b","0","20.751","9.485","0.573","","0","0.573","7.188","7.908","8.047","8.192","0","62.144","","true","","","0f261a6fd7b3518fdcc369133607071628fa1c40-0-872cd46761639473651c2ef4714f09950b7ab207","0f261a6fd7b3518fdcc369133607071628fa1c40","root","0f261a6fd7b3518fdcc369133607071628fa1c40-ee4f00517a5ea3b7051ec1beba7645e7c652df37"
"NCMC - TW/AA System","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0f261a6fd7b3518fdcc369133607071628fa1c40-1-05a2ab767bf551a14684d427674c20d181559b5e","0","14.55","26.701","0.75","","0","0.75","22.609","22.972","21.841","22.233","0","131.656","","true","","","0f261a6fd7b3518fdcc369133607071628fa1c40-1-b13820e102b7941bcb9dddde81ec7f46c0bf3892","0f261a6fd7b3518fdcc369133607071628fa1c40","root","0f261a6fd7b3518fdcc369133607071628fa1c40-ee4f00517a5ea3b7051ec1beba7645e7c652df37"
"Garrison Mobile Eng Equip (GMEE)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-0f32c79a11bc454cc1f5d9ed469fe156840a61bb-0-6edb9f761ec72739cf28b603d65728901a173033","137.719","2.239","1.419","","","","","","","","","","","","","","","0f32c79a11bc454cc1f5d9ed469fe156840a61bb-0-b1ce7adc33161f2f82d9ba81f09fe6376ed8788d","0f32c79a11bc454cc1f5d9ed469fe156840a61bb","root","0f32c79a11bc454cc1f5d9ed469fe156840a61bb-ab17f25a78366e8076cd4e4c3ef0288607b35696"
"C-32A","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-df7a0a1e8da60d6b220055edea1caa2c0db6f957","24.705","4.767","3.83","5.812","","0","5.812","4.86","3.903","1.932","1.968","0","51.777","","true","","","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-0-3ef2998dd777881791753a3ff1cf8bb9bad3bef5","110f67b87bd41b17eee3426b4ccfebe7687dc4bc","root","110f67b87bd41b17eee3426b4ccfebe7687dc4bc-3aa0a75b059fbfbfd7110480e550416fb049b09c"
"Air Launch Cruise Missile (ALCM)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-0f23bccdff18cdfab9ffc2931ae2b86e34b092bc","8.095","1.556","0.145","0.115","","0","0.115","0.107","0.1","0.1","0.1","0","10.318","","true","","","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-0-1a146ab60f780a1540bfa1e049a31baa32936603","153a9f7c113f692c1b3663e4f207a0f9cb26d59a","root","153a9f7c113f692c1b3663e4f207a0f9cb26d59a-24c1116d913e81fd1b8c13c3706a662c54053111"
"(ED51) FMU-152 FUZE SYSTEM, UNIVERSAL","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-1642a4f38774503b0b01f1ee3349d6e52b523873-0-a22438711c12420a3bdfdea60db653759a81807c","","82.985","137.698","179.541","","0","179.541","","","","","","","","","","","1642a4f38774503b0b01f1ee3349d6e52b523873-0-95849d42e874df4ba6ec84909d4161a9f9ce740f","1642a4f38774503b0b01f1ee3349d6e52b523873","root","1642a4f38774503b0b01f1ee3349d6e52b523873-a91ecbda6251c0577d772a7a9aa2ca910db902fa"
"FMU-139 NRE","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-1642a4f38774503b0b01f1ee3349d6e52b523873-1-d281009df89048a725cee1a65c11e88aefd6c585","0","0","8.595","4.105","","0","4.105","","","","","","","","","The FMU-139D/B is a new general purpose fuze that is currently being pursued with the Navy.  This fuze marries the AF FMU-152A/B and the Navy FMU-139C/B specs for a better buying power business case. Currently the Navy will not purchase/utilize the JPF due to safety concerns regarding the battery.  These safety concerns are specific to the Navy employment and do no impact the Air Force. The contract for this effort was competitively awarded 17 SEP 15.  The new design is currently being qualified and tested with production anticipated in FY18 & beyond.  Because the design change is a re-packaging of current technology the program office was approved by their PEO to use production funds for the minimal NRE required.- FY17: $4.105M Pgm Office Spt/Qual Testing","","1642a4f38774503b0b01f1ee3349d6e52b523873-1-577d788ebad2924db2a2470fee2bef49020bcc9f","1642a4f38774503b0b01f1ee3349d6e52b523873","root","1642a4f38774503b0b01f1ee3349d6e52b523873-a91ecbda6251c0577d772a7a9aa2ca910db902fa"
"FMU-139D/B, PGM SPT, Qual Test","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-1642a4f38774503b0b01f1ee3349d6e52b523873-2-d34392fd3c7b053c53431e50bd119d42123dc9d5","","","8.59","","","0","0","","","","","","","","","The FMU-139D/B is a new general purpose fuze that is currently being pursued with the Navy.  This fuze marries the AF FMU-152A/B and the Navy FMU-139C/B specs for a better buying power business case. Currently the Navy will not purchase/utilize the JPF due to safety concerns regarding the battery.  These safety concerns are specific to the Navy employment and do no impact the Air Force. The contract for this effort was competitively awarded 17 SEP 15.  The new design is currently being qualified and tested with production anticipated in FY18 & beyond.  Because the design change is a re-packaging of current technology the program office was approved by their PEO to use production funds for the minimal NRE required.FY16 includes Program Support and Qual Testing","","1642a4f38774503b0b01f1ee3349d6e52b523873-2-198b78037548355cc07f825ebcbb724d52d07431","1642a4f38774503b0b01f1ee3349d6e52b523873","root","1642a4f38774503b0b01f1ee3349d6e52b523873-a91ecbda6251c0577d772a7a9aa2ca910db902fa"
"FUZES (ITEMS LESS THAN $5 MILLION)","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-1642a4f38774503b0b01f1ee3349d6e52b523873-3-73765a066434f4c421508d9a859b192ba32d612a","","0","7.14","0","","0","0","","","","","","","","","","","1642a4f38774503b0b01f1ee3349d6e52b523873-3-84deedebbb73e33f8357dca31a8b14fc9492aac4","1642a4f38774503b0b01f1ee3349d6e52b523873","root","1642a4f38774503b0b01f1ee3349d6e52b523873-a91ecbda6251c0577d772a7a9aa2ca910db902fa"
"Information Technology","","root.record.ItemExhibitList.P40AItemGroup.CategoryList-169b007f94d7eaf0e3a6ef578e1e43994fd0bd92-0-461773bd0a4038ce4c585047594ee15ed93d8a6c","121.586","29.302","27.641","24.725","","","24.725","23.419","22.619","23.07","23.532","","","true","","","","169b007f94d7eaf0e3a6ef578e1e43994fd0bd92-0-8e1fea297510a4085c6ed7923b1ab0579c3b985c","169b007f94d7eaf0e3a6ef578e1e43994fd0bd92","root","169b007f94d7eaf0e3a6ef578e1e43994fd0bd92-c57f0e30587dfb906de1afa08c0c94a8905319d2"
