"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","FundingVehicle_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2015","See End Item P-5A","2014-12","2016-07","9","14.244","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-ef6cbe2781739198bdd7ddf515ce37e12297174f","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-5-850507b3d18d3095519d4d74a61efb1a6aabfb1d"
"2017","See End Item P-5A","2017-05","2018-12","595","14.244","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-b776dddfe22f51eb3c85aa080d50009c910e8f35","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-5-850507b3d18d3095519d4d74a61efb1a6aabfb1d"
"2015","See End Item P-5A","2014-12","2016-07","1","1.529","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-bc5e863c2b5872b5ff76e14ab8e7d80846370185","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-6-ed72cd5d8dfd324050906fb7b80eaf082cac853c"
"2017","See End Item P-5A","2017-05","2018-12","595","1.529","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-f4fec16fe53ab898e46100fa0ea80cd6e05a80d2","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-6-ed72cd5d8dfd324050906fb7b80eaf082cac853c"
"2015","See End Item P-5A","2014-12","2016-07","1","0.908","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-0-44a484fcf826806ade488fa015913c341f678d5c","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-7-7e83c776ed570075c2be2e0d93e317fdcf7406d9"
"2017","See End Item P-5A","2017-05","2018-12","595","0.908","Various","","","","","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-1-234ee28f80b4512ed9459b29a21f98abe618dc1d","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","0099dc6c4d5fc0e18f8a144e6d4cf2c9fca70374-7-7e83c776ed570075c2be2e0d93e317fdcf7406d9"
"2015","See End Item P-5A","2015-12","2016-01","24","4487.884","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-1b0de4fa9a9de30e850b0dfd3ae1b2280495867d","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e31dab8fabaff6878659ce82515904dea5d8ecbb"
"2016","See End Item P-5A","2016-12","2017-01","32","4487.884","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-cae478c2dd3953d0adc50a4ce7fbcc543c3b777b","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e31dab8fabaff6878659ce82515904dea5d8ecbb"
"2017","See End Item P-5A","2017-12","2018-05","26","4487.884","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-2-830e8e769e1ce877e952015a28bf367452d01abf","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-e31dab8fabaff6878659ce82515904dea5d8ecbb"
"2015","See End Item P-5A","2015-12","2016-01","24","2633.654","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-0-b3cca1ee039a54a39afa281f5e2f833ce7510555","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-88b70d4f984d8191e8117f3108ae90197d499527"
"2016","See End Item P-5A","2016-12","2017-01","32","2633.654","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-7e05e96f7fad209ca95a194c120e822adf1fbb77","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-88b70d4f984d8191e8117f3108ae90197d499527"
"2017","See End Item P-5A","2017-12","2018-05","26","2633.654","Various","","","","","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-2-df3c97fec81a47fb724c0040effaf6eaf5147ca2","25468c90530de4e049f06e2c4c0a3d290cfdc3b4","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","25468c90530de4e049f06e2c4c0a3d290cfdc3b4-1-88b70d4f984d8191e8117f3108ae90197d499527"
"2015","See End Item P-5A","2015-12","2017-01","0","93.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-11e40dd66a2743bf427ed5dfa8fd00c907991cdc","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-0-bdda040282fc6247d7e73a881bb8c52109524e31"
"2017","See End Item P-5A","2017-02","2019-09","7","93.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-448e76906af1fa3029ea44cb454420266500e240","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-0-bdda040282fc6247d7e73a881bb8c52109524e31"
"2015","See End Item P-5A","2015-12","2016-12","0","87.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-cbb5bc0c243efae9644bf1a3a56d6dfd7f15a447","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-1-807b6b3cc159530a2a63d4594d20e6fa56236622"
"2017","See End Item P-5A","2017-02","2019-09","9","87.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-c9c6a6e4f282fb0e523c726db16d998cc229e59c","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-1-807b6b3cc159530a2a63d4594d20e6fa56236622"
"2015","See End Item P-5A","2015-12","2016-12","0","79.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-fe773a4879e8afaa6568efd3d491068a442e13bf","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-2-e3bc34059fab1d000a38fb97e8bbd5ba6a5fa954"
"2017","See End Item P-5A","2017-02","2019-09","135","79.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-feb97e7ccfe9590f5f99f5fe18902fb79d4acbf0","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-2-e3bc34059fab1d000a38fb97e8bbd5ba6a5fa954"
"2015","See End Item P-5A","2015-12","2016-12","0","20.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-a7bf812eb7b52c67e6cae77dfc202952d6f203b2","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-3-bfae612c1abc5902fa25d886a86474e6bf941269"
"2017","See End Item P-5A","2017-02","2019-09","135","20.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-330f681afd986b5fc595acb9b62d93f274b873b7","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-3-bfae612c1abc5902fa25d886a86474e6bf941269"
"2015","See End Item P-5A","2015-12","2016-12","0","50.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-b074b2021031f6ec28d8adc4eea63de96c7f4513","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-4-73a987a22cb8596df1e08d8a7f220bf3cf8538a4"
"2017","See End Item P-5A","2017-02","2019-09","9","50.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-2ae31a3106aa0e040c8d64cc04535a8ec23daf8b","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-4-73a987a22cb8596df1e08d8a7f220bf3cf8538a4"
"2015","See End Item P-5A","2015-12","2016-12","0","50.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-83cc47011a2870a12abd4467a516654572d2c85f","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-5-68f13fe248dab98aae906a24ea4c73391e6db081"
"2017","See End Item P-5A","2017-02","2019-09","9","50.000","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-b9c628b3e46e0f3e2f790b337e9e517d887dbc66","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-5-68f13fe248dab98aae906a24ea4c73391e6db081"
"2015","See End Item P-5A","2015-12","2016-12","0","301.667","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-0-599a4c15b61843dd022c01d83c2709a3192943d9","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-6-ef3b8dcd2d057c31668e4290e98fc3155de1a7ba"
"2017","See End Item P-5A","2017-02","2019-09","12","301.667","Various","","","","","438afcb4f94cbef1578c0271b57782980d07ca73-1-219af85cd8aa45fca28e369ec06b4c4b8fb73419","438afcb4f94cbef1578c0271b57782980d07ca73","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","438afcb4f94cbef1578c0271b57782980d07ca73-6-ef3b8dcd2d057c31668e4290e98fc3155de1a7ba"
"2015","See End Item P-5A","2014-12","2015-06","70","3138.200","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-6c62d55535e15d2b1fd244923b673c2e4a17c53d","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-8b78b83ab22e8dc91f95b0f641582baf5db1ffad"
"2016","See End Item P-5A","2015-01","2016-07","82","3138.200","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-0d0f09781ea1d4c1fd71605e841fb8cfd6b79f94","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-8b78b83ab22e8dc91f95b0f641582baf5db1ffad"
"2017","See End Item P-5A","2016-12","2017-06","36","3138.200","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-c71b753da9c4c364195864e0e3eec8a593c35148","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-8b78b83ab22e8dc91f95b0f641582baf5db1ffad"
"2015","See End Item P-5A","2014-12","2015-06","70","87.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-5e336941866c138f4856379ef866c274affd23ca","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-9c7aa81ebf74dc96b6658636fb3f6747faad81b5"
"2016","See End Item P-5A","2015-01","2016-07","82","87.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-974207444de1ed46c12300b88e829475e0119a07","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-9c7aa81ebf74dc96b6658636fb3f6747faad81b5"
"2017","See End Item P-5A","2016-12","2017-06","36","87.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-139dc6636dd624a20f37e80af3dd7da9401bae34","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-9c7aa81ebf74dc96b6658636fb3f6747faad81b5"
"2015","See End Item P-5A","2014-12","2015-06","140","666.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-89b7aff39e8dfc3c343be00d064ee542f2b96274","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-783ec95aa36117b6f16b7474af27369283123418"
"2016","See End Item P-5A","2015-01","2016-07","164","666.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-5712918c7057caf7e153e4d52980f1fcab437fb7","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-783ec95aa36117b6f16b7474af27369283123418"
"2017","See End Item P-5A","2016-12","2017-06","72","666.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-9181a4dda3868d619d63a85ebbaa921fc47d8f8e","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-783ec95aa36117b6f16b7474af27369283123418"
"2015","See End Item P-5A","2014-12","2015-06","140","107.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-48eb18169fdabb8114ff2dd92125fa4b31cc2335","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-3-f42674ab94ae67a4476c30da3009c3fd0290c595"
"2016","See End Item P-5A","2015-01","2016-07","164","107.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-6746801333486e957b49c5be01f64129af12479d","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-3-f42674ab94ae67a4476c30da3009c3fd0290c595"
"2017","See End Item P-5A","2016-12","2017-06","72","107.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-b131951975595752fe42de9ad99cf2a4dbe6c0bf","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-3-f42674ab94ae67a4476c30da3009c3fd0290c595"
"2015","See End Item P-5A","2014-12","2015-06","70","65.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-83767c596ec7fec1aa96bc40d557d9d424d6c097","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-4-bcef9b7057300dfe5724e7206e7236f82e50f8ed"
"2016","See End Item P-5A","2015-01","2016-07","82","65.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-1-c029ae0f7abe385774f6b082585f449994ccb783","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-4-bcef9b7057300dfe5724e7206e7236f82e50f8ed"
"2017","See End Item P-5A","2016-12","2017-06","36","65.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-2-4d325db954edba3b56b33347d4601be630b6494b","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-4-bcef9b7057300dfe5724e7206e7236f82e50f8ed"
"2015","See End Item P-5A","2014-12","2015-06","0","0.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-158e1bd58cbb74497c85bf5fefaf0e2efea139d8","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-5-a220992af631fb597deba298ec031fbb537aaf7b"
"2015","See End Item P-5A","2014-12","2015-06","0","0.000","Various","","","","","63c94d3c133670ba4afded36301dc6d2d79a8bb2-0-8acc399d797e3084c0db0b1dd899e0c298d7127f","63c94d3c133670ba4afded36301dc6d2d79a8bb2","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","63c94d3c133670ba4afded36301dc6d2d79a8bb2-6-2ad518072a22a7932e8e0652616022470e5ae1f3"
"2016","See End Item P-5A","2016-04","2017-06","324","77.000","Various","","","","","e82d5e005819708e697e1329817e365d91902322-0-9729395c3ef83c3db651d6874b7d18eda44f0d74","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","e82d5e005819708e697e1329817e365d91902322-0-7babc3164197883eff5b4b6956c7b9499a6fdfa0"
"2016","See End Item P-5A","2016-04","2017-10","324","9.000","Various","","","","","e82d5e005819708e697e1329817e365d91902322-0-2b1366e0846ea8415244a96e0bdda1366508611f","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","e82d5e005819708e697e1329817e365d91902322-1-6bf1df24cde6d8a4b7d591a43e75c60facecc44a"
"2017","See End Item P-5A","2017-04","2018-07","496","56.653","Various","","","","","e82d5e005819708e697e1329817e365d91902322-0-4ac719392fcb4e8f5a97004c5260c825e510bc53","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","e82d5e005819708e697e1329817e365d91902322-2-28d804ce9568d31e09cc60fd330b095e99bd99c1"
"2017","See End Item P-5A","2017-04","2018-07","496","18.145","Various","","","","","e82d5e005819708e697e1329817e365d91902322-0-83bcc09cae7c8f406954ed096d66ae8fb3d88b60","e82d5e005819708e697e1329817e365d91902322","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","e82d5e005819708e697e1329817e365d91902322-3-3f4a05a7283694e6b29894566a08ed225f58f9c6"
"2013","See End Item P-5A","2014-01","2015-01","146121.000","0","Various","","","","","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f-0-711905fc65ec2587f949a22edef7ea669fb0a17b","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","41d2c86af1fe7c9570ff8e88d7bf45ffc8a25d1f-0-973393d153a9a479db88a616e36d835853dfaf22"
"2015","TBD","2015-02","2017-07","48.000","0.429","","false","2014-02","SS","FP","963298f377d229afa6fb9d64de038041088be7fb-0-f0147db8163f809e16170bad6c9bd83affe08e77","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","963298f377d229afa6fb9d64de038041088be7fb-0-1492e9a16f499af361698ffb3e35e08c78b9d84f"
"2015","TBD","2015-02","2017-04","48.000","0.289","","false","2014-02","SS","FP","963298f377d229afa6fb9d64de038041088be7fb-0-7cc860fd93880a1ba97488af656fd1f049059949","963298f377d229afa6fb9d64de038041088be7fb","root.record.ItemExhibitList.P5Item.P10AdvanceProcurement.APCostElementCategoryList.Other.APCostElement","963298f377d229afa6fb9d64de038041088be7fb-1-c0c79d0507156273780061d0a65c6e67bd623963"
