"FiscalYear_val","PCOLocation_val","AwardDate_val","FirstDeliveryDate_val","Quantity_val","UnitCost_val","SpecsAvailableNow_val","RFPIssueDate_val","ContractMethod_val","ContractType_val","FundingVehicle_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencyName_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ProcQuantity_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_MonthlyDeliveryList_MonthlyDelivery","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_AcceptedBeforeOct1_val","MonthlyDeliveryScheduleList_MonthlyDeliverySchedule_ServiceAgencySuffix_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"2019","Hill AFB, UT","2019-03","2019-06","4.000","0.040","false","2019-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-c829d29af3c1a291c2568306f3ca74df78dd39fe","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89"
"2016","Hill AFB, UT","2016-03","2016-06","2.000","0.041","false","2016-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-3-af071dce73ecae27ac0cbe4fb321a838955c2f87","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89"
"2017","Hill AFB, UT","2017-03","2017-06","7.000","0.035","false","2017-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-4-56cec9599cfca3a598b65bc2aef478f47a18180a","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-23fa9a1bd246abc1d1a9542d207647130ba6ef89"
"2018","Hill AFB, UT","2018-03","2018-06","6.000","0.032","false","2018-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-241c4585d33840306331c162e7afa127c5505981","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039"
"2016","Hill AFB, UT","2016-03","2016-06","3.000","0.030","false","2016-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-1-1fda5ed9bb128a1eccaaf0cc4570f6c8ff2b2985","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039"
"2019","Hill AFB, UT","2019-03","2019-06","6.000","0.042","false","2017-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-2-0ce0754a40b5e0f3548a32b9b8159c2bbc1b3b17","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039"
"2017","Hill AFB, UT","2017-03","2017-06","3.000","0.030","false","2017-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-3-963e4b5d139be9761d7c66aaafba2b2346186e89","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039"
"2020","Hill AFB, UT","2020-03","2020-06","6.000","0.042","false","2018-01","SS","FP","","","","","","","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-4-4232de0eb20a8dfc265d36a6636948167a6e7004","28efa5f91e84a33826d647f77ad9dc5ce387f0b2","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","28efa5f91e84a33826d647f77ad9dc5ce387f0b2-0-bc4ffd7dd2f27e21734af763626e12fba8192039"
"2015","PEO, Ft Belvoir, VA","2014-10","2014-10","1","27900.000","","","C","FFP","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-0-9822aea1337017ac198080ae98041b62d67dc69e","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-9cdde6eacd180acd832aafcf625687da90563546"
"2016","PEO, Ft Belvoir, VA","2015-10","2015-10","1","23000.000","","","C","FFP","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-1-8e0dd3971940fc2d09970daa91d3656d9f926b6a","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-9cdde6eacd180acd832aafcf625687da90563546"
"2017","PEO, Ft Belvoir, VA","2016-10","2016-10","1","30000.000","","","C","FFP","","","","","","","43d3554eb744da6b704f76d75f1225b38f0de759-2-2b1c80f85660e0300f338b6f62b96aa3f870dba1","43d3554eb744da6b704f76d75f1225b38f0de759","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","43d3554eb744da6b704f76d75f1225b38f0de759-0-9cdde6eacd180acd832aafcf625687da90563546"
"2015","PEO EIS, Ft. Belvoir, VA","2014-10","2015-09","1","1243.000","true","","","","RO","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-3f81c71fa41c50414dd318ed5f0681e0912db981","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-60198240c50cfae10c01d6cde8dd4328bc2d1e80"
"2016","PEO EIS, Ft. Belvoir, VA","2015-10","2016-09","1","1388.000","false","","","","RO","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-89e29fd2d7240e040ce2dbcc1a5b56b0953f717f","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-60198240c50cfae10c01d6cde8dd4328bc2d1e80"
"2017","PEO EIS, Ft. Belvoir, VA","2016-10","2017-09","1","1253.000","false","","","","RO","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-2-fb94f7c5c1da365bc2ae998082f7289d94b9dada","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-60198240c50cfae10c01d6cde8dd4328bc2d1e80"
"2016","PEO EIS,  Ft. Belvoir, VA","2015-10","2016-05","1","1306.000","false","","","","RO","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-c7f7d502c48d04880367cfe7e7beb9dad98138de","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-c291a0670d99d8ef698f6074f12f1400aa8ea181"
"2017","PEO EIS,  Ft. Belvoir, VA","2016-10","2017-07","1","1871.000","false","","","","RO","","","","","","6f849759560e292ae5d1247b4513cdf075cd2cb5-1-fdbad99992ac2e58041b337a6c2c6e89334426ac","6f849759560e292ae5d1247b4513cdf075cd2cb5","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","6f849759560e292ae5d1247b4513cdf075cd2cb5-0-c291a0670d99d8ef698f6074f12f1400aa8ea181"
"2011","SSP - Crystal City, VA","2010-12","2014-02","4","0.000","true","","","","Various","Navy","4","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b8ad9955679ac7025871c5da70a5e89a8f5961d6","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-b99be965993e59635a5fb5ad84340fb2dfc6cc05","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2012","SSP - Washington Navy Yard","2011-12","2015-02","12","0.000","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-8f05ceb8cbac0b06304c8e58070940ad63e960e3","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-e2f1d1606fb44c6fa9e72811ee3db5e5dc8c7c5e","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2013","SSP - Washington Navy Yard","2012-12","2016-02","12","0.000","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-e4f305fdf967c6a4c96649aea7973cc7b25238fe","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-e5c9a2ab79bbb55104c2f587dd88cf55d2f4abb9","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2014","SSP - Washington Navy Yard","2013-11","2017-02","12","0.000","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-e06c5955a32e00792d4eff84ab69622479b7b816","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-3-48c9303ce8cc426e432461a08a41bd5d48f6c5cb","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2015","SSP - Washington Navy Yard","2014-11","2018-02","12","16066.750","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-4-6eeae0bbd21ccd53d3e389ce4109c7c33b43fb3f","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-4-b1bb9a5b149fcf3ff8dc06b338bd4c2dd8bf011a","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2016","SSP - Washington Navy Yard","2015-11","2019-02","12","16366.750","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-5-8c4fc22d1a7a19231771c018d7daa96d144b101c","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-5-78595c8bd55ab9caacb6e8a02d31133232b12bbb","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2017","SSP - Washington Navy Yard","2016-11","2020-02","12","16677.750","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-6-bf97e123b60904085b3e8f52d994c8f8523aa79b","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-6-3a369194adca30ac2174d21ee84a845e16c98300","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-ed77d89ebb64e6e8efbbe45a97c5bbbb9003fcf7"
"2015","SSP - Washington Navy Yard","2014-11","2018-02","12","1976.167","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-4521249aefad0326e43dcb3f95379e1d6b316caf","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-7ebe272b290f1c80396130e85554208aeca2c399","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-afec03fa99175cb263f567e6e607987643a4b3cb"
"2016","SSP - Washington Navy Yard","2015-11","2019-02","12","1975.083","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-6d47883f09693c2f30e91ede378d818e075307b4","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-1-fb5cbf6a731f14c548905d2d6caddfb2ced8933f","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-afec03fa99175cb263f567e6e607987643a4b3cb"
"2017","SSP - Washington Navy Yard","2016-11","2020-02","12","2012.583","true","","","","Various","Navy","12","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer.HistoryPlanningList.HistoryPlanning.MonthlyDeliveryScheduleList.MonthlyDeliverySchedule.MonthlyDeliveryList-83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-5d3b12533c513923c10bc7f8a0e97c880db2294b","","","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-2-a59a42aa1fec6e38af8e3be45763e9423551175f","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","83028b6625c41a07b88fa0ac45ae36ce6b8bcd45-0-afec03fa99175cb263f567e6e607987643a4b3cb"
"2015","AFMC/ESC","2016-02","2016-10","201","0.060","true","","C","FFP","","","","","","","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-ba3dec0b4b68903260a6b761094d9597de129abe","8ff2813a3ca68065725a44e3a75236bc9ff4c81b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-a761407efa19e3a300c7b7f69137741cb96a328b"
"2015","AFMC/ESC","2016-03","2016-03","5","0.260","true","","C","FFP","","","","","","","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-d64cd0c093a8beb7d05912ac18f93733d27ed112","8ff2813a3ca68065725a44e3a75236bc9ff4c81b","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff2813a3ca68065725a44e3a75236bc9ff4c81b-0-ba7350cfa9553a2dd93eb6466839ba8954fb828b"
"2013","ARMY/ACC","2013-10","2015-06","4399","900.000","true","2013-10","","","MIPR","","","","","","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-40e0841c2e9e286ad05b5086541fb0640154bdac","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-e2f8a9294aa9a1e6e27297d8713883280f1683b6"
"2014","ARMY/ACC","2014-10","2018-05","4597","900.000","true","2014-10","","","MIPR","","","","","","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-0-0bb0438a3c88246d03c88b886281eb31e9c7edb2","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-fe29598b13dc45ce76353f2c6b72f40ce6da77b8"
"2015","ARMY/ACC","2015-10","2019-12","686","1102.040","true","","","","MIPR","","","","","","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-105780f80bae0a014787c2f6ba274ca5b75a2f59","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-fe29598b13dc45ce76353f2c6b72f40ce6da77b8"
"2016","ARMY/ACC","2016-01","2020-01","35500","1115.520","true","","","","MIPR","","","","","","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-2-21a491a05c69f37c75babd4b5619323401113af9","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-fe29598b13dc45ce76353f2c6b72f40ce6da77b8"
"2017","ARMY/ACC","2017-01","2021-01","2810","1122.060","true","","","","MIPR","","","","","","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-3-da2d5ec5d65d88f4bd8c51a6fe0de403e0d0c6d9","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","8ff7c968b9afc618e90a9c7ec7388ff3540c55d1-1-fe29598b13dc45ce76353f2c6b72f40ce6da77b8"
"2015","N/A","2014-12","2015-01","1","4.274","true","","","","MIPR","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-a9e626cd7b851fc468c2f8916c3acbd05c01bf0f","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-a5e5345a01904271a118342b5b50e0369358c489"
"2016","N/A","2015-12","2016-01","1","2.706","true","","","","MIPR","","","","","","a3deae4cb61de9545dddd9eca9022b9c3044b180-1-62e09c89c4b4a1b72e555196c19e6bdb9a14884e","a3deae4cb61de9545dddd9eca9022b9c3044b180","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Support.CostElementList.CostElement.ManufacturerList.Manufacturer","a3deae4cb61de9545dddd9eca9022b9c3044b180-0-a5e5345a01904271a118342b5b50e0369358c489"
