"Title_val","PriorYear_Funding_val","PriorYear_Text_val","CurrentYear_Funding_val","CurrentYear_Text_val","@ROWID","@RECORDID","@PARENT","@PARENTROWID"
"New Amphibious Vehicle (Cong)","25.000","Performed Hull Survivability Demonstrator and Technology Integration Demonstration efforts.  Provided concept design, analysis, and test support. Provided engineering and technical services in support of vehicle integration architecture prototyping.","","","2fc347b01359677d2d046a096f438cfa4a389664-0-f04291caf031c28c13d1ba46c40d702d815d0a79","2fc347b01359677d2d046a096f438cfa4a389664","root.record.ProjectList.Project","2fc347b01359677d2d046a096f438cfa4a389664-1-25c48595c31a0b266a10306429ae66893b8b406d"
"Adv Radar Innovation Fund - S&T (Cong)","20.000","Accelerate future capabilities for innovative technologies that show promise for capability enhancements and affordability to enhance current sensor platforms and prepare for future technological advances in a manner that is affordable and flexible.","","","31fe0b598cce11007f75093198893ae07f234f7c-0-ddf5b621215b62474bf8ab980266b8484462fb8a","31fe0b598cce11007f75093198893ae07f234f7c","root.record.ProjectList.Project","31fe0b598cce11007f75093198893ae07f234f7c-1-0e54efdf795fcc950220b7ea5d682af3e8ab8c37"
"University Research Program (Cong)","20.000","Facilitate waivers to augment limits for Defense University Research Instrumentation Program (DURIP) competition proposals for the acquisition of major equipment to augment current or develop new research capabilities in support of defense relevant research, and to increase all competitive based university research programs.","","","39c7d1b279b6df9971791f1c56f82201d688b3c3-0-c3802416259f952b3311563d1b85dfdf401d6b92","39c7d1b279b6df9971791f1c56f82201d688b3c3","root.record.ProjectList.Project","39c7d1b279b6df9971791f1c56f82201d688b3c3-1-b010ba3b66e52dacee06685610e9b08d559c49d9"
"CW Bill Young Marrow Donor Program","31.500","This effort continues the research of the C.W. Bill Young Bone Marrow Donor Recruitment and Research Program.","","","3a79b6607f0aafa11a670e7aa1e104e2c8322d67-0-61507985d1121931f75ddc949716d32f845ad1b9","3a79b6607f0aafa11a670e7aa1e104e2c8322d67","root.record.ProjectList.Project","3a79b6607f0aafa11a670e7aa1e104e2c8322d67-1-66c5abb08a5d0b1095c92afb8b6925c2c467ad72"
"Naval Special Warfare Performance and Injury Prevention Program","7.200","This effort continued the data collection at Naval Special Warfare Group 2 (Little Creek) and Naval Special Warfare Group 4, Special Boat Team 22 (Stennis), Seal Qualification Training (Coronado) to strategically maximize human capital by reducing the rate of unintentional musculoskeletal injury, sharpen battlefield performance, optimize military readiness, extend the tactical life cycle of the Operator, and enhance quality of life of the Operator after service.  Established human performance laboratory at Coronado.","","","3a79b6607f0aafa11a670e7aa1e104e2c8322d67-1-99b4b85e62c026ca1a6d835a2dc11e5c9009671b","3a79b6607f0aafa11a670e7aa1e104e2c8322d67","root.record.ProjectList.Project","3a79b6607f0aafa11a670e7aa1e104e2c8322d67-1-66c5abb08a5d0b1095c92afb8b6925c2c467ad72"
"Small Business Technology Insertion","7.500","FY12 Congressional Add used to develop array and array electronics upgrades.","","","3a96425afb29f25110f5ab2a244c445ac04445d2-0-804ef81b0ebd73e82c417591128d33e2b5dd6589","3a96425afb29f25110f5ab2a244c445ac04445d2","root.record.ProjectList.Project","3a96425afb29f25110f5ab2a244c445ac04445d2-1-86da9162da5bc21badf9343aee47d8d0db9c8f8a"
"Defense Rapid Innovation Fund","199.233","FY 2012 accomplishments include the development and execution of Broad Agency Announcements to identify candidate innovative technologies for rapid insertion into military systems or programs.","","","3f7be3f0ea4f2ace74626df58477b1ab5875debd-0-a2e82eb20d60dad9919b7f6bf6491ec4f18451b1","3f7be3f0ea4f2ace74626df58477b1ab5875debd","root.record.ProjectList.Project","3f7be3f0ea4f2ace74626df58477b1ab5875debd-0-2749bff013df7439c264310359e01b90bc85cff0"
"Space Situational Awareness.","30.000","Conducted research supporting space situational awareness.","0.000","N/A","4369473c512314aafcd84197ecc7f1dc719004ec-0-441f0165b1d7ecde2d7c0ae53e37a970861f3a72","4369473c512314aafcd84197ecc7f1dc719004ec","root.record.ProjectList.Project","4369473c512314aafcd84197ecc7f1dc719004ec-0-8af9af5f91e5343be2c5f8437b01fa1858ee9862"
"Industrial Base Innovation Fund","30.000","Program investments were executed in manufacturing technology that: addressed urgent operational needs; expanded domestic manufacturing capacity; and addressed concerns over limited competition or reliance on foreign sources for certain defense products.  The IBIF programs all addressed key defense-wide manufacturing science and technology issues, with the additional requirements of addressing surge and/or diminishing material source issues.  In addition, these programs all had a clear transition path with implementation on a current platform or one undergoing acquisition targeted to be within 2-3 years of project completion.  The following areas of investment were executed to enable a diverse suite of advanced manufacturing production improvements:- Connecting American Manufacturing – created a national-level, integrated framework to enable rapid, high-density, multi-sector brokering between buyers and US suppliers- Additive manufacturing initiative – created a large collaboration on additive manufacturing, which enabled innovative research, transition to multiple DoD platforms, and educational opportunities- Non-Destructive Evaluation (NDE) for Electron Beam additive manufacturing – developed rapid and affordable NDE techniques for Ti and other metal parts manufactured using a directed energy additive technique - Read-out Integrated Circuit for Electro-optical distributed aperture system (EODAS) – redesigned, fabricated, tested, and laser hardened EODAS ROIC to use state-of-the-art foundry equipment and increase yield.  - Slurry Dip Automation – developed an automated dipping and slurry management system for flare countermeasure products that effectively eliminated human operators from the dangerous process- On-tool Inspection of Fiber Placement – developed non-destructive evaluation and quality inspection techniques within the fiber placement head for in-process, rapid inspection,  improving yield and process control- Curved transparent armor – developed manufacturing technology of transparent armor, which enabled curved and thinner transparent structures and decreasing cost- Transparent Ceramics – Sapphire – created an approach to determine the significant factors affecting the velocity of single crystal growth of large sheet sapphire production. - Quallion Lithium-ion 6T Vehicle Starter Battery – Developed a lithium-ion military vehicle starter battery that significantly improves power and energy density of the standard 6T lead acid battery.   Implemented semi-automated manufacturing processes to move this key component into high volume production and utilize Quallion Zero-Volt cells to reduce life cycle costs.- Saft Lithium Ion Energy Storage – Developed lithium ion electrochemical solution integrated with appropriate packaging and systems engineering that provides a Starting / Lighting / Ignition battery for military 14 Volt systems.  This program will prime the pump of domestic lithium battery manufacture in large volumes.- Multi Function Periscope – specified goals and requirements, and began design work to develop a periscope for armored vehicles that merges an external view with sensor and vehicle health data.Multiple users benefitted from these programs including Air Force/Navy F-35 users, Army/Air Force flare users, and Special Operations Command.","","","46ab9f8142d6e3aa182bc08d40d427e9a8ece360-0-373589aca21940f6e1a0886257b44d02ac8a19ea","46ab9f8142d6e3aa182bc08d40d427e9a8ece360","root.record.ProjectList.Project","46ab9f8142d6e3aa182bc08d40d427e9a8ece360-0-2435466d77524b6b71a09f483f01b4800f158a89"
"GMR JTRS (Cong)","4.000","Conducted close out of the System Development and Demonstration (SDD) contract. Activities include: identifying critical deliverables such as hardware, design specifications, instrumentation, modeling tools, simulators, etc. for delivery to the Government. Achieved National Security Agency (NSA) Type 1 Certification.","","","4fb733bf91af6024485a7d50722e8e4669a37b21-0-e016df73d584a222761fe4d50100b23867fd11fd","4fb733bf91af6024485a7d50722e8e4669a37b21","root.record.ProjectList.Project","4fb733bf91af6024485a7d50722e8e4669a37b21-6-c0640199330934ea2c31dd996739da4dccd66295"
"Small Business Technology Insertion","10.000","N/A","","","536a4439a5b73c1ecf85094917a26af69f143e00-0-6c9373521700a559e4d7c95579058bc5e551321b","536a4439a5b73c1ecf85094917a26af69f143e00","root.record.ProjectList.Project","536a4439a5b73c1ecf85094917a26af69f143e00-3-5db97ca4417cb4e031127ba0aea85dda9ef13285"
"Program Increase","10.000","Conducted Congressionally-directed effort for Program Increase.","","","606964d4f1862bbb3e28353e5cd4fb51d1da620e-0-d3b85abb1cda4351a8fab5d029a14549b90a592e","606964d4f1862bbb3e28353e5cd4fb51d1da620e","root.record.ProjectList.Project","606964d4f1862bbb3e28353e5cd4fb51d1da620e-0-8b3016021caf59025d771b6664c8acb8b40f8c77"
"Blue Devil 1","58.600","Supported Blue Devil 1 operations in theater.","","","606964d4f1862bbb3e28353e5cd4fb51d1da620e-0-52098871bddddfe999e33643c6aacc8c07a78c10","606964d4f1862bbb3e28353e5cd4fb51d1da620e","root.record.ProjectList.Project","606964d4f1862bbb3e28353e5cd4fb51d1da620e-1-77da68979219dcf7cf9e6a3395af9ed0286e639d"
"Space Situational Awareness.","20.000","Conducted Congressionally-directed effort.","","","666cffa2c7ddc673bd383959e32f6cd740186a77-0-7c842c9f8002cbbc2aaa945c04446eb5449fbdb9","666cffa2c7ddc673bd383959e32f6cd740186a77","root.record.ProjectList.Project","666cffa2c7ddc673bd383959e32f6cd740186a77-0-f12124ad9f7f7ba768c223922e8ba89d2e930728"
"Silicon Carbide Composites Research","12.500","Conducted Congressionally-directed effort.","0.000","N/A","678807e1d4164a002a3100d8e4f65755eb3623cd-0-36d744e443d3554bd4c076bd32103d0779d2a5a5","678807e1d4164a002a3100d8e4f65755eb3623cd","root.record.ProjectList.Project","678807e1d4164a002a3100d8e4f65755eb3623cd-2-04deaed27efbd1080cd8c8141c377a5d47c5abca"
"Advanced Materials Research","8.500","Conducted Congressionally-directed effort.","0.000","N/A","678807e1d4164a002a3100d8e4f65755eb3623cd-1-3ba2b2cdfb4310cc41ed5d08538bae37d2e2a90b","678807e1d4164a002a3100d8e4f65755eb3623cd","root.record.ProjectList.Project","678807e1d4164a002a3100d8e4f65755eb3623cd-2-04deaed27efbd1080cd8c8141c377a5d47c5abca"
"ISR Innovations","10.000","This innovation included developing a sensor testbed to relieve the testing burden on the MQ-9 platforms.","0.000","Continuing integration and flight testing of Sensor Testbed.","6c7aff20f9631bf3cdd338f763dd1e155a0d1ac3-0-c4e501dac6e6b94be17055bf190044b74959ee9f","6c7aff20f9631bf3cdd338f763dd1e155a0d1ac3","root.record.ProjectList.Project","6c7aff20f9631bf3cdd338f763dd1e155a0d1ac3-0-5486513771735db2f510ecdbb2fc9a71049421ec"
"Alternative Energy Research, 2012","40.000","Continued Alternative Energy Research project.","0.000","Continued Alternative Energy Research project.","6efe969b8adca374096ba376d2638ac6c0e0472f-0-de9f9de9770e5752810974c4e7d30d54eca19d5c","6efe969b8adca374096ba376d2638ac6c0e0472f","root.record.ProjectList.Project","6efe969b8adca374096ba376d2638ac6c0e0472f-2-f05bf342c0413301fbb4f2a22fd834ef4fbd24b9"
"Weather Satellite Follow-on (WSF)","123.681","- WSF System Program Office (SPO) developed a plan to use Congressionally-added funds to stimulate the industrial base and buy down risk for future sensors and unique technologies for the weather mission.  - The Executive Agent for Space completed a space-based environmental monitoring concept study to inform the Analysis of Alternatives (AoA).  To support this, the SPO developed analytical tools to evaluate future architectures and conducted analysis to identify collection capability gaps in the Meteorological and Oceanographic Initial Capabilities Document (METOC ICD).  - The SPO authored a technology investment strategy and issued a Broad Agency Announcement (BAA) to execute funds for sensor, spacecraft, space weather, and ground systems technology development.  Using the strategy, the SPO started development of models and prototypes; demos necessary to define the materiel solution; materiel/non-materiel solutions; implementation of alternatives for exploitation of non-traditional weather data source to provide experimental satellite data to DoD users to mitigate risk of forecasting gaps.","","","737d817862346dca6022d808addf4caff70d5a3c-0-dd99babcdbf55e743159ca821c7e696646bd8169","737d817862346dca6022d808addf4caff70d5a3c","root.record.ProjectList.Project","737d817862346dca6022d808addf4caff70d5a3c-0-516948068dd008dcb3ef185b2127543c3afa8e6f"
"Adv Radar Innovation Fund - Surf (Cong)","20.000","N/A","","","752e177c55a192736de0cd32fec0153c70f71e07-0-c83c247125e396e6c896b94efa4370a46faf3e20","752e177c55a192736de0cd32fec0153c70f71e07","root.record.ProjectList.Project","752e177c55a192736de0cd32fec0153c70f71e07-5-05a1f88cb52402ed7268201bc50b83405e2ec1e1"
"LCS MM SBIR (Cong)","10.000","Continue development of a next generation LCS test bed, which  supports development, demonstration, testing and evaluation of critical technologies to enable rapid introduction of advance warfighting capabilities and workload reduction initiatives required by the LCS mission packages.  Deliverables include: a next generation LCS test bed based on Service-Oriented Architecture (SOA); demonstration of the ease of inserting a SOA-based C2 product such as MCM Supervision of Unmanned Vehicle Mission Management by Interactive Teams (SUMMIT) or USW-DSS with documented metrics in Demonstration Report ; and a prototype of SOA-based Unmanned System Control System for future LCS unmanned systems (surface and underwater vehicles).","","","87ecc5a29ff613c9c072333e25a5495369508b8b-0-e7843220f37b7adb92e625f64d838c25e52fe812","87ecc5a29ff613c9c072333e25a5495369508b8b","root.record.ProjectList.Project","87ecc5a29ff613c9c072333e25a5495369508b8b-3-b3881bd96410979e8e9e9333abd188609351e8bd"
"Cyber Security Research (Cong)","12.000","Computer Network Defense (CND) accelerated and improved the cyber security, situational awareness, and efficiency of OCONUS Naval Enterprise Network (ONE-Net) and Information Technology for the 21st Century (IT-21) networks. Efforts  focused on enabling development of Navy high speed tactical network sensors. Conducted systems engineering and architect Theater Network Operations and Security (TNSOC) modifications required to support ONE-Net environment security enhancements and network efficiencies. Established a lab environment that can support the development of Ozone Widget framework tools. Began the development of the architecture and integrated tools that support the automation of certification and accreditation processes in line with Defense Information Systems Agency (DISA) imperatives for continuous network monitoring and risk scoring. Determined optimal technical and governance solution for interception of outbound encrypted traffic, allowing for inspection and control. Updated the CND development lab hardware to ensure Charleston Network Operations Center (CHASNOC), SSC Pacific Afloat, and End-to-End (E2C) labs contain the most current CND cyber security technologies. This also promoted comprehensive implementation of Host Based Security Systems (HBSS) and other DoD mandated tools and capabilities.","","","8dc164987c61987bd888428f66751c97e966fdd1-0-92a9f3daa5040d315b78de2224cacf140272bc95","8dc164987c61987bd888428f66751c97e966fdd1","root.record.ProjectList.Project","8dc164987c61987bd888428f66751c97e966fdd1-2-ef659582de3120da0300542fc8310193e198cc56"
"Surf ASW SBIR (Cong)","7.500","Provided the DESRON Commander, performing the Anti-Submarine Warfare Commander (ASWC) role, the ability to enhance the execution of Surface ASW by enabling net-centric ASW information exchange between assigned units. Currently the ASWC's two primary sensors, Periscope Detection Radar (PDR), SPS-74, and Surface Ship Sonar, AN/SQQ-89A(V)15, only provide data to the installed ship. Sharing this sensor information will dramatically improve the successful execution of the DESRON Commanders ASW mission. Provided engineering services that support integration, testing, evaluation, and certification of the interfaces between the Undersea Warfare - Decision Support System (USW-DSS) Build 2 and above surface ASW sensors. This is accomplished via the execution of a formal test plan that includes: formal External Interface Testing (EIT); formal lab-based software certification; and multiple at-sea testing events as part of Development Testing in preparation for Operational Testing Certification.","","","8deb17c573710d92aef590e3a83ed312ef3fd35f-0-57d3a5e214ed1a2678d707c514d27b69f7d86c8e","8deb17c573710d92aef590e3a83ed312ef3fd35f","root.record.ProjectList.Project","8deb17c573710d92aef590e3a83ed312ef3fd35f-1-13d67724c0f2e2786fb2c017ca83037d5280932d"
"Classified","97.603","Classified Program","","","95763a64daaa25f53f2c428e135ced92f9c01a9b-0-b26385366ff4603c0dcbf09e959883da33cc1e34","95763a64daaa25f53f2c428e135ced92f9c01a9b","root.record.ProjectList.Project","95763a64daaa25f53f2c428e135ced92f9c01a9b-0-0f22e917911adc976c3843fe1f3e2357a62ab954"
"Corrosion Control, Prevention and Prediction through Coatings, Materials and Maintenance R&D","32.196","1.  Funded additional corrosion prevention and control (CPC) technology insertion projects:     a) 2-Coat High-Performance Coating System     b) Stress Corrosion Cracking/Corrosion Fatigue on High Strength Steel     c) Chromated Pre-Treatments for Steel     d) Hybrid Composite Bridge Beams     e) Allowable Concrete Crack Widths for Reinforcement Materials2.  Continued performance of the Technology Corrosion Collaboration consisting of selected universities, the Service Academies, Service CPC Laboratories, AF Institute of Technology and the Naval Post Graduate School.     a) Expanded role of Services’ subject matter experts in focusing research     b) Funded award-winning Cadet capstone project at USAFA     c) Developed technology roadmap3.  Developed corrosion management education course series4.  Implemented college engineering corrosion classes and a bachelor’s degree in corrosion engineering.","","","97af1ddeda201ec017ef15686ec539f30196d1be-0-e2b3dd1b085830c9e020f253e99706859cdce3f8","97af1ddeda201ec017ef15686ec539f30196d1be","root.record.ProjectList.Project","97af1ddeda201ec017ef15686ec539f30196d1be-0-14da1939246401e62844b496171669e9bb077512"
"*** PLEASE ENTER CONGRESSIONAL ADD TITLE ***","0.000","[*** PLEASE ENTER CONGRESSIONAL ADD TEXT FOR PRIOR YEAR. ***]","","","bd30460614969ca63d1a07643666fe439ab7da82-0-b3208390fe313ae7f92dc452a9a0a1aa49bbba05","bd30460614969ca63d1a07643666fe439ab7da82","root.record.ProjectList.Project","bd30460614969ca63d1a07643666fe439ab7da82-0-a23adf0e303a8ac6808ef9c2578c8b01fb8efd0c"
"VH-3/VH-60 (Cong)","7.000","N/A","","","be281391a4d3380f14816516e480ed733ce8bb42-0-5aeb20b61e8527844d25989d3c7f44d3b3f8f34f","be281391a4d3380f14816516e480ed733ce8bb42","root.record.ProjectList.Project","be281391a4d3380f14816516e480ed733ce8bb42-4-924eacac889dc084632adb952175011569dacd99"
"New Design SSN SBIR (Cong)","15.000","N/A","","","c255e0440e0a270dd0a7f6d9b87480bf5ce1be8b-0-743a9d60c9e6584451449abc5087349ad80e443e","c255e0440e0a270dd0a7f6d9b87480bf5ce1be8b","root.record.ProjectList.Project","c255e0440e0a270dd0a7f6d9b87480bf5ce1be8b-4-9bd9b9f6777f44aee503fe94c31bf675f5d6a93e"
"ASW Research Prog - Cong","5.000","This effort provides research into sensor development and understanding environmental acoustic clutter and noise (scattering and propagation processes) in shallow and deep water, particularly in the Western Pacific.  Additional efforts focus on turbulent and surface wave processes important for ASW signature development.  Oceanographic institutions conduct extensive at-sea experimentation.","","","c6dfc437f8c0116fe2125cef1b6c8d9837e27f2f-0-81fb11ba0132134b75d5c171620c74c19a6a6217","c6dfc437f8c0116fe2125cef1b6c8d9837e27f2f","root.record.ProjectList.Project","c6dfc437f8c0116fe2125cef1b6c8d9837e27f2f-1-7eaae04f266f34e8098702a0340369f709baef28"
"Unfunded Requirement","15.000","Expanded and enhanced current Unclassified Test Bed (UTB) capabilities such as evaluating, developing, prototyping and fabricating quick reaction prototypes.  Included in this effort, is a classified area that will provide SOF the ability to quickly transition candidate technologies with multiple levels of classification.  Continued integration of Multi-Spectral optics, which addresses night vision capability gaps and signature management improvements; developed power solutions for SOF mobility platforms; and continued efforts to address non-lethal engagement needs.","","","ce2c8870ee0d6d6804675aa1afc1a89fa1be27a6-0-59ce434925d72aed7b3d623e7622c9d80ba9716e","ce2c8870ee0d6d6804675aa1afc1a89fa1be27a6","root.record.ProjectList.Project","ce2c8870ee0d6d6804675aa1afc1a89fa1be27a6-0-08d60f6f9214d87d6bc721017daedfd2edf0a151"
"Alternative Energy Research","40.000","The Alternative Energy Research program addressed critical energy technology needs to meet the Department of Navy's energy security and energy efficiency goals.  A key element of the program was the focus on sustainability in the Asia-Pacific region through alternative energy research, technology development and education.   Technology areas pursued include:  renewable power generation (solar, wind and ocean energy); alternative fuels (biofuels and hydrogen); fuel cells for unmanned vehicles and non-tactical ground vehicles; energy storage for grid management and stabilization; energy efficiency technologies and energy efficient structures; and waste-to-energy.  The program incorporated and integrated energy research, STEM (science, technology, engineering and mathematics) education and technology evaluation.","","","dcc55c7dc07cdfd31dda655bb5f1f1b35f36ddce-0-114b0d6467086291ba1c00087ca2168bd574531e","dcc55c7dc07cdfd31dda655bb5f1f1b35f36ddce","root.record.ProjectList.Project","dcc55c7dc07cdfd31dda655bb5f1f1b35f36ddce-1-4e3425d9d8b5b40022d1b36fe47406ca449d1600"
"Adv Radar Innovation Fund - Air (Cong)","20.000","N/A","","","e7b5f658c502b01b0ff65b6ca0a917097760baf8-0-2aa6a2a367705db5fe01b7a9315afc8fbef53e21","e7b5f658c502b01b0ff65b6ca0a917097760baf8","root.record.ProjectList.Project","e7b5f658c502b01b0ff65b6ca0a917097760baf8-1-a94e75475f7047df956bde899d8910511c13e8e0"
"Nanotechnology Research (Cong)","8.000","Support basic research to discover and exploit unique properties of materials at the nanoscale to enable new applications enhancing future weapon systems.  Research will be focused in one, some or all of the areas identified in the National Nanotechnology Initiative Strategic Plan: Fundamental Nanoscience Phenomena and Processes, Nanomaterials, Nanoscale Devices and Systems, Instrumentation Research, Metrology, and Standards for Nanotechnology, Nanomanufacturing, Major Research Facilities and Instrumentation Acquisition, and Societal Dimensions.","","","fae8fb3211d74c7541855c0dbb867cd11c840ea2-0-6434779b9ef08ca04dca59c7823057ac99d170bf","fae8fb3211d74c7541855c0dbb867cd11c840ea2","root.record.ProjectList.Project","fae8fb3211d74c7541855c0dbb867cd11c840ea2-1-d66348cc2cceece0587aee52c83581ea5d6fa456"
"Program Increase","0.395","Continued efforts for the In-house Laboratory Independent Research (ILIR) program.","0.000","N/A","0144f9d09167d9e62e9f767b4343c7634fb22856-0-29670addf5512eab7e09a0fc3074362b4bf83f2a","0144f9d09167d9e62e9f767b4343c7634fb22856","root.record.ProjectList.Project","0144f9d09167d9e62e9f767b4343c7634fb22856-1-fb427b206a0c4c55fc48ddffca0e863dae544df9"
"Natural Gas Research","","","2.500","Program Increase for Natural Gas Research","0294258acfabf5eb2242b0bae7a449424058b76a-0-23114de5cbd4d2d5f663239e695d6ced23af4255","0294258acfabf5eb2242b0bae7a449424058b76a","root.record.ProjectList.Project","0294258acfabf5eb2242b0bae7a449424058b76a-1-7b2089e57ce6dffc42a6905264114755279a55b9"
"Program Increase","","","4.200","Program Increase","0294258acfabf5eb2242b0bae7a449424058b76a-0-7eae45163f5f27bb529553de6377fb874be8a3d4","0294258acfabf5eb2242b0bae7a449424058b76a","root.record.ProjectList.Project","0294258acfabf5eb2242b0bae7a449424058b76a-2-a7a2fd66ee5b64cca3341e2d55600f62570b0d3e"
"MAGIC","20.000","Flight Test Series completed at NAWS China Lake, CA in March 2015. Orion RPA demonstrated an 80-hour endurance flight, integration of a beyond line of sight SATCOM capability, and a full motion video capable payload.  Subsequent efforts concentrated on lessons learned from flight test and applied those concepts to the continued development of a deployable long endurance capability.","5.000","Follow-on development efforts concentrating on lessons learned from the Orion RPA Block 0 flight test and applying those concepts to continue development of a Block 1 deployable Orion RPA long endurance capability.","033dc386602d9f897fe3b83f3f61fe7fa4c26d43-0-62e737606202b4403a39fde5d363923e42a9928d","033dc386602d9f897fe3b83f3f61fe7fa4c26d43","root.record.ProjectList.Project","033dc386602d9f897fe3b83f3f61fe7fa4c26d43-0-64a10d18d0ef6949ae829c53d5bb76664b0e09bc"
"Additive Manufacturing","10.000","Conducted Congressionally-directed effort.","10.000","Conduct congressionally directed effort","04033418f48d4269c21c0344125d2e31d9d459e8-0-93a463ce07a778dbdf60fc173f2b3a6c335028c2","04033418f48d4269c21c0344125d2e31d9d459e8","root.record.ProjectList.Project","04033418f48d4269c21c0344125d2e31d9d459e8-0-5bf90e57aacda704784554ae4d8c687f11ddae2f"
